,target_text,pred_str
0,TREASURE,
1,YES,YES
2,OK,K
3,KEY,
4,DUCK,DUCK
5,A,
6,FISH,FISH
7,FISH,FISH
8,CAR,A
9,COW,CA
10,KEY,T
11,PART,BITE
12,SNAKE,SNAKE
13,COW,COW
14,FROG,FROG
15,PIG,PIG
16,GIRAFFE,JERAF
17,ELEPHANT,ELEPHANT
18,BUTTERFLY,FUTTERFLY
19,CRAB,CRAB
20,DINOSAUR,DINASOL
21,GRASSHOPPER,GRASSHOPPA
22,SPIDER,SPIDER
23,KEY,
24,SPIDER,SPIDO
25,WEB,WEM
26,HIPPER,HIPPAR
27,HIPPOPOTAMUS,IPOPOTAMIS
28,TOOTH,TRASE
29,BEARD,BE IT
30,BELLY,BELLY
31,BUTTON,FUSHEN
32,WATCH,MUCH
33,STRAW,STRAW
34,CHAIR,CHAIR
35,LEAF,LEEF
36,CLOUD,CROWD
37,MOUNTAIN,MOUNTAIN
38,SHELL,SHALL
39,BAG,BACK
40,SWING,SWING
41,SWORD,SAWID
42,WHEEL,WHEEL
43,YOUR,YE
44,YOUR,E YE
45,GOTTEN,GARDEN
46,SKIRT,SKIR
47,THIS,THIS
48,THAT,THAT
49,THAT,THAT
50,ZOO,ZE
51,CUB,CUB
52,MOUTH,MOUTH
53,THE,
54,MAN'S,MAN
55,FACE,FACE
56,HEAD,HEAD
57,THE,
58,MAN,MAN
59,THUMB,FOM
60,MOUSTACHE,MOUSTACHE
61,VOICE,VOICE
62,JAM,JAM
63,FOOD,SOOD
64,SOME,SOME
65,ICE,I
66,CREAM,CREAM
67,DESSERT,DESEGE
68,TONIGHT,TO NIGHT
69,KITCHEN,KITCHEN
70,CARPET,COTTAGE
71,MAGICIAN,SO
72,MACHINE,MACHINE
73,CHEESE,IR
74,GO,GIR
75,BALLOON,BALANE
76,CARD,COT
77,IN,O
78,THE,
79,BIG,
80,TEN,TIME
81,THE,
82,CIRCUS,CIRCUS
83,DOLL,DULL
84,ALIEN,ALIEN
85,MARTIAN,MARSIAN
86,NOR,NI
87,YES,YES
88,RIDE,RIDE
89,STORY,STORY
90,CRAB,GRA
91,THE,
92,MOUTH,MOUKE
93,ATTACK,ATTACK
94,CHEESE,CHEESE
95,BANANA,BERNANA
96,WATERMELON,WATERBORNE
97,WATERMELON,WATER MELON
98,COCONUT,POCANA
99,CUCUMBER,CUCUMBER
100,POTATO,POTATOR
101,TOMATO,TO MATTER
102,VEGEMITE,FET SHE MIGHT
103,BIRD,PAT
104,FEATHER,FETTER
105,OWL,OW
106,GORILLA,GORILLA
107,FINGER,HANGERE
108,CROCODILE,CROCODILE
109,FLY,FLY
110,SAID,
111,CARD,CAT
112,CATERPILLAR,CATAPILLO
113,HIPPOPOTAMUS,HEPOPONOMIS
114,RHINOCEROS,RINE US
115,RHINOCEROS,INOCERIS
116,RHINOCEROS,OCYRIS
117,RHINOCEROS,INOSER
118,CLOWN,CLOWN
119,STETHOSCOPE,STEFAS KIRT
120,FLOWER,FLOWER
121,FLOWERPOT,FLOWER POT
122,SHOVEL,SHOVEL
123,SPADE,SPAVE
124,CHEST,CHEST
125,TREASURE,TREASURE
126,BITE,BITE
127,KAYAK,KAYAC
128,CANOE,CANE
129,BRIDGE,RIDGE
130,XYLOPHONE,SILAPHUN
131,BOY,BOY
132,HILL,H
133,EAR,ER
134,NICE,NICE
135,HE,
136,WAS,WEN
137,FEET,FEET
138,FOOT,FOOT
139,SHORT,SHORT
140,PLAY,PLAY
141,PULL,FULL
142,PULL,POOR
143,POOL,FOUL
144,DRINK,DRINK
145,PIE,HI
146,SAUSAGE,SAUSAGE
147,SPAGHETTI,FORGETTY
148,VANILLA,VANILLA
149,CUP,COT
150,TAIL,PAL
151,FUR,FIRR
152,SHALLOW,SHELL
153,COMB,A
154,DETECTIVE,DETECTIVE
155,DETECTIVE,DETECTIVE
156,WITHIN,WISIT
157,MAGICIAN,MAGICIAN
158,BREATHE,BREEZE
159,HOUSE,HOUSE
160,GARAGE,GARRAC
161,LIGHT,LIGHT
162,THERMOMETER,TE MOMETER
163,HOLE,HALL
164,HILL,HILL
165,SMILE,SMILE
166,WOOD,WHICH
167,BINOCULARS,BENOCILE
168,BINOCULARS,BONOCULUS
169,AUSTRALIA,ASTRALIA
170,ONE,ONE
171,TWO,CHEE
172,THREE,THREE
173,FOUR,FOR
174,FIVE,I
175,SIX,SICX
176,SEVEN,OFAN
177,EIGHT,
178,NINE,MINE
179,TEN,TEN
180,ONE,ONE
181,ONE,WONE
182,CUP,
183,TWO,TE
184,CUPS,CUBS
185,THREE,THREE
186,CUPS,
187,FOUR,FOR
188,CUPS,CAPS
189,ONE,
190,EGG,E
191,MANY,MI
192,EGGS,X
193,TWO,WO
194,EGGS,EGGS
195,THREE,
196,EGGS,XT
197,FOUR,FOR
198,EGGS,AKES
199,ONE,WON
200,O'CLOCK,C
201,CLOCK,
202,THE,
203,CLOCK,CLOT
204,TO,TWO
205,A,
206,CLOCK,OK
207,ONE,
208,O'CLOCK,THE CLOCK
209,THREE,REE
210,O'CLOCK,CLOCK
211,POOL,
212,FOUR,FOR
213,CLOCK,CLOCK
214,DUCK,DUC
215,FISH,FISH
216,THEN,
217,CAR,CAR
218,KEY,T
219,BART,BOAT
220,SNAKE,SNAKE
221,COW,COW
222,FROG,FROG
223,PIG,KING
224,GIRAFFE,YOUR OFF
225,ELEPHANT,ELEPHANT
226,BUTTERFLY,BUTTERFLY
227,CRAB,CRAB
228,DINOSAUR,DINAH SAW
229,GRASSHOPPER,GRASOPPA
230,SPIDER,SPITE
231,WEB,WEBB
232,HIPPOPOTAMUS,HIPPOPOTALUS
233,TOOTH,TRUTH
234,PERSON,PERSON
235,BEAD,AD
236,BEAD,BID
237,KITCHEN,E JUM
238,BILLY,BELLY
239,BREATHE,
240,A,
241,LITTLE,
242,STOMACH,STOMACH
243,PIE,
244,SITE,SAY
245,BELIEVE,MILLYB
246,AWESOME,ASIN
247,CARD,C
248,WATCH,WHAT
249,SCHOOL,DRAW
250,CHAIR,CHAIR
251,LEAF,LAFE
252,CLOUD,CLOUD
253,MOUNTAIN,MOUNTAIN
254,CLAMSHELL,CLAMS
255,SHELL,ELL F
256,WE,M
257,ONLY,
258,ONE,
259,O,
260,CLOWN,LAN
261,WILL,
262,SHELL,SHEL
263,TOMATO,
264,SHELL,SHELL
265,KITCHEN,JUC
266,BAG,BIG
267,SWING,SWING
268,SWORD,SWORD
269,WHEEL,WHEEL
270,YOUR,E O
271,YOUR,YA
272,GARDEN,GORDEN
273,DRESS,DRESS
274,SHIRT,SHERT
275,SKIRT,SKIRT
276,SHOULD,
277,I,
278,WHICH,WICH
279,MIGHT,
280,SAY,
281,THAT,THAT
282,NOW,
283,THAT,THAT
284,ZOO,THER
285,CUB,COB
286,MOUTH,MOUTH
287,HEAD,HEAD
288,THUMB,SOME
289,MOUSTACHE,MIUSTACHE
290,MAGICIAN,UT
291,VOICE,VOICE
292,TWO,
293,WAS,
294,ONE,GO ON
295,JAM,JAM
296,FOOD,SCENE
297,SOME,F SO
298,DESSERT,DESERT
299,TWO,
300,NOT,NORIT
301,KITCHEN,KITCHEN
302,CARPET,CROPE
303,WASHING,ASHIN
304,MACHINE,MACHINE
305,GO,GO
306,THIS,NIS
307,IS,IS
308,JUST,VIS
309,EAR,AN
310,TONIGHT,DA
311,CARD,COD
312,CIRCUS,CIRCUS
313,DOLL,AND DULL
314,ISLAND,ALIN
315,MULTIPLE,MONSTER
316,MARTIAN,MARTIAN
317,FEEL,VY
318,THAT,
319,WAY,W
320,NOR,NA
321,TOOTH,
322,GREEN,ING
323,YES,YES
324,RIDE,RIDE
325,NOVEL,NOVEL
326,CHOPPED,CHOP
327,OFF,UP
328,STORY,STORY
329,POUNCE,POUNDS
330,PLAY,RY
331,ATTACK,ATTACK
332,CHEESE,CHEESE
333,BANANA,VENONO
334,WATERMELON,WATERMELON
335,COCONUT,COCOANUT
336,CUCUMBER,KUTUMBER
337,POTATO,PUTATIO
338,FOUR,
339,TOMATO,TO MA
340,VEGEMITE,VEGIMANT
341,BIRD,BID
342,FEATHER,FEATHER
343,OWL,FOWL
344,MONKEY,MONKEY
345,GORILLA,GRILLA
346,KANGAROO,KANGAR
347,CROCODILE,CROCONILE
348,STACCATO,SICADO
349,CATERPILLAR,CASAPILL
350,RHINOCEROS,RHINOCEROUS
351,CLOWN,CLOWN
352,DEVICE,DEVICE
