,target_text,pred_str
0,it keeps lighting because uhm the other ones are still a circuit,it keeps  lighting because the the other ones are still a circuit
1,we learned about parallel and series circuits,we learned about parallel and series circuits
2,they go out too,they go out to
3,it won't go out because that is still a parallel circuit oh not it's not sorry,it won't go out because that is still a parallel circuit oh no it's not so
4,what is a string of light,what is tii trean of l
5,uhm it is still a circuit because uhm one side is both sides are connected so if one goes out then the other one stays lit,it is still a circuit because one side is fully both sides are connected so if one goes out then the other one stays lit
6,it doesn't go out because that's a parallel circuit so it is still working,it doesn't go out because that's a parallel circuit so it is still working
7,good hi,good hi
8,okay,okay
9,we're learning about magnetism and electricity,we are learning about magnetism and electricity
10,it goes on,it goes on
11,it is still going on one side,it is still going on one side
12,uhm the one if one goes out it's a series so if one goes out the other one goes out,m the one if one goes out it's a series so if one goes out the other one goes out
13,when one goes out the other one goes out too,when one goes out the other one goes out to
14,it stops the flow of electricity,it stops the flow of electricity
15,the other one goes out,the other one goes out
16,parallel lights,parallel light
17,the rest the rest go out,the rest the rest go out
18,uhm one light is out but the other one is is still going,one light is out but the other one is bur is still going
19,i see that it turns on,i see that it turns on
20,uhm one side of the one side of the uhm both sides are parallel so they both go through the energy does,one side of the one side of the both sides are parallel so they both go through the energy does
21,it is a circuit but the uhm it isn't flowing because the switch is off,it is a circuit but the it isn't flowing because the switch is off
22,uhm they're still connected to the bulb it's still a circuit with all of them,they're still connected to the bulb its still a circuit with all of them
23,because it's using the same wires and they're both only in one circuit,because using the same wires and they're both only in one circuit
24,a conductor carries the electricity around,a conductor carries theelectricity around
25,the object is uhm can not have,that object is can not have
26,good,good
27,it doesn't spin,it doesn't spin
28,the metal uhm there is a circuit uhm with flowing energy which is making the motor spin,the metal there is a circuit with flowing energy which is making the motor spin
29,uhm it is a metal,it is metal
30,so they're not dangerous to touch,so it's not dangerous to touch
31,they are metal,they are metal
32,learning about uhm electricity,learning about electricity
33,uhm the the uhm the stick can't have electricity running through it,the the the stick can't have electricity running through it
34,some objects uhm let the motor spin because they're metal and they complete the they are conductors and they complete the circuit,some objects the motor spin because they're metal and they complete the ther are conductors and they complete the circuit
35,uhm if you uhm some objects are metal and are conductors so the energy can flow through them into the switch,if you some objects are metal an are conductors so the energy can flow through them into the switch
36,uhm the electricity can't flow through the object that is an insulator uhm it can't complete the circuit the energy just stops,m the electricity can't flow through the object that is an insulator  it can't complete the circuit the energy just stops
37,uhm they help they let electricity flow through the circuit smoothly,they help they let electricity flow through the circuit smoothly
38,grams o o d good,g o o d god
39,the parallel circus circuit is the wires are not the same do the series circuit is the same,the parallel circuit circuit is the wires are not the same so the series tha circuit is the same
40,electricity,eletricity
41,it doesn't glow,it doesn't glow
42,l,oll
43,i see that there are,i see that there are
44,this is probably an electricity,this is probably an electricity
45,the other one doesn't burn out,the other one doesn't burn out
46,we know that with a parallel,we know that with a parallel
47,out,o
48,when he one light bulb goes out the other one goes,when one light bulbs goes out the other one goes
49,the whole set burns out,the whole sep burns out
50,good,good
51,series,series
52,we talked about a a pair a pair of uh lights that are connected and if one goes out the whole set goes out,we talked about  a air a a pair of lights that are connected and if when goes out the whole set goes out
53,goes,o as it does
54,this might be because i turned on i turn i turned the switch on and that lit the light,this might be because i turned on i turnd i did i turned the switch on and that litt the light
55,this is a series one when one light bulb goes out the other one doesn't,this is a series one when ene light bulb goes out the other one doesn't
56,i notice that when i turn out a light bulb the other one doesn't,i noticed that when i turn out a light bulb the other one doesn't
57,i notice that i clicked on one but the other two didn't go out,i noticed that i clicked on one but the other two didn't go out
58,there are two light bulbs one light bulb one light bulb burned out so the other one burned out too,there are two light bulbs one light bulb one light bulb burned out so the other one burned out too
59,the one that i clicked goes out but the other one doesn't,the one that i clicked goes out but the other one doesn'
60,i'm good,i'm good
61,i've been learning about electricity,i've been learning about electricity
62,i saw that when i clicked the switch the light bulb glowed,i saw that when i clicked the switch the light bulb glowed
63,other one will burn burn out,other one wore bird burn out
64,can you repeat,can you repeat
65,good,good
66,bye,bye
67,that the filament broken the light bulb is not light,that the filaments broken the light bulb is not light
68,i don't know,i don't know
69,that you would have to replace it with a new one then it won't burn out quickly,that you would have to replace it with the new ond then i will burn out quickly
70,that the flow of electricity will not work,lhet's the flow of electricity will not work
71,that the filaments breaks and then if you replace it with another battery light bulb it will burn out and the filament will break,that wh the filament breaks and  then if you replace it with another battery  light bulb  il it will burn out and the filament will break
72,a parallel circuit,a parallel circuit
73,because the switch is a circuit,because the switch is a circuit
74,it is a parallel circuit,it is a parallel circuit
75,that the switches not touching the wires so that light bulb will not light,that the switch is not touching the wire so that the light bulb will not light
76,the flow of electricity will not work,the flow of electricity will not work
77,that the flow of electricity,that the flow of electricity oh
78,that the filament breaks and the electricity stops moving and and on the other side the electricity will keep flowing and flow,that the filament breaks an the electricity stops moving in and on the other side the electricity will keep flowing and flow
79,because the light bulb is broken,because the light bulb is broken
80,that batteries not lighting and,that the battery is not lighting and
81,the series circuit only have one pathway,that series circuit's only ov one pathway
82,that everything stops working,but everything stops workingg
83,a series circuit,a series circuit
84,energy,energy
85,that when one filament breaks the other light bulb will still keep continuing,that when  one filament breaks u the other light bulb will still pcontinue
86,that the electricity flows only one,that the electricity flows only one
87,it breaks a it breaks a light bulb,sies it makes it it breaks  light bulb
88,can you repeat that,can you repeat that
89,after the filament breaks,tat the filament break
90,that the bulbs are burning out,that the bulbs are burning out
91,that the flow will not continue,that the flow will not continue
92,that the other bulb will not light,that the other bulb will not light
93,i don't,i don'
94,that the other bulb will not light,that the other bulb will not light
95,we've been using magnets,we'vebeen using magnets
96,they share,they sharp
97,serious circuits and some other,series circuits and some other
98,the wires are connecting twice on both things so makes bright,the wires are connecting twice on both things so it makes it bright
99,there is many of them,there is many of them
100,through flowing to the circuit,they're flowing through a circuit
101,a series circuit,a series circuit
102,could you,good you
103,the wires are connecting twice to each thing,the wires are connecting twice to each thing
104,when the series series circuit are more wires,when the serie series circuits have more wires
105,the bulb circuit a little bit brighter,the bulbs ar get a little bit brighter
106,if you don't do correctly could shock you or it can hurt,if you don't kdo it correctly it could shock you or it can hurt
107,yeah hope such huge energy so we don't have to do wouldn't show,it helps us use energy so we don't have to do it our selves
108,because it's not in the right pathway well but not the plus the plus signs you have to be facing up the plus sign have to be facing the other but one on the left touch be facing the other direction,because it's not in the right pathway both one the plthe plus sides have to be facing up the plus sides have to be facing the other the one on the left test to be facing the other direction
109,you know that really light and weight,it'll get really light and wigh
110,it has to go through the circuit,it has to go through the cicui
111,one,one
112,wires batteries and light bulb,wires batteries and light bulb
113,we've been using magnets connecting on the things that we don't know that they would stick,we've been using magnets connecting them to things that we don't know that they would stick
114,the lights are get them,the whights will get dim
115,when we use the wires the battery and the light bulb all make a pathway and this it goes through and it makes a complete,when you use awhen the wires the battery and the light bulb all make a pathway and tit goes through and it makes a complete
116,it has to flow through through the wires completely and if you get stuck or,it has to flow through through the wires completely and if it gets stuck r
117,closer the little power sources that are in the that are in the wires and,those are the little power sources that are in the that are in the wires and the
118,to make light or to use like a,to make light or to use like a fanon a
119,turn the battery around,turn the battery around
120,the one with only one d cell the lights are dimmer along with two d cells the lights are bright,the one with only one d cell the lights are dimmer the one with two d cells the lights are lighter
121,when i click the thing again it will turn the battery around and it won't,when i click the thing again it will turn the battery around and it won't
122,on the front of that it goes through the plus sign down to the minus,the front of it the it goes through the plus sign down to the minus
123,the wire the wires the light bulb and the battery they are all good going through a circuit making the light bulb,the wire the wires the light bulb and the battery they are all going through a circuit making the light bulb
124,on the right one when time passes the light bulb runs out so i have to replace it many many times because more energy is being taken from it,on the right one when time passes the light bulb runs out so they have to replace it many many times because more energy is being taken from it
125,could you,good you
126,when i click on the d cell it moves it it moves the direction and it actually flows in the circuit this time,when i click on the d cell it moves it moves the direction and it actually flows in the circuit this time
127,the one d cell maybe dimmer but two d cells once batteries are rare equal,the one d cell maybe dimmer but two d cells runs batteries out rly quick
128,that wouldn't the nail is coducting electricity has electricity in it and when it touches the nail the nail has electricity in it too,that when the nail is connecting electricity has electricity in it and when it touches the nail te nail has electricity in it to
129,that the nail won't be a magnet anymore it will just be a plain out nail,that the nail won't be a magnet anymore itll it will just be a plain out nail
130,can you repeat that,can you repeat that
131,that there are magnetic could you repeat that,that they're magneticcan you repeat that
132,can you repeat that,can you repeat that
133,i don't know,i don't know
134,that the a steel nail is connecting to the magnet so the magnetism goes to the tip of the steel and that's picking up the paper clip,that  steel nail is  connecting to the magnet so the magnetsystm goes to the tip of the steel and that's picking up the paper clip
135,can you repeat that,can you repeat that
136,that the magnetism is going to the nail which the nail is sticking to the magnet,that's a magnettism s going to the nail which the nail is sticking to the magnet
137,that the magnet magnet magnet i don't know,that's the magnet magnet magnet i don't know
138,hi carl,hi cor
