,target_text,pred_str
0,TREASURE,
1,YES,ff
2,OK,
3,KEY,
4,DUCK,
5,A,
6,FISH,
7,FISH,s
8,CAR,c
9,COW,
10,KEY,
11,PART,cv'b
12,SNAKE,i dn
13,COW,fmhc
14,FROG,omhf
15,PIG,
16,GIRAFFE,fm
17,ELEPHANT,
18,BUTTERFLY,chinmoae
19,CRAB,fmhce
20,DINOSAUR,jf
21,GRASSHOPPER,mh
22,SPIDER,s'm
23,KEY,
24,SPIDER,
25,WEB,
26,HIPPER,
27,HIPPOPOTAMUS,g b'sb
28,TOOTH,
29,BEARD,
30,BELLY,
31,BUTTON,
32,WATCH,cb
33,STRAW,sb
34,CHAIR,m
35,LEAF,
36,CLOUD,fmhce
37,MOUNTAIN,w aebnj
38,SHELL,s
39,BAG,
40,SWING,scif
41,SWORD,s
42,WHEEL,mn e
43,YOUR,
44,YOUR,
45,GOTTEN,eh'k
46,SKIRT,
47,THIS,
48,THAT,bv bkv
49,THAT,v bk
50,ZOO,a
51,CUB,
52,MOUTH,h
53,THE,
54,MAN'S,
55,FACE,bv
56,HEAD,
57,THE,
58,MAN,
59,THUMB,a
60,MOUSTACHE,sb mwn
61,VOICE,w
62,JAM,mc
63,FOOD,v j
64,SOME,nwni
65,ICE,
66,CREAM,f
67,DESSERT,n
68,TONIGHT,'
69,KITCHEN,s
70,CARPET,hb
71,MAGICIAN,
72,MACHINE,
73,CHEESE,sv jns
74,GO,fmhce
75,BALLOON,c
76,CARD,
77,IN,
78,THE,
79,BIG,
80,TEN,
81,THE,
82,CIRCUS,k'mkas
83,DOLL,
84,ALIEN,i
85,MARTIAN,
86,NOR,
87,YES,
88,RIDE,'
89,STORY,sb m
90,CRAB,fce
91,THE,
92,MOUTH,ha
93,ATTACK,k
94,CHEESE,sv jns
95,BANANA,h
96,WATERMELON,
97,WATERMELON,t e
98,COCONUT,
99,CUCUMBER,z
100,POTATO,bh
101,TOMATO,t
102,VEGEMITE,
103,BIRD,
104,FEATHER,
105,OWL,hc
106,GORILLA,f
107,FINGER,s'ifnm
108,CROCODILE,
109,FLY,o'wn
110,SAID,
111,CARD,hb
112,CATERPILLAR,
113,HIPPOPOTAMUS,b'
114,RHINOCEROS,f
115,RHINOCEROS,
116,RHINOCEROS,
117,RHINOCEROS,m
118,CLOWN,fmhce
119,STETHOSCOPE,s
120,FLOWER,oehcnm
121,FLOWERPOT,oehcg
122,SHOVEL,svhk
123,SPADE,s
124,CHEST,ffnsb
125,TREASURE,bmn samn
126,BITE,
127,KAYAK,
128,CANOE,
129,BRIDGE,
130,XYLOPHONE,
131,BOY,
132,HILL,
133,EAR,
134,NICE,
135,HE,
136,WAS,
137,FEET,sn
138,FOOT,oh
139,SHORT,svh
140,PLAY,r
141,PULL,h
142,PULL,
143,POOL,h
144,DRINK,
145,PIE,
146,SAUSAGE,sa
147,SPAGHETTI,'
148,VANILLA,
149,CUP,
150,TAIL,
151,FUR,b
152,SHALLOW,vj
153,COMB,
154,DETECTIVE,hlunkbnj
155,DETECTIVE,hlunkbnj
156,WITHIN,
157,MAGICIAN,ta'k' i
158,BREATHE,f
159,HOUSE,hasn
160,GARAGE,f
161,LIGHT,cv'bn
162,THERMOMETER,t bm
163,HOLE,h
164,HILL,'
165,SMILE,th
166,WOOD,
167,BINOCULARS,
168,BINOCULARS,'
169,AUSTRALIA,b'
170,ONE,
171,TWO,
172,THREE,vmnn
173,FOUR,h
174,FIVE,o'wn
175,SIX,s
176,SEVEN,snwni
177,EIGHT,
178,NINE,
179,TEN,n
180,ONE,c
181,ONE,
182,CUP,
183,TWO,
184,CUPS,
185,THREE,v
186,CUPS,
187,FOUR,oham
188,CUPS,
189,ONE,
190,EGG,
191,MANY,
192,EGGS,
193,TWO,
194,EGGS,bvids
195,THREE,vmnn
196,EGGS,
197,FOUR,ha
198,EGGS,
199,ONE,
200,O'CLOCK,
201,CLOCK,
202,THE,
203,CLOCK,
204,TO,
205,A,
206,CLOCK,
207,ONE,
208,O'CLOCK,h
209,THREE,vmnn
210,O'CLOCK,
211,POOL,
212,FOUR,haa
213,CLOCK,
214,DUCK,kd
215,FISH,
216,THEN,
217,CAR,
218,KEY,
219,BART,
220,SNAKE,i dn
221,COW,hc
222,FROG,bmk
223,PIG,
224,GIRAFFE,mh
225,ELEPHANT,envib
226,BUTTERFLY,abmor
227,CRAB,hce
228,DINOSAUR,
229,GRASSHOPPER,h
230,SPIDER,s
231,WEB,f
232,HIPPOPOTAMUS,asb
233,TOOTH,b
234,PERSON,
235,BEAD,
236,BEAD,
237,KITCHEN,
238,BILLY,
239,BREATHE,
240,A,
241,LITTLE,
242,STOMACH,st
243,PIE,
244,SITE,s
245,BELIEVE,
246,AWESOME,
247,CARD,
248,WATCH,cv
249,SCHOOL,b
250,CHAIR,m
251,LEAF,
252,CLOUD,mhc
253,MOUNTAIN,w aebnj
254,CLAMSHELL,f
255,SHELL,
256,WE,
257,ONLY,
258,ONE,
259,O,
260,CLOWN,
261,WILL,
262,SHELL,
263,TOMATO,
264,SHELL,
265,KITCHEN,
266,BAG,
267,SWING,sc
268,SWORD,s
269,WHEEL,mn e
270,YOUR,
271,YOUR,
272,GARDEN,hf'
273,DRESS,amn
274,SHIRT,v
275,SKIRT,s
276,SHOULD,
277,I,
278,WHICH,
279,MIGHT,
280,SAY,
281,THAT,v bkv
282,NOW,
283,THAT,v b
284,ZOO,
285,CUB,
286,MOUTH,h
287,HEAD,
288,THUMB,
289,MOUSTACHE,b mwn
290,MAGICIAN,
291,VOICE,w's
292,TWO,
293,WAS,
294,ONE,
295,JAM,f
296,FOOD,
297,SOME,snwn
298,DESSERT,
299,TWO,
300,NOT,
301,KITCHEN,
302,CARPET,
303,WASHING,
304,MACHINE,v jns
305,GO,hc
306,THIS,
307,IS,
308,JUST,
309,EAR,
310,TONIGHT,
311,CARD,
312,CIRCUS,k'mkas
313,DOLL,
314,ISLAND,
315,MULTIPLE,thsb
316,MARTIAN,aba
317,FEEL,
318,THAT,
319,WAY,
320,NOR,
321,TOOTH,
322,GREEN,fm
323,YES,
324,RIDE,m
325,NOVEL,ihwne
326,CHOPPED,
327,OFF,
328,STORY,sb mw
329,POUNCE,
330,PLAY,
331,ATTACK,m k
332,CHEESE,v jns
333,BANANA,b
334,WATERMELON,bmt e
335,COCONUT,
336,CUCUMBER,
337,POTATO,' i
338,FOUR,
339,TOMATO,
340,VEGEMITE,
341,BIRD,
342,FEATHER,o
343,OWL,fmhce
344,MONKEY,dr
