,target_text,pred_str
0,bird,bird
1,detective,detective
2,short,short
3,cloud,clown
4,that,cloun
5,pie,pie
6,xylophone,xylophone
7,four o clock,four o clock
8,potato,potato
9,cow,cow
10,one cup,one cup
11,hair,hair
12,one egg,oneeg
13,snake,ssnakee
14,thermometer,erteometer
15,mouth,mouth
16,spaghetti,magheti
17,snake,snak
18,four cups,four cups
19,tonight,tonight
20,two,two
21,beard,beard
22,head,hog
23,cow,cow
24,banana,banana
25,splash,splash
26,three,three
27,gorilla,gorilla
28,wood,wod
29,wheel,whel
30,four,four
31,machine,machine
32,bag,bag
33,two cups,two cup
34,machine,machinee
35,zoo,zo
36,zoo,b
37,treasure,treasure
38,frog,frog
39,short,shhort
40,thermometer,thermometer
41,short,short
42,food,fod
43,boy,boy
44,tail,tai
45,shell,shel
46,head,head
47,light,llight
48,splash,grafche
49,car,car
50,carpet,carpet
51,sausage,sausage
52,duck,duck
53,sprout,sprout
54,cucumber,cucummber
55,martian,martian
56,spade,spade
57,play,tay
58,pull,pl
59,key,tw
60,spiderweb,spiderwe
61,watch,atch
62,bag,bag
63,boat,boat
64,cloud,cloun
65,eight,eight
66,spaghetti,pagheti
67,cart,cart
68,boy,boy
69,watch,watch
70,flowerpot,flowerpot
71,chair,chair
72,pull,pul
73,bag,bag
74,bridge,bridge
75,gorilla,gorila
76,breathe,breathe
77,sword,sword
78,cicada,icada
79,sausage,sausage
80,butterfly,butterfly
81,crocodile,crocodile
82,six,six
83,circus,circus
84,seven,seven
85,vanilla,vanila
86,gorilla,gorilla
87,martian,martia
88,pool,pul
89,thermometer,thermometer
90,caterpillar,caterpillar
91,yoyo,yoyo
92,carpet,carpet
93,spiderweb,segrwe
94,attack,attack
95,four,four
96,hair,hair
97,hippopotamus,hippopotamus
98,snake,snake
99,sprout,sprout
100,wheel,whel
101,bag,bag
102,australia,australia
103,six,six
104,balloon,balon
105,chair,chair
106,hole,hole
107,treasure,trasuree
108,tonight,tonight
109,yoyo,yooyo
110,fish,fis
111,five,five
112,car,car
113,rhinoceros,rinuocs
114,seven,seven
115,three cups,three cups
116,banana,banana
117,xylophone,xyylophone
118,skirt,skirt
119,tomato,tomato
120,sword,sword
121,drink,drink
122,crocodile,crocoditdile
123,straw,straw
124,kitchen,kitchen
125,tooth,t
126,no,no
127,gorilla,gorilla
128,four,four
129,two eggs,two eggs
130,nose,nose
131,snake,snake
132,two eggs,two eggs
133,wood,wod
134,cub,cub
135,cart,cart
136,seven,one
137,fur,fhu
138,duck,duk
139,garden,garden
140,four o clock,four o clock
141,caterpillar,caterpilar
142,two o clock,two o clok
143,rhinoceros,rhier
144,cow,a
145,one egg,one  egg
146,zoo,zo
147,martian,martiann
148,canoe,canoe
149,four eggs,four eggs
150,jam,jam
151,pie,pie
152,food,fod
153,chair,t
154,five,bu
155,two,two
156,mouth,mouth
157,potato,potato
158,sprout,ssprout
159,card,card
160,bellybutton,belybutton
161,dessert,dessert
162,bridge,bridge
163,vegemite,vegemite
164,thermometer,thermometer
165,crocodile,crocodile
166,canoe,can
167,car,car
168,splash,splash
169,yes,
170,two o clock,two o clock
171,bellybutton,belybutton
172,kangaroo,kangarooo
173,yes,yar
174,fish,fishh
175,doll,dol
176,two,t
177,stethoscope,stethoscope
178,two o clock,two o clock
179,two o clock,two o cloc
180,yes,yes
181,boy,boyy
182,crab,crab
183,hill,hi
184,two cups,two cups
185,nine,ninne
186,story,story
187,garage,garage
188,skirt,skirrt
189,caterpillar,caterpillar
190,garage,garage
191,doll,dol
192,grasshopper,grashopper
193,cloud,cloud
194,rhinoceros,rhinoceros
195,ball,bal
196,key,ches
197,magician,magician
198,treasure,treather
199,key,key
200,owl,owl
201,pool,pl
202,tooth,twooo
203,one cup,one
204,jam,jam
205,balloon,balon
206,five,fieve
207,xylophone,xylophone
208,cloud,cloud
209,two o clock,two o clock
210,boy,boy
211,chair,chair
212,yoyo,yoyo
213,dessert,dessert
214,magician,maiccian
215,bellybutton,belybutton
216,cloud,cloun
217,hippopotamus,hippopotamus
218,three,three
219,caterpillar,caterpilllar
220,voice,voicee
221,drink,drink
222,mouth,mouth
223,circus,circus
224,treasure,treasure
225,three cups,three cups
226,ball,ba
227,four cups,four cups
228,rhinoceros,hino
229,duck,duck
230,wood,wod
231,bag,bag
232,thermometer,thermometr
233,card,card
234,dinosaur,dinosaur
235,nine,tinne
236,bag,bag
237,three cups,three cups
238,coconut,coconut
239,gorilla,gorilla
240,girl,grab
241,tonight,tonight
242,canoe,canoe
243,martian,martian
244,martian,martian
245,pull,pul
246,wood,wod
247,banana,banana
248,eight,eight
249,nine,nine
250,machine,machinee
251,frog,frog
252,butterfly,butterly
253,caterpillar,caterpilar
254,five,five
255,hole,hole
256,owl,owl
257,xylophone,xylophone
258,stethoscope,stecocope
259,one,
260,short,shraw
261,canoe,canno
262,jam,jam
263,spiderweb,spiderweb
264,smile,smile
265,crocodile,crocodile
266,spaghetti,spagheti
267,four o clock,four o clock
268,no,no
269,girl,girl
270,three cups,three cups
271,detective,detective
272,wood,wod
273,four eggs,four eggs
274,hippopotamus,hippomus
275,detective,detective
276,duck,tuk
277,zoo,zo
278,four cups,four cups
279,five,five
280,doll,dol
281,hill,hil
282,four,four
283,kangaroo,kangaro
284,hippopotamus,hippopotamus
285,cucumber,cucumber
286,ride,t
287,butterfly,btterfly
288,swing,swing
289,pull,pl
290,grasshopper,grashopper
291,flowerpot,flomwerpot
292,kangaroo,kangaroo
293,magician,magician
294,splash,splash
295,seven,seveng
296,light,lightt
297,chair,chair
298,four cups,four cups
299,hill,shil
300,one,h
301,food,fod
302,tooth,t
303,breathe,breehtt
304,carpet,carppet
305,vegemite,vegemite
306,butterfly,utterfly
307,leaf,leaf
308,cucumber,cucumbber
309,one egg,one egg
310,clown,clown
311,tail,tail
312,girl,g
313,wheel,whel
314,that,that
315,two cups,two cups
316,seven,seeven
317,duck,duck
318,three,three
319,cheese,chesse
320,stethoscope,stethosscop
321,short,short
322,fur,fu
323,four eggs,four eggs
324,boy,boy
325,vegemite,vegemmite
326,magician,magiciaan
327,zoo,zo
328,pig,pig
329,cheese,chese
330,carpet,carpeet
331,tonight,tonihht
332,duck,duck
333,potato,potato
334,shell,shel
335,two cups,two cups
336,flowerpot,tflowerpo
337,car,car
338,wood,wod
339,gorilla,gorilla
340,bridge,
341,caterpillar,caterpilar
342,sausage,sausage
343,three eggs,thhree eggs
344,that,bhat
345,flowerpot,flowerpot
346,bridge,bridge
347,four,four
348,frog,frog
349,no,no
350,stethoscope,stethoscope
351,mouth,mouth
352,tooth,tt
353,seven,seveng
354,foot,foot
355,story,story
356,sword,sword
357,frog,frog
358,butterfly,butterfly
359,spaghetti,spagheti
360,thermometer,thermometer
361,dessert,dessert
362,cucumber,cucumber
363,coconut,coconut
364,tomato,omatoo
365,spade,apade
366,doll,dol
367,boat,boat
368,grasshopper,grashopper
369,three,three
370,martian,martian
371,gorilla,goorilla
372,australia,australia
373,australia,australia
374,caterpillar,caterpillar
375,sprout,sprout
376,pull,pul
377,cow,cow
378,cow,cow
379,four cups,four cups
380,one,one
381,hair,hair
382,potato,potato
383,bird,beard
384,thumb,thumb
385,garden,garden
386,watch,watch
387,dessert,dessert
388,hippopotamus,hippopotamus
389,girl,girl
390,that,thath
391,tomato,comato
392,breathe,breathe
393,girl,girl
394,zoo,zo
395,boat,ban
396,cheese,chese
397,leaf,leaf
398,grasshopper,ggrashopper
399,grasshopper,grashopper
400,balloon,balooon
401,one,b
402,three,thre
403,thermometer,thermometer
404,seven,st
405,drink,drink
406,hole,h
407,wheel,whel
408,drink,drink
409,bird,birrd
410,australia,australia
411,owl,owl
412,three,three
413,carpet,carpet
414,australia,australia
415,dessert,ssert
416,frog,frog
417,ten,ta
418,machine,macine
419,chair,cha
420,garden,garden
421,treasure,treasure
422,mouth,mouth
423,four,four
424,foot,fot
425,skirt,skirt
426,moustache,moustache
427,spaghetti,spagheti
428,beard,beard
429,potato,potato
430,food,fod
431,machine,machhine
432,six,s
433,nine,bde
434,swing,swing
435,breathe,breeth
436,dinosaur,dinosaur
437,cicada,cicada
438,detective,detective
439,three o clock,three o clock
440,stethoscope,stethoscope
441,three eggs,three eggs
442,duck,duck
443,hole,hoe
444,grasshopper,grassshopper
445,frog,frog
446,clown,clown
447,smile,smile
448,garden,garden
449,two eggs,two eggs
450,ride,ridd
451,swing,swn
452,gorilla,gorila
453,moustache,mousttachehe
454,three eggs,three eggs
455,one,one
456,carpet,carpet
457,attack,attack
458,thermometer,bt
459,banana,banana
460,garden,garden
461,treasure,treasure
462,snake,snake
463,bag,bag
464,hippopotamus,hippopotamus
465,fur,fur
466,potato,potaa
467,sprout,sprout
468,food,fog
469,hill,hil
470,potato,potato
471,swing,swing
472,duck,duck
473,tomato,marto
474,cheese,thwese
475,no,no
476,mountain,muntn
477,circus,circus
478,butterfly,butterfly
479,cloud,clau
480,cucumber,cucumber
481,martian,martian
482,drink,drink
483,garden,garden
484,treasure,traure
485,one egg,one egg
486,three,three
487,tonight,tonight
488,key,key
489,ride,ride
490,six,si x
491,sprout,sprou
492,story,story
493,giraffe,girafe
494,four,four
495,rhinoceros,rhinoceros
496,wheel,whel
497,bag,bag
498,clown,clown
499,three o clock,three o clock
500,garden,garden
501,voice,vviice
502,binoculars,binoculars
503,martian,martian
504,watch,watch
505,grasshopper,grashhopper
506,three eggs,three eggs
507,story,story
508,crab,crab
509,bellybutton,belybutton
510,ten,ten
511,seven,seven
512,food,et
513,treasure,treasure
514,hair,hair
515,three,three
516,that,cad
517,spade,spade
518,breathe,breathe
519,splash,splash
520,mountain,mountain
521,vegemite,vegemmit
522,smile,smiele
523,caterpillar,caterpilar
524,card,card
525,coconut,coconutt
526,cicada,cicada
527,owl,owl
528,martian,martian
529,canoe,canoe
530,treasure,
531,three cups,three cups
532,stethoscope,stethoscope
533,sausage,sausage
534,three o clock,three o clock
535,skirt,skirt
536,pig,pig
537,foot,fot
538,one cup,one cup
539,vegemite,egeemite
540,tail,taiil
541,jam,jamm
542,vanilla,vanilla
543,zoo,zwo
544,australia,australia
545,yoyo,yoyo
546,food,fod
547,ride,ride
548,detective,detective
549,six,six
550,fish,fi
551,banana,banana
552,tonight,tonight
553,four,our
554,spiderweb,spiderweb
555,garage,garrage
556,bird,bird
557,garden,
558,frog,frog
559,tooth,toth
560,clown,clown
561,three eggs,three eggss
562,elephant,elephant
563,one cup,one cup
564,skirt,skirt
565,card,card
566,two,twoo
567,nose,nose
568,attack,attack
569,rhinoceros,rhin
570,key,two
571,garden,garden
572,light,light
573,garage,garage
574,cub,cub
575,feather,feather
576,boat,boat
577,cow,cow
578,two,t
579,hair,hair
580,light,light
581,story,story
582,spaghetti,spagheti
583,vanilla,vanila
584,tail,tail
585,circus,circus
586,cow,cow
587,bird,bird
588,sausage,sausage
589,coconut,cocout
590,key,key
591,hole,hole
592,stethoscope,stethoscope
593,seven,seven
594,three cups,three cups
595,bellybutton,belllybuton
596,beard,beard
597,giraffe,giraaffe
598,nine,nine
599,bag,bag
600,no,no
601,shell,s
602,six,six
603,martian,tian
604,binoculars,binoculars
605,cub,cu
606,leaf,leath
607,hole,hole
608,fur,fur
609,crab,crab
610,bird,bird
611,four eggs,four eggs
612,boat,boat
613,mountain,mountain
614,magician,manician
615,martian,martian
616,no,no
617,one cup,one cup
618,boy,boy
619,kitchen,kitchen
620,straw,straw
621,fish,fish
622,fish,fish
623,spiderweb,spiderweb
624,doll,dol
625,spaghetti,asgheti
626,one o clock,one o clak
627,short,short
628,ride,ride
629,story,story
630,stethoscope,stethhoscope
631,watermelon,watermelon
632,vegemite,vegemite
633,carpet,carpet
634,coconut,coconut
635,two o clock,two o clock
636,binoculars,binoculars
637,sausage,sausage
638,dessert,dessert
639,foot,foot
640,swing,swing
641,bird,bird
642,coconut,coconut
643,smile,smile
644,tomato,tomato
645,vegemite,vegemite
646,cheese,chese
647,girl,girl
648,six,ssix
649,pig,pig
650,butterfly,butterfly
651,detective,detective
652,three o clock,three o clock
653,duck,duck
654,dessert,dessert
655,nine,nine
656,tooth,twot
657,jam,jam
658,that,bag
659,four o clock,four o clock
660,three o clock,three o clock
661,girl,girl
662,key,key
663,pig,pig
664,two,two
665,straw,strw
666,swing,swing
667,watch,watch
668,hill,hil
669,play,play
670,gorilla,gorilla
671,circus,circus
672,play,by
673,garden,garden
674,seven,seven
675,banana,ba
676,duck,duck
677,four cups,four cups
678,pool,pl
679,one egg,one egg
680,hippopotamus,hippootamus
681,tooth,tw
682,breathe,breaethh
683,cow,cow
684,butterfly,butterfly
685,head,head
686,pig,pig
687,pool,pul
688,five,fv
689,treasure,treasure
690,stethoscope,stethoscope
691,tail,tail
692,mountain,mountain
693,sprout,sprout
694,doll,dol
695,watermelon,watermelon
696,spade,spade
697,duck,duck
698,fish,fish
699,four eggs,four eggs
700,canoe,ta
701,feather,feather
702,tonight,tonight
703,hole,hule
704,shell,shel
705,elephant,elephant
706,hippopotamus,hippopotamus
707,light,
708,ear,ear
709,leaf,he
710,six,six
711,clown,cloun
712,feather,feather
713,jam,jam
714,one cup,one cup
715,eight,bal
716,two o clock,two o clock
717,card,card
718,jam,jam
719,splash,splash
720,jam,jam
721,thumb,thumb
722,frog,frog
723,three,three
724,cub,cu
725,head,had
726,ride,ridee
727,tonight,tonight
728,grasshopper,grasshopper
729,carpet,carpet
730,one egg,one gg
731,kitchen,kitchen
732,cucumber,cucumber
733,binoculars,binocular
734,hippopotamus,hippotau
735,beard,beard
736,watch,watch
737,four o clock,ct
738,spiderweb,spiderweb
739,pie,pie
740,binoculars,binoculars
741,machine,machinee
742,nine,
743,zoo,zo
744,pool,pul
745,flowerpot,flowerpot
746,watermelon,watermelon
747,food,fod
748,yes,yes
749,vanilla,vanilla
750,swing,swing
751,cow,cow
752,sprout,sprout
753,balloon,ballloonn
754,ear,ear
755,fish,ss
756,potato,potato
757,watch,watch
758,snake,snake
759,ball,bal
760,shell,she
761,play,play
762,yes,
763,carpet,carpet
764,food,fod
765,wood,whte
766,sprout,sprout
767,thumb,thumb
768,four cups,four cups
769,watch,watch
770,cow,caow
771,spiderweb,spiderwe
772,moustache,moustacchee
773,bridge,bridge
774,nine,nn
775,straw,straw
776,vegemite,vegemittee
777,frog,frog
778,cucumber,cucumber
779,nine,nine
780,ten,ten
781,potato,potato
782,voice,voice
783,pool,pl
784,sprout,sprout
785,jam,t
786,sword,sworrd
787,fish,fish
788,garden,garden
789,voice,voice
790,coconut,coconut
791,chair,chair
792,carpet,carpet
793,moustache,moustachee
794,smile,smile
795,one egg,one egg
796,dessert,desert
797,three eggs,three eggs
798,snake,snake
799,ball,bal
800,moustache,moustachee
801,mouth,mou
802,cow,cow
803,attack,attack
804,thermometer,thermometer
805,vanilla,vanilla
806,five,f
807,bird,bird
808,sword,sword
809,swing,swing
810,two eggs,two eggs
811,doll,dol
812,canoe,canoe
813,hippopotamus,hippopotaamus
814,crocodile,crocodile
815,pig,pig
816,dessert,desert
817,nine,noe
818,straw,straw
819,light,light
820,snake,snake
821,thumb,thumb
822,story,story
823,breathe,breathe
824,pool,
825,chair,chair
826,giraffe,gf
827,zoo,zo
828,hippopotamus,hippopotamuss
829,thermometer,thermometer
830,frog,frog
831,boat,boat
832,nine,no
833,dessert,dessert
834,hole,hole
835,tonight,toniht
836,sausage,sausage
837,leaf,leaf
838,magician,magician
839,pool,pul
840,frog,rog
841,rhinoceros,rhinoceros
842,boat,birt
843,bridge,bridge
844,watermelon,watermelon
845,garage,grag
846,fish,fish
847,spade,she
848,coconut,coconut
849,two,
850,cheese,chese
851,light,light
852,pull,pul
853,banana,
854,car,car
855,wheel,hee
856,beard,beard
857,straw,stra
858,cub,carb
859,grasshopper,grasshopper
860,cheese,chese
861,hole,fo
862,short,short
863,light,light
864,foot,fot
865,one,one
866,one,one
867,seven,seven
868,wheel,hel
869,nine,nine
870,rhinoceros,rhinoceeros
871,jam,jam
872,hair,hair
873,owl,owl
874,fur,sfe
875,eight,height
876,crocodile,crocodile
877,dinosaur,dinnosaur
878,pig,pig
879,thermometer,thermomener
880,bag,bag
881,spade,spade
882,binoculars,binoculaar
