,target_text,pred_str
0,bird,bird
1,detective,etectes
2,short,thought
3,cloud,clo
4,that,o
5,pie,pa
6,xylophone,phone
7,four o clock,four o clock
8,potato,ptato
9,cow,cow
10,one cup,one cup
11,hair,he
12,one egg,on ig
13,snake,snake
14,thermometer,thectmter
15,mouth,mouthe
16,spaghetti,cot
17,snake,snake
18,four cups,four cups
19,tonight,to night
20,two,two
21,beard,bid
22,head,hig
23,cow,cow
24,banana,vanana
25,splash,splash
26,three,t
27,gorilla,garinna
28,wood,wood
29,wheel,will
30,four,four
31,machine,machhine
32,bag,bag
33,two cups,to cup
34,machine,macin
35,zoo,zu
36,zoo,zo
37,treasure,treasure
38,frog,fog
39,short,short
40,thermometer,o
41,short,shourt
42,food,food
43,boy,boy
44,tail,tal
45,shell,shell
46,head,head
47,light,light
48,splash,brashe
49,car,ka
50,carpet,carpet
51,sausage,soussige
52,duck,dog
53,sprout,spro
54,cucumber,cucumbar
55,martian,bason
56,spade,spade
57,play,a
58,pull,poule
59,key,
60,spiderweb,spiderwep
61,watch,watch
62,bag,bag
63,boat,boat
64,cloud,clow
65,eight,eight
66,spaghetti,bge
67,cart,caught
68,boy,boy
69,watch,warch
70,flowerpot,flowerpot
71,chair,chear
72,pull,phole
73,bag,bag
74,bridge,birge
75,gorilla,bailaa
76,breathe,breathes
77,sword,sard
78,cicada,zacata
79,sausage,sursage
80,butterfly,butterfly
81,crocodile,crocked ile
82,six,sex
83,circus,circase
84,seven,surven
85,vanilla,vailla
86,gorilla,boiler
87,martian,masshed
88,pool,pol
89,thermometer,themannitar
90,caterpillar,kattar pillor
91,yoyo,yaya
92,carpet,carpo
93,spiderweb,snaewab
94,attack,attack
95,four,four
96,hair,here
97,hippopotamus,kepapodmous
98,snake,snake
99,sprout,sprout
100,wheel,well
101,bag,bag
102,australia,ustraliaa
103,six,six
104,balloon,balon
105,chair,chear
106,hole,whole
107,treasure,treasure
108,tonight,tonight
109,yoyo,yoya
110,fish,fish
111,five,five
112,car,ka
113,rhinoceros,ro
114,seven,seven
115,three cups,three cups
116,banana,manannah
117,xylophone,cilphone
118,skirt,scirt
119,tomato,tomoro
120,sword,sard
121,drink,joake
122,crocodile,cocgd
123,straw,stor
124,kitchen,kitcen
125,tooth,tooth
126,no,no
127,gorilla,graa
128,four,four
129,two eggs,two egs
130,nose,nose
131,snake,snake
132,two eggs,two egs
133,wood,woud
134,cub,cub
135,cart,curt
136,seven,an
137,fur,fur
138,duck,duck
139,garden,garden
140,four o clock,four o clock
141,caterpillar,caterpiller
142,two o clock,tw o clock
143,rhinoceros,wynot
144,cow,k
145,one egg,oneg
146,zoo,zo
147,martian,mason
148,canoe,cannu
149,four eggs,four eggs
150,jam,jam
151,pie,pie
152,food,food
153,chair,cha
154,five,bive
155,two,to
156,mouth,mouth
157,potato,patato
158,sprout,prot
159,card,car
160,bellybutton,berly button
161,dessert,deser
162,bridge,bridge
163,vegemite,teomight
164,thermometer,saumar matter
165,crocodile,circkail
166,canoe,cannu
167,car,car
168,splash,splach
169,yes,yes
170,two o clock,two o clock
171,bellybutton,billy busto
172,kangaroo,kangarroo
173,yes,yeah
174,fish,fish
175,doll,dul
176,two,to
177,stethoscope,stuffiscroap
178,two o clock,two o clock
179,two o clock,dorcloup
180,yes,yes
181,boy,boy
182,crab,crab
183,hill,
184,two cups,two cups
185,nine,nine
186,story,story
187,garage,garage
188,skirt,sc
189,caterpillar,caarpill
190,garage,gaadge
191,doll,d
192,grasshopper,grasshauppar
193,cloud,cloud
194,rhinoceros,noforus
195,ball,bol
196,key,t
197,magician,magition
198,treasure,tata
199,key,k
200,owl,ow
201,pool,pole
202,tooth,tooth
203,one cup,one cu
204,jam,jam
205,balloon,baloone
206,five,five
207,xylophone,zlaphone
208,cloud,cloud
209,two o clock,two o clock
210,boy,boy
211,chair,chear
212,yoyo,yoh yo
213,dessert,deser
214,magician,mogciion
215,bellybutton,pareboter
216,cloud,plowd
217,hippopotamus,popatmas
218,three,spe
219,caterpillar,cattarpiller
220,voice,voice
221,drink,drank
222,mouth,mouth
223,circus,circuss
224,treasure,cuci
225,three cups,three cups
226,ball,bol
227,four cups,four cups
228,rhinoceros,runar
229,duck,doc
230,wood,wod
231,bag,bag
232,thermometer,parmammdo
233,card,card
234,dinosaur,dinosar
235,nine,nine
236,bag,bag
237,three cups,three cups
238,coconut,cacana
239,gorilla,cila
240,girl,gran
241,tonight,tonight
242,canoe,can
243,martian,mash
244,martian,marso
245,pull,poule
246,wood,wod
247,banana,banana
248,eight,
249,nine,nine
250,machine,machinee
251,frog,plog
252,butterfly,buterfly
253,caterpillar,catarpillor
254,five,five
255,hole,whold
256,owl,ow
257,xylophone,thilouon
258,stethoscope,o
259,one,
260,short,sur
261,canoe,canew
262,jam,j
263,spiderweb,spider wab
264,smile,smile
265,crocodile,cacadil
266,spaghetti,spigar
267,four o clock,four clock
268,no,no
269,girl,girl
270,three cups,three cops
271,detective,detechif
272,wood,wod
273,four eggs,fourlegs
274,hippopotamus,hepa
275,detective,detective
276,duck,tduck
277,zoo,zu
278,four cups,four cups
279,five,five
280,doll,dul
281,hill,hill
282,four,our
283,kangaroo,kangaroo
284,hippopotamus,hippopottuless
285,cucumber,to combac
286,ride,ride
287,butterfly,buterflie
288,swing,swing
289,pull,pol
290,grasshopper,grass happa
291,flowerpot,sanmar pot
292,kangaroo,kangarroo
293,magician,mosa
294,splash,splash
295,seven,seven
296,light,light
297,chair,c
298,four cups,for cups
299,hill,chel
300,one,
301,food,third
302,tooth,tooth
303,breathe,breathe
304,carpet,carpo
305,vegemite,tehe might
306,butterfly,butterfly
307,leaf,lef
308,cucumber,cucamber
309,one egg,oneeg
310,clown,con
311,tail,tal
312,girl,go
313,wheel,well
314,that,that
315,two cups,two cups
316,seven,seven
317,duck,duck
318,three,three
319,cheese,cheathe
320,stethoscope,carco
321,short,co
322,fur,fur
323,four eggs,for egs
324,boy,boy
325,vegemite,pegyou might
326,magician,magition
327,zoo,z
328,pig,pig
329,cheese,chease
330,carpet,cart
331,tonight,tonighe
332,duck,duck
333,potato,itat
334,shell,shell
335,two cups,two cups
336,flowerpot,flowerpot
337,car,car
338,wood,wod
339,gorilla,garilla
340,bridge,
341,caterpillar,collorpiller
342,sausage,soussighe
343,three eggs,threhegs
344,that,that
345,flowerpot,flower pot
346,bridge,bridge
347,four,por
348,frog,frog
349,no,no
350,stethoscope,eecat
351,mouth,mouth
352,tooth,tooth
353,seven,seven
354,foot,foot
355,story,story
356,sword,sard
357,frog,fog
358,butterfly,bifer
359,spaghetti,spca
360,thermometer,themommetter
361,dessert,desert
362,cucumber,cucumbar
363,coconut,corknut
364,tomato,tomortow
365,spade,wiaspaide
366,doll,do
367,boat,boat
368,grasshopper,grass hoppl
369,three,three
370,martian,marshon
371,gorilla,garilla
372,australia,ustraia
373,australia,astaa
374,caterpillar,catpilla
375,sprout,spot
376,pull,poule
377,cow,cowl
378,cow,ca
379,four cups,four cups
380,one,one
381,hair,he
382,potato,patato
383,bird,bid
384,thumb,fam
385,garden,garden
386,watch,wachh
387,dessert,desurt
388,hippopotamus,hipopos
389,girl,gil
390,that,what
391,tomato,tomarto
392,breathe,breathe
393,girl,girl
394,zoo,zu
395,boat,b
396,cheese,cheese
397,leaf,met
398,grasshopper,wassop
399,grasshopper,crosuper
400,balloon,balloon
401,one,one
402,three,three
403,thermometer,fhamommater
404,seven,si
405,drink,drink
406,hole,ho
407,wheel,well
408,drink,drink
409,bird,bird
410,australia,ustralia
411,owl,
412,three,fre
413,carpet,carpet
414,australia,straa
415,dessert,dousur
416,frog,frog
417,ten,ten
418,machine,machine
419,chair,c
420,garden,garden
421,treasure,treasure
422,mouth,moute
423,four,for
424,foot,fot
425,skirt,scart
426,moustache,moustache
427,spaghetti,p
428,beard,b
429,potato,patoto
430,food,fed
431,machine,methane
432,six,six
433,nine,di
434,swing,swing
435,breathe,breathe
436,dinosaur,dinosa
437,cicada,sicado
438,detective,detective
439,three o clock,three o clock
440,stethoscope,detscoarp
441,three eggs,freeggs
442,duck,duckk
443,hole,hole
444,grasshopper,brass hopper
445,frog,frog
446,clown,cn
447,smile,smile
448,garden,caen
449,two eggs,two egs
450,ride,rde
451,swing,swing
452,gorilla,garila
453,moustache,ma
454,three eggs,three eggs
