,target_text,pred_str
0,jack held the magnets over his,jack heled mines over his
1,wolfman,woolfman
2,into,into
3,no one could hear anything people were getting in car accidents and,no one could hear anything people were getting ing car accidents and
4,shipshape,shipshowed
5,four,four
6,thursdays,thursdays
7,poets,poets
8,the,the
9,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wat
10,ensures,ensures
11,loathe,lothes
12,k,k
13,six six four seven four two,six six four seven four two
14,well,will
15,side,side
16,do research about eyesight,do research about icefide
17,briefcase,brieafcave
18,on,on
19,how,how
20,them,them
21,maui,mau
22,gravestone,gravestode
23,wait,
24,up,up
25,if you like it or else you will be sorry,if you like it or else you will be sory
26,could,coed
27,she put her things in to her backpack the plane landed,she put her things into her back pack the airplan landed
28,she,she
29,across,across
30,weekdays,weekdays
31,quiet,quiet
32,five,ive
33,a yacht slid around the point into the bay,a yaocht slid around the point into the bay
34,ands husbands,bands husbands
35,oh no said said chief sanders just when things were go going good in franksville,oh no said said chief sounders just one things were gon go ing good in franksville
36,oozing,noiselad
37,concrete,cawntreey
38,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red
39,what,what
40,soon a bird came hopping by,soon a boad came hup in bu
41,three five six four seven six,three five six four seven six
42,cashflow,cashflow
43,there jo was mistaken for next day she made a discovery which produced a tempe tempest,there job was mistaken for a next day she made a scovery which prduced attemt tempest
44,unearthed,unearthed
45,no no please don't play your old flute begged doctor wong but it was too late john had started playing,no no please don't play yer old flute beged doctor wong but it was too late john had started playing
46,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things,and you know what those stupid jurbles didn't even thank me they just ran on that stupid wheel and did stupid things
47,regime,argeen
48,maui,maui
49,is,is
50,the ends,ends
51,rouge,rouge
52,jacob,jakeob
53,racer was so happy that he could run as fast as that he ran and ran in circles,racer was so happy that he could run has fast as that he ran and ran in circles
54,he alway,he always
55,it's not that you aren't selling enough stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs is a great advertising campaign,it's not that you are selling enough stuffs panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoon needs as a great advertizing campan
56,knew,vew
57,what,what
58,cowherd,cowherd
59,showed,showd
60,and,and
61,with,with
62,can share,mar
63,smooths,smooths
64,snake,snake
65,stallsmith,stallsmith
66,put the red en at,put the read and
67,aunt grace said to mark and christi terry at the n a c s a,ant grace said to mark and christi tery at the in a si es ay
68,newslink,newswoork
69,we all looked at each other other trying to glean something each from the other,we all looked at each ofour other trying to glean something each from the other
70,red,red
71,too,two
72,but how many millions of creatures there must have been,but how many millions of creatures there must have been
73,mouthpart,mouthparke
74,isn't he known as the most brilliant journalist in new york,isn't he known as the most brilliaun't jurnaleist o new york
75,red,ri
76,i'll i will use,all i will use
77,ou the brown house was on fire to the attic,own the brown house was on fire to the attic
78,lion,lion
79,the water is bad to drink,the water is bad to drink
80,boyhood,boyhood
81,uh,oak
82,every four years turtles from all over the land would crawl to great pond,every four years turtles from all over the land would crawl to great pond
83,dolphin,dolphin
84,e ancient coin was quite dull and warm w,e ancient coin was quite dull and wormth
85,not even with her wrath the girl's ins insolence couldn't wholly overcome her wonder,not even with her rast the girl's and insalence couldn't wholly over come her wonder
86,guru,guru
87,as they paddled small,has they puddles  mol
88,there jo was mistaken for the next day she made a discovery which produced a tempest,there joe was mistaken for the next day she made a discovery which produced atempest
89,o,e
90,whirlwind,worlwind
91,obverse,forse
92,youth,rushe
93,divided by,devarbar
94,layout,wayo
95,outcry,outcry
96,justin replied i promise that if we find the perfect hat i'll wear it everyday,justin iplided i promise that if we find the perfect hat i'll wear it everyday
97,volume,volume
98,transverse,tthreonsupers
99,gracious ain't that an awful lot of money exclaimed david david crockett davy crockett,gracous ain't that in awful lot of money exclaimed david david cracket baby cracked
100,bathgate,bafthcade
101,a turtle as young as you can be so slow even when,a turtle as young as you can be so slow even when
102,anxious,ansious
103,playing,ben
104,zero eight seven eight six five,zero eight seven eight six five
105,gest,gesst
106,fusion,fusion
107,it to take,to take
108,so with swish they thought maybe just maybe he could bring the back the turtle cup,so with swish they thought mabe just maybey he could bring tback the turtle cut
109,shots,shots
110,flies,flies
111,the tall and lumpy miss nelson didn't speak er said the kids her throat must be sore are you sure you're well enough said mr blandsworth she's sure said all the kids,the tallumpa ms neldlson didn't speek ear said the kids her throat must be swre are you sure you rewell enough aid mr balswod she's sure said all the kids
112,the r river was,whe river was
113,your great grandma came here i'm glad your your my gram grandma too i said,your groet grandma came here i'm glad yheure your my grant grandma too i said
114,he filled the marbles,he filled the marbles
115,showing,showied
116,bluejay,qlugay
117,the box of tacks fell,the box of tacx ville
118,said t'was would be best to ask the owl then closed his eye,said twas would be best to ask the howl then closed his ey
119,rhythmic,rhthmic
120,uhm hello hello mud mud still didn't answer in fact mud was sound asleep mud had actually sung himself to sleep,uhm hello hello mud mud still didn't answer in fact mud was sound asleep mud hased actually song himself to sleep
121,the odor of spring makes h makes,the yoager of spring makes hminks
122,longleaf,longleaf
123,uncle don took everyone,how good dog took everyone
124,can i use,can i use
125,and that made his mom roll her eyes,and that made his mom roaw ariese
126,at a red apple jack wiggled the magnet the apple did not move,at a red apple jack wiggoed the maghiment the eppl did not move
127,showing,showing
128,flagship,flagship
129,was,was
130,grey,grey
131,she lives with her brothers in the deep south,she lives with her brothers in the dep seoulth
132,stillness,stillness
