,target_text,pred_str
0,jack held the magnets over his,jack heled mines over his
1,wolfman,wolfman
2,into,into
3,no one could hear anything people were getting in car accidents and,no one could hear anything people were gettinging cor accidents and
4,shipshape,shipshowe
5,four,four
6,thursdays,thursdays
7,poets,poets
8,the,the
9,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and waiyt
10,ensures,ensures
11,loathe,lothes
12,k,c
13,six six four seven four two,six six four seven four two
14,well,wll
15,side,side
16,do research about eyesight,do research about icite
17,briefcase,briefhcase
18,on,on
19,how,how
20,them,them
21,maui,mouthe
22,gravestone,gravestode
23,wait,
24,up,up
25,if you like it or else you will be sorry,if you like it or else you will be sorry
26,could,could
27,she put her things in to her backpack the plane landed,she put her things into her backpack the airpla landed
28,she,she
29,across,across
30,weekdays,weekdays
31,quiet,quiet
32,five,ive
33,a yacht slid around the point into the bay,a yacht slid around the point into the bay
34,ands husbands,bands husbands
35,oh no said said chief sanders just when things were go going good in franksville,oh no said said chief sounders just one things were gon going good in franksville
36,oozing,noyshan
37,concrete,cowntre
38,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red
39,what,what
40,soon a bird came hopping by,soon a bord came hup in t bak
41,three five six four seven six,three five six four seven six
42,cashflow,cashflow
43,there jo was mistaken for next day she made a discovery which produced a tempe tempest,there jo was mistaken for a next day she made a dscovery which produced attempt tempest
44,unearthed,un earthed
45,no no please don't play your old flute begged doctor wong but it was too late john had started playing,no no please don't play your old flute begged doctor wong but it was too late john had started playing
46,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things,and you know what those stupid jurbles didn't even thank me they just ran on that stupid wheel and did stupid things
47,regime,orsjean
48,maui,maui
49,is,is
50,the ends,ends
51,rouge,rouge
52,jacob,jakob
53,racer was so happy that he could run as fast as that he ran and ran in circles,racer was so happy that he could run as fast as that he ran and run in circles
54,he alway,he always
55,it's not that you aren't selling enough stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs is a great advertising campaign,it's not that you are selling enough stuff to panda bears it's just that there haven't ben enough people coming to see you in the first place i think what the zoon needs as a great advertizing campan
56,knew,knew
57,what,what
58,cowherd,cowherd
59,showed,shoowed
60,and,and
61,with,with
62,can share,meir
63,smooths,smooths
64,snake,snake
65,stallsmith,stallsmith
66,put the red en at,put the read a e
67,aunt grace said to mark and christi terry at the n a c s a,aunt grace said to mark and christi tari at the in a ci ess a
68,newslink,newswoork
69,we all looked at each other other trying to glean something each from the other,we all looked at each ofer other trying to glean something each from the other
70,red,red
71,too,two
72,but how many millions of creatures there must have been,but how many millions of creatures there must have been
73,mouthpart,mouthparke
74,isn't he known as the most brilliant journalist in new york,isn't he nown as the most brillieant jurnalest tin new york
75,red,re
76,i'll i will use,all i will use
77,ou the brown house was on fire to the attic,oun the brown house was on fire to the attic
78,lion,lion
79,the water is bad to drink,the water is bad to drink
80,boyhood,boyhood
81,uh,o
82,every four years turtles from all over the land would crawl to great pond,every four years turtles from all over the land would crawl to great pond
83,dolphin,dolphin
84,e ancient coin was quite dull and warm w,he ancient coin was quite dull and warm
85,not even with her wrath the girl's ins insolence couldn't wholly overcome her wonder,not even with her rawth the girl's and incealeance couldn't holly overcome her wonder
86,guru,guru
87,as they paddled small,has they puddles mo
88,there jo was mistaken for the next day she made a discovery which produced a tempest,there joe was mistaken for the next day she made a discovery which produced a tempest
89,o,au
90,whirlwind,worlwind
91,obverse,first
92,youth,youth
93,divided by,da vardabar
94,layout,layout
95,outcry,outcry
96,justin replied i promise that if we find the perfect hat i'll wear it everyday,justin pluded i promise that if we find the perfect hat i'll wear it everyday
97,volume,volume
98,transverse,thdronsuewers
99,gracious ain't that an awful lot of money exclaimed david david crockett davy crockett,gracious ain't that an awful lot of money exclaimed david david crocket daby cracke
100,bathgate,bathcate
101,a turtle as young as you can be so slow even when,a turtle as young as you can be so slow even when
102,anxious,angchious
103,playing,ben
104,zero eight seven eight six five,zero eight seven eight six five
