,target_text,pred_str
0,the dear old bishop was thrust into trouble with the self absorbed mayor,the dear old bishop was thrust into trouble with the self absorbed mayor
1,don't breathe a word of this but the topic of jeff's speech is beginning to annoy me,don't breathe a word of this but the topic of jeff's speech is beginning to annoy me
2,mr boyd says these practical jokes have been taken much too far,he flew round in an instant to look his attacker square in the eye
3,the table is badly glued and made so sloppily that it tilts,the table is badly glued and made so sloppily that it tilts
4,alan took a ham sandwich to school,alan took a ham sandwich to school
5,unfortunately the bath plug is missing so you'll have to take a shower,unfortunately the bath plug is missing so you'll have to take a shower
6,this year i shall paint this room mauve with a splotch of beige dots,this year i shall paint this room mauve with a splotch of beige dots
7,don't you think her evening gown was a trifle too garish for the occasion,don't you think her evening gown was a trifle too garish for the occasion
8,after a gaffe like that it is futile to offer any further resistance isn't it,after a gaffe like that it is futile to offer any further resistance isn't it
9,amongst her friends at the glebe baths she was considered beautiful,amongst her friends at the glebe baths she was considered beautiful
10,the table is badly glued and made so sloppily that it tilts,the table is badly glued and made so sloppily that it tilts
11,the dwarf's throne was in a huge castle encircled by a deep moat,the dwarf's throne was in a huge castle encircled by a deep moat
12,bill could have sat on the train like a zombie but chose to stand,bill could have sat on the train like a zombie but chose to stand
13,don't you think her evening gown was a trifle too garish for the occasion,don't you think her evening gown was a trifle too garish for the occasion
14,john could supply him with the latest draft of his work to proof read,john could supply him with the latest draft of his work to proof read
15,this new glove and shoe display attracts more customers than ever,this new glove and shoe display attract more customers than ever
16,she'll think of an excuse why she overslept if given enough time and space,she'll think of an excuse why she overslept if given enough time and space
17,i'll thrash out a draft and lodge those new proposals before the next mass meeting,i'll thrash out a draft and lodge those new proposals before the next mass meeting
18,he glimpsed the badge of the traffic cop out of the corner of his eye,he glimpsed the badge of the traffic cop out of the corner of his eye
19,the flag ceremony overwhelmed me and i was moved to tears,the flag ceremony overwhelmed me and i was moved to tears
20,we're glad that the price range is smaller than any of us expected,we're glad that the price range is smaller than any of us expected
21,the end,the end
22,a squirt of this ointment will soothe the graze on your heel,a squirt of this ointment will soothe the graze on your heel
23,alan took a ham sandwich to school,alan took a ham sandwich to school
24,this new glove and shoe display attracts more customers than ever,this new glove and shoe display attracts more customers than ever
25,my mother gets cross when they say yeah instead of yes,my mother gets cross when they say yeah instead of yes
26,she'll think of an excuse why she overslept if given enough time and space,she'll think of an excuse why she overslept if given enough time and space
27,actually i'll hedge my bets and take no risks on this flutter,actually i'll hedge my bets and take no risks on this flutter
28,we're glad that the price range is smaller than any of us expected,we're glad that the price range is smaller than any of us expected
29,i think i'll go tomorrow he said to himself but then again perhaps i won't it's so nice and snug here i guess i'll go back to my hole under the log for a while before i make up my mind,i think i'll go tomorrow he said to himself but then again perhaps i won't it's so nice and snug here i guess i'll go back to my hole under the log for a while before i make up my mind
30,bill could have sat on the train like a zombie but chose to stand,bill could have sat on the train like a zombie but chose to stand
31,unfortunately the bath plug is missing so you'll have to take a shower,unfortunately the bath plug is missing so you'll have to take a shower
32,who says itches are always so tempting to scratch,who says itches are always so tempting to scratch
33,helen picked a good spot near the water and spent the morning surfing and relaxing in the sun,helen picked a good spot near the water and spent the morning surfing and relaxing in the sun
34,don't breathe a word of this but the topic of jeff's speech is beginning to annoy me,don't breathe a word of this but the topic of jeff's speech is beginning to annoy me
35,most of the scenes filmed on location in the alps were breathtaking,most of the scenes filmed on location in the alps were breathtaking
36,we'd be hard pushed for the whole squad to catch the bus to springwood tonight,we knew hard wish that the whole squad would catch the bus to springwood tonight
37,the length of her skirt caused the passers by to glare,the length of her skirt caused the passers by to glare
38,john could supply him with the latest draft of his work to proof read,john could sigh he hit the list after his work to proof read
39,troy flicks through a yuppie magazine when he gets a chance,roy flicks through a young magazine and he gets a chance
40,the end,the end
41,it seems as if susan does all the floor cleaning for this frugal household,it seems as if susan does all the floor cleaning for this frugal household
42,sharon vowed never again to sneer at tourists buying souvenir dolls,sharon vowed never again to sneer at tourists buying souvenir dolls
43,he flew round in an instant to look his attacker square in the eye,he flew round in an instant to look his attacker square in the eye
44,the plane flew down low over the runway then increased speed and circled the airfield a second time,the plane flew down low over the runway then increased speed and circled the airfield a second time
45,alan took a ham sandwich to school,alan took a ham sandwich to school
46,enjoying her freedom amelia went to the zoo and saw a rare giant sloth,enjoy her freedom amelia went to the zoo and saw a rare giant sloth
47,john could supply him with the latest draft of his work to proof read,john could supply him with the latest draft of his work to proof read
48,the grass was mown before the uncontrollable children came out to play,the grass was mown before the uncontrollable children came out to play
49,bill could have sat on the train like a zombie but chose to stand,bill could have sat on the train like a zombie but chose to stand
50,the dear old bishop was thrust into trouble with the self absorbed mayor,the dear old bishop was thrust into trouble with the self absorbed mayor
51,you ought to brush your teeth and wash your face before you go to bed,you ought to brush your teeth and wash your face before you go to bed
52,the earth used to be flat but now it's a sphere isn't it,the earth used to be flat but now it's a sphere isn't it
53,the nurse tended the fierce looking flesh wound on paul's scalp,the nurse tended the fierce looking flesh wound on paul's scalp
54,we're glad that the price range is smaller than any of us expected,we're glad that the price range is smaller than any of us expected
55,the flag ceremony overwhelmed me and i was moved to tears,the flag ceremony overwhelmed me and i was moved to tears
56,this new glove and shoe display attracts more customers than ever,this new glove and shoe display attracts more customers than ever
57,i'll thrash out a draft and lodge those new proposals before the next mass meeting,i'll thrash out a draft and lodge those new proposals before the next mass meeting
58,he hurled several stones from the bridge whilst i quickly ran for cover,he hurled several stones from the bridge whilst i quickly ran for cover
59,judith found the three manuscripts waiting for her on the piano,judith found the three manuscripts waiting for her on the piano
60,helen picked a good spot near the water and spent the morning surfing and relaxing in the sun,helen picked a good spot near the water and spent the morning surfing and relaxing in the sun
61,the table is badly glued and made so sloppily that it tilts,the table is badly glued and made so sloppily that it tilts
62,he grabbed a towel and then answered the phone by the clock,he grabbed a towel and then answered the phone by the clock
63,troy flicks through a yuppie magazine when he gets a chance,troy flicks through a yuppie magazine when he gets a chance
64,we're glad that the price range is smaller than any of us expected,we're glad that the price range is smaller than any of us expected
65,a squirt of this ointment will soothe the graze on your heel,a squirt of this ointment will soothe the graze on your heel
66,the dear old bishop was thrust into trouble with the self absorbed mayor,the dear old bishop was thrust into trouble with the self absorbed mayor
67,actually i'll hedge my bets and take no risks on this flutter,actually i'll hedge my bets and take no risks on this flutter
68,john could supply him with the latest draft of his work to proof read,john could supply him with the latest draft of his work to proof read
69,the truth is i wish i lived a little bit nearer to the supermarket,the truth is i wish i lived a little bit nearer to the supermarket
