,target_text,pred_str
0,he flew round in an instant to look his attacker square in the eye,he flew round in an instant to look his attack a square in the ey
1,we're glad that the price range is smaller than any of us expected,were glad that the price range is smeller than any of us expected
2,he hurled several stones from the bridge whilst i quickly ran for cover,he heurled several stones from the bridge whilst doy quickly ran for cover
3,troy flicks through a yuppie magazine when he gets a chance,toy flicks through a yappy magazeine when he gets a chance
4,thank goodness it's friday and time to go home,thank goodness it's friday and time to go home
5,the length of her skirt caused the passers by to glare,the length of her spcirt caused the passes by to glear
6,unfortunately the bath plug is missing so you'll have to take a shower,unfortunatly the barthplug is missing so you'll have to take a shower
7,the earth used to be flat but now it's a sphere isn't it,the earth used to be flat but now it's a feair isn'tit
8,don't breathe a word of this but the topic of jeff's speech is beginning to annoy me,don't bray the word of this but the toppic of jeff's speach is beginning to annoy me
9,this new glove and shoe display attracts more customers than ever,this new glove and shue display atracts more custamers than ever
10,most of the scenes filmed on location in the alps were breathtaking,most of the ceenes filmed on location in the olps were breath taking
11,john could supply him with the latest draft of his work to proof read,john could supply him with the lightest graft of his work to profrade
12,a squirt of this ointment will soothe the graze on your heel,a squit of this ointment will soothe the graze on your heal
13,apparently bulldog terriers yap almost as much as chows,aparentely bull dog tarry is yep almost as much as chowls
14,enjoying her freedom amelia went to the zoo and saw a rare giant sloth,injoying her freedom ameilia went to the zoo and saw a raar johant sloff
15,please i feel too lethargic to wash up tonight,please i feel too lethogic to wach up tonight
16,after a gaffe like that it is futile to offer any further resistance isn't it,after a gift like that it is futile to offer any further resistance isnot
17,the chill wind caused the twins to shiver violently in their threadbare clothes,the chill wind caused the tweins to shiver videdly in their thread bear clothes
18,he flew round in an instant to look his attacker square in the eye,hey flew around in an instant to look at his attack  squeare in the ey
19,we're glad that the price range is smaller than any of us expected,we're glad that the prosce range is small smaller than any of us expected
20,he hurled several stones from the bridge whilst i quickly ran for cover,he helled several stones from the breege twels like quickly rain for cover
21,troy flicks through a yuppie magazine when he gets a chance,choy flicks through a yoppy magzane when he gets a chance
22,thank goodness it's friday and time to go home,thank goodness its friday ind time to get home
23,the length of her skirt caused the passers by to glare,the length of her skirt caused the paste bars to g
24,unfortunately the bath plug is missing so you'll have to take a shower,unfortunately the bothclug is missing so you'll have to take a shel
25,the earth used to be flat but now it's a sphere isn't it,the earth used to be flat but nw which sas the fate is just figr isn't it
26,this new glove and shoe display attracts more customers than ever,this new glove and shuwed sply attrackts more custamers than ever
27,most of the scenes filmed on location in the alps were breathtaking,most of the chaines filled on like hicean and the alps for bresht piking
28,john could supply him with the latest draft of his work to proof read,john could supply him with the lightest craft of his work to proof rate
29,a squirt of this ointment will soothe the graze on your heel,a squar of this ointment will soothe the graze on your tal
30,apparently bulldog terriers yap almost as much as chows,aparentely bull dog tarry is yet almost as much as chas
31,enjoying her freedom amelia went to the zoo and saw a rare giant sloth,injoying her freedom amellia went to the zoo and saw a red jaient sloff
32,please i feel too lethargic to wash up tonight,pleays i feel too lathagic to wash upf tonight
33,after a gaffe like that it is futile to offer any further resistance isn't it,after a gueft like that it is futill to offer any further resistance isn't it
34,the chill wind caused the twins to shiver violently in their threadbare clothes,the chill wind caused thwhich wins to shiver viantely in their fred bear clothes
35,he flew round in an instant to look his attacker square in the eye,hey flew around in an instant to look his attack  squeare in the ey
36,we're glad that the price range is smaller than any of us expected,we're glad that the price rainge is smearter han than any of us expected
37,he hurled several stones from the bridge whilst i quickly ran for cover,he held several stoines from the bridge whillst i quickly ran for cover
38,troy flicks through a yuppie magazine when he gets a chance,toyfic story a yupy maggzane when he gets a chance
39,thank goodness it's friday and time to go home,thank goodness it's friday and it's time to go home
40,the length of her skirt caused the passers by to glare,the length of her skirt caused the passes by to glar
41,unfortunately the bath plug is missing so you'll have to take a shower,unfortunatly the barthplug is missing so you'll have to take a showl
42,the earth used to be flat but now it's a sphere isn't it,the earth used to be flat but now it's a spel isn't it
43,don't breathe a word of this but the topic of jeff's speech is beginning to annoy me,do on't breh the word of this but the toppic of jeff's space is beginning to annoy ma
44,this new glove and shoe display attracts more customers than ever,this new glove and shre desplay it attracts more custamers than ever
45,most of the scenes filmed on location in the alps were breathtaking,most of the ceenes filrmed on the loacation in the ous wo breath taking
46,john could supply him with the latest draft of his work to proof read,john could supply him with the lightest draft of his work t tob profrade
47,a squirt of this ointment will soothe the graze on your heel,a squart of ointment will sevhe the grize on your hear
48,apparently bulldog terriers yap almost as much as chows,parnty bodog tariers ye almost as much as cept as chowls
49,enjoying her freedom amelia went to the zoo and saw a rare giant sloth,enjoying her freedom amealia went to the zoor and saw the red giants loff
50,please i feel too lethargic to wash up tonight,please i feel to rasagic to wash up tonight
51,after a gaffe like that it is futile to offer any further resistance isn't it,after a guf like that it is futile to offer any further resistance isn't it
52,the chill wind caused the twins to shiver violently in their threadbare clothes,the chi wind cause their twings to shiver viantly in their thred bear clow
53,he flew round in an instant to look his attacker square in the eye,he flew around in an instant to look his attack a squeare in the eye
54,we're glad that the price range is smaller than any of us expected,were glad that the prise range is smaller than any of us expected
55,he hurled several stones from the bridge whilst i quickly ran for cover,he herled several stones from the bridge whilest i ran quickran whilst y quickly ran for cover
