,target_text,pred_str
0,EMPLOYEES,EMPLOYEES
1,BILL HAS PURPLE GLASSES,BILL HAS PURPLE GLASSES
2,CULTURES,CULTURES
3,COWBOYS,COWBOYS
4,CATERPILLAR,CATERPILLAR
5,STARVE,STARVE
6,YOUR SHADOW ALWAYS FOLLOWS YOU,YOUR SHADOW ALWAYS FOLLOWS YOU
7,TWO SIX NINE ZERO TWO TWO ZERO,TWO SIX NINE ZERO TWO TWO ZERO
8,HAWTHORNE,HAWTHORNE
9,ABNORMAL,
10,ETHNIC,ETHNIC
11,BIOLOGY,BIOLOGY
12,COWBOYS,COWBOYS
13,STEPFATHER,STEPFATHER
14,TEN,TEN
15,NOTHING,NOTHING
16,I HAVE ICE CREAM FOR YOU,I HAVE ICE CREAM FOR YOU
17,HOOF,HOOF
18,GO INSIDE AND EAT YOUR DINNER,GO INSIDE AND EAT YOUR DINNER
19,THE COWS' HAY WAS NOT DRY YET,THE COWS' HAY WAS NOT DRY YET
20,PEOPLE LIKE TO SING IN CAIRO,PEOPLE LIKE PEOPLE LIKE TO SING  CINOR
21,THROWER,THROWER
22,WHY IS THE EARTH INSIDE THE MILKY WAY,WHY IS THE EARTH INSIDE THE MILKY WAY
23,EVERY MONTH I EAT SOME CHOCOLATE,EVERY MONTH I EAT SOME CHOCOLATE
24,I'M READY TO GO HOME,I'M READY TO GO HOME
25,ATTACK,COUCK
26,BIGFOOT,BIGFOOT
27,SHIRT,SHOCK
28,SUGGEST,SUGGEST
29,PUT THE KEY IN THE KEY HOLE,PUT THE KEY IN THE KEY HOLE
30,PASS THEIR NOTES ALONG,PASS THEIR NOTES ALONG
31,THOUSAND,THOUSAND
32,I'M GOOD WITH THINGS LIKE THAT,I'M GOOD WITH THINGS LIKE THAT
33,SKIRT,SKIRT
34,MY CLOTHES ARE WET FROM THE RAIN,MY CLOTHES ARE WET FROM THE RAIN
35,SLOGAN,SLOGAN
36,NINE,NINE
37,ONE CUP,ONE CUP
38,WILL BEETS STAIN MY PANTS,WILL BEETS STAIN MY PANTS
39,FIVE PEOPLE CAN FIT IN THE ELEVATOR,FIVE PEOPLE CAN FIT IN THE ELEVATOR
40,ASPIRE,ASPIRE
41,HE WAS REALLY NICE TO US,HE WAS REALLY NICE TO US
42,FOUR EGGS,FOUR EGGS
43,PUSH,PUSH
44,CIVILIZED,CIVILIZED
45,EAR,E
46,SPOONS,SPOONS
47,I HOPE THE AIRPLANE WILL GET HIGHER,I HOPE THE AIRPLANE WILL GET HIGHER
48,WHITE,WHITE
49,MABEL GROWS TOMATOES IN THE COURTYARD,MABEL GROWS TOMATOES IN THE COURTYARD
50,CHASING SALLY CAN BE DANGEROUS,CHASING SALLY CAN BE DANGEROUS
51,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
52,THROWER,THROWER
53,ONE NINE SEVEN FOUR THREE FIVE FOUR,ONE NINE SEVEN FOUR THREE FIVE FOUR
54,PUT THE KEY IN THE KEY HOLE,PUT THE KEY IN THE KEY HOLE
55,PAY ALBERT FOR THE FRESH WATER,PAY ALBERT FOR THE FRESH WATER
56,KANGAROO,KANGAROO
57,THANKS,THANKS
58,LIGHT,LIGHT
59,SAFEWAY,SAFEWAY
60,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
61,HOPEFUL,HOPEFUL
62,SAN DIEGO IS VERY GREEN THIS YEAR,SAN DIEGO IS VERY GREEN THIS YEAR
63,THAT PINK MARBLE COST ME A DOLLAR,THAT PINK MARBLE COST ME A DOLLAR
64,EMPLOYEES,EMPLOYEES
65,HEAD,HEAD
66,CIRCUMSTANCE,CIRCUMSTANCE
67,FOUR,FOUR
68,WHEN WILL WE GO ON VACATION,WHEN WILL WE GO ON VACATION
69,ZOO,ZOO
70,WEATHERPROOF,WEATHERPROOF
71,EATING BLUEBERRIES GIVES YOU BLUE HANDS,EATING BLUEBERRIES GIVES YOU BLUE HANDS
72,DESSERT,DESSERT
73,EMPLOYEES,EMPLOYEES
74,BREATH,BREATH
75,HOOF,HOOF
76,FOUR CUPS,FOUR CUPS
77,WITHDRAWN,WITHDRAWN
78,VANILLA,VANILLA
79,WASH,WASH
80,DIGESTED,DIGESTED
81,NAPKIN,NAPKIN
82,WILL YOU PLEASE BATHE,WILL YOU PLEASE BATHE
83,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
84,ABNORMAL,ABNORMAL
85,EVERY MONTH I EAT SOME CHOCOLATE,EVERY MONTH I EAT SOME CHOCOLATE
86,SUGGEST,SUGGEST
87,GO INSIDE AND EAT YOUR DINNER,GO INSIDE AND EAT YOUR DINNER
88,BOOMERANG,BOOMERANG
89,PICTURE,PICTURE
90,PUNISHMENT,PUNISHMENT
91,POOL,PL
92,SIR,SIR
93,WOMEN,WOMEN
94,ARE ZEBRAS JUST STRIPED HORSES,ARE ZEBRAS JUST STRIPED HORSES
95,FLAGPOLE,FLAGPOLE
96,WAGGING,WAGGING
97,HOURLY,HOURLY
98,I THOUGHT I HEARD NEW VOICES,I THOUGHT I HEARD NEW VOICES
99,OBVIOUS,OBVIOUS
100,COULD YOU PASS THE OTHER JAM PLEASE,COULD YOU PASS THE OTHER JAM PLEASE
101,UNFORTUNATE,UNFORTUNATE
102,MICROWAVES,MICROWAVES
103,NORMAL,NORMAL
104,CULTURES,CULTURES
105,HELP ME UNROLL THE NEW RUG,HELP ME UNROLL THE NEW RUG
106,LETHARGIC,LETHARGIC
107,CAR,CAR
108,TURN THE VOLUME ON THE RADIO DOWN,TURN THE VOLUME ON THE RADIO DOWN
109,ZUCCHINI,ZUCCHINI
