,target_text,pred_str
0,bird,bird
1,detective,etectives
2,short,shourt
3,cloud,clou
4,that,o
5,pie,paus
6,xylophone,zilophone
7,four o clock,four o clock
8,potato,petato
9,cow,cow
10,one cup,one cup
11,hair,hei
12,one egg,one ag
13,snake,snake
14,thermometer,the csummeter
15,mouth,mouthe
16,spaghetti,mascot
17,snake,snake
18,four cups,four cups
19,tonight,do not
20,two,two
21,beard,bid
22,head,hig
23,cow,cowl
24,banana,vanana
25,splash,splash
26,three,three
27,gorilla,garila
28,wood,wood
29,wheel,will
30,four,four
31,machine,machine
32,bag,bag
33,two cups,two cup
34,machine,macin
35,zoo,zou
36,zoo,zu
37,treasure,treasure
38,frog,fog
39,short,short
40,thermometer,temon
41,short,short
42,food,food
43,boy,boy
44,tail,tal
45,shell,shell
46,head,head
47,light,light
48,splash,brash
49,car,ka
50,carpet,carpet
51,sausage,sausage
52,duck,dog
53,sprout,spra
54,cucumber,cicumba
55,martian,basion
56,spade,spade
57,play,za
58,pull,pul
59,key,k
60,spiderweb,spiderwep
61,watch,watch
62,bag,bag
63,boat,birt
64,cloud,plow
65,eight,eight
66,spaghetti,begedy
67,cart,caught
68,boy,boy
69,watch,woch
70,flowerpot,flowpot
71,chair,chear
72,pull,pole
73,bag,bag
74,bridge,birc
75,gorilla,bailla
76,breathe,breathe
77,sword,soard
78,cicada,zacata
79,sausage,sussage
80,butterfly,butterfly
81,crocodile,crockeile
82,six,six
83,circus,circas
84,seven,seven
85,vanilla,veilla
86,gorilla,boilar
87,martian,mashed
88,pool,pol
89,thermometer,samannata
90,caterpillar,cata pillo
91,yoyo,yaya
92,carpet,cope
93,spiderweb,saddedweg
94,attack,attack
95,four,fou
96,hair,her
97,hippopotamus,kepa partomas
98,snake,snake
99,sprout,spridout
100,wheel,well
101,bag,bag
102,australia,astralia
103,six,six
104,balloon,balloon
105,chair,chair
106,hole,whole
107,treasure,treasure
108,tonight,tonoght
109,yoyo,yoarya
110,fish,fisch
111,five,five
112,car,ca
113,rhinoceros,rncas
114,seven,seven
115,three cups,three cups
116,banana,mananna
117,xylophone,siephod
118,skirt,skirt
119,tomato,tomoo
120,sword,soard
121,drink,dak
122,crocodile,cokogotd
123,straw,stor
124,kitchen,kitchen
125,tooth,tooth
126,no,no
127,gorilla,grata
128,four,four
129,two eggs,two eggs
130,nose,nois
131,snake,snake
132,two eggs,two egs
133,wood,would
134,cub,cub
135,cart,curt
136,seven,an
137,fur,fr
138,duck,duck
139,garden,garden
140,four o clock,four o clock
141,caterpillar,catapell
142,two o clock,to a clock
143,rhinoceros,wino
144,cow,ka
145,one egg,oneg
146,zoo,z
147,martian,marsom
148,canoe,conne
149,four eggs,four eggs
150,jam,jam
151,pie,pi
152,food,food
153,chair,che
154,five,five
155,two,to
156,mouth,mouth
157,potato,petato
158,sprout,sprot
159,card,card
160,bellybutton,billy button
161,dessert,desert
162,bridge,bridge
163,vegemite,pegi might
164,thermometer,samamitar
165,crocodile,cickeile
166,canoe,conni
167,car,ca
168,splash,splash
169,yes,yes
170,two o clock,two o clock
171,bellybutton,billy busto
172,kangaroo,cangarro
173,yes,yeah
174,fish,fish
175,doll,dull
176,two,to
177,stethoscope,stuffesgrap
178,two o clock,two o clock
179,two o clock,joocluck
180,yes,yes
181,boy,boyn
182,crab,crub
183,hill,so
184,two cups,two cups
185,nine,nine
186,story,story
187,garage,garage
188,skirt,sca
189,caterpillar,caopillo
190,garage,garadge
191,doll,dul
192,grasshopper,grasapa
193,cloud,cloud
194,rhinoceros,enohfor us
195,ball,bl
196,key,ch
197,magician,magition
198,treasure,teta
199,key,k
200,owl,ow
201,pool,pol
202,tooth,toh
203,one cup,one cu
204,jam,jamn
205,balloon,balloon
206,five,five
207,xylophone,zaliphone
208,cloud,cloud
209,two o clock,two o clock
210,boy,boy
211,chair,char
212,yoyo,yoyar
213,dessert,desert
214,magician,magicon
215,bellybutton,baebuo
216,cloud,plowd
217,hippopotamus,heppotomas
218,three,sp
219,caterpillar,cattpillor
220,voice,voice
221,drink,drink
222,mouth,mouth
223,circus,circass
224,treasure,carci
225,three cups,three cups
226,ball,bol
227,four cups,four cups
228,rhinoceros,runar
229,duck,duc
230,wood,wooud
231,bag,bag
232,thermometer,pamamd
233,card,ca
234,dinosaur,dinosaur
235,nine,nine
236,bag,bag
237,three cups,three cups
238,coconut,car cannot
239,gorilla,goilla
240,girl,ga
241,tonight,tonight
242,canoe,can
243,martian,masa
244,martian,masa
245,pull,pulle
246,wood,woud
247,banana,banana
248,eight,i
249,nine,nine
250,machine,machine
251,frog,plug
252,butterfly,butterfly
253,caterpillar,catapillo
254,five,five
255,hole,hole
256,owl,ow
257,xylophone,thy loon
258,stethoscope,stickgot
259,one,
260,short,surre
261,canoe,canew
262,jam,je
263,spiderweb,spider web
264,smile,smile
265,crocodile,cacdile
266,spaghetti,spigad
267,four o clock,four clock
268,no,no
269,girl,go
270,three cups,three cops
271,detective,de tecchive
272,wood,wooud
273,four eggs,fouregs
274,hippopotamus,hiparo
275,detective,detective
276,duck,duck
277,zoo,zu
278,four cups,four cups
279,five,five
280,doll,dull
281,hill,hill
282,four,for
283,kangaroo,cang
284,hippopotamus,hippopotuluss
285,cucumber,cocobc
286,ride,ride
287,butterfly,butofie
288,swing,swing
289,pull,pol
290,grasshopper,graparpa
291,flowerpot,samopart
292,kangaroo,cangarroo
293,magician,mosa
294,splash,splash
295,seven,sevven
296,light,light
297,chair,ch
298,four cups,for cups
299,hill,hl
300,one,
301,food,third
302,tooth,tooth
303,breathe,breathe
304,carpet,carpo
305,vegemite,vene might
306,butterfly,butterfly
307,leaf,leaf
308,cucumber,cilcumber
309,one egg,one eg
310,clown,con
311,tail,tal
312,girl,go
313,wheel,well
314,that,that
315,two cups,two cups
316,seven,seven
317,duck,duck
318,three,three
319,cheese,cheathe
320,stethoscope,tcarsasct
321,short,cha
322,fur,for
323,four eggs,four egs
324,boy,boy
325,vegemite,pigi ma
326,magician,magiton
327,zoo,z
328,pig,pig
329,cheese,chese
330,carpet,carte
331,tonight,tonie
332,duck,duck
333,potato,mitat
334,shell,shell
335,two cups,two cups
336,flowerpot,flowurpar
337,car,car
338,wood,woud
339,gorilla,garilla
340,bridge,
341,caterpillar,catopillor
342,sausage,sussage
343,three eggs,shreet egs
344,that,that
345,flowerpot,flower pot
346,bridge,bridge
347,four,po
348,frog,frog
349,no,n
350,stethoscope,pee
351,mouth,mouth
352,tooth,tooth
353,seven,seven
354,foot,foot
355,story,story
356,sword,sord
357,frog,fog
358,butterfly,vifher
359,spaghetti,spcked
360,thermometer,themomeater
361,dessert,deert
362,cucumber,cucumbar
363,coconut,carknat
364,tomato,tomodo
365,spade,spade
366,doll,
367,boat,bat
368,grasshopper,grashoppo
369,three,three
370,martian,mausin
371,gorilla,garrilla
372,australia,astralia
373,australia,astrallia
374,caterpillar,cat pilla
375,sprout,spou
376,pull,pol
377,cow,cowl
378,cow,ca
379,four cups,four cups
380,one,one
381,hair,he
382,potato,petato
383,bird,bid
384,thumb,fam
385,garden,garden
386,watch,watch
387,dessert,dusurt
388,hippopotamus,hippoamas
389,girl,gill
390,that,that
391,tomato,tomoto
392,breathe,brezhe
393,girl,girl
394,zoo,zu
395,boat,b
396,cheese,cheese
397,leaf,mayth
398,grasshopper,washorper
399,grasshopper,crosupper
400,balloon,baloon
401,one,one
402,three,three
403,thermometer,the momater
404,seven,sit
405,drink,drink
406,hole,o
407,wheel,well
408,drink,dink
409,bird,bird
410,australia,astralia
411,owl,al
412,three,free
413,carpet,cropet
414,australia,straa
415,dessert,deser
416,frog,frog
417,ten,ten
418,machine,machine
419,chair,cha
420,garden,gardon
421,treasure,tresur
422,mouth,moute
423,four,fou
424,foot,fort
425,skirt,sca
426,moustache,mistaghe
427,spaghetti,pide
428,beard,bi
429,potato,patato
430,food,fled
431,machine,methanee
432,six,six
433,nine,do
434,swing,sswing
435,breathe,breathe
436,dinosaur,dinosal
437,cicada,zicato
438,detective,detective
439,three o clock,thre o clock
440,stethoscope,deathscirt
441,three eggs,three eggs
442,duck,duck
443,hole,hole
444,grasshopper,brass huppe
445,frog,frog
446,clown,clan
447,smile,smile
448,garden,coulen
449,two eggs,two egs
450,ride,riede
451,swing,swing
452,gorilla,garila
453,moustache,ma
454,three eggs,three eggs
455,one,one
456,carpet,carp
457,attack,attack
458,thermometer,the mamata
459,banana,bananna
460,garden,garde
461,treasure,trea
462,snake,snake
463,bag,bag
464,hippopotamus,hippopottomas
465,fur,fur
466,potato,peteator
467,sprout,spro
468,food,tg
469,hill,hil
470,potato,patato
471,swing,swing
472,duck,duck
473,tomato,mata
474,cheese,chage
475,no,no
476,mountain,mountin
477,circus,circus
478,butterfly,buttefly
479,cloud,clow
480,cucumber,cilcumber
481,martian,massoom
482,drink,drink
483,garden,gota
484,treasure,treasure
485,one egg,wonig
486,three,tree
487,tonight,tonight
488,key,k
489,ride,age
490,six,six
491,sprout,srea
492,story,story
493,giraffe,durarfh
494,four,four
495,rhinoceros,rinas
496,wheel,will
497,bag,bag
498,clown,con
499,three o clock,fior clock
500,garden,gurden
501,voice,voice
502,binoculars,benotciors
503,martian,masso
504,watch,watch
505,grasshopper,groshupper
506,three eggs,three eggs
507,story,story
508,crab,crab
509,bellybutton,bellybratton
510,ten,ten
511,seven,seven
512,food,food
513,treasure,treasure
514,hair,h
515,three,flea
516,that,pa
517,spade,spide
518,breathe,breathe
519,splash,splash
520,mountain,mountain
521,vegemite,fedgilike
522,smile,smile
523,caterpillar,tpiller
524,card,car
525,coconut,coconat
526,cicada,scarta
527,owl,aw
528,martian,maso
529,canoe,canew
530,treasure,tra
531,three cups,three cups
532,stethoscope,stociscro
533,sausage,sousage
534,three o clock,three o clock
535,skirt,scorpt
536,pig,pe
537,foot,foot
538,one cup,one cup
539,vegemite,vision mi
540,tail,til
541,jam,jab
542,vanilla,venila
543,zoo,zu
544,australia,ustralia
545,yoyo,yan
546,food,soode
547,ride,rid
548,detective,detectives
549,six,see
550,fish,fish
551,banana,bananna
552,tonight,tonih
553,four,four
554,spiderweb,spidaway
555,garage,gage
556,bird,bird
557,garden,ca
558,frog,frog
559,tooth,tooth
560,clown,clon
561,three eggs,trea
562,elephant,elephant
563,one cup,one cup
564,skirt,kit
565,card,card
566,two,to
567,nose,norse
568,attack,attack
569,rhinoceros,rno
570,key,k
