,target_text,pred_str
0,jack held the magnets over his,jack held minas over his
1,wolfman,woolfman
2,into,into
3,no one could hear anything people were getting in car accidents and,no one could hear anything people were gettinging car acidents and
4,shipshape,shipshed
5,four,four
6,thursdays,thursdays
7,poets,poets
8,the,the
9,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden an wait
10,ensures,ensures
11,loathe,loathes
12,k,k
13,six six four seven four two,six six four seven four two
14,well,will
15,side,side
16,do research about eyesight,do research about ice ide
17,briefcase,brieafcase
18,on,on
19,how,how
20,them,them
21,maui,mauie
22,gravestone,greaestod
23,wait,y
24,up,up
25,if you like it or else you will be sorry,if you like it or else you will be sory
26,could,could
27,she put her things in to her backpack the plane landed,she put her things into her backpack the airplan landed
28,she,she
29,across,across
30,weekdays,weekdays
31,quiet,quiets
32,five,ive
33,a yacht slid around the point into the bay,a yacht slid around the point into the bay
34,ands husbands,bands husbands
35,oh no said said chief sanders just when things were go going good in franksville,oh no said said chief sounders just one things were go go ing good int franksville
36,oozing,kneowthen
37,concrete,colntree
38,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red
39,what,what
40,soon a bird came hopping by,soon a boatd came hup in bu
41,three five six four seven six,three five six four seven six
42,cashflow,cashflow
43,there jo was mistaken for next day she made a discovery which produced a tempe tempest,there jo was mistaken for e next day she made a dscovery which prduced attempt tempest
44,unearthed,un earthed
45,no no please don't play your old flute begged doctor wong but it was too late john had started playing,no no please don't play your old flute beged doctor wong but it was too late john had started playing
46,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things,and you know what those stupid jurbeles didn't even thank me they just ran on that stupid wheeal and did stupid things
47,regime,arzen
48,maui,maui
49,is,is
50,the ends,tend
51,rouge,roouge
52,jacob,jakob
53,racer was so happy that he could run as fast as that he ran and ran in circles,racer was so happy that he could run as fast as that he ran and run in circles
54,he alway,he allways
55,it's not that you aren't selling enough stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs is a great advertising campaign,it's not that you are selling enough stugf to panda bears it's just that therehaven't be enough people coming to see you in the first place i think what the zoon needs as a great advertizing campan
56,knew,knew
57,what,what
58,cowherd,cowherd
59,showed,showed
60,and,and
61,with,with
62,can share,mar
63,smooths,smooths
64,snake,snake
65,stallsmith,stallsmith
66,put the red en at,put the red an
67,aunt grace said to mark and christi terry at the n a c s a,aunt grace said to mark and christiy tery at the in a siy esay
68,newslink,newswook
69,we all looked at each other other trying to glean something each from the other,we all looke at each ofer other trying to glean something each from the other
70,red,red
71,too,two
72,but how many millions of creatures there must have been,but how many millions of creeatures there must have been
73,mouthpart,mouthparkt
74,isn't he known as the most brilliant journalist in new york,isn't he nown as the most brilliant jurnalist to new york
75,red,red
76,i'll i will use,all i will use
77,ou the brown house was on fire to the attic,own the brown house was on fire to the atic
78,lion,lion
79,the water is bad to drink,the water is bad to drink
80,boyhood,boyhood
81,uh,ook
82,every four years turtles from all over the land would crawl to great pond,every four years turtles from all over the land would crawl to great pond
83,dolphin,dolthin
84,e ancient coin was quite dull and warm w,e ancient coin was quite dull and warm
85,not even with her wrath the girl's ins insolence couldn't wholly overcome her wonder,not even with her rauth the girls and incelence couldn't holly overcome her wonder
86,guru,glueroug
87,as they paddled small,has they puddles moll
88,there jo was mistaken for the next day she made a discovery which produced a tempest,there jo was mistaken for the next day she made a discovery which produced a tempest
89,o,o
90,whirlwind,worelwind
91,obverse,forst
92,youth,roushe
93,divided by,devizybay
94,layout,wlayout
95,outcry,outcry
96,justin replied i promise that if we find the perfect hat i'll wear it everyday,justin plied i promise that if we find the perfect heat i'll wear it everyday
97,volume,volume
98,transverse,ththreen sueders
99,gracious ain't that an awful lot of money exclaimed david david crockett davy crockett,gracious ain't that an awfful lot of money ecxclaimed david david crocket daby crocket
100,bathgate,bahgate
101,a turtle as young as you can be so slow even when,a turtle as young as you can be so slow even when
102,anxious,angshious
103,playing,ben
104,zero eight seven eight six five,zero eight seven eight six five
105,gest,gest
106,fusion,fusion
107,it to take,to take
108,so with swish they thought maybe just maybe he could bring the back the turtle cup,so with swish they thought mabe just mabe he could bring th back the turtle cught
109,shots,shots
110,flies,flies
111,the tall and lumpy miss nelson didn't speak er said the kids her throat must be sore are you sure you're well enough said mr blandsworth she's sure said all the kids,the tallumpan m nlson didn't speek ear said the kids her throat must be sor are you sure you ou ere well enough nsaid mr balswold she' sure said all the kids
112,the r river was,re river was
113,your great grandma came here i'm glad your your my gram grandma too i said,your goed grandma came here i'm glad youre your my grantgrandima too i said
114,he filled the marbles,he filled the marbles
115,showing,showing
116,bluejay,eangery
117,the box of tacks fell,the box of taxs fell
118,said t'was would be best to ask the owl then closed his eye,said t was would be best to aske the owl then closed his ey
119,rhythmic,rythmic
120,uhm hello hello mud mud still didn't answer in fact mud was sound asleep mud had actually sung himself to sleep,uhm hellot hello mud mud still didn't answer in fact mud was sound a sleep mud hasnt actually song himself to sleep
121,the odor of spring makes h makes,the yarder of spring makes hmak s
122,longleaf,longleaf
123,uncle don took everyone,hunkca dog took everyone
124,can i use,can i use
125,and that made his mom roll her eyes,and that made his mom roll rise
126,at a red apple jack wiggled the magnet the apple did not move,at a red aple jack wiggled the mothment the apple did not move
127,showing,showing
128,flagship,flagship
129,was,was
130,grey,grey
131,she lives with her brothers in the deep south,she lives with her brothers in the deep south
132,stillness,stillness
133,well let's see this spring break my brother saved a pigeon and let's see,uhm well uh let's see thes spring brakua my brother saved ta pidjion and uhmlet's see
134,crystal,christle
135,lengthened,lenk some
136,killjoy,kiljoy
137,ointment,ointment
138,zero one one two oh two,zero one one two oh two
139,longhair,longhair
140,what about the third form asked ms wong,what about the third fourm asked miss wa
141,red,red
142,so strong said the wind i am better,so strong said the wind i am better
143,pretty soon tons of flies were landing on everybody,pretty soon tons of flies were landing on everybody
144,w,yeo
145,besides the real reason i shaved the cat was to keep it nice and cool,besides the real reason i shaved the cap was to keep it nice and cool
146,uhm the,um the
147,ragtag,rogtack
148,it was too late,it was too lat
149,searched through his spider book until he found a picture of something that looked,searched through his spider book until he found a picture of something that looked
150,wolf,wolf
151,punchline,plunshline
152,the local scientist dr wong,the local science is doctor wong
153,skip,skip
154,oh one eight one oh,oh one eight one oh
155,rafts,house
156,to,to
157,a short one and stop,int some one ah star
158,what's your story,at's our sort what'so stildlly
159,off,off
160,one would suppose that they would know s that they would know nothing at all but about school af affairs but they did but they do,one would suppose that they wouldn't know s that they would know nothing at all but about school if affairs but they did but they do
161,would have to take the good with the bad,would have to take they could with the bad
162,values,values
163,tiger,tiger
164,junkyard,junkyard
165,shipshape,subsent
166,girl power,girlpower
167,seventy,seventy
168,birdcage,birdcage
169,asians,asians
170,three,three
171,i swear that's the reason also i was going to sell the cat fur and buy my sister jenny braces for her big stupid face,i swear that's thereason also i was going to sell the cat for and by my sister jennys bracers for her big supid face
172,northview,northview
173,oakbrook,oakbook
174,who is this young punk he thought to himself,who was this young punk he thought to himself
175,a col i colored the dragon pictures all green so it didn't take very long,a coat i colored the dragon pictures all green so it didn't take very long
176,yes said anne candidly i've heard that you and he were engaged once,yes said anne candily i've heard that you and he were engaged once
177,red,red
178,of,of
179,we can't let you play the flute anymore john,we can't let you play tea flutde any more john
180,air in them,air and the
181,yule,yole
182,it sure is,it sure is s
183,have,have
184,please remind me not to be selfish,please remind me not to be selfish
185,then the flies stopped but just then a man moved into town who played the flute so badly that people would run away screaming,then the flie stoped but just then a man moved into town who played the flute so badly that people would run away screaming
186,they didn't want to kick him out of,main didn't want to kick him out of
