,target_text,pred_str
0,arrive very good so now i want you to tell me what happens in each picture,thththelotohet hright thery good surve nowa what yeu did tell me what happends in ech speech
1,the the boy got touch the egg on the skateboard,that the boy got touched d egger on hiscape board
2,the boy hugs the egg,the boy huged ge eg
3,the boy hugged the egg,the boy hugged the eg
4,and it cracked,and it qurapt
5,the dinosaur camed out,the dions hol came down
6,the dinosaur was licking the boy,the guiol thaught was licking the boy
7,the boy was hiding,the the yound boy was hiting
8,the dinosaur is upset,ithe ical trops seyit
9,the dinosaur is crying,the gial's crowying
10,the boy was laughing,debloey was o lopthing
11,the boy was patting the dinosaur,dwn bulis thrudging the domoisal
12,the boy gave the his milk bottle to the dinosaur,dear boy gave his milk boile to the zioussl
13,the the boys are laughing,the zoe boys saw a lauthing
14,the boy was just riding his skateboard,the boy was just riting his scaepe board
15,the while the boy was riding the skateboard he fell off and bounced into an egg,the while the boy was riding es scapbild he fell off and boun sphin to an eg
16,he looked to see what was inside of the egg  egg,he looked to see what was inside of the eeg
17,while doing that the egg cracked open and he was like shocked,while doing that the edg crackedd open twhen he was like thocked
18,a dinosaur appeared from the egg and yeah,hdino sawr appeared from the eg and ye
19,the boy fell over the dinosaur came out of the egg and the boy fell over,the byge fell over the domne sar came out ion the eg and the broy fell over
20,the boy hid from the dinosaur behind the tree,the boy hid from the dinosaur behind the tree
21,dinosaur was looking for the boy,thediano sar was looking for the boy
22,and then got sad because he couldn't find the boy,and then got sad because he couldn't find the boy
23,and then the boy looked at the dinosaur,and then the boy looked at the dianosar
24,and they patted him on the head,and they paden't him on the hed
25,and  they fed him his milk,n they fread him his milk
26,and they stop laughing at the dinosaur,and he stared loaufing at the dino  saur
27,the boy is on the skateboard and he's rolling around the and is about to see the egg,the boy is on the escape board and his rolling around the and is about to see the eg
28,the the boy bumped into the egg,the the boy bumped into the eg
29,the boy is listening to see if there is anything in the egg,the boy is listening to ssee if there is anything in the ang
30,the egg is opening and the boy is surprised,the edg is opening and the boy is surpriseed
31,the boy is really surprised that a dinosaur came out of the egg,the boy is really surprised that a diano saur came out of the eg
32,the boy is scared of the dinosaur,the boy is scare of the tinosaull
33,the boy is hiding from the dinosaur,the boy is heiding from the dinossal
34,the dinosaur is is the boy the dinosaur is sad that the boy has has run away from him or her,the dinosaur is is the boin ththe dino sar is sad that the boy has hhis rat has run away from him
35,the the  the dinosaur is really sad and is lying down,the the d the diano saw is really sad and i lying dep  down
36,and,an
37,the the boy is thinking whether he should go over and say hello to the dinosaur,there the boy is thinking whether he should go over and say how low to the dinosall
38,really,arcioally
39,the the boy went to meet the dine dinosaur and see if it's ok,the the boy went to meet the dine ad dinos or ound see if it's ok
40,the boy is giving the dinosaur it's his baby bottle,the boy is giving the dinar saw it  phirm  his babiy bottle
41,the boy think thinks it's funny when the dinosaur is sucking from it,the boy think it thinks it's funny when the dinossaur is sucking from it
42,hulk was riding backwards on a skateboard and he hits an egg,helke was luyiding backwards on the scapeboard and he hits an edg
43,he's curious to see what's inside the egg and listens to the egg,he's curious to see watch inside the eg avelitsens to the eg
44,the egg starts cracking near the top and hulk is scared by this,the edg sdout's cracking near the top and hog is sceared by this
45,a dinosaur jumps out and hulk is scared,a dino sarld zumps out and thholk is scared
46,the dinosaur tries to play with hulk but hulk is very scared,the dino sau tr said play with holke but tholk is very scart
47,hulk tries to hide from the dinosaur and is still very scared,helg trised to hive from the dinosaur and is still very scared
48,the dinosaur is looking around for hulk and he can't find hulk,but dino saw was looking around for a hole and hoe caun't find holpe
49,the dinosaur is sad,the din os always sthaighe
50,hulk looks at the dinosaur and feels bad about this,hal looks at the dino saur and feel bad about this
51,hulk feeds the dinosaur the milk,halp feeds the dino saure of the milk
52,laughing while the dinosuar is drinking the milk,louthing while the dinosar was dranking the milk
53,the green skined baby is riding a skateboard holding a bottle of milk,the green skint babie is wriding ascape board holding a botdle of milk
54,the green skined baby is bouncing off the dinosaur egg holding the bottle of milk,the grean skin babie is bouncing off the dinosor eg holding the bodl of milk
55,the green baby is holding the bottle of milk while listening inside the dinosaur egg,the grean babie is holding the bull of milk while listening inside the dinosal eg
56,the green baby is holding the bottle of milk while the dinosaur egg is hatching,the grean babie is holding the bobble of milk while the dinosa eg is hatching
57,the green baby is holding the bottle of milk while the dinosaur is poking his head out of the egg,the green babe is holding the bouddle of milk why the diano saut is polking his head out of the eg
58,the green baby is holding the bottle of milk while the green dinosaur has jumped out of the egg,the green babies holding the boull of milk clouge the green dino sawr his jumped out of the eg
59,the green baby is holding the bottle of milk and hiding behind the tree from the dinosaur,the green babe is tolting the boulle of milk and hiding behind the tree from the dinosal
60,the green dinosaur is looking for the green baby,the green dino saw was looking for the green babiye
61,the green dinosaur is on the ground being sad,the green dinosawre is on the ground being sad
62,the green baby has second thoughts about playing with the dinosaur,the green babie has second thoughts about playing with the dinosall
63,the green baby goes over to the green dinosaur and comforts him,the green babie gos over to the green dinosaul and comforts shim
64,the green baby stuffs his bottle of milk into the green dinosaur's mouth,the green babie stoffs as ball of milk into the green dino sau's mouth
65,the green baby is laughing while the green dinosaur has a bottle of milk in his mouth,the green babies lagfing while the green dino saw hers a bull of milk in his mouth
66,he's skateboarding,he sscaped th whoarding
67,and then he finds an egg,and then he finds an eg
68,he bumps into the egg and feels sad,he bumpess into the eg and feel sat
69,he hears what's inside the egg,he heares what's inside the en
70,the egg was cracking,the eg wause crackin
71,he was surprised because the dinosaur came out,he was surprised because the dinosall came out
72,he was sad that there was a dinosaur,he was sad that there was a dime saul
73,he hide behind the tree,hei' hid behind a tree
74,the dinosaur looks around for human feel sad,then din  saw looks around for him and feel sad
75,the dinosaur lies on the floor,the dino sa lize on the floor
76,the baby feel sad,the babie feels sat
77,the baby wants to pet him,the babie wants to pack tim
78,and then he feeds him his milk,and then hoe feeds im his milk
79,the baby feel happy,the beabe bie freel happy
80,he was on a skateboard,he was onistcape board
81,he bumped into a egg,heibe bomth into the eag
82,the egg is hatching,dhegges hatchin
83,there's a dinosaur,ther a di ano stsul
84,there's a dinosaur near him,t dino saw near him
85,he went away and hiding,humand rar and hairdty
86,he's hiding behind a tree,it's houtteng behind the trree
87,he's sad,whooh saige
88,he's lonely,his lonly
89,the boy's sad that he made him sad,the bulleys said that he made hem sad
90,he's calm making him calm down,his cut making him colme down
91,put his bottle in his mouth,pull his bottle in his mouthe
