,target_text,pred_str
0,warehouse,wawhouse
1,don't forget,don't forget
2,a show flow,a show flow
3,nor ever i hope said nan as she turned up her little nose,nor ever i hope said nan as she turned up her little nose
4,in when laura's boat,in when lar spo
5,don't make any of your abrupt remarks or do anything odd will you,don't make any of your abrupt remarks or do anything ond will you
6,because the stones are bigger than their particle size is bigger than the holes in the seam thing whatever you said,because the stones are bigger than the ther particle size is bigger than the holes in the same thing whatever you said y
7,pers,birs
8,uh huh,ahl
9,converged,converged
10,her cat too,cocko to
11,we've been learning about,we've been learning about
12,um if you change one variable then the other if it works better or less then you don't have to change the other variable so you only ch so change one at a time,um if you change one variable then the other if it works better or less then you don't have to change e other variable so you only ssoi change one at a time
13,it's flowing to the d cell and both the light bulbs,it's flowing through the d cell and both the light bulbs
14,that would probably be oxygen,that would probably be oxygen
15,um i do what i just did but with a wet sponge,um i do what i just did but with a wet sponge
16,when i click on the skin in the arm it shows me like the scale not not the scales the skin cells and the skin cells and skin,i click on the skin in the arm it shows me like the scale not that the scales the skin cells and the skin cells and skin
17,grape fantastic stuff getting poured and mixed with water,grapetastic stuff getting poured and mixd with water
18,uh it means to be like circle everything has to be yeah,it naes b like a circle and everything else beo yeah
19,they are very good they are awesome,they are very good they last al
20,bye,bye
21,air,ar
22,breathe,breathe
23,shouted jack,shouted jack
24,the salt dissolves in the water while the other two keep their own properties,the salt dissolves in the water while the other two keep their own properties
25,banana weathering,banana weatherin
26,i think it's a consumer because it eats other consumers they eat plants and meat but still it eats consumers like a lot of different things like people fish,i think it's a consumer because eat other consumers a plants and meat but still eato the consumers like a lot of different things like people fish nd
27,this plant does not have any water so this can not survive,this plant does not hud if any water so it is sickly and cannot surviv
28,i beg your pardon said the le learned man it is an old habit with me,i beg your pardon said the learn learned man it is an old habit with me
29,gest,guest
30,i need,i nee
31,n,n
32,that when the sun and air and water mix with a plant it creates photosynthesis,that when the sun and air and water mix with a plant it creates photosynthes
33,yeah um probably reading,yeah um probably reading
34,they make their own food,they make their own food
35,a lot of animals following me,a lot of animals following met
36,butterfly,butterfly
37,eight i think,i i think
38,uh i think if i visualized it better and maybe tried it a few times then,uh i think if i visualized it better it maybe tried it a few times then
39,fish,fish
40,uh when the plane actually flew across the string cause i didn't think it'd even get an inch,uh when the plane actualle flew across the string  i didn't think it'd even get an inch
41,victor was searching for,victor was sarching for
42,the energy energy flows through crying out aloud,that means you ou u flows thog  crying out lod
43,chimney,chimney
44,uphill,uphill
