,target_text,pred_str
0,ball,ball
1,four cups,four cups
2,detective,detective
3,tonight,tonight
4,straw,straw
5,swing,swing
6,pig,pig
7,treasure,treasure
8,head,head
9,bridge,bridge
10,snake,snake
11,hill,hill
12,card,card
13,leaf,leaf
14,three,play
15,hippopotamus,hippopotamus
16,thermometer,thermometer
17,three eggs,three eggs
18,girl,girl
19,giraffe,giraffe
20,four o clock,four o clock
21,watch,watch
22,kangaroo,kangaroo
23,boy,boy
24,that,that
25,spaghetti,spaghetti
26,pull,pol
27,clown,clown
28,two cups,two cups
29,butterfly,butterfly
30,thumb,thumb
31,jam,jam
32,boy,boy
33,frog,frog
34,vanilla,vanilla
35,head,head
36,ball,ball
37,banana,banana
38,jam,jam
39,hill,hill
40,duck,duck
41,hippopotamus,hippopotamus
42,watermelon,watermelon
43,watermelon,watermelon
44,fur,fur
45,jam,jam
46,tail,tail
47,three,three
48,thumb,thumb
49,thumb,thumb
50,bridge,bridge
51,one o clock,one o clock
52,tonight,tonight
53,mountain,mountain
54,australia,australia
55,one egg,one egg
56,four,four
57,cub,cub
58,crab,crab
59,garden,garden
60,binoculars,binoculars
61,three,three
62,doll,doll
63,short,short
64,three cups,three cups
65,two o clock,two o clock
66,stethoscope,stethoscope
67,dinosaur,dinosaur
68,three o clock,three o clock
69,kangaroo,kangaroo
70,kitchen,kitchen
71,kangaroo,kangaroo
72,hippopotamus,hippopotamus
73,head,head
74,sausage,sausage
75,three,three
76,hippopotamus,hippohippotamus
77,play,play
78,sausage,sausage
79,zoo,zoo
80,four,four
81,potato,potato
82,potato,potato
83,hill,hill
84,six,six
85,carpet,carpet
86,clown,clown
87,australia,australia
88,six,six
89,splash,splash
90,cart,cart
91,that,that
92,australia,australia
93,two o clock,two o clock
94,vegemite,vegemite
95,three o clock,three o clock
96,banana,banana
97,gorilla,gorilla
98,attack,attack
99,feather,feather
100,two,two
101,cicada,cicada
102,fur,fur
103,tonight,tonight
104,spade,spade
105,drink,drink
106,treasure,treasure
107,three cups,three cups
108,ear,ear
109,pool,pool
110,chair,chair
111,gorilla,gorilla
112,gorilla,gorilla
113,four eggs,four eggs
114,ear,eair
115,circus,circus
116,caterpillar,caterpillar
117,treasure,treasure
118,grasshopper,grasshopper
119,spade,spade
120,clown,clown
121,magician,magician
122,tooth,tooth
123,head,head
124,sprout,sprout
125,pull,pool
126,martian,martian
127,giraffe,giraffe
128,one egg,one egg
129,one,one
130,kitchen,kitchen
131,clown,clown
132,light,light
133,cicada,cicada
134,canoe,canoe
135,hippopotamus,hippopotamus
136,skirt,skirt
137,flowerpot,floerpot
138,boy,boy
139,skirt,skirt
140,attack,attack
141,hair,hair
142,cart,car
143,cart,cart
144,tonight,tonight
145,yoyo,yoyo
146,no,no
147,mouth,mouth
148,attack,attack
149,one o clock,one o clock
150,four,r
151,four cups,four cups
152,one,one
153,owl,owl
154,three cups,three cups
155,canoe,canoe
156,seven,seven
157,giraffe,giraffe
158,cart,cart
159,chair,chair
160,cow,cow
161,elephant,elephant
162,skirt,skirt
163,yes,yes
164,giraffe,giraffe
165,jam,jam
166,cow,cow
167,nose,nose
168,watermelon,watermelon
169,kangaroo,kangaroo
170,ear,ear
171,three eggs,three eggs
172,splash,splash
173,butterfly,butterfly
174,jam,jam
175,garage,garage
176,watch,watch
177,cucumber,cucumber
178,splash,splash
179,machine,machine
180,frog,frog
181,cart,card
182,one cup,one cup
183,ten,ten
184,one o clock,one o clock
185,four o clock,four o clock
186,pull,poo
187,caterpillar,caterpillar
188,short,short
189,binoculars,binoculars
190,shell,shell
191,sausage,sausage
192,two eggs,two eggs
193,two cups,two cups
194,treasure,treasure
195,four eggs,four eggs
196,ball,ball
197,thumb,thumb
198,two cups,two cups
199,ear,ear
200,dinosaur,dinosaur
201,dessert,dessert
202,two cups,two cups
203,gorilla,gorilla
204,three,three
205,seven,seven
206,two cups,two cups
207,dessert,dessert
208,card,card
209,boat,boat
210,ear,ear
211,three o clock,three o clock
212,yoyo,yoyo
213,fish,fish
214,one o clock,one o clock
215,frog,frog
216,frog,frog
217,five,five
218,spiderweb,spiderweb
219,no,no
220,drink,drink
221,circus,circus
222,kitchen,kitchen
223,pig,pig
224,sword,sword
225,vegemite,vegemite
226,play,play
227,sword,sword
228,rhinoceros,rhinoceros
229,card,card
230,butterfly,butterfly
231,jam,jam
232,spade,spade
233,cow,cow
234,hair,hair
235,two o clock,two o clock
236,giraffe,giraffe
237,two eggs,two eggs
238,banana,banana
239,duck,duck
240,butterfly,butterfly
241,straw,straw
242,dessert,dessert
243,hill,hill
244,tomato,tomato
245,girl,girl
246,jam,jam
247,boat,boat
248,garage,garage
249,grasshopper,grasshopper
250,boat,boat
251,ball,ball
252,five,five
253,boy,boy
254,hair,car
255,elephant,elephant
256,light,light
257,machine,machine
258,dinosaur,dinosaur
259,yoyo,yoyo
260,pool,pool
261,clown,clown
262,food,food
263,stethoscope,sstethoscope
264,spaghetti,spaghetti
265,vegemite,vegemite
266,leaf,leaf
267,zoo,zoo
268,xylophone,xylophone
269,drink,drink
270,shell,shell
271,yoyo,yoyo
272,three cups,three cups
273,story,story
274,short,short
275,moustache,moustache
276,detective,detective
277,feather,feather
278,ear,ear
279,boat,boat
280,duck,duck
281,doll,doll
282,rhinoceros,rhinoceros
283,smile,smile
284,machine,machine
285,card,card
286,bag,bag
287,hole,hole
288,ball,ball
289,mouth,mouth
290,crocodile,crocodile
291,yoyo,yoyo
292,crab,crab
293,thermometer,thermometer
294,that,that
295,breathe,leaf
296,tonight,tonight
297,yoyo,yoyo
298,watch,watch
299,grasshopper,grasshopper
300,zoo,zoo
301,that,that
302,mountain,mountain
303,tooth,tooth
304,bridge,bridge
305,head,head
306,smile,smile
307,sprout,spride
308,light,light
309,spiderweb,spiderweb
310,sword,sword
311,bag,bag
312,bellybutton,bellybutton
313,tooth,tooth
314,ten,ten
315,four eggs,four eggs
316,pig,pig
317,nine,nine
318,rhinoceros,rhinoceros
319,pull,pool
320,cheese,cheese
321,bellybutton,bellybutton
322,one egg,one egg
323,two eggs,two eggs
324,ride,ride
