,target_text,pred_str
0,jack held the magnets over his,jack held migns over his
1,wolfman,wolfman
2,into,into
3,no one could hear anything people were getting in car accidents and,no one could hear anything people were getting ing car accidents and
4,shipshape,shipshape
5,four,four
6,thursdays,thursdays
7,poets,poets
8,the,the
9,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wat
10,ensures,ensures
11,loathe,loath
12,k,k
13,six six four seven four two,six six four seven four two
14,well,well
15,side,side
16,do research about eyesight,do research about eyesight
17,briefcase,briefcase
18,on,on
19,how,how
20,them,tham
21,maui,maui
22,gravestone,grabestode
23,wait,
24,up,up
25,if you like it or else you will be sorry,if you like it or else you will be sorry
26,could,could
27,she put her things in to her backpack the plane landed,she put her things into her backpack the airplane landed
28,she,she
29,across,across
30,weekdays,weekdays
31,quiet,quiet
32,five,ive
33,a yacht slid around the point into the bay,a yaught slid around the point into the bay
34,ands husbands,bands husbands
35,oh no said said chief sanders just when things were go going good in franksville,oh no said said chief sounders just when things were go going good in franksville
36,oozing,oozing
37,concrete,countrey
38,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red
39,what,what
40,soon a bird came hopping by,soon a bird came hopping ba
41,three five six four seven six,three five six four seven six
42,cashflow,cashflow
43,there jo was mistaken for next day she made a discovery which produced a tempe tempest,there jo was mistaken for next day she made a discovery which produced a tempti tempest
44,unearthed,unearthed
45,no no please don't play your old flute begged doctor wong but it was too late john had started playing,no no please don't play your old flute begged doctor wong but it was too late john had started playing
46,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things,and syou know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things
47,regime,regime
48,maui,maui
49,is,is
50,the ends,the ends
51,rouge,rouge
52,jacob,jakob
53,racer was so happy that he could run as fast as that he ran and ran in circles,racer was so happy that he could run as fast as that he ran and ran in circles
54,he alway,he alray
55,it's not that you aren't selling enough stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs is a great advertising campaign,it's not that you are selling anough stuffd o panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs as a great advertising campan
56,knew,you
57,what,what
58,cowherd,cowherd
59,showed,showed
60,and,and
61,with,width
62,can share,mar
63,smooths,smooth's
64,snake,snake
65,stallsmith,stallsmith
66,put the red en at,put the red aunt and
67,aunt grace said to mark and christi terry at the n a c s a,aun grace said to mark and christi terry at the in a ci essa
68,newslink,newslic
69,we all looked at each other other trying to glean something each from the other,we all look at each over other trying to glean something each from the other
70,red,red
71,too,two
72,but how many millions of creatures there must have been,but how many millions of creatures there must have been
73,mouthpart,mouthpart
74,isn't he known as the most brilliant journalist in new york,isn't he known as the most brilliant journalist in new york
75,red,redh
76,i'll i will use,a'll i will use
77,ou the brown house was on fire to the attic,o the brown house was on fire to the attic
78,lion,lion
79,the water is bad to drink,the water is bad to drink
80,boyhood,boyhood
81,uh,uh
82,every four years turtles from all over the land would crawl to great pond,every four years turtles from all over the land would crawl to great pond
83,dolphin,dolphin
84,e ancient coin was quite dull and warm w,te ancient coin was quite dull and warm
85,not even with her wrath the girl's ins insolence couldn't wholly overcome her wonder,not even with he rath the girl's in insulence couldn't holly overcome her wonder
86,guru,guru
87,as they paddled small,has they puddles mol
88,there jo was mistaken for the next day she made a discovery which produced a tempest,there joe was mistaken for the next day she made a discovery which produced a tempest
89,o,o
90,whirlwind,whirlwind
91,obverse,obvfeirse
92,youth,youth
93,divided by,divided by
94,layout,layout
95,outcry,outcry
96,justin replied i promise that if we find the perfect hat i'll wear it everyday,justinrplied i promise that if we find the perfect heat i'll wear it everyday
97,volume,volume
98,transverse,turnseers
99,gracious ain't that an awful lot of money exclaimed david david crockett davy crockett,gracious ain't that an awful lot of money exexclaimed david david crocket dby crocket
100,bathgate,bathgate
101,a turtle as young as you can be so slow even when,a turtle as young as you can be so slow even when
102,anxious,anxius
103,playing,pen
104,zero eight seven eight six five,zero eight seven eight six five
105,gest,ugest
106,fusion,fusion
107,it to take,to take
108,so with swish they thought maybe just maybe he could bring the back the turtle cup,so with swish they thought maybe just maybe he could bring th back the turtle cup
109,shots,shots
110,flies,flies
111,the tall and lumpy miss nelson didn't speak er said the kids her throat must be sore are you sure you're well enough said mr blandsworth she's sure said all the kids,the tall lumping mis nelson didn't speak er said the kids her throat must be sure are you sure youre well enough n said mr bolstwoud shes sure said all the kids
112,the r river was,r river was
113,your great grandma came here i'm glad your your my gram grandma too i said,your great grandma came here i'm glad you're your my gran grandma too i said
114,he filled the marbles,he filled the marbles
115,showing,showing
116,bluejay,ingry
117,the box of tacks fell,the box of taxs fell
118,said t'was would be best to ask the owl then closed his eye,said twas would be best to ask the owl dhen closed his eye
119,rhythmic,rhthmic
120,uhm hello hello mud mud still didn't answer in fact mud was sound asleep mud had actually sung himself to sleep,uhm hello hello mud mud still didn't answer in fact mud was sound asleep mud has t actually sung himself to sleep
121,the odor of spring makes h makes,the yoor of spring makes hu mink
122,longleaf,longleaf
123,uncle don took everyone,huncle dog took everyone
124,can i use,can i use
125,and that made his mom roll her eyes,and that made his mom roll her eyes
126,at a red apple jack wiggled the magnet the apple did not move,at a red apple jack wiggled the mathnet the apple did not move
127,showing,showing
128,flagship,flagship
129,was,was
130,grey,grey
131,she lives with her brothers in the deep south,she lives with her brothers in the deep south
132,stillness,stillness
133,well let's see this spring break my brother saved a pigeon and let's see,uhm well uh let's see this spring break uh my brother saved tha pitgion and uhm let's see
134,crystal,christol
135,lengthened,lengthen
136,killjoy,killjoy
137,ointment,ointment
138,zero one one two oh two,zero one one two oh two
139,longhair,longhair
140,what about the third form asked ms wong,what a other third form asked ms wod
141,red,red
142,so strong said the wind i am better,so strong said the wind i am better
143,pretty soon tons of flies were landing on everybody,pretty soon tons of flies were landing on everybody
144,w,yllo
145,besides the real reason i shaved the cat was to keep it nice and cool,besides the real reason i shaved the cat was to keep it nice and cool
146,uhm the,om the
147,ragtag,ragtag
148,it was too late,it was too laht
149,searched through his spider book until he found a picture of something that looked,searched through his spider book until he found a picture of something that looked
150,wolf,wolf
151,punchline,punchline
152,the local scientist dr wong,the local sciencis doctor wong
153,skip,skip
154,oh one eight one oh,oh one eight one oh
155,rafts,hase
156,to,to
157,a short one and stop,i an so ne a ta
158,what's your story,what's your story
159,off,off
160,one would suppose that they would know s that they would know nothing at all but about school af affairs but they did but they do,one would suppose that they wouldn't know s that they would know nothing at all but about school if affairs but they did but they do
161,would have to take the good with the bad,would have to take the good with the bad
162,values,values
163,tiger,tiger
164,junkyard,junkyard
165,shipshape,shipshape
166,girl power,girlpower
167,seventy,seventy
168,birdcage,birdcage
169,asians,asians
170,three,three
171,i swear that's the reason also i was going to sell the cat fur and buy my sister jenny braces for her big stupid face,i swear that's the reason also i was going to sell the cat fur and by my sister jenny braces for her big stupid face
172,northview,northview
173,oakbrook,oakbook
174,who is this young punk he thought to himself,who is this young punk he thought to himself
175,a col i colored the dragon pictures all green so it didn't take very long,a colar i colored the dragon pictures all green so it didn't take very long
176,yes said anne candidly i've heard that you and he were engaged once,yes said an candyly i've heard that you and he were engaged once
177,red,red
178,of,of
179,we can't let you play the flute anymore john,we can't let you play mo flue ith anymore john
180,air in them,air in the
181,yule,yul
182,it sure is,it sure is
183,have,have
184,please remind me not to be selfish,please remind me not to be selfish
185,then the flies stopped but just then a man moved into town who played the flute so badly that people would run away screaming,then the flies stopped but just then a man moved into town who played the flute so badly that people would run away screaming
186,they didn't want to kick him out of,they didn't want to kick him out of
187,the source of the the huge river is the clear spring,the source of the the huge river is the clear spring
188,maybe a poorly played flute doesn't sound all that bad,maybe a poorly played flute doesn't sound all that bead
189,he started shaking the flute to get the flies off and accidentally s smashed it into pieces,he started shracking the flute to get the flies off and acidentaly swit smashed it into pieces
190,we'll meet at the zoo at ten o'clock,wi'll meet at the zoo at ten o'clock
191,looked really silly at the dances dancing to music they couldn't hear they just couldn't lead a normal life,looked really silly at the dances dance seenged to music they could hear they just didn't lead normal life
192,dogfish,dogfish
193,range,range
194,or tune the tv or scratch when you have an itch and when sister tried to play jacks she couldn't get any higher than twosies,or tune the tbe or scratch when you have an itch and when sister trid to play jacks she couldn't get any higher than tosies
195,oh well that makes sense then,ho well that makes sense then
196,ree seven two three seven two,eseven two three seven two
197,orange,orange
198,and he was only one foot away,and he was only one foot away
199,the pitcher threw the baseball so hard that it made a loud pop sound when it was caught,a pitcher ththrew the baseball so hard that it made a loud pop sound when when it was caught
200,shaped,shape
201,she goes to a friends,she goes to france
202,brethren,brethren
203,the,the
204,ma,ma
205,dentist,dentist
206,lo,l
207,hi what did you bring,hi what did you brain
208,failure,failure
209,yes,yes
210,from then on,from then on
211,enough of this nonsense said yin yin's mother poo poo,enough of this nonsense said yin yin's mother poo poo
212,when,when
213,it's called cops and robbers,it's called cops said robbers
214,than other bubbles,than other bubbles
215,i should think you had an imagination sure enough she laughed,i should think you had an imagination sure enough she laughed
216,cowgirls,cowgirls
217,an tan,n tan
218,thirty five,thirty five
219,withheld,withhill
220,one,whene
221,one was smaller the third was about the same size,one was smaller the third was about the same size
222,barroom,barroom
223,race um racer um he was a fast dog and when he got old um he developed problems with his legs and um,race uhm racer uhm he was a fast dog and when he got old uhm he developed problems with his legs and uhm
224,cat,c
225,a tiger is a beautiful animal but you should never try to pet one,a tiger is a beautiful a animal but you should never try to pet one
226,the stars of the parade they were up on the main float,the stars of the parade they were up on the main float
227,filegate,finle gate
228,rehearsed,rehearsed
229,hi,hit
230,a force equal to that will move to move the earth,a force equal to that will move to move the earth
231,head,hou
232,user,user
233,red,red
234,uhm he would play like the clarinet and the tu tuba or something i like lots of different instruments,uhm he would play like the clarinet and the t too something u like lots ofdifferent instruments
235,but sometimes people like to eat peanuts on their banana splits,but sometimes people like to eat peanuts on their banana splits
236,birds,birds
237,there are a lot of computers now but there weren't many twenty years ago,there are a lot of computers now but there was weren't many twenty years ago
238,tan,tan
239,but i'm awfully hungry i wish you'd get me something to eat,but i'm awfully hungry i wish you'd get me something to eat
240,my,my
241,the other two i don't know this one,the other two i don't know this one
242,the,the
243,zero zero zero eight two,zero zero zero eight two
244,poured was the,word was the
245,october,october
246,offhand,ofhans
247,tuesday,tuesday
248,but not,but not
249,there was something mysterious about the man first of all he was wearing two watches,there was something mysterious about a man first of all he was wearing two watches
250,t's your story,'s your story
251,close them soon,close them soon
252,siam,siam
253,adverbs,adverbs
254,though,low
255,oh willow tree he said said the little bird will you let me live in your warm branches until the springtime comes no said the willow tree i never talk to strangers go away,oh willow tree he sa said the little bird will you let me live in your warm branches until this spring time comes no said the willow tree i never talked tof strangers go away
256,push a,bush a
257,but i am too old to endure your shame and my misery much longer,but i am too old to endure your shame and my misery much longer
258,isn't he known as the most brilliant journalist of in new york,isn't he known as the most brilliant journalist of in new york
259,they shook the flour off her and set her down on the kitchen floor,they shook the flour off her and set her down on the kitchen floor
260,it might be a black widow mr foster smiled,it might be a black widow mr foster smiled
261,measure the goat before you go out,mend er the goat before you go out
262,watch this,what's this
263,ay monday,y smonday
264,here the paper,he rad the paper
265,she said that she had to help other passengers,she said that she had to help other passengers
266,sh,h
267,s when some,when some
268,goldcreek,goldcreek
269,midyear,midyear
270,then they,then they
271,tried to smile,try to smile
272,a tiger is a beautiful animal but you should never try to pet one,twelve a t a tiger is beautiful as a beautiful animal but you should never try to pet one
273,because they all had such,because they odd such
274,winter was coming and all the birds flew away to the warm south there there they would wait for the spring,winter was coming and all the birds flew away to the warm south there there they would wait for the spring
275,nodule,nodule
276,cheetah,cheetah
277,that are near and far,that are near and far
278,graveyard,graveyard
279,farmhouse,farmhouse
280,bulkheads,bulkheads you can sit wright whar ou
281,they shook the flour off her and set her down on the kitchen floor,they shook the flour off her and set her down on the kitchen floor
282,two five six five four,two five six five four
283,wait wait,wait wait
284,i'll bet you didn't know something else did you know that i wanted to be a barber,i'll bat you didn't know something else did you know that i wanted to be a barber
285,i swore to bring you the terrible head and see how i keep my oath,i swore to bring you the terrible head and see how i keep my oath
286,big rapids asked laura,big rafts asked laura
287,no one could hear anything people were getting into car accidents and everybody looked really silly at dances dancing to music they couldn't hear,no one could hear anything people were getting into car accidents and everybody looked really silly at dances dancing to music they couldn't hear
288,do you know why i asked her to send me the manuscript,do you know whyi asked her to send me the manuscript
289,nonsense,nonsense
290,i,a
291,we will,we will
292,wealth,wealth
293,fluent,fluent
294,the bunch of grapes was pressed into wine,the bunchef scripels pass inte wine
295,who looked a lot like a panda would look if a pan if pandas were birds were discussing about going to the moon,who looked a lot like a panda would look if a panda if pandas were birds were discussing about going to the moon
296,two three seven,two three seven
297,the bad flute player was rooster john,the bad flute player was ruster john
298,chimney,chimney
299,flies anymore,flies anymore
300,an,in
301,grayest,grayest
302,and th uhm she couldn't stop because bad habits are hard to break and,and uhm she couldn't stop because bad habits were hard to break and
303,rapids,rappons
304,play the flute normally,play the flute normally
305,tiger,tiger
306,minutes long or about,mets long or about
307,uhm well the little bird uhm had a broken wing and so he asked all the tr,uhm well the little bird uhm had a broken wing and so he asked all the tr
308,said mr higgins thank you mr higgins said bill he took the jar now i can,said mr higgins thank you mr higgins said bill he took the jar now i can
309,ions,ions
310,that's,that's
311,green,green
312,can uhm,can uhm
313,some,some
314,the wind,the wind
315,racer had to be on the leash since he still needed to heal from his surgery but it was nice to see all his friends,ak racer headed to be on a leash since he still needed to hal from his surgery but it was nice to see all his friends
316,afterward they went to lucy's where they stuffed themselves silly but soon they made serious mistake,after ward they went to loucis where they stuffd themselves silly but soon they made serious mistake
317,red,red
318,this,this
319,it was gross then suddenly the flies flew away fast as they could,it was grose then suddenly the flies fleew away fast as they could
320,and tomorrow is our f field trip,and tomorrow is our f field trip
321,the clubhouse,their cubhouse
322,then they wiggle and swim away,then they wiggle and swim away
323,five zero five four six,five zero five four six
324,depths,depths
325,fireworks,fireworks
326,another way to say that there are twelve donuts is to say that there are a dozen,another way to say there are twelve donuts is to say there are a dozen
327,it was a deep dazzling lovely blue deeper than the deepest blue of the sky,it was a deep dazzling lovely blue deeper than the deepest blue of the sky
328,i swore to bring you the terrible head and see how i keep my my oath,i sware to bring you the terrible head and see how i keep my my oath
329,what's your story,what's your story
330,massaged,massaged
331,he was the,he was then
332,and the littlest panda was named yin yin and uh she and her family were at a zoo and the zookeeper's name was fred,and the littlest panda was named yin yin and uh she and her family were at a zoo and the zoo keepers name was fred
333,zero three three oh zero,zero three three oh zero
334,so it took some time before anyone could figure out which of the turtles were the slowest,so it took sometime before anyone could figure out which of the turtles wih the slowest
335,decoys,decoys
336,she gathered up the moss and the remains of the bees wax,she gathered up the moss and the remains of the bees wax
