,target_text,pred_str
0,ball,b
1,four cups,full cups
2,detective,de tective
3,tonight,tnoght
4,straw,scwel
5,swing,swing
6,pig,pig
7,treasure,uo
8,head,head
9,bridge,brige
10,snake,snake
11,hill,hill
12,card,caled
13,leaf,length
14,three,
15,hippopotamus,hipa pona lif
16,thermometer,the moata
17,three eggs,free eg
18,girl,go
19,giraffe,draw
20,four o clock,four o clock
21,watch,watch
22,kangaroo,cangorar
23,boy,boy
24,that,that
25,spaghetti,spigetti
26,pull,pol
27,clown,clown
28,two cups,two cups
29,butterfly,dutcidie
30,thumb,fome
31,jam,some
32,boy,boy
33,frog,frog
34,vanilla,vanilla
35,head,head
36,ball,fo
37,banana,banana
38,jam,jam
39,hill,hill
40,duck,docky
41,hippopotamus,hipppottomas
42,watermelon,wooomaon
43,watermelon,wate mellon
44,fur,for
45,jam,jam
46,tail,ti
47,three,three
48,thumb,from
49,thumb,thum
50,bridge,birds
51,one o clock,oneec
52,tonight,couldni
53,mountain,mountain
54,australia,ustralia
55,one egg,one eg
56,four,four
57,cub,cup
58,crab,cub
59,garden,goden
60,binoculars,panacuos
61,three,three
62,doll,dull
63,short,short
64,three cups,three cups
65,two o clock,two o culorck
66,stethoscope,stifscoap
67,dinosaur,dinisaur
68,three o clock,thrclock
69,kangaroo,cangar
70,kitchen,kitchen
71,kangaroo,cangor
72,hippopotamus,hepo pus
73,head,head
74,sausage,sotic
75,three,ley
76,hippopotamus,haper potomnis
77,play,play
78,sausage,saussage
79,zoo,z
80,four,fu
81,potato,the titer
82,potato,patato
83,hill,hill
84,six,six
85,carpet,coopit
86,clown,plown
87,australia,gostralio
88,six,sixs
89,splash,splush
90,cart,caught
91,that,thet
92,australia,australia
93,two o clock,two o clock
94,vegemite,fanlog
95,three o clock,three o clock
96,banana,bananna
97,gorilla,garilla
98,attack,cac
99,feather,fiddale
100,two,ti
101,cicada,the caus
102,fur,for
103,tonight,tonight
104,spade,sped
105,drink,drink
106,treasure,to
107,three cups,three cups
108,ear,e
109,pool,whol
110,chair,che
111,gorilla,gia
112,gorilla,garrilla
113,four eggs,four egs
114,ear,er
115,circus,curcas
116,caterpillar,caipu
117,treasure,cesa
118,grasshopper,crosapo
119,spade,spade
120,clown,clom
121,magician,megiion
122,tooth,truth
123,head,hid
124,sprout,spout
125,pull,pul
126,martian,masin
127,giraffe,doas
128,one egg,one eg
129,one,on
