filepath,duration,speaker_id,transcription,audio_id
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/3_112/story/3_112_1_3_006-ch6-speaker16.wav,13.188979591836734,3_112,I THINK I'LL GO TOMORROW HE SAID TO HIMSELF BUT THEN AGAIN PERHAPS I WON'T IT'S SO NICE AND SNUG HERE I GUESS I'LL GO BACK TO MY HOLE UNDER THE LOG FOR A WHILE BEFORE I MAKE UP MY MIND,3_112-3_112_1_3_006
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/3_112/story/3_112_1_3_008-ch6-speaker16.wav,5.201269841269841,3_112,THE END,3_112-3_112_1_3_008
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/4_696/story/4_696_1_3_006-ch6-speaker16.wav,10.309705215419502,4_696,I THINK I'LL GO TOMORROW HE SAID TO HIMSELF BUT THEN AGAIN PERHAPS I WON'T IT'S SO NICE AND SNUG HERE I GUESS I'LL GO BACK TO MY HOLE UNDER THE LOG FOR A WHILE BEFORE I MAKE UP MY MIND,4_696-4_696_1_3_006
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/4_696/story/4_696_1_3_008-ch6-speaker16.wav,8.266349206349206,4_696,THE END,4_696-4_696_1_3_008
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/3_222/story/3_222_1_3_008-ch6-speaker16.wav,2.2291609977324263,3_222,THE END,3_222-3_222_1_3_008
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/4_115/story/4_115_1_3_006-ch6-speaker16.wav,12.631655328798184,4_115,I THINK I'LL GO TOMORROW HE SAID TO HIMSELF BUT THEN AGAIN PERHAPS I WON'T IT'S SO NICE AND SNUG HERE I GUESS I'LL GO BACK TO MY HOLE UNDER THE LOG FOR A WHILE BEFORE I MAKE UP MY MIND,4_115-4_115_1_3_006
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/4_115/story/4_115_1_3_008-ch6-speaker16.wav,3.1579591836734693,4_115,THE END,4_115-4_115_1_3_008
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_93/story/1_93_1_3_006-ch6-speaker16.wav,12.445895691609977,1_93,I THINK I'LL GO TOMORROW HE SAID TO HIMSELF BUT THEN AGAIN PERHAPS I WON'T IT'S SO NICE AND SNUG HERE I GUESS I'LL GO BACK TO MY HOLE UNDER THE LOG FOR A WHILE BEFORE I MAKE UP MY MIND,1_93-1_93_1_3_006
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_93/story/1_93_1_3_008-ch6-speaker16.wav,1.6718367346938776,1_93,THE END,1_93-1_93_1_3_008
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/4_237/story/4_237_1_3_006-ch6-speaker16.wav,13.56045351473923,4_237,I THINK I'LL GO TOMORROW HE SAID TO HIMSELF BUT THEN AGAIN PERHAPS I WON'T IT'S SO NICE AND SNUG HERE I GUESS I'LL GO BACK TO MY HOLE UNDER THE LOG FOR A WHILE BEFORE I MAKE UP MY MIND,4_237-4_237_1_3_006
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/4_237/story/4_237_1_3_008-ch6-speaker16.wav,1.5789569160997732,4_237,THE END,4_237-4_237_1_3_008
