,target_text,pred_str
0,bird,
1,detective,
2,short,
3,cloud,
4,that,
5,pie,
6,xylophone,
7,four o clock,
8,potato,
9,cow,
10,one cup,
11,hair,
12,one egg,
13,snake,
14,thermometer,
15,mouth,
16,spaghetti,
17,snake,
18,four cups,
19,tonight,
20,two,
21,beard,
22,head,
23,cow,
24,banana,
25,splash,
26,three,
27,gorilla,
28,wood,
29,wheel,
30,four,
31,machine,
32,bag,
33,two cups,
34,machine,
35,zoo,
36,zoo,
37,treasure,
38,frog,
39,short,
40,thermometer,
41,short,
42,food,
43,boy,
44,tail,
45,shell,
46,head,
47,light,
48,splash,
49,car,
50,carpet,
51,sausage,
52,duck,
53,sprout,
54,cucumber,
55,martian,
56,spade,
57,play,
58,pull,
59,key,
60,spiderweb,
61,watch,
62,bag,
63,boat,
64,cloud,
65,eight,
66,spaghetti,
67,cart,
68,boy,
69,watch,
70,flowerpot,
71,chair,
72,pull,
73,bag,
74,bridge,
75,gorilla,
76,breathe,
77,sword,
78,cicada,
79,sausage,
80,butterfly,
81,crocodile,
82,six,
83,circus,
84,seven,
85,vanilla,
86,gorilla,
87,martian,
88,pool,
89,thermometer,
90,caterpillar,
91,yoyo,
92,carpet,
93,spiderweb,
94,attack,
95,four,
96,hair,
97,hippopotamus,
98,snake,
99,sprout,
100,wheel,
101,bag,
102,australia,
103,six,
104,balloon,
105,chair,
106,hole,
107,treasure,
108,tonight,
109,yoyo,
110,fish,
111,five,
112,car,
113,rhinoceros,
114,seven,
115,three cups,
116,banana,
117,xylophone,
118,skirt,
119,tomato,
120,sword,
121,drink,
122,crocodile,
123,straw,
124,kitchen,
125,tooth,
126,no,
127,gorilla,
128,four,
129,two eggs,
130,nose,
131,snake,
132,two eggs,
133,wood,
134,cub,
135,cart,
136,seven,
137,fur,
138,duck,
139,garden,
140,four o clock,
141,caterpillar,
142,two o clock,
143,rhinoceros,
144,cow,
145,one egg,
146,zoo,
147,martian,
148,canoe,
149,four eggs,
150,jam,
151,pie,
152,food,
153,chair,
154,five,
155,two,
156,mouth,
157,potato,
158,sprout,
159,card,
160,bellybutton,
161,dessert,
162,bridge,
163,vegemite,
164,thermometer,
165,crocodile,
166,canoe,
167,car,
168,splash,
169,yes,
170,two o clock,
171,bellybutton,
172,kangaroo,
173,yes,
174,fish,
175,doll,
176,two,
177,stethoscope,
178,two o clock,
179,two o clock,
180,yes,
181,boy,
182,crab,
183,hill,
184,two cups,
185,nine,
186,story,
187,garage,
188,skirt,
189,caterpillar,
190,garage,
191,doll,
192,grasshopper,
193,cloud,
194,rhinoceros,
195,ball,
196,key,
197,magician,
198,treasure,
199,key,
200,owl,
201,pool,
202,tooth,
203,one cup,
204,jam,
205,balloon,
206,five,
207,xylophone,
208,cloud,
209,two o clock,
210,boy,
211,chair,
212,yoyo,
213,dessert,
214,magician,
215,bellybutton,
216,cloud,
217,hippopotamus,
218,three,
219,caterpillar,
220,voice,
221,drink,
222,mouth,
223,circus,
224,treasure,
225,three cups,
226,ball,
227,four cups,
228,rhinoceros,
229,duck,
230,wood,
231,bag,
232,thermometer,
233,card,
234,dinosaur,
235,nine,
236,bag,
237,three cups,
238,coconut,
239,gorilla,
240,girl,
241,tonight,
242,canoe,
243,martian,
244,martian,
245,pull,
246,wood,
247,banana,
248,eight,
249,nine,
250,machine,
251,frog,
252,butterfly,
253,caterpillar,
254,five,
255,hole,
256,owl,
257,xylophone,
258,stethoscope,
259,one,
260,short,
261,canoe,
262,jam,
263,spiderweb,
264,smile,
265,crocodile,
266,spaghetti,
267,four o clock,
268,no,
269,girl,
270,three cups,
271,detective,
272,wood,
273,four eggs,
274,hippopotamus,
275,detective,
276,duck,
277,zoo,
278,four cups,
279,five,
280,doll,
281,hill,
282,four,
283,kangaroo,
284,hippopotamus,
285,cucumber,
286,ride,
287,butterfly,
288,swing,
289,pull,
290,grasshopper,
291,flowerpot,
292,kangaroo,
293,magician,
294,splash,
295,seven,
296,light,
297,chair,
298,four cups,
299,hill,
300,one,
301,food,
302,tooth,
303,breathe,
304,carpet,
305,vegemite,
306,butterfly,
307,leaf,
308,cucumber,
309,one egg,
310,clown,
311,tail,
312,girl,
313,wheel,
314,that,
315,two cups,
316,seven,
317,duck,
318,three,
319,cheese,
320,stethoscope,
321,short,
322,fur,
323,four eggs,
324,boy,
325,vegemite,
326,magician,
327,zoo,
328,pig,
329,cheese,
330,carpet,
331,tonight,
332,duck,
333,potato,
334,shell,
335,two cups,
336,flowerpot,
337,car,
338,wood,
339,gorilla,
340,bridge,
341,caterpillar,
342,sausage,
343,three eggs,
344,that,
345,flowerpot,
346,bridge,
347,four,
348,frog,
349,no,
350,stethoscope,
351,mouth,
352,tooth,
353,seven,
354,foot,
355,story,
356,sword,
357,frog,
358,butterfly,
359,spaghetti,
360,thermometer,
361,dessert,
362,cucumber,
363,coconut,
364,tomato,
365,spade,
366,doll,
367,boat,
368,grasshopper,
369,three,
370,martian,
371,gorilla,
372,australia,
