,target_text,pred_str
0,the boy is on skateboard,the boys on skbard
1,the boy snare a dinosaur egg,the bys sn adsu
2,the boy's touching the dinosaur egg,the bys taughtsend the donsl
3,the dinosaur egg is cracking open,the dnsu ad is cra in oi pn
4,the dinosaur egg is opened,the thur aga loypend
5,the boy is hiding behind a tree,the boy is hard in behond a tw
6,dinosaur is in there by himself,donsalr is in there by hesu
7,the dinosaur is still there by himself but on the floor,the dinos saur is still ner by itseulf ba nt r
8,the boy is hiding behind a tree,the boy is hain behond a twe
9,the boy is pet the dinosaur on the head,the boy is pying te din sou on the head
