,target_text,pred_str
0,BIRD,BIRD
1,DETECTIVE,DETECTIVE
2,SHORT,SHORT
3,CLOUD,CLOUD
4,THAT,THAT
5,PIE,PIE
6,XYLOPHONE,XYLOPHONE
7,FOUR O CLOCK,FOUR O CLOCK
8,POTATO,POTATO
9,COW,COW
10,ONE CUP,ONE CUP
11,HAIR,HAIR
12,ONE EGG,ONE EGG
13,SNAKE,SNAKE
14,THERMOMETER,THERMOMETER
15,MOUTH,MOUTH
16,SPAGHETTI,SPAGHETTI
17,SNAKE,SNAKE
18,FOUR CUPS,FOUR CUPS
19,TONIGHT,TONIGHT
20,TWO,TWO
21,BEARD,BEARD
22,HEAD,HEAD
23,COW,COW
24,BANANA,BANANA
25,SPLASH,SPLASH
26,THREE,THREE
27,GORILLA,GORILLA
28,WOOD,WOOD
29,WHEEL,WHEEL
30,FOUR,FOUR
31,MACHINE,MACHINE
32,BAG,BAG
33,TWO CUPS,TWO CUPS
34,MACHINE,MACHINE
35,ZOO,ZOO
36,ZOO,ZOO
37,TREASURE,TREASURE
38,FROG,FROG
39,SHORT,SHORT
40,THERMOMETER,THERMOMETER
41,SHORT,SHORT
42,FOOD,FOOD
43,BOY,BOY
44,TAIL,TAIL
45,SHELL,SHELL
46,HEAD,HEAD
47,LIGHT,LIGHT
48,SPLASH,SPLASH
49,CAR,CAR
50,CARPET,CARPET
51,SAUSAGE,SAUSAGE
52,DUCK,DUCK
53,SPROUT,SPROUT
54,CUCUMBER,CUCUMBER
55,MARTIAN,MARTIAN
56,SPADE,SPADE
57,PLAY,PLAY
58,PULL,PULL
59,KEY,KEY
60,SPIDERWEB,SPIDERWEB
61,WATCH,WATCH
62,BAG,BAG
63,BOAT,BOAT
64,CLOUD,CLOUD
65,EIGHT,EIGHT
66,SPAGHETTI,SPAGHETTI
67,CART,CART
68,BOY,BOY
69,WATCH,WATCH
70,FLOWERPOT,FLOWERPOT
71,CHAIR,CHAIR
72,PULL,PULL
73,BAG,BAG
74,BRIDGE,BRIDGE
75,GORILLA,GORILLA
76,BREATHE,BREATHE
77,SWORD,SWORD
78,CICADA,CICADA
79,SAUSAGE,SAUSAGE
80,BUTTERFLY,BUTTERFLY
81,CROCODILE,CROCODILE
82,SIX,SIX
83,CIRCUS,CIRCUS
84,SEVEN,SEVEN
85,VANILLA,VANILLA
86,GORILLA,GORILLA
87,MARTIAN,MARTIAN
88,POOL,POOL
89,THERMOMETER,THERMOMETER
90,CATERPILLAR,CATERPILLAR
91,YOYO,YOYO
92,CARPET,CARPET
93,SPIDERWEB,SPIDERWEB
94,ATTACK,ATTACK
95,FOUR,FOUR
96,HAIR,HAIR
97,HIPPOPOTAMUS,HIPPOPOTAMUS
98,SNAKE,SNAKE
99,SPROUT,SPROUT
100,WHEEL,WHEEL
101,BAG,BAG
102,AUSTRALIA,AUSTRALIA
103,SIX,SIX
104,BALLOON,BALLOON
105,CHAIR,CHAIR
106,HOLE,HOLE
107,TREASURE,TREASURE
108,TONIGHT,TONIGHT
109,YOYO,YOYO
110,FISH,FISH
111,FIVE,FIVE
112,CAR,CAR
113,RHINOCEROS,RHINOCEROS
114,SEVEN,SEVEN
115,THREE CUPS,THREE CUPS
116,BANANA,BANANA
117,XYLOPHONE,XYLOPHONE
118,SKIRT,SKIRT
119,TOMATO,TOMATO
120,SWORD,SWORD
121,DRINK,DRINK
122,CROCODILE,CROCODILE
123,STRAW,STRAW
124,KITCHEN,KITCHEN
125,TOOTH,TOOTH
126,NO,NO
127,GORILLA,GORILLA
128,FOUR,FOUR
129,TWO EGGS,TWO EGGS
130,NOSE,NOSE
131,SNAKE,SNAKE
132,TWO EGGS,TWO EGGS
133,WOOD,WOOD
134,CUB,CUB
135,CART,CART
136,SEVEN,TEN
137,FUR,FUR
138,DUCK,DUCK
139,GARDEN,GARDEN
140,FOUR O CLOCK,FOUR O CLOCK
141,CATERPILLAR,CATERPILLAR
142,TWO O CLOCK,TWO O CLOCK
143,RHINOCEROS,RIDE
144,COW,COW
145,ONE EGG,ONE EGG
146,ZOO,ZOO
147,MARTIAN,MARTIAN
148,CANOE,CANOE
149,FOUR EGGS,FOUR EGGS
150,JAM,JAM
151,PIE,PIE
152,FOOD,FOOD
153,CHAIR,CHAIR
154,FIVE,FIVE
155,TWO,TWO
156,MOUTH,MOUTH
157,POTATO,POTATO
158,SPROUT,SPROUT
159,CARD,CARD
160,BELLYBUTTON,BELLYBUTTON
161,DESSERT,DESSERT
162,BRIDGE,BRIDGE
163,VEGEMITE,VEGEMITE
164,THERMOMETER,THERMOMETER
165,CROCODILE,CROCODILE
166,CANOE,CANOE
167,CAR,CAR
168,SPLASH,SPLASH
169,YES,YES
170,TWO O CLOCK,TWO O CLOCK
171,BELLYBUTTON,BELLYBUTTON
172,KANGAROO,KANGAROO
173,YES,YES
174,FISH,FISH
175,DOLL,DOLL
176,TWO,TWO
177,STETHOSCOPE,STETHOSCOPE
178,TWO O CLOCK,TWO O CLOCK
179,TWO O CLOCK,TWO O CLOCK
180,YES,YES
181,BOY,BOY
182,CRAB,CRAB
183,HILL,HILL
184,TWO CUPS,TWO CUPS
185,NINE,NINE
186,STORY,STORY
187,GARAGE,GARAGE
188,SKIRT,SKIRT
189,CATERPILLAR,CATERPILLAR
190,GARAGE,GARAGE
191,DOLL,DOLL
192,GRASSHOPPER,GRASSHOPPER
193,CLOUD,CLOUD
194,RHINOCEROS,RHINOCEROS
195,BALL,BALL
196,KEY,KEY
197,MAGICIAN,MAGICIAN
198,TREASURE,TREASURE
199,KEY,KEY
200,OWL,OWL
201,POOL,PULL
202,TOOTH,TOOTH
203,ONE CUP,ONE CUP
204,JAM,JAM
205,BALLOON,BALLOON
206,FIVE,FIVE
207,XYLOPHONE,XYLOPHONE
208,CLOUD,CLOUD
209,TWO O CLOCK,TWO O CLOCK
210,BOY,BOY
211,CHAIR,CHAIR
212,YOYO,YOYO
213,DESSERT,DESSERT
214,MAGICIAN,MAGICIAN
215,BELLYBUTTON,BELLYBUTTON
216,CLOUD,CLOUD
217,HIPPOPOTAMUS,HIPPOPOTAMUS
218,THREE,THREE
219,CATERPILLAR,CATERPILLAR
220,VOICE,VOICE
221,DRINK,
222,MOUTH,MOUTH
223,CIRCUS,CIRCUS
224,TREASURE,TREASURE
225,THREE CUPS,THREE CUPS
226,BALL,BALL
227,FOUR CUPS,FOUR CUPS
228,RHINOCEROS,RHINOCEROS
229,DUCK,DUCK
230,WOOD,WOOD
231,BAG,BAG
232,THERMOMETER,THERMOMETER
233,CARD,CARD
234,DINOSAUR,DINOSAUR
235,NINE,NINE
236,BAG,BAG
237,THREE CUPS,THREE CUPS
238,COCONUT,COCONUT
239,GORILLA,GORILLA
240,GIRL,GIRL
241,TONIGHT,TONIGHT
242,CANOE,CANOE
243,MARTIAN,MARTIAN
244,MARTIAN,MARTIAN
245,PULL,PULL
246,WOOD,WOOD
247,BANANA,BANANA
248,EIGHT,EIGHT
249,NINE,NINE
250,MACHINE,MACHINE
251,FROG,FROG
252,BUTTERFLY,BUTTERFLY
253,CATERPILLAR,CATERPILLAR
254,FIVE,FIVE
255,HOLE,HOLE
256,OWL,OWL
257,XYLOPHONE,XYLOPHONE
258,STETHOSCOPE,STETHOSCOPE
259,ONE,ONE
260,SHORT,SHORT
261,CANOE,CANOE
262,JAM,JAM
263,SPIDERWEB,SPIDERWEB
264,SMILE,SMILE
265,CROCODILE,CROCODILE
266,SPAGHETTI,SPAGHETTI
267,FOUR O CLOCK,FOUR O CLOCK
268,NO,NO
269,GIRL,GIRL
270,THREE CUPS,THREE CUPS
271,DETECTIVE,DETECTIVE
272,WOOD,WOOD
273,FOUR EGGS,FOUR EGGS
274,HIPPOPOTAMUS,HIPPOPOTAMUS
275,DETECTIVE,DETECTIVE
276,DUCK,DUCK
277,ZOO,ZOO
278,FOUR CUPS,FOUR CUPS
279,FIVE,FIVE
280,DOLL,DOLL
281,HILL,HILL
282,FOUR,FOUR
283,KANGAROO,KANGAROO
284,HIPPOPOTAMUS,HIPPOPOTAMUS
285,CUCUMBER,CUCUMBER
286,RIDE,RIDE
287,BUTTERFLY,BUTTERFLY
288,SWING,SWING
289,PULL,PULL
290,GRASSHOPPER,GRASSHOPPER
291,FLOWERPOT,FLERMET
292,KANGAROO,KANGAROO
293,MAGICIAN,MAGICIAN
294,SPLASH,SPLASH
295,SEVEN,SEVEN
296,LIGHT,LIGHT
297,CHAIR,CHAIR
298,FOUR CUPS,FOUR CUPS
299,HILL,HILL
300,ONE,CUB
301,FOOD,FOOD
302,TOOTH,TOOTH
303,BREATHE,BREATHE
304,CARPET,CARPET
305,VEGEMITE,VEGEMITE
306,BUTTERFLY,BUTTERFLY
307,LEAF,LEAF
308,CUCUMBER,CUCUMBER
309,ONE EGG,ONE EGG
310,CLOWN,CLOWN
311,TAIL,TAIL
312,GIRL,GIRL
313,WHEEL,WHEEL
314,THAT,THAT
315,TWO CUPS,TWO CUPS
316,SEVEN,SEVEN
317,DUCK,DUCK
318,THREE,THREE
319,CHEESE,CHEESE
320,STETHOSCOPE,STETHOSCOPE
321,SHORT,SHORT
322,FUR,FUR
323,FOUR EGGS,FOUR EGGS
324,BOY,BOY
325,VEGEMITE,VEGEMITE
326,MAGICIAN,MAGICIAN
327,ZOO,ZOO
328,PIG,PIG
329,CHEESE,CHEESE
330,CARPET,CARPET
331,TONIGHT,TONIGHT
332,DUCK,DUCK
333,POTATO,POTATO
334,SHELL,SHELL
335,TWO CUPS,TWO CUPS
336,FLOWERPOT,FLOWERPOT
337,CAR,CAR
338,WOOD,WOOD
339,GORILLA,GORILLA
340,BRIDGE,DUCK
341,CATERPILLAR,CATERPILLAR
342,SAUSAGE,SAUSAGE
343,THREE EGGS,THREE EGGS
344,THAT,THAT
345,FLOWERPOT,FLOWERPOT
346,BRIDGE,BRIDGE
347,FOUR,FOUR
348,FROG,FROG
349,NO,NO
350,STETHOSCOPE,STETHOSCOPE
351,MOUTH,MOUTH
352,TOOTH,TOOTH
353,SEVEN,SEVEN
354,FOOT,FOOT
355,STORY,STORY
356,SWORD,SWORD
357,FROG,FROG
358,BUTTERFLY,BUTTERFLY
359,SPAGHETTI,SPAGHETTI
360,THERMOMETER,THERMOMETER
361,DESSERT,DESSERT
362,CUCUMBER,CUCUMBER
363,COCONUT,COCONUT
364,TOMATO,TOMATO
365,SPADE,SPADE
366,DOLL,DOLL
367,BOAT,BOAT
368,GRASSHOPPER,GRASSHOPPER
369,THREE,THREE
370,MARTIAN,MARTIAN
371,GORILLA,GORILLA
372,AUSTRALIA,AUSTRALIA
373,AUSTRALIA,AUSTRALIA
374,CATERPILLAR,CATERPILLAR
375,SPROUT,SPROUT
376,PULL,POOL
377,COW,COW
378,COW,COW
379,FOUR CUPS,FOUR CUPS
380,ONE,ONE
381,HAIR,HAIR
382,POTATO,POTATO
383,BIRD,BIRD
384,THUMB,THUMB
385,GARDEN,GARDEN
386,WATCH,WATCH
387,DESSERT,DESSERT
388,HIPPOPOTAMUS,HIPPOPOTAMUS
389,GIRL,GIRL
390,THAT,THAT
391,TOMATO,TOMATO
392,BREATHE,BREATHE
393,GIRL,GIRL
394,ZOO,ZOO
395,BOAT,BOAT
396,CHEESE,CHEESE
397,LEAF,LEAF
398,GRASSHOPPER,GRASSHOPPER
399,GRASSHOPPER,GRASSHOPPER
400,BALLOON,BALLOON
401,ONE,ONE
402,THREE,THREE
403,THERMOMETER,THERMOMETER
404,SEVEN,SEVEN
405,DRINK,DRINK
406,HOLE,HOLE
407,WHEEL,WHEEL
408,DRINK,DRINK
409,BIRD,BIRD
410,AUSTRALIA,AUSTRALIA
411,OWL,OWL
412,THREE,THREE
413,CARPET,CARPET
414,AUSTRALIA,AUSTRALIA
415,DESSERT,DESSERT
416,FROG,FROG
417,TEN,TEN
418,MACHINE,MACHINE
419,CHAIR,CHAIR
420,GARDEN,GARDEN
421,TREASURE,TREASURE
422,MOUTH,MOUTH
423,FOUR,FOUR
424,FOOT,FOOT
425,SKIRT,SKIRT
426,MOUSTACHE,MOUSTACHE
427,SPAGHETTI,SPAGHETTI
428,BEARD,BEARD
429,POTATO,POTATO
430,FOOD,FOOD
431,MACHINE,MACHINE
432,SIX,SIX
433,NINE,NINE
434,SWING,SWING
435,BREATHE,BREATHE
436,DINOSAUR,DINOSAUR
437,CICADA,CICADA
438,DETECTIVE,DETECTIVE
439,THREE O CLOCK,THREE O CLOCK
440,STETHOSCOPE,STETHOSCOPE
441,THREE EGGS,THREE EGGS
442,DUCK,DUCK
443,HOLE,HOLE
444,GRASSHOPPER,GRASSHOPPER
445,FROG,FROG
446,CLOWN,CLOWN
447,SMILE,SMILE
448,GARDEN,GARDEN
449,TWO EGGS,TWO EGGS
450,RIDE,RIDE
451,SWING,SWING
452,GORILLA,GORILLA
453,MOUSTACHE,MOUSTACHE
454,THREE EGGS,THREE EGGS
455,ONE,ONE
456,CARPET,CARPET
457,ATTACK,ATTACK
458,THERMOMETER,THERMOMETER
459,BANANA,BANANA
460,GARDEN,GARDEN
461,TREASURE,TREASURE
462,SNAKE,SNAKE
463,BAG,BAG
464,HIPPOPOTAMUS,HIPPOPOTAMUS
465,FUR,FUR
466,POTATO,POTATO
467,SPROUT,SPROUT
468,FOOD,FOOD
469,HILL,HILL
470,POTATO,POTATO
471,SWING,SWING
472,DUCK,DUCK
473,TOMATO,MOUNTAIN
474,CHEESE,TOOTH
475,NO,NO
476,MOUNTAIN,MOUNTAIN
477,CIRCUS,CIRCUS
478,BUTTERFLY,BUTTERFLY
479,CLOUD,CLOUD
480,CUCUMBER,CUCUMBER
481,MARTIAN,MARTIAN
482,DRINK,DRINK
483,GARDEN,GARDEN
484,TREASURE,TREASURE
485,ONE EGG,ONE EGG
486,THREE,THREE
487,TONIGHT,TONIGHT
488,KEY,KEY
489,RIDE,RIDE
490,SIX,SIX
491,SPROUT,STRAW
492,STORY,STORY
493,GIRAFFE,GIRAFFE
494,FOUR,FOUR
495,RHINOCEROS,RHINOCEROS
496,WHEEL,WHEEL
497,BAG,BAG
498,CLOWN,CLOWN
499,THREE O CLOCK,THREE O CLOCK
500,GARDEN,GARDEN
501,VOICE,VOICE
502,BINOCULARS,BINOCULARS
503,MARTIAN,MARTIAN
504,WATCH,WATCH
505,GRASSHOPPER,GRASSHOPPER
506,THREE EGGS,THREE EGGS
507,STORY,STORY
508,CRAB,CRAB
509,BELLYBUTTON,BELLYBUTTON
510,TEN,TEN
511,SEVEN,SEVEN
512,FOOD,FOOD
513,TREASURE,TREASURE
514,HAIR,HAIR
515,THREE,THREE
516,THAT,THAT
517,SPADE,SPADE
518,BREATHE,BREATHE
519,SPLASH,SPLASH
520,MOUNTAIN,MOUNTAIN
521,VEGEMITE,VEGEMITE
522,SMILE,SMILE
523,CATERPILLAR,CATERPILLAR
524,CARD,CARD
525,COCONUT,COCONUT
526,CICADA,CICADA
527,OWL,OWL
528,MARTIAN,MARTIAN
529,CANOE,CANOE
530,TREASURE,TREASURE
531,THREE CUPS,THREE CUPS
532,STETHOSCOPE,STETHOSCOPE
533,SAUSAGE,SAUSAGE
534,THREE O CLOCK,THREE O CLOCK
535,SKIRT,SKIRT
536,PIG,PIG
537,FOOT,FOOT
538,ONE CUP,ONE CUP
539,VEGEMITE,VEGEMITE
540,TAIL,TAIL
541,JAM,JAM
542,VANILLA,VANILLA
543,ZOO,ZOO
544,AUSTRALIA,AUSTRALIA
545,YOYO,YOYO
546,FOOD,FOOD
547,RIDE,RIDE
548,DETECTIVE,DETECTIVE
549,SIX,SIX
550,FISH,FISH
551,BANANA,BANANA
552,TONIGHT,TONIGHT
553,FOUR,FOUR
554,SPIDERWEB,SPIDERWEB
555,GARAGE,GARAGE
556,BIRD,BIRD
557,GARDEN,GARDEN
558,FROG,FROG
559,TOOTH,TOOTH
560,CLOWN,CLOWN
561,THREE EGGS,THREE EGGS
562,ELEPHANT,ELEPHANT
563,ONE CUP,ONE CUP
564,SKIRT,SKIRT
565,CARD,CARD
566,TWO,TWO
567,NOSE,NOSE
568,ATTACK,ATTACK
569,RHINOCEROS,RHINOCEROS
570,KEY,KEY
571,GARDEN,GARDEN
