,target_text,pred_str
0,JACK HELD THE MAGNETS OVER HIS,JACK HELD MIND OVER HIS
1,WOLFMAN,WOLFMAN
2,INTO,INTO
3,NO ONE COULD HEAR ANYTHING PEOPLE WERE GETTING IN CAR ACCIDENTS AND,NO ONE COULD HEAR ANYTHING PEOPLE WERE GETTING IN CAR ACCIDENTS AND
4,SHIPSHAPE,SHIPSHAPS
5,FOUR,FOUR
6,THURSDAYS,THURSDAYS
7,POETS,POETS
8,THE,TH
9,AND WATCH FOR HIM AND HE WILL SOON COME I DON'T KNOW WHAT YOU MEAN SAID THE BOY BUT HE WENT TO THE GARDEN AND WAIT,AND WATCH FOR HIM AND HE WILL SOON COME I DON'T KNOW WHAT YOU MEAN SAID THE BOY BUT HE WENT TO THE GARDEN AND WAIT
10,ENSURES,ENSURES
11,LOATHE,WHOLE
12,K,K
13,SIX SIX FOUR SEVEN FOUR TWO,SIX SIX FOUR SEVEN FOUR TWO
14,WELL,WELL
15,SIDE,A SIDE
16,DO RESEARCH ABOUT EYESIGHT,DUE RESEARCH ABOUT EYESIGHT
17,BRIEFCASE,BRIEFCASE
18,ON,ON
19,HOW,HAW
20,THEM,THAN
21,MAUI,MAUI
22,GRAVESTONE,GRAPESTONE
23,WAIT,REALLY
24,UP,WAP
25,IF YOU LIKE IT OR ELSE YOU WILL BE SORRY,IF YOU LIKE IT OR ELSE YOU WILL BE SORRY
26,COULD,COULD
27,SHE PUT HER THINGS IN TO HER BACKPACK THE PLANE LANDED,SHE PUT HER THINGS INTO HER BACKPACK THE AIRPLANE LANDED
28,SHE,SHE
29,ACROSS,ACROSS
30,WEEKDAYS,WEEKDAYS
31,QUIET,QUIET
32,FIVE,I'VE
33,A YACHT SLID AROUND THE POINT INTO THE BAY,A YACHT SLID AROUND THE POINT INTO THE BAY
34,ANDS HUSBANDS,HUSBANDS
35,OH NO SAID SAID CHIEF SANDERS JUST WHEN THINGS WERE GO GOING GOOD IN FRANKSVILLE,OH NO SA SAID CHIEF SANDERS JUST WHEN THINGS WERE GO GOING GOOD IN FRANKSVILLE
36,OOZING,OOZING
37,CONCRETE,CON TREE
38,GREEN RED BLUE GREEN BLUE RED BLUE GREEN BLUE GREEN RED GREEN BLUE GREEN BLUE GREEN RED BLUE RED GREEN RED GREEN BLUE GREEN RED,GREEN RED BLUE GREEN BLUE RED BLUE GREEN BLUE GREEN RED GREEN BLUE GREEN BLUE GREEN RED BLUE RED GREEN RED GREEN BLUE GREEN RED
39,WHAT,WHAT
40,SOON A BIRD CAME HOPPING BY,SUN A BALL CAME UP IN THE
41,THREE FIVE SIX FOUR SEVEN SIX, ಮರಿಕರಿಕರ
42,CASHFLOW,CASHFLOW
43,THERE JO WAS MISTAKEN FOR NEXT DAY SHE MADE A DISCOVERY WHICH PRODUCED A TEMPE TEMPEST,THERE JA WAS MISTAKEN FOR NEXT DAY SHE MADE A SCOOTERY WHICH PRODUCED A TEMPEST TEMPEST
44,UNEARTHED,UNEARTHED
45,NO NO PLEASE DON'T PLAY YOUR OLD FLUTE BEGGED DOCTOR WONG BUT IT WAS TOO LATE JOHN HAD STARTED PLAYING,NO NO PLEASE DON'T PLAY YOU'RE A FLUTE BEGGED DOCTOR WONG BUT IT WAS TOO LATE JOHN HAD STARTED PLAYING
46,AND YOU KNOW WHAT THOSE STUPID GERBILS DIDN'T EVEN THANK ME THEY JUST RAN ON THAT STUPID WHEEL AND DID STUPID THINGS,AND YOU KNOW WHAT THOSE STUPID GERBILS DIDN'T EVEN THANK ME THEY JUST RAN ON THAT STUPID WHEEL AND DID STUPID THINGS
47,REGIME,REGIME
48,MAUI,MAUI
49,IS,IS
50,THE ENDS,T ENDS
51,ROUGE,ROUGE
52,JACOB,JAYGOB
53,RACER WAS SO HAPPY THAT HE COULD RUN AS FAST AS THAT HE RAN AND RAN IN CIRCLES,RACER WAS SO HAPPY THAT HE COULD RUN AS FAST AS THAT HE RAN AND RAN IN CIRCLES
54,HE ALWAY,HE ALWAY
55,IT'S NOT THAT YOU AREN'T SELLING ENOUGH STUFFED PANDA BEARS IT'S JUST THAT THERE HAVEN'T BEEN ENOUGH PEOPLE COMING TO SEE YOU IN THE FIRST PLACE I THINK WHAT THE ZOO NEEDS IS A GREAT ADVERTISING CAMPAIGN,IT'S NOT THAT YOU AREN'T SELLING OF STUFFED PANDA BEARS IT'S JUST THAT THERE HAVEN'T BEEN ENOUGH PEOPLE COMING TO SEE YOU IN THE FIRST PLACE I THINK WHAT THE ZOO NEEDS IS A GREAT ADVERTISING CAMPAIGN
56,KNEW,NEW
57,WHAT,WHAT
58,COWHERD,COWHERD
59,SHOWED,SHOWED
60,AND,AND
61,WITH,WITH
62,CAN SHARE,MAR
63,SMOOTHS,SMOOTH
64,SNAKE,SNAKE
65,STALLSMITH, STOLSMITH
66,PUT THE RED EN AT,PUT THE RED AND AND
67,AUNT GRACE SAID TO MARK AND CHRISTI TERRY AT THE N A C S A,AND GRACE SAID TO MARK AND CHRISTI TERRY AT THE NACSA
68,NEWSLINK,NEWSLINK
69,WE ALL LOOKED AT EACH OTHER OTHER TRYING TO GLEAN SOMETHING EACH FROM THE OTHER,WE ALL LOOKED AT EACH OTHER OTHER TRYING TO GLEAN SOMETHING EACH FROM THE OTHER
70,RED,RED
71,TOO,TWO
72,BUT HOW MANY MILLIONS OF CREATURES THERE MUST HAVE BEEN,BUT HOW MANY MILLIONS OF CREATURES THERE MUST HAVE BEEN
73,MOUTHPART,MOUTHPART
74,ISN'T HE KNOWN AS THE MOST BRILLIANT JOURNALIST IN NEW YORK,ISN'T HE KNOWN AS THE MOST BRILLIANT JOURNALIST IN NEW YORK
75,RED,RED
76,I'LL I WILL USE,ALL I WILL USE
77,OU THE BROWN HOUSE WAS ON FIRE TO THE ATTIC,O THE BROWN HOUSE WAS ON FIRE TO THE ATTIC
78,LION,LION
79,THE WATER IS BAD TO DRINK,THE WATER IS BAD TO DRINK
80,BOYHOOD,BOYHOOD
81,UH,UH
82,EVERY FOUR YEARS TURTLES FROM ALL OVER THE LAND WOULD CRAWL TO GREAT POND,EVERY FOUR YEARS TURTLES FROM ALL OVER THE LAND WOULD CRAWL TO GREAT POND
83,DOLPHIN,DOLPHIN
84,E ANCIENT COIN WAS QUITE DULL AND WARM W,THE ANCIENT COIN WAS QUITE DULL AND WARM
