filepath,transcription_clean
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ks737/ks737210.wav,lethargic
/srv/scratch/chacmod/OGI/speech/scripted/05/2/ks507/ks5075b0.wav,our tent can hold six people
/srv/scratch/chacmod/OGI/speech/scripted/03/3/kse47/kse473h0.wav,push
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ksk14/ksk147u0.wav,three
/srv/scratch/chacmod/OGI/speech/scripted/03/2/ks338/ks338500.wav,the flood took a car down the street
/srv/scratch/chacmod/OGI/speech/scripted/10/1/ksl2v/ksl2v240.wav,loyal
/srv/scratch/chacmod/OGI/speech/scripted/03/0/ks30f/ks30f0p0.wav,civilized
/srv/scratch/chacmod/OGI/speech/scripted/00/9/ksb17/ksb17850.wav,twenty
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks13a/ks13a7c0.wav,stepfather
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks135/ks1352i0.wav,napkin
/srv/scratch/chacmod/OGI/speech/scripted/08/1/ksj1d/ksj1d560.wav,even your ears sweat in a sauna
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ks63a/ks63a2j0.wav,nine
/srv/scratch/chacmod/OGI/speech/scripted/09/0/ks91d/ks91d5m0.wav,they put my computer next to the books
/srv/scratch/chacmod/OGI/speech/scripted/04/2/ks412/ks4125f0.wav,put the key in the key hole
/srv/scratch/chacmod/OGI/speech/scripted/03/3/kse3n/kse3n6d0.wav,the flea chased the dog
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ks719/ks719610.wav,he was really nice to us
/srv/scratch/chacmod/OGI/speech/scripted/09/1/ksk0e/ksk0e3d0.wav,playhouse
/srv/scratch/chacmod/OGI/speech/scripted/10/0/ksa11/ksa111o0.wav,homemaking
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ksh0i/ksh0i580.wav,his car thundered down the road
/srv/scratch/chacmod/OGI/speech/scripted/03/0/ks33d/ks33d6f0.wav,we watched television during dinner
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks10y/ks10y3s0.wav,scrapbook
/srv/scratch/chacmod/OGI/speech/scripted/05/0/ksg0f/ksg0f3s0.wav,scrapbook
/srv/scratch/chacmod/OGI/speech/scripted/10/1/ksa3m/ksa3m4u0.wav,stewart has five friends in richmond
/srv/scratch/chacmod/OGI/speech/scripted/02/4/ks237/ks237410.wav,i don't clean windows
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ks60p/ks60p0r0.wav,concept
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks40q/ks40q0d0.wav,biology
/srv/scratch/chacmod/OGI/speech/scripted/03/3/ks341/ks3416p0.wav,seven
/srv/scratch/chacmod/OGI/speech/scripted/03/0/ks30f/ks30f2n0.wav,nuclear
/srv/scratch/chacmod/OGI/speech/scripted/01/3/ksc3f/ksc3f5j0.wav,will you sing this song
/srv/scratch/chacmod/OGI/speech/scripted/08/4/ksj2x/ksj2x480.wav,we've just started the egg toss
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd49/ksd495y0.wav,he breathed a sigh of relief
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks135/ks1350u0.wav,crenshaw
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks20q/ks20q6z0.wav,smashed
/srv/scratch/chacmod/OGI/speech/scripted/08/4/ksj2x/ksj2x6v0.wav,shortchange
/srv/scratch/chacmod/OGI/speech/scripted/09/2/ksk1h/ksk1h020.wav,announce
/srv/scratch/chacmod/OGI/speech/scripted/05/4/ksg3g/ksg3g6j0.wav,we gathered sticks for the fire
/srv/scratch/chacmod/OGI/speech/scripted/07/4/ks739/ks7393y0.wav,you didn't arrive too late
/srv/scratch/chacmod/OGI/speech/scripted/07/4/ksi3j/ksi3j450.wav,i'm good with things like that
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ks616/ks6165t0.wav,please offer them a dinner mint
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ksd18/ksd182y0.wav,oasis
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks13z/ks13z440.wav,that pink marble cost me a dollar
/srv/scratch/chacmod/OGI/speech/scripted/02/0/ks20r/ks20r1y0.wav,kingpin
/srv/scratch/chacmod/OGI/speech/scripted/03/1/ks308/ks308580.wav,his car thundered down the road
/srv/scratch/chacmod/OGI/speech/scripted/05/2/ks509/ks509760.wav,spoons
/srv/scratch/chacmod/OGI/speech/scripted/10/4/ksa3j/ksa3j3x0.wav,we've had a wonderful night
/srv/scratch/chacmod/OGI/speech/scripted/03/4/ks313/ks313410.wav,i don't clean windows
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksl0h/ksl0h5k0.wav,buying the ring took all of my money
/srv/scratch/chacmod/OGI/speech/scripted/03/1/kse09/kse098h0.wav,warmth
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks20j/ks20j6s0.wav,shirt
/srv/scratch/chacmod/OGI/speech/scripted/09/0/ks91f/ks91f3v0.wav,the young emperor could not spell
/srv/scratch/chacmod/OGI/speech/scripted/03/4/ks316/ks3168k0.wav,weatherproof
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ksi3p/ksi3p630.wav,that was an odd decision
/srv/scratch/chacmod/OGI/speech/scripted/03/3/ks32z/ks32z0i0.wav,cashflow
/srv/scratch/chacmod/OGI/speech/scripted/01/2/ks12s/ks12s7y0.wav,toothpaste
/srv/scratch/chacmod/OGI/speech/scripted/06/4/ksh0r/ksh0r420.wav,the cows' hay was not dry yet
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa3t/ksa3t8n0.wav,withdrawn
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ksb0l/ksb0l8e0.wav,vaulted
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ksh01/ksh018e0.wav,vaulted
/srv/scratch/chacmod/OGI/speech/scripted/10/1/ksl04/ksl046x0.wav,six
/srv/scratch/chacmod/OGI/speech/scripted/07/0/ks730/ks7306f0.wav,we watched television during dinner
/srv/scratch/chacmod/OGI/speech/scripted/03/1/kse0i/kse0i100.wav,digested
/srv/scratch/chacmod/OGI/speech/scripted/03/1/ks332/ks3320l0.wav,chalk
/srv/scratch/chacmod/OGI/speech/scripted/04/1/ks43d/ks43d550.wav,the herd became angry and started a stampede
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd41/ksd415r0.wav,her veins pop out when she is mad
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks43k/ks43k6p0.wav,seven
/srv/scratch/chacmod/OGI/speech/scripted/03/1/ks30h/ks30h2r0.wav,two six four zero two four six
/srv/scratch/chacmod/OGI/speech/scripted/05/3/ks53d/ks53d3l0.wav,represents
/srv/scratch/chacmod/OGI/speech/scripted/03/3/kse0t/kse0t740.wav,sour
/srv/scratch/chacmod/OGI/speech/scripted/10/1/ksa3n/ksa3n870.wav,underneath
/srv/scratch/chacmod/OGI/speech/scripted/04/4/ksf39/ksf390y0.wav,depths
/srv/scratch/chacmod/OGI/speech/scripted/07/2/ksi3o/ksi3o7t0.wav,thousand
/srv/scratch/chacmod/OGI/speech/scripted/09/1/ks90r/ks90r4u0.wav,stewart has five friends in richmond
/srv/scratch/chacmod/OGI/speech/scripted/10/0/ksl1e/ksl1e1o0.wav,homemaking
/srv/scratch/chacmod/OGI/speech/scripted/03/0/ks303/ks3034e0.wav,jason likes playing with garfield
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ksk14/ksk14600.wav,because my leg is sore
/srv/scratch/chacmod/OGI/speech/scripted/02/2/ks20w/ks20w5g0.wav,take off your hat
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ks63e/ks63e4x0.wav,knights don't get scared of dragons
/srv/scratch/chacmod/OGI/speech/scripted/08/3/ks80i/ks80i5r0.wav,her veins pop out when she is mad
/srv/scratch/chacmod/OGI/speech/scripted/02/2/ks24c/ks24c1b0.wav,faithful
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa2y/ksa2y0m0.wav,chewy
/srv/scratch/chacmod/OGI/speech/scripted/08/3/ksj35/ksj356z0.wav,smashed
/srv/scratch/chacmod/OGI/speech/scripted/10/3/ksl0c/ksl0c7p0.wav,temptation
/srv/scratch/chacmod/OGI/speech/scripted/04/2/ksf04/ksf043e0.wav,playoffs
/srv/scratch/chacmod/OGI/speech/scripted/07/4/ksi3s/ksi3s7v0.wav,throughout
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks93x/ks93x2x0.wav,one eight one seven six four three
/srv/scratch/chacmod/OGI/speech/scripted/05/0/ksg47/ksg477c0.wav,stepfather
/srv/scratch/chacmod/OGI/speech/scripted/04/0/ks43q/ks43q7r0.wav,thanks
/srv/scratch/chacmod/OGI/speech/scripted/02/4/ksd3r/ksd3r850.wav,twenty
/srv/scratch/chacmod/OGI/speech/scripted/07/1/ksi3x/ksi3x010.wav,allowing
/srv/scratch/chacmod/OGI/speech/scripted/08/3/ksj3t/ksj3t0d0.wav,biology
/srv/scratch/chacmod/OGI/speech/scripted/09/2/ksk12/ksk122u0.wav,four six four two nine five four
/srv/scratch/chacmod/OGI/speech/scripted/03/3/kse0t/kse0t0d0.wav,biology
/srv/scratch/chacmod/OGI/speech/scripted/07/1/ksi3n/ksi3n720.wav,snake
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ksh01/ksh01300.wav,obstacle
/srv/scratch/chacmod/OGI/speech/scripted/10/3/ksa0y/ksa0y1r0.wav,hourly
/srv/scratch/chacmod/OGI/speech/scripted/08/1/ksj06/ksj066x0.wav,six
/srv/scratch/chacmod/OGI/speech/scripted/07/1/ks70k/ks70k380.wav,pathetic
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ksh1b/ksh1b3d0.wav,playhouse
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks93x/ks93x8a0.wav,unwilling
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks907/ks907800.wav,town
/srv/scratch/chacmod/OGI/speech/scripted/08/3/ks82s/ks82s670.wav,the car went too fast
/srv/scratch/chacmod/OGI/speech/scripted/02/2/ksd2y/ksd2y0c0.wav,bigfoot
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ksi1c/ksi1c650.wav,i have ice cream for you
/srv/scratch/chacmod/OGI/speech/scripted/09/1/ks91a/ks91a4z0.wav,we should try to save the whales
/srv/scratch/chacmod/OGI/speech/scripted/10/1/ksa3o/ksa3o560.wav,even your ears sweat in a sauna
/srv/scratch/chacmod/OGI/speech/scripted/07/4/ksi3j/ksi3j040.wav,aspire
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks90z/ks90z400.wav,greet me with open arms
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ks635/ks6353a0.wav,payouts
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ks62s/ks62s2z0.wav,objected
/srv/scratch/chacmod/OGI/speech/scripted/02/4/ksd3e/ksd3e130.wav,earthquake
/srv/scratch/chacmod/OGI/speech/scripted/06/0/ks60d/ks60d7c0.wav,stepfather
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ks61l/ks61l1b0.wav,faithful
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks90b/ks90b7q0.wav,ten
/srv/scratch/chacmod/OGI/speech/scripted/08/4/ks81a/ks81a3x0.wav,we've had a wonderful night
/srv/scratch/chacmod/OGI/speech/scripted/08/1/ksj1d/ksj1d3d0.wav,playhouse
