,target_text,pred_str
0,bird,sbird
1,detective,sdetective
2,short,sshort
3,cloud,tonsnake
4,that,tonone cup
5,pie,spie
6,xylophone,sxylophone
7,four o clock,sfour o clock
8,potato,spotato
9,cow,scow
10,one cup, one cup
11,hair,shair
12,one egg,sone egg
13,snake,ssnake
14,thermometer,sstherm
15,mouth,smouth
16,spaghetti,tonone cup
17,snake,ssnake
18,four cups,sfour cups
19,tonight, tonight
20,two,stwo
21,beard,sbeard
22,head,shead
23,cow,scow
24,banana,sbanana
25,splash,ssplash
26,three,sthree
27,gorilla,sgorilla
28,wood,swood
29,wheel,tonone cup
30,four,tonone cup
31,machine,smachine
32,bag,sbag
33,two cups,stwo cups
34,machine,tonmmachine
35,zoo, zoo
36,zoo,tonmountain
37,treasure,streasure
38,frog,sfrog
39,short,sshort
40,thermometer,tonmountain
41,short,sshort
42,food,sfood
43,boy,sboy
44,tail,tonmoustache
45,shell,sshell
46,head,shead
47,light,slight
48,splash,tonmoustache
49,car, car
50,carpet,scarpet
51,sausage,ssausage
52,duck,tonmethy
53,sprout,ssprout
54,cucumber, cucumber
55,martian,smartian
56,spade,sspade
57,play,splay
58,pull,spull
59,key, moustache
60,spiderweb,sspiderweb
61,watch,swatch
62,bag,sbag
63,boat,tonone cup
64,cloud,tonone cup
65,eight,seight
66,spaghetti,sspaghetti
67,cart,scart
68,boy,sboy
69,watch,tonmountain
70,flowerpot,sflowerpot
71,chair,schair
72,pull,spull
73,bag,sbag
74,bridge,sbridge
75,gorilla,sgorilla
76,breathe,sbreathe
77,sword,ssword
78,cicada, cicada
79,sausage,ssausage
80,butterfly,sbutterfly
81,crocodile,scrocodile
82,six,ssix
83,circus,scircus
84,seven,sseven
85,vanilla, timevanilla
86,gorilla,tonone cup
87,martian,smartian
88,pool,smatermelon
89,thermometer, thermometer
90,caterpillar,scaterpillar
91,yoyo, yoyo
92,carpet,scarpet
93,spiderweb,sspiderweb
94,attack,sattack
95,four,sfour
96,hair,shair
97,hippopotamus,shippopotamus
98,snake,ssnake
99,sprout,ssprout
100,wheel,swheel
101,bag,sbag
102,australia,saustralia
103,six,ssix
104,balloon,sballoon
105,chair,schair
106,hole,shole
107,treasure,streasure
108,tonight,stonight
109,yoyo, yoyo
110,fish,sfish
111,five,sfive
112,car,scar
113,rhinoceros,srhinoceros
114,seven,sseven
115,three cups,sthree cups
116,banana, banana
117,xylophone,sxylophone
118,skirt,sskirt
119,tomato,stomato
120,sword,ssword
121,drink, drink
122,crocodile, crocodile
123,straw,sstraw
124,kitchen,skitchen
125,tooth,stooth
126,no,sno
127,gorilla, gorilla
128,four,sfour
129,two eggs,stwo eggs
130,nose,snose
131,snake,ssnake
132,two eggs,tonone egg
133,wood,swood
134,cub,scub
135,cart,scart
136,seven,tonmountain
137,fur,sfur
138,duck,sduck
139,garden,sgarden
140,four o clock,sfour o clock
141,caterpillar,scaterpillar
142,two o clock,stwo o clock
143,rhinoceros,srhinoceros
144,cow, moustache
145,one egg,
146,zoo,szoo
147,martian,smartian
148,canoe,scanoe
149,four eggs,sfour eggs
150,jam,tonone cup
151,pie,spie
152,food,sfood
153,chair,schair
154,five,sfive
155,two,stwo
156,mouth,smouth
157,potato,spotato
158,sprout,ssprout
159,card, one cup
160,bellybutton,sbellybutton
161,dessert,spspade
162,bridge,sbridge
163,vegemite,svegemite
164,thermometer,sthermometer
165,crocodile,tonone cup
166,canoe,scanoe
167,car,scar
168,splash,ssplash
169,yes,syes
170,two o clock,stwo o clock
171,bellybutton,sbellybutton
172,kangaroo,skangaroo
173,yes,…yes
174,fish,tonmethy
175,doll,sdoll
176,two,stwo
177,stethoscope,sstethoscope
178,two o clock, timetwo o clock
179,two o clock,tonmountain
180,yes, yes
181,boy,sboy
182,crab,scrab
183,hill,shill
184,two cups,stwo cups
185,nine,snine
186,story,sstory
187,garage,sgarage
188,skirt,sskirt
189,caterpillar,scaterpillar
190,garage,sgarage
191,doll,sdoll
192,grasshopper, grasshopper
193,cloud,scloud
194,rhinoceros, rhinoceros
195,ball,sball
196,key,skey
197,magician,smagician
198,treasure, one cup
199,key,skey
200,owl,sowl
201,pool,spull
202,tooth,stooth
203,one cup,sone cup
204,jam,sjam
205,balloon,sballoon
206,five,sfive
207,xylophone,sxylophone
208,cloud,scloud
209,two o clock,stwo o clock
210,boy,sboy
211,chair,schair
212,yoyo, yoyo
213,dessert,
214,magician,smagician
215,bellybutton,sbellybutton
216,cloud,scloud
217,hippopotamus,shippopotamus
218,three,sthree
219,caterpillar,scaterpillar
220,voice,svoice
221,drink,sdrink
222,mouth,smouth
223,circus,scircus
224,treasure,streasure
225,three cups,sthree cups
226,ball,sball
227,four cups,sfour cups
228,rhinoceros,srhinoceros
229,duck, one cup
230,wood,swood
231,bag,sbag
232,thermometer, thermometer
233,card,scard
234,dinosaur,sdinosaur
235,nine,snine
236,bag,sbag
237,three cups,sthree cups
238,coconut, mountain
239,gorilla,sgorilla
240,girl,tonm
241,tonight, tonight
242,canoe, canoe
243,martian,smartian
244,martian,smartian
245,pull,spull
246,wood,swood
247,banana, banana
248,eight,seight
249,nine,snine
250,machine,smachine
251,frog,sfrog
252,butterfly,sbutterfly
253,caterpillar,scaterpillar
254,five,sfive
255,hole,shole
256,owl,sowl
