,target_text,pred_str
0,arrive very good so now i want you to tell me what happens in each picture,edaright vear ay good sua now i want you dit tell you what happenes in thipeach
1,the the boy got touch the egg on the skateboard,that the boy got touched the eg on his scape board
2,the boy hugs the egg,the boy hug zeg
3,the boy hugged the egg,the boy huge the eg
4,and it cracked,and it clrat
5,the dinosaur camed out,the diamns holl came d out
6,the dinosaur was licking the boy,the diaof au was loocking the boy
7,the boy was hiding,thehem boy was thiing
8,the dinosaur is upset,the siralnob he
9,the dinosaur is crying,the dazles crowying
10,the boy was laughing,the boy was own wlathing
11,the boy was patting the dinosaur,down blews pausing the dinostall
12,the boy gave the his milk bottle to the dinosaur,down boy gave his milk boyl to the ziarsal
13,the the boys are laughing,the the boys saw  lafhing
14,the boy was just riding his skateboard,the boy was just riting he as scape board
15,the while the boy was riding the skateboard he fell off and bounced into an egg,while the boy was rizing ascap bwoard he fell off and baunce into an eg
16,he looked to see what was inside of the egg  egg,he looked to see what was inside of the e eg
17,while doing that the egg cracked open and he was like shocked,while doing that the eg cracked open and he was like shocked
18,a dinosaur appeared from the egg and yeah,h a dino saw appeared from the egg and ye
19,the boy fell over the dinosaur came out of the egg and the boy fell over,the boy fell overm the dine saill came out tlhe eg and the boifelaver
20,the boy hid from the dinosaur behind the tree,the boy hidged from the dinasaurd behind the tree
21,dinosaur was looking for the boy,hedinosauwbes looking for the boy
22,and then got sad because he couldn't find the boy,nd then got sad cause he couldn't find the boy
23,and then the boy looked at the dinosaur,nd then the boy looked at the dinosaw
24,and they patted him on the head,and they patden't him on the head
25,and  they fed him his milk,enthey fed him his milk
26,and they stop laughing at the dinosaur,they stowt laufhing at the diano saw
27,the boy is on the skateboard and he's rolling around the and is about to see the egg,the boy is on the scape board and i his rolling a round the and its about to see the eg
28,the the boy bumped into the egg,thethe boy bumpetd into the eg
29,the boy is listening to see if there is anything in the egg,the boy is lisning to see if there is anything in the ank
30,the egg is opening and the boy is surprised,the eg is opening and the boy is supprised
31,the boy is really surprised that a dinosaur came out of the egg,the boy is really supprised that a diana sau came out of the eg
32,the boy is scared of the dinosaur,the boy is scare of the tinsal
33,the boy is hiding from the dinosaur,the boy is hiding from the dinosall
34,the dinosaur is is the boy the dinosaur is sad that the boy has has run away from him or her,the dianosau issthe boynd the dianosaw sad that the boy has e his rot has run away from him
35,the the  the dinosaur is really sad and is lying down,therdther dot of the diano saw its realy sad and is lying too down
36,and,
37,the the boy is thinking whether he should go over and say hello to the dinosaur,ther raol the boy is thinking whether he should go over ando say how low to the dinorsill
38,really,rearely f
39,the the boy went to meet the dine dinosaur and see if it's ok,thethe boy went to meet the diane a ot a dinosore in sif it's okay
40,the boy is giving the dinosaur it's his baby bottle,the boy is giveing tha under saw itsmh his baby bottle
41,the boy think thinks it's funny when the dinosaur is sucking from it,the boy think it thinks it's funny when the dinosaur is sufcking from it
42,hulk was riding backwards on a skateboard and he hits an egg,hal k was hiding backwards on the scarpboard and he hitcs an eg
43,he's curious to see what's inside the egg and listens to the egg,ie's curious to see whatch inside the ege and litsincs to the eg
44,the egg starts cracking near the top and hulk is scared by this,the egg sets cracking near the top and h is scared by this
45,a dinosaur jumps out and hulk is scared,a dianasaw dramps out and halk is scare
46,the dinosaur tries to play with hulk but hulk is very scared,the dina au crise saird play with hal but halk is very scartd
47,hulk tries to hide from the dinosaur and is still very scared,halk trise to hide from the dinorsal and its still very scaret
48,the dinosaur is looking around for hulk and he can't find hulk,the diana sal was looking around for halp and he can't find help
49,the dinosaur is sad,the dinos always sad
50,hulk looks at the dinosaur and feels bad about this,a'll looks at the dino saur and feels bad about this
51,hulk feeds the dinosaur the milk,hawlk feeds the diner saug of the milk
52,laughing while the dinosuar is drinking the milk,laughing while the dianorsaur is cranking fo milk
53,the green skined baby is riding a skateboard holding a bottle of milk,the gren skind baby is riting a scape board holding a boddle of milk
54,the green skined baby is bouncing off the dinosaur egg holding the bottle of milk,the greane skin baby is bouncing off the dinosar eg holding the bodbl of milk
55,the green baby is holding the bottle of milk while listening inside the dinosaur egg,the gren babye is holding the boll of milk while lisening inside the dinosal egg
56,the green baby is holding the bottle of milk while the dinosaur egg is hatching,the green babiears holding the bodl of milk while the dinosaw egg is hatching
57,the green baby is holding the bottle of milk while the dinosaur is poking his head out of the egg,the green bab is holding the botle of milk whye the dina saw is poking his head out of the eg
58,the green baby is holding the bottle of milk while the green dinosaur has jumped out of the egg,the gren babis holding the bolle of milk while the gren dina saw has jumped out of the egg
59,the green baby is holding the bottle of milk and hiding behind the tree from the dinosaur,the green bab is holding the bodle of milk and hiding behind the tree from the dinosal
60,the green dinosaur is looking for the green baby,the green diano sawas looking for the green babie
61,the green dinosaur is on the ground being sad,the grein diana sauw is on the ground being sad
62,the green baby has second thoughts about playing with the dinosaur,the grene babie has second thoughts about plaing with the dinosalle
63,the green baby goes over to the green dinosaur and comforts him,the green babye gows over to the grean dianosaulhl and comferts him
64,the green baby stuffs his bottle of milk into the green dinosaur's mouth,the grean babye stoffsas boll of milk into the gran dianao saugh's mouth
65,the green baby is laughing while the green dinosaur has a bottle of milk in his mouth,the gren babies laughing while the grean dinorsauw heas a boll of milk in his mouth
66,he's skateboarding,he's scafebording
67,and then he finds an egg,and then he finds a ege
68,he bumps into the egg and feels sad,he bumps into the eg and feel sad
69,he hears what's inside the egg,he hears ots inside the aht
70,the egg was cracking,the egg was cracking
71,he was surprised because the dinosaur came out,he was supprised because the danosall came owut
72,he was sad that there was a dinosaur,he was sad that there was a diamn soorl
73,he hide behind the tree,he hide behind the tree
74,the dinosaur looks around for human feel sad,the've done i saurl looks around for him and feel sad
75,the dinosaur lies on the floor,the diano sau lize on the floor
76,the baby feel sad,the babie fel sad
77,the baby wants to pet him,the babie wants to pack him
78,and then he feeds him his milk,and then he feeds him his milk
79,the baby feel happy,the babie feel happy
80,he was on a skateboard,he was on a scape board
81,he bumped into a egg,he bombed in to her eg
82,the egg is hatching,beg is hatching
83,there's a dinosaur,oes ta dano soure
84,there's a dinosaur near him,tis ta diana sauwre near him
85,he went away and hiding,tuw in rah and hide
86,he's hiding behind a tree,is huitting behind the tree
87,he's sad,he's sad
88,he's lonely,his lownly
89,the boy's sad that he made him sad,the boys sad that he made him sad
90,he's calm making him calm down,his cat making him come down
91,put his bottle in his mouth,put his bottle in his mouth
92,he's laughing,he laugh end
93,there was a dinosaur,the hare was a dim so
94,he was on the skateboard,pete wotsh on the scape board
95,he was listening to the egg,heve was weats cluenting tfor the at
96,the egg was cracking,the adg was claking
97,the dinosaur poke out his head,ther diames silp poke out ifs head
98,the dinosaur was about to lick him,the dinosal was about to liock him
99,he was hiding,he was hiting
100,the dinosaur was sad,the on the culr was sat
101,and the dinosaur was lying down,and the dn csal was fran down
102,and he was looking at the dinosaur,and he was looking at the dyaon soaurp
103,he was touching the dinosaur,he was caing the dianor saur
104,and he feed the dinosaur his milk,on he feed the diamn tfoars milk
105,and then he laugh,mon he lat
106,he is riding his skateboard,he's ridting his scape board
107,he crashes into the egg the dinosaur egg,he crashes in to the eg the dones leg
108,and then he got upset,and then he got up sat
109,then he listened to the egg when he fell off,then he listened to the egg when he fell off
110,and the egg started hatching,and the eg eded hatching
111,it started cracking and then,it sawti cracking and then
112,he was shocked,he was chocked
113,and then a little like dinosaur popped out of it,and then a little like diana saw poped out of
114,scared and worried and he was confused,scartd and worrieden he was confused
115,and then the dinosaur just was hopped out of the egg,and then the diana sawr would hoppd out of the egg
116,the boy's like startled to the ground,the boyslte startled to the ground
117,and he ran and hid from the dinosaur,and he ran and hid from the dianosaull
118,cuz he thought the dinosaur would eat him,could he thougt the dianasal would eat him
119,but the dinosaur looked around and then he got sad that the guy left,but the diano sawh looked around and then he got sad that the gy left
120,and that's him lying on the groung like being upset because,and that's him lying on the ground like being upset because
121,he can't find his friend,phete can find his friends
122,and then the boy felt sorry,and then the boy felt sorry
123,well he was hiding because the dinosaur was sad,well he was hiding because the dinous always sad
124,and so he went over and petted the dinosaur,and so he went over and pautte the dianasall
125,and gave the dinosaur some of his milk,and gave the dianosaursome of his milk
126,he started laughing,he staorteb lofhing
127,because the dinosaur looked funny,because the dianmeosawr looked funny
128,baby hulk was riding on a skateboard and then he crashed into an egg,hebabi howk was riting on the scape board and then he craushed into an eck
129,he hurt the egg,he hurd the eg
130,he put his ear up to it,he put his ear up to it
131,the egg started cracking,the egg started cracking
132,and the egg cracked and the dino baby dinosaur came out,and the eg cracked and e dian babiy dianeosall came out
133,the baby dinosaur was excited when a,the babie diano sa was excited one of
134,and went up to baby hulk but he was scared,and went up to vebiho but he was scarede
135,so he ran and hid behind a tree,so he ran and hid behind a tree
136,and the baby dinosaur didn't know where he was,and the babiy di an sai didn't know where he was
137,and then he was sad,and then he was sad
138,the baby dino being sad made baby hulk sad,the babie dian a being sad made babiy o sad
139,so he went up to the dinosaur and petted him on the head,so he went up to the dina sauwl and pattered him on the head
140,then gave him his bottle,then gave him his bottle
141,and then he found it funny,and then he found it funny
142,the boy is on skateboard,the boyes on scape board
143,the boy snare a dinosaur egg,the boys neare a o
144,the boy's touching the dinosaur egg,the boesplot int the daer
145,the dinosaur egg is cracking open,the don saw ae is quat in opend
146,the dinosaur egg is opened,thethn saow a its all it pend
147,the boy is hiding behind a tree,thebory is tadem behind a twey
148,dinosaur is in there by himself,dnsaow is n there by hes scawl
149,the dinosaur is still there by himself but on the floor,thet of or ifs still theare by its self  ondfloor
150,the boy is hiding behind a tree,the boy is harder behinde a tre
151,the boy is pet the dinosaur on the head,the boy is pai the do o on the had
