,target_text,pred_str
0,JACK HELD THE MAGNETS OVER HIS,JACK HELD MINES OVER HIS
1,WOLFMAN,WOLFMAN
2,INTO,INTO
3,NO ONE COULD HEAR ANYTHING PEOPLE WERE GETTING IN CAR ACCIDENTS AND,NO ONE COULD HEAR ANYTHING PEOPLE WERE GETTING IN CAR ACCIDENTS AND
4,SHIPSHAPE,SHIPSHAPE
5,FOUR,FOUR
6,THURSDAYS,THURSDAYS
7,POETS,POETS
8,THE,THE
9,AND WATCH FOR HIM AND HE WILL SOON COME I DON'T KNOW WHAT YOU MEAN SAID THE BOY BUT HE WENT TO THE GARDEN AND WAIT,AND WATCH FOR HIM AND HE WILL SOON COME I DON'T KNOW WHAT YOU MEAN SAID THE BOY BUT HE WENT TO THE GARDEN AND WA
10,ENSURES,ENSURES
11,LOATHE,LOATHE
12,K,K
13,SIX SIX FOUR SEVEN FOUR TWO,SIX SIX FOUR SEVEN FOUR TWO
14,WELL,WILL
15,SIDE,SIDE
16,DO RESEARCH ABOUT EYESIGHT,DO RESEARCH ABOUT EYCESLIGHTE
17,BRIEFCASE,BRIEFCASE
18,ON,ON
19,HOW,HOW
20,THEM,THAM
21,MAUI,MAUI
22,GRAVESTONE,GRAVESTOD
23,WAIT,
24,UP,UP
25,IF YOU LIKE IT OR ELSE YOU WILL BE SORRY,IF YOU LIKE IT OR ELSE YOU WILL BE SORRY
26,COULD,COULD
27,SHE PUT HER THINGS IN TO HER BACKPACK THE PLANE LANDED,SHE PUT HER THINGS INTO HER BACKPACK THE AIRPLANE LANDED
28,SHE,SHE
29,ACROSS,ACROSS
30,WEEKDAYS,WEEKDAYS
31,QUIET,QUIET
32,FIVE,IVE
33,A YACHT SLID AROUND THE POINT INTO THE BAY,A YAUGHT SLID AROUND THE POINT INTO THE BAY
34,ANDS HUSBANDS,BANDS HUSBANDS
35,OH NO SAID SAID CHIEF SANDERS JUST WHEN THINGS WERE GO GOING GOOD IN FRANKSVILLE,OH NO SAID SAID CHIEF SOUNDERS JUST WHEN THINGS WERE GO GOING GOOD IN FRANKSVILLE
36,OOZING,OOIZING
37,CONCRETE,CONTRY
38,GREEN RED BLUE GREEN BLUE RED BLUE GREEN BLUE GREEN RED GREEN BLUE GREEN BLUE GREEN RED BLUE RED GREEN RED GREEN BLUE GREEN RED,GREEN RED BLUE GREEN BLUE RED BLUE GREEN BLUE GREEN RED GREEN BLUE GREEN BLUE GREEN RED BLUE RED GREEN RED GREEN BLUE GREEN RED
39,WHAT,WHAT
40,SOON A BIRD CAME HOPPING BY,SOON A BORD CAME HUP IN BACK
41,THREE FIVE SIX FOUR SEVEN SIX,THREE FIVE SIX FOUR SEVEN SIX
42,CASHFLOW,CASHFLOW
43,THERE JO WAS MISTAKEN FOR NEXT DAY SHE MADE A DISCOVERY WHICH PRODUCED A TEMPE TEMPEST,THERE JOH WAS MISTAKEN FOR NEXT DAY SHE MADE ADISCOVERY WHICH PRODUCED A TEMPT TEMPEST
44,UNEARTHED,UNEARTHED
45,NO NO PLEASE DON'T PLAY YOUR OLD FLUTE BEGGED DOCTOR WONG BUT IT WAS TOO LATE JOHN HAD STARTED PLAYING,NO NO PLEASE DON'T PLAY URALD FLUTE BEGGED DOCTOR WONG BUT IT WAS TOO LATE JOHN HAD STARTED PLAYING
