,target_text,pred_str
0,jack held the magnets over his,jack held mines over his
1,wolfman,wolfman
2,into,into
3,no one could hear anything people were getting in car accidents and,no one could hear anything people were getting in cor accidents and
4,shipshape,shipshane
5,four,four
6,thursdays,thursdays
7,poets,poets
8,the,the
9,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wat
10,ensures,ensures
11,loathe,loathn
12,k,k
13,six six four seven four two,six six four seven four two
14,well,well
15,side,side
16,do research about eyesight,do research about eyesighte
17,briefcase,briefcase
18,on,on
19,how,how
20,them,them
21,maui,maui
22,gravestone,gravestone
23,wait,r
24,up,up
25,if you like it or else you will be sorry,if you like it or else you will be sorry
26,could,could
27,she put her things in to her backpack the plane landed,she put her things into her backpack the airplane landed
28,she,she
29,across,across
30,weekdays,weekdays
31,quiet,quiet
32,five,ive
33,a yacht slid around the point into the bay,a yaght slid around the point into the bay
34,ands husbands,bands husbands
35,oh no said said chief sanders just when things were go going good in franksville,oh no said said chief sounders just when things were go going good in franksville
36,oozing,roozing
37,concrete,country
38,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red
39,what,what
40,soon a bird came hopping by,soon a bard came hup in bk
41,three five six four seven six,three five six four seven six
42,cashflow,cashflow
43,there jo was mistaken for next day she made a discovery which produced a tempe tempest,there jo was mistaken for next day she made a discovery which produced a temp tempest
44,unearthed,unearthed
45,no no please don't play your old flute begged doctor wong but it was too late john had started playing,no no please don't play your old flute beged doctor wong but it was too late john had started playing
46,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things
47,regime,regme
48,maui,maui
49,is,is
50,the ends,the ends
51,rouge,rouge
52,jacob,jakob
53,racer was so happy that he could run as fast as that he ran and ran in circles,racer was so happy that he could run as fast as that he ran and ran in circles
54,he alway,he alray
55,it's not that you aren't selling enough stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs is a great advertising campaign,it's not that you aren't selling enough stuff to panda bears it's just that there haven'tbeen enough people coming to see you in the first place i think what the zoo needs s a great advertising campoan
56,knew,u
57,what,what
58,cowherd,cowherd
59,showed,showed
60,and,and
61,with,with
62,can share,ma
63,smooths,nsmooths
64,snake,snake
65,stallsmith,stallsmith
66,put the red en at,put the red an and
67,aunt grace said to mark and christi terry at the n a c s a,aunt grace said to mark and christi terry at the en a si ess a
68,newslink,newslick
69,we all looked at each other other trying to glean something each from the other,we all looked at each over other trying to glean something each from the other
70,red,red
71,too,two
72,but how many millions of creatures there must have been,but how many millions of creatures there must have been
73,mouthpart,mouthpart
74,isn't he known as the most brilliant journalist in new york,isn't he known as the most brilliant journalist in new york
75,red,red
76,i'll i will use,al i will use
77,ou the brown house was on fire to the attic,o the brown house was on fire to the attic
78,lion,lion
79,the water is bad to drink,the water is bad to drink
80,boyhood,boyhood
81,uh,o
82,every four years turtles from all over the land would crawl to great pond,every four years turtles from all over the land would crawl to great pond
83,dolphin,dolphin
84,e ancient coin was quite dull and warm w,he ancient coin was quite dull and warm
85,not even with her wrath the girl's ins insolence couldn't wholly overcome her wonder,not even with her brath the girl's in insollence couldn't wholely overcome her wonder
