,target_text,pred_str
0,jack held the magnets over his,jack helbd mag nes over his
1,wolfman,wolfman
2,into,into
3,no one could hear anything people were getting in car accidents and,no one could heare anything people were getting in coaxidents and
4,shipshape,shipshae
5,four,four
6,thursdays,thuirdsdays
7,poets,poets
8,the,thegh
9,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wa
10,ensures,andsures
11,loathe,othe
12,k,k
13,six six four seven four two,six ix four seven four two
14,well,wel
15,side,side
16,do research about eyesight,do resirch abead icesighe
17,briefcase,breafcase
18,on,on
19,how,how
20,them,bem
21,maui,now
22,gravestone,grapestold
23,wait,
24,up,up
25,if you like it or else you will be sorry,if you like it or elseyou will be sory
26,could,coued
27,she put her things in to her backpack the plane landed,she put her things in to her back pack the airplane landed
28,she,s
29,across,a cros
30,weekdays,weekdace
31,quiet,quiet
32,five,ive
33,a yacht slid around the point into the bay,a yoht slid around the point into the bay
34,ands husbands,pans husbands
35,oh no said said chief sanders just when things were go going good in franksville,oh kno sai aid chef sounders just wene things were go going good and franks vill
36,oozing,osin
37,concrete,contree il
38,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red,green red blue green blue red blue green blue green red green blue green blue green red blue red green red bgreen blue green red
39,what,what
40,soon a bird came hopping by,soon a bord came hup in b
41,three five six four seven six,three five six four seven six
42,cashflow,casflow
43,there jo was mistaken for next day she made a discovery which produced a tempe tempest,ther jo was mistaken for next day she made a sscovery which predused a temte tempest
44,unearthed,unearth
45,no no please don't play your old flute begged doctor wong but it was too late john had started playing,no kno please don't play your old flute beg doctr wong but it was too late jon had starteod playing
46,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things,and you know what those stupid jirbles didn't even thank me they just ran on that stupid weel and did stupid things
47,regime,resin
48,maui,mauiy
49,is,is
50,the ends,t ms
51,rouge,rouge
52,jacob,jakeob
53,racer was so happy that he could run as fast as that he ran and ran in circles,racer was so happy that he could run his fast as  that he ran and ran in scircales s
54,he alway,he alway
