,target_text,pred_str
0,bird,bird
1,detective,dtective
2,short,sat
3,cloud,cloud
4,that,la
5,pie,pie
6,xylophone,zatipi
7,four o clock,four o clock
8,potato,pretator
9,cow,cal
10,one cup,one cup
11,hair,hi
12,one egg,one g
13,snake,snake
14,thermometer,the ttometar
15,mouth,mouth
16,spaghetti,tascat
17,snake,snake
18,four cups,four cups
19,tonight,do not
20,two,two
21,beard,bd
22,head,ho
23,cow,ca
24,banana,beo
25,splash,spash
26,three,tee
27,gorilla,gia
28,wood,p
29,wheel,will
30,four,fou
31,machine,machine
32,bag,bag
33,two cups,two cup
34,machine,tesame
35,zoo,zou
36,zoo,o
37,treasure,tsa
38,frog,fog
39,short,short
40,thermometer,the
41,short,short
42,food,food
43,boy,boy
44,tail,tail
45,shell,shell
46,head,had
47,light,light
48,splash,aas
49,car,cca
50,carpet,carpet
51,sausage,calsige
52,duck,du
53,sprout,p
54,cucumber,kcaba
55,martian,washe
56,spade,spade
57,play,bye
58,pull,poul
59,key,col
60,spiderweb,spateweb
61,watch,wat
62,bag,bag
63,boat,but
64,cloud,cloud
65,eight,eit
66,spaghetti,baad
67,cart,ca
68,boy,boy
69,watch,wa
70,flowerpot,flowpart
71,chair,sa
72,pull,co
73,bag,bye
74,bridge,p
75,gorilla,caila
76,breathe,breathe
77,sword,s
78,cicada,zacata
79,sausage,sasinge
80,butterfly,butterfly
81,crocodile,crickedion
82,six,six
83,circus,secos
84,seven,seven
85,vanilla,ve
86,gorilla,lowatar
87,martian,masin
88,pool,co
89,thermometer,themonetar
90,caterpillar,cetapillar
91,yoyo,a
92,carpet,cpit
93,spiderweb,addeat
94,attack,attac
95,four,fu
96,hair,hea
97,hippopotamus,epotmus
98,snake,snake
99,sprout,spraut
100,wheel,wheel
101,bag,bye
102,australia,astrallia
103,six,six
104,balloon,baline
105,chair,char
106,hole,wole
107,treasure,treasure
108,tonight,to nowit
109,yoyo,yah yeah
110,fish,fish
111,five,five
112,car,ca
113,rhinoceros,riefeest
114,seven,seven
115,three cups,three cups
116,banana,manana
117,xylophone,silipne
118,skirt,sgood
119,tomato,tomoow
120,sword,srd
121,drink,jog
122,crocodile,cit gotdi
123,straw,to
124,kitchen,kitci
125,tooth,to
126,no,no
127,gorilla,coala
128,four,fo
129,two eggs,te gs
130,nose,nos
131,snake,snake
132,two eggs,two egs
133,wood,woud
134,cub,coume
135,cart,cat
136,seven,um
137,fur,for
138,duck,duck
139,garden,goten
140,four o clock,four o clock
141,caterpillar,catapila
142,two o clock,to i connoc
143,rhinoceros,wynot
144,cow,k
145,one egg,oneg
146,zoo,toda
147,martian,mason
148,canoe,connec
149,four eggs,four egs
150,jam,jam
151,pie,pie
152,food,food
153,chair,che
154,five,bye
155,two,to
156,mouth,mat
157,potato,potator
158,sprout,br
159,card,cad
160,bellybutton,biybotton
161,dessert,dt
162,bridge,brage
163,vegemite,thank ou might
164,thermometer,thermometer
165,crocodile,carcadi
166,canoe,coe
167,car,ca
168,splash,spaghe
169,yes,yes
170,two o clock,two o clug
171,bellybutton,billy bufcin
172,kangaroo,cindaroug
173,yes,yeah
174,fish,cs
175,doll,dul
176,two,to
177,stethoscope,stuffacrap
178,two o clock,two oclock
179,two o clock,joor cup
180,yes,yes
181,boy,b
182,crab,crad
183,hill,fo
184,two cups,two cups
185,nine,nine
186,story,story
187,garage,caroge
188,skirt,sca
189,caterpillar,cindopilel
190,garage,garode
191,doll,do
192,grasshopper,grass halpar
193,cloud,cloud
194,rhinoceros,ifous
195,ball,bo
196,key,chees
197,magician,magition
198,treasure,kaytat
199,key,ka
200,owl,
201,pool,pol
202,tooth,choc
203,one cup,one cup
204,jam,jin
205,balloon,belone
206,five,five
207,xylophone,ziaepone
208,cloud,cloud
209,two o clock,two o clock
210,boy,aboy
211,chair,cha
212,yoyo,aryeah
213,dessert,e
214,magician,migitin
215,bellybutton,poblb
216,cloud,ound
217,hippopotamus,tippatomus
218,three,ti
219,caterpillar,catapilar
220,voice,voice
221,drink,drink
222,mouth,mel
223,circus,cicuc
224,treasure,
225,three cups,three cups
226,ball,col
227,four cups,four cups
228,rhinoceros,runar
229,duck,duck
230,wood,wood
231,bag,bag
232,thermometer,phemometer
233,card,ca
234,dinosaur,dinasil
235,nine,nine
236,bag,bacg
237,three cups,three cups
238,coconut,card cannot
239,gorilla,cilam
240,girl,gand
241,tonight,tonight
242,canoe,ca
243,martian,ma
244,martian,masho
245,pull,pou
246,wood,wood
247,banana,paono
248,eight,i
249,nine,nine
250,machine,
251,frog,fog
252,butterfly,butterfly
253,caterpillar,catapilla
254,five,five
255,hole,o
256,owl,idontnow
257,xylophone,tylea
258,stethoscope,stik ofbat
259,one,ba
260,short,s
261,canoe,cone
262,jam,yea
263,spiderweb,spidor web
264,smile,smile
265,crocodile,cackadia
266,spaghetti,ag
267,four o clock,fullocok
268,no,no
269,girl,go
270,three cups,three cups
271,detective,detective
272,wood,wood
273,four eggs,four egs
274,hippopotamus,capart
275,detective,detective
276,duck,duck
277,zoo,zo
278,four cups,fur couck
279,five,five
280,doll,dull
281,hill,hi
282,four,fu
283,kangaroo,cang
284,hippopotamus,heapasmus
