,target_text,pred_str
0,hill,hil
1,mouth,mouth
2,bridge,bridge
3,eight,eight
4,cucumber,cucumber
5,two,c
6,treasure,trau
7,vegemite,vegemiee
8,four o clock,four o clock
9,short,sort
10,vegemite,egemit
11,xylophone,xylophone
12,treasure,treaure
13,butterfly,butterfly
14,duck,duck
15,breathe,bleate
16,six,si ex
17,detective,detective
18,carpet,carpet
19,two eggs,wo eggs
20,potato,potato
21,foot,foot
22,balloon,balone
23,four cups,four cups
24,ride,
25,clown,clown
26,bag,bag
27,thermometer,hermometer
28,wood,
29,nine,nine
30,bridge,bridge
31,duck,duck
32,machine,macie
33,bridge,bridge
34,hole,hhoee
35,giraffe,irff
36,thermometer,hermometer
37,bird,bird
38,four eggs,four eggs
39,frog,frog
40,gorilla,goroila
41,boat,boat
42,leaf,lea
43,food,fo
44,one,ron
45,sausage,sausage
46,martian,marian
47,girl,gi
48,tail,tail
49,no,no
50,balloon,balon
51,cicada,cicada
52,kitchen,kitchen
53,sausage,sausage
54,drink,drink
55,binoculars,binoculars
56,xylophone,xylophonne
57,boy,boy
58,thermometer,thermometer
59,head,head
60,canoe,canoe
61,watch,watch
62,four cups,four cups
63,skirt,skirt
64,thumb,thumb
65,nine,nine
66,spaghetti,spagheti
67,carpet,carpet
68,cloud,cloud
69,car,car
70,two eggs,two eggs
71,smile,smile
72,seven,seven
73,tooth,tot
74,two,two
75,he's calm making him calm down,hicupmoucuincaomdaun
76,food,fod
77,dessert,dsert
78,caterpillar,catrpilar
79,spaghetti,spagheti
80,voice,voice
81,short,short
82,giraffe,giraf
83,hole,hole
84,garage,garage
85,machine,macghine
86,vegemite,vegemite
87,bag,bag
88,dinosaur,dinosaur
89,boat,boat
90,smile,smile
91,wheel,wh
92,two o clock,two econuc
93,clown,clown
94,frog,frog
95,chair,chair
96,four,souw
97,cheese,cheese
98,tail,tail
99,fish,fish
100,grasshopper,grashopper
101,gorilla,orila
102,five,five
103,fur,fho
104,coconut,coconut
105,beard,beardd
106,bellybutton,bellyutaonn
107,clown,cllown
108,four eggs,four eggs
109,machine,machhin
110,tail,tal
111,binoculars,binoculars
112,canoe,ano
113,snake,snake
114,food,ood
115,zoo,zoo
116,that,hot
117,one o clock,one o clock
118,giraffe,giafe
119,five,five
120,fish,fish
121,six,
122,thumb,thumb
123,duck,duck
124,three o clock,tree o clock
125,no,n
126,food,fod
127,six,six
128,snake,snake
129,bird,bird
130,one egg,one egg
131,spiderweb,spideweb
132,spiderweb,spiderweb
133,elephant,lephan
134,ride,ride
135,snake,snake
136,ball,bal
137,two o clock,two o clock
138,cheese,cish
139,carpet,carpet
140,cow,cow
141,bird,bird
142,kitchen,kitchen
143,hippopotamus,hippopotamus
144,doll,dol
145,one egg,one gg
146,sausage,sausage
147,detective,detective
148,story,story
149,hill,hil
150,thermometer,thermometer
151,rhinoceros,rne
152,magician,magician
153,watermelon,watermelon
154,swing,swing
155,voice,voice
156,spaghetti,spagheti
157,pool,pul
158,one cup,one cup
159,martian,martian
160,rhinoceros,rhinoceos
161,watch,watch
162,flowerpot,flowerpo
163,card,card
164,cloud,clow
165,cow,
166,vegemite,velnit
167,three cups,three cups
168,thermometer,vehonona
169,chair,chair
170,splash,splash
171,zoo,zo
172,sprout,sprout
173,that,that
174,tooth,tth
175,five,five
176,vanilla,vanila
177,one,onee
178,three o clock,three o cloc
179,owl,owl
180,pie,
181,garden,garden
182,stethoscope,stethoscoe
183,clown,ne
184,boat,boat
185,thumb,thumb
186,drink,drink
187,crab,crab
188,hill,
189,skirt,ki
190,garden,garden
191,breathe,breathe
192,garage,garage
193,martian,martian
194,moustache,moustache
195,ride,rie
196,one egg,one egg
197,owl,owl
198,zoo,zo
199,short,or
200,stethoscope,tethoscope
201,pig,pig
202,butterfly,butterfly
203,cheese,cwo
204,shell,
205,sprout,sprout
206,crocodile,crocodile
207,garden,garden
208,seven,seven
209,jam,jam
210,elephant,lephane
211,pull,pul
212,mouth,mouthh
213,sword,worrdy
214,detective,potectiv
215,tonight,tonight
216,martian,martian
217,machine,machine
218,cow,cow
219,gorilla,gorilla
220,six,six
221,beard,beard
222,four cups,four cups
223,swing,sri
224,one cup,one cup
225,skirt,skirt
226,dinosaur,dinosaur
227,two,
228,three o clock,tthree o clock
229,thermometer,thermotmeter
230,canoe,co
231,foot,fot
232,spaghetti,peghetti
233,that,t
234,smile,smile
235,feather,feather
236,gorilla,gorrilla
237,ear,ea
238,nine,
239,beard,beard
240,moustache,moustache
241,drink,drink
242,watch,watch
243,pull,pul
244,spaghetti,magati
245,watermelon,watermelon
246,two o clock,two o clock
247,kitchen,kitchen
248,kangaroo,kangaro
249,three eggs,three eggss
250,jam,tr
251,one cup,one cup
252,bird,bid
253,eight,eight
254,thermometer,thermometer
255,tooth,tot
256,story,story
257,carpet,carpet
258,five,five
259,cub,cub
260,ear,ear
261,butterfly,butterfly
262,vanilla,vanila
263,beard,beard
264,wood,wod
265,four,four
266,jam,jaim
267,carpet,carpa
268,story,story
269,four cups,four cups
270,duck,duck
271,carpet,carpet
272,stethoscope,stethoco
273,four eggs,four eggs
274,one cup,one cup
275,garage,garage
276,leaf,
277,clown,clouwn
278,splash,plash
279,caterpillar,caterpilar
280,zoo,zo
281,one cup,one cup
282,duck,dhu
283,boat,boat
284,hippopotamus,hippoppotamus
285,two o clock,two o clock
286,smile,smie
287,hair,hai
288,stethoscope,stethosco
289,australia,australia
290,pie,
291,three,three
292,sausage,sausage
293,tooth,tooth
294,car,car
295,frog,frog
296,hair,hair
297,crab,crab
298,cub,cub
299,kangaroo,kangaroo
300,dessert,dessert
301,cloud,clown
302,sword,swr
303,play,play
