,target_text,pred_str
0,light,light
1,fur,fur
2,treasure,treasure
3,four eggs,four eggs
4,caterpillar,caterpillar
5,hill,hill
6,one cup,one cup
7,giraffe,girae
8,martian,martian
9,snake,snake
10,hill,hill
11,no,no
12,short,short
13,dessert,dessert
14,food,food
15,chair,chair
16,four,four
17,watch,watch
18,wheel,wheel
19,clown,clown
20,chair,chair
21,play,play
22,potato,potato
23,balloon,balloon
24,watermelon,watermelon
25,banana,banana
26,leaf,leaf
27,grasshopper,grasshopper
28,that,that
29,dessert,dessert
30,carpet,carpet
31,jam,jam
32,pig,pig
33,a dinosaur jumps out and hulk is scared,ha dinosaur rumpsutan ockuskirte
34,two eggs,two eggs
35,short,short
36,watermelon,watermelon
37,martian,martian
38,beard,beard
39,machine,machine
40,ride,ride
41,mountain,mountain
42,vegemite,vegemite
43,grasshopper,grasshopper
44,feather,feather
45,boat,boat
46,feather,feather
47,girl,girl
48,tail,tail
49,pull,puol
50,balloon,balloon
51,butterfly,butterfly
52,pool,pul
53,sprout,sprout
54,skirt,skirt
55,hippopotamus,hippopotamus
56,three cups,three cups
57,mountain,mountain
58,mouth,mouth
59,three,three
60,tomato,tomato
61,dinosaur,dinosaur
62,garden,garden
63,hole,hole
64,watermelon,watermelon
65,four,four
66,ten,ten
67,bellybutton,bellybutton
68,pool,pl
69,voice,voice
70,hole,hole
71,sprout,spride
72,two o clock,two o clock
73,yes,yes
74,giraffe,girafe
75,key,ky
76,two,two
77,two cups,two cups
78,one,one
79,the dinosaur poked out his head,thhe dinosaurpoctishead
80,nine,nine
81,shell,shell
82,chair,caw
83,nose,nose
84,attack,attck
85,yoyo,yoyo
86,cart,cart
87,elephant,elephant
88,bridge,bridge
89,smile,smile
90,short,short
91,doll,doll
92,kangaroo,kangaroo
93,kangaroo,kangaroo
94,crocodile,crocodile
95,card,card
96,clown,clown
97,spade,spade
98,butterfly,butterfly
99,clown,clown
100,elephant,elephant
101,tooth,tooth
102,kitchen,kitchen
103,ear,gi
104,two cups,two cups
105,ear,ear
106,balloon,balloon
107,machine,machine
108,tomato,tomato
109,australia,australia
110,tonight,tonight
111,straw,straw
112,boat,boat
113,pool,pul
114,hair,hair
115,head,head
116,sausage,sausage
117,grasshopper,grasshopper
118,two cups,two cups
119,four,four
120,garden,garden
121,mountain,mountain
122,thermometer,thermometer
123,caterpillar,caterpillar
124,garden,garden
125,ear,eair
126,cub,cub
127,cicada,cicada
128,tooth,tooth
129,yoyo,yoyo
130,three eggs,three eggs
131,martian,martian
132,four o clock,four o clock
133,kitchen,kitchen
134,yes,yes
135,four o clock,four o clock
136,two cups,two cups
137,cicada,cicada
138,watermelon,watermelon
139,snake,snake
140,carpet,carpet
141,ball,bal
142,duck,duck
143,dessert,dessert
144,dinosaur,dinosaur
145,hair,hair
146,owl,owl
147,hole,hole
148,tonight,tonight
149,carpet,carpet
150,three eggs,three eggs
151,girl,girl
152,feather,feather
153,bird,bird
154,foot,foot
155,spiderweb,spiderweb
156,five,five
157,one,one
158,dessert,dessert
159,mountain,mountain
160,carpet,carpet
161,yoyo,yoyo
162,martian,martian
163,banana,banana
164,the dinosaur was about to lick him,the dinosaur was ao boutomikhim
165,two,two
166,cow,cow
167,cucumber,cucumber
168,skirt,skkirt
169,spiderweb,spiderweb
170,cow,cow
171,binoculars,binoculars
172,tooth,tooth
173,banana,banana
174,martian,martian
175,five,five
176,mouth,mouth
177,bird,bird
178,circus,circus
179,car,car
180,pie,pie
181,pie,pie
182,three,three
183,machine,machine
184,garage,garage
185,shell,shell
186,one cup,one cup
187,nine,nine
188,pool,pol
189,crocodile,crocodile
190,ten,ten
191,laughing while the dinosuar is drinking the milk,lafingwal the dinosaur is drinking thermilk
192,play,play
193,the egg was cracking,the aglar scklaking
194,elephant,elephant
195,dessert,dessert
196,caterpillar,caterpillar
197,three o clock,three o clock
198,short,short
199,detective,detective
200,splash,splash
201,magician,magician
202,spaghetti,sppaghetti
203,he was hiding,he was hiding
204,six,six
205,nose,nose
206,vegemite,vegemite
207,yoyo,yoyo
208,cloud,cloud
209,cucumber,cucumber
210,grasshopper,grasshopper
211,two cups,two cups
212,spaghetti,spaghetti
213,dinosaur,dinosaur
214,mountain,mountain
215,spaghetti,spaghetti
216,watermelon,watermelon
