,target_text,pred_str
0,crenshaw,tc re   a  oes
1,easier,sae diego iet sdur
2,the flood took a car down the street,te o flos cacar ehdo he toert
3,logic,the darode
4,iceberg,sc lrgot t yd
5,athlete,bvederoe
6,spoons,boe w pou eelais
7,i collect stamps from vietnam,poc'lyeponleee tn  e
8,grandmother played football last year,the alegos d vecm ed sn ae oedoes
9,the young emperor could not spell,the flegod ftbcadsir ue per
10,mabel grows tomatoes in the courtyard,thv eo aeiog ese e
11,behind,the beiskd de aoreet
12,will you sing this song,heiec pae is ou e sor
13,a feather was in the birdcage,toe heoo    e t t toaes
14,push,pictnodree
15,gumshoe,ton aleios  e aooes
16,chair,shr floskde t eer
17,napkin,thc da so e  e
18,boomerang,the fblok i loyr
19,mohawk,pha f pokt
20,five,tiurg  e
21,the illusion looked like a giraffe,thu wios fj rree inyces ador
22,kingpin,the begsk e vae i e
23,mcdonald,the l s dee loet
24,design,the beors de uraar
25,ethnic,phe caeisdn e  et
26,that person eats pancakes,thn liegok e irs   d  er
27,they put my computer next to the books,you cle k faee   ne  acar
28,nuclear,tho thi slk  teido  aoes
29,civilized,theclo k eon to er
30,advantage,the ahiegrbld v  e
31,homemaking,ton alteou  i m e
32,matthew has a horse from the desert,thn clyod e vte vre n s e oroee
33,we watched television during dinner,the ahegouk kee   i  ahthe es
