,target_text,pred_str
0,my sleeve caught the thorny bush,
1,growl,
2,cautiously,
3,mutual,
4,cowboys,
5,earthquake,
6,i'm sorry,
7,obvious,
8,humor,
9,lifeboats,
10,aspire,
11,greet me with open arms,
12,you didn't arrive too late,
13,we gathered sticks for the fire,
14,the stove melted the butter,
15,we've had a wonderful night,
16,push,
17,novel,
18,circumstance,
19,herbalist,
20,will you sing this song,
21,the flood took a car down the street,
22,someone bought a beautiful ring for you,
23,birthmark,
24,misjudged,
25,female,
26,five people can fit in the elevator,
27,spoons,
28,bathe,
29,jurors,
30,mature,
31,depths,
32,engrave,
33,santa deemed rudolph the leader,
34,we gathered sticks for the fire,
35,obvious,
36,i'm sorry,
37,cowboys,
38,earthquake,
39,greet me with open arms,
40,aspire,
41,humor,
42,lifeboats,
43,you didn't arrive too late,
44,my sleeve caught the thorny bush,
45,cautiously,
46,mutual,
47,growl,
48,santa deemed rudolph the leader,
49,jurors,
50,mature,
51,bathe,
52,depths,
53,engrave,
54,female,
55,misjudged,
56,birthmark,
57,someone bought a beautiful ring for you,
58,the flood took a car down the street,
59,five people can fit in the elevator,
60,spoons,
61,the stove melted the butter,
62,push,
63,we've had a wonderful night,
64,will you sing this song,
65,herbalist,
66,circumstance,
67,novel,
68,crenshaw,
69,easier,
70,the flood took a car down the street,
71,logic,
72,iceberg,
73,athlete,
74,spoons,
75,i collect stamps from vietnam,
76,grandmother played football last year,
77,the young emperor could not spell,
78,mabel grows tomatoes in the courtyard,
79,behind,
80,will you sing this song,
81,a feather was in the birdcage,
82,push,
83,gumshoe,
84,chair,
85,napkin,
86,boomerang,
87,mohawk,
88,five,
89,the illusion looked like a giraffe,
90,kingpin,
91,mcdonald,
92,design,
93,ethnic,
94,that person eats pancakes,
95,they put my computer next to the books,
96,nuclear,
97,civilized,
98,advantage,
99,homemaking,
100,matthew has a horse from the desert,
101,we watched television during dinner,
102,real,
103,your shadow always follows you,
104,his car thundered down the road,
105,spoons,
106,tab,
107,wiseguy,
108,the flood took a car down the street,
109,shirt,
110,snake,
111,will you sing this song,
112,underneath,
113,thursday,
114,squeegee,
115,screwdriver,
116,honey can get sticky,
117,playhouse,
118,pathetic,
119,even your ears sweat in a sauna,
120,upward,
121,push,
122,stooges,
123,six,
124,we should try to save the whales,
125,one,
126,it can only be a good circus with elephants,
127,rugby,
128,yankee,
129,the herd became angry and started a stampede,
130,trauma,
131,thatch,
132,warmth,
133,subtract,
134,the bird sang a sweet melody,
135,knights don't get scared of dragons,
136,don't make the same mistakes twice,
137,could lizards ever talk,
138,soften,
139,shock,
140,will beets stain my pants,
141,technology,
142,withdrawn,
143,the speaker boomed from the car,
144,red,
145,are zebras just striped horses,
146,pathfinder,
147,vase,
148,seizure,
149,are you sure this is okay,
150,playoffs,
151,toothpaste,
152,unfortunate,
153,starve,
154,i like my meat on a cold platter,
155,safeway,
156,yellow,
157,you can see bugs light up the sky,
158,thousand,
159,treasure,
160,push,
161,the rain chased the dirt down the drain,
162,organizations,
163,slogan,
164,will you sing this song,
165,the flood took a car down the street,
166,pass their notes along,
167,spoons,
168,please offer them a dinner mint,
169,suggest,
170,wash,
171,silver robot toys are the best,
172,chasing sally can be dangerous,
173,that pink marble cost me a dollar,
174,sheepdog,
175,smoothly,
176,swoop,
177,white,
178,ragtime,
179,is that girl chewing gum,
180,stepfather,
181,people like to sing in cairo,
182,updated,
183,page,
184,picture,
185,every month i eat some chocolate,
186,scrapbook,
187,fred didn't try the carrot juice,
188,thrower,
189,two,
190,springhill,
191,royal,
192,jason likes playing with garfield,
193,woolen,
194,thanks,
195,toyota,
196,offshore,
197,the flood took a car down the street,
198,bill has purple glasses,
199,singer,
200,spoons,
201,unplug the toaster,
202,push,
203,wagging,
204,will you sing this song,
205,submit,
