,target_text,pred_str
0,hulk was riding backwards on a skateboard and he hits an egg,hulk was riding backwards on the skateboard and he hits an egg
1,he's curious to see what's inside the egg and listens to the egg,he's curious to see what's inside the egg and listens to the egg
2,the egg starts cracking near the top and hulk is scared by this,the egg starts cracking near the top and hulk is scared by this
3,a dinosaur jumps out and hulk is scared,a dinosaur jumps out and hulk is scared
4,the dinosaur tries to play with hulk but hulk is very scared,the dinosaur tries to play with hulk but hulk is very scared
5,hulk tries to hide from the dinosaur and is still very scared,hole tries to hide from the dinosaur and is still very scared
6,the dinosaur is looking around for hulk and he can't find hulk,the dinosaur is looking around for hulk and he can't find hulk
7,the dinosaur is sad,the dinosaur is sad
8,hulk looks at the dinosaur and feels bad about this,hulk looks at the dinosaur and feels bad about this
9,hulk feeds the dinosaur the milk,hulk feeds the dinosaur the milk
10,laughing while the dinosuar is drinking the milk,laughing while the dinosaur is drinking the milk
