filepath,transcription_clean
/srv/scratch/chacmod/OGI/speech/spontaneous/00/0/ks03g/ks03gxx0.wav,a b c d e f g h i j k l m n o p q r s t u v w x y and z uhm i have uhm one sister uhm she's twelve uhm basketball uhm my mom works at my uhm school that i go before here and my dad works at uhm intel uhm we watch t v when we eat dinner and we go sometimes we go places to uhm get things done that are on her list uhm rice pilaf uhm and uhm vegetable soup and uhm and uhm broth chicken and rice and i'm going to go to my grandpa's uhm in illinois we are going to fly there and uhm i think someone's going to pick us up uhm it's noisy and it hurts my ears and uhm it doesn't hurt my ears
/srv/scratch/chacmod/OGI/speech/spontaneous/00/0/ksb3f/ksb3fxx0.wav,a b c d e f g h i j k l m n o p q r s t u v w x y z i don't know uh yeah my baby brother he's nice he's four one sister and another brother i don't know how many sisters i know how my other brother's uhm my dad he goes to work every single day and my mom once had a barber shop i have a her name's tracy and she's really nice and she's white no it's like kind of a pinkish color i like to go to the zoo at at school with my whole entire class because it's fun i saw bats fruit bats and this we didn't go and see the baby giraffe we didn't see no bears they were gone out in a different room because that had to make a new organize their zoo more
/srv/scratch/chacmod/OGI/speech/spontaneous/00/0/ks02y/ks02yxx0.wav,a b c d e f g h i j k l m n o p q r s t u v w x y and z dinosaurs and some are little some eat meat and some eat leaves t rex is little dinosaurs although i like t rexes and raptors tree ones uhm hmm t rex you start with my name the ghost of mister chicken there's the one guy with the big eyes uhm there's one girl in it name's one is uhm mister chicken is sleeping in the haunted house there is a knife of their own in a picture and there's blood coming down i'm done uh a dog and a cat one's brownish red yeah hershey he's black and white orio willie uhm brown hair mmm recess p e music homework recess and p mm mrs brown because she is my teacher yes knock knock orange knock knock orange knock knock orange knock knock banana aren't you glad i did aren't you uh aren't you glad i didn't say orange again
/srv/scratch/chacmod/OGI/speech/spontaneous/00/0/ksb0s/ksb0sxx0.wav,a b c d e f g h j i k l m n o p q r s t u v w x y and z uhm he's like a grumpy man he's grumpy all the time uhm she's mad at me all the time ohh i forgot uhm m my grandma was a cat she used to have a white one that was mean to her he didn't scratch me uhm hmm uhm it looks like uhm a pink bedroom uhm it has my bed in it hmm hmm it has my toy shelf on in there uhm i have the lion king toys uhm no mm hmm uhm i forgot the babies have a pink dress on and the other one has a white dress on they're twins
/srv/scratch/chacmod/OGI/speech/spontaneous/00/0/ks001/ks001xx0.wav,before a b c d e f a b c d e f g h i j k l m n o p q r s t u v w x y and z uh i don't know i see your hands i see your head i see your teeth i see a mouth that's all we play uh she's not a sheep she's a dog a dog that is uh she's not a boy she's not a boy uh a wolf she broke a medal she's my dog my family i mostly like aunt candy because she has no aunt candy she has eleven video games to what goes to it and my my favorite thing it's on the nintendo that thing i took the lead out of it that's why
/srv/scratch/chacmod/OGI/speech/spontaneous/00/8/ks033/ks033xx0.wav,a b c d e f g h i j k l m n o p q r s t u v w x y and z uhm my mom is to uh no this summer my mom's going to teach me some uh first grade things and stuff next year i'm going to go into first grade mmm hmm i don't know i play with my friends and color okay mm like tag and and also there's this big mountain over there which we call mountain climbing and stuff things like that uhm when a person says i'm it you have to uhm the other person runs and you got to get them
/srv/scratch/chacmod/OGI/speech/spontaneous/00/8/ks03q/ks03qxx0.wav,a b c d e f g h i j l m n o p q r s t u v w x y and z dad uhm works ohh my mom got a new job so i have to out of thirty hmm it's about old and it's a it's a boy uh hmm stop me right here and there was blood all down right here mm play out and we eat mm everything i climb up the bars i learned one of those
/srv/scratch/chacmod/OGI/speech/spontaneous/00/8/ksb3w/ksb3wxx0.wav,a b c d e f g h i j k l m n o p q r s t u v w x y and z n i don't know i only have a brother uhm he's three and well sometimes we we uhm i don't know uhm well my mom she works a lot at my at grandpa's my dad uhm he uhm i don't know well well one one animal uhm doesn't have a collar but i like it and he's a cat and her name is book and she sometimes she goes at our neighbors' house black and white i have a stuffed bear that i like it's and it's it's brown and it has a red bow uhm i don't know uhm well he he has uhm brown eyes and kind of has blonde hair
/srv/scratch/chacmod/OGI/speech/spontaneous/00/8/ksb0v/ksb0vxx0.wav,a b c d e f g h i j k l m o p q r s t u v w x y and z three sister and two brother one is fourteen one is seven one is one year old play be careful play cards ohh go fish up a card and you say a number and they don't got it and you pick a card up gold fish fend held uh tent
/srv/scratch/chacmod/OGI/speech/spontaneous/00/8/ksb0n/ksb0nxx0.wav,a b c d e f g h i j k l m n o p q r s t u v w x y and z mm mm my mom drive me home no no the mom has a bird and brother has a fish and i don't yeah feed them and clean their tank my bird's white and pr and he and white and blue and my brother has a orange fish and i have a orange and white and my brother has a orange and white and i have a grey fish and the rest of them are orange the rest are orange purple pocahantas
