,target_text,pred_str
0,it keeps lighting because uhm the other ones are still a circuit,it keeps le lighting because um te the other ones are still a circu
1,we learned about parallel and series circuits,we learned about parelell and ceryo circets
2,they go out too,they go out t
3,it won't go out because that is still a parallel circuit oh not it's not sorry,it won't go out because that is still a pairlittle curcet oh kno it's not so
4,what is a string of light,what is t  grean of le
5,uhm it is still a circuit because uhm one side is both sides are connected so if one goes out then the other one stays lit,um it is still a circet because m one side is fully both sides are connected so if one goes out then the other on stays lit
6,it doesn't go out because that's a parallel circuit so it is still working,it doesn't go out because that's a parelell circet so it is still work
7,good hi,good hi
8,okay,okat
9,we're learning about magnetism and electricity,we are running about magnatisom and electrisity
10,it goes on,it goes on
11,it is still going on one side,it is still going on one side
12,uhm the one if one goes out it's a series so if one goes out the other one goes out,um the one if one goes out it's a steries so if one goes at the other one gos out
13,when one goes out the other one goes out too,when one gos out the other one gos out t
14,it stops the flow of electricity,it stops the flow of alectrisity
15,the other one goes out,theother one goes ou
16,parallel lights,parrellell like
17,the rest the rest go out,the rest blo the rest go out
18,uhm one light is out but the other one is is still going,um one light is out but the other one is bir is still goin
19,i see that it turns on,i see that it turns on
20,uhm one side of the one side of the uhm both sides are parallel so they both go through the energy does,one side of the one side of the umboth sides are parlells so they both go through the energit us
21,it is a circuit but the uhm it isn't flowing because the switch is off,it is a circet but the und it isn't flowing because the swish is off
22,uhm they're still connected to the bulb it's still a circuit with all of them,um they wre still conected to the bull bits still a circete with all them
23,because it's using the same wires and they're both only in one circuit,because using the same wires and they're both only in one circet
24,a conductor carries the electricity around,a conductor carries the ecletriscity arou
25,the object is uhm can not have,that object is um cannot have
26,good,good
27,it doesn't spin,it doesn't spin
28,the metal uhm there is a circuit uhm with flowing energy which is making the motor spin,the meddal um there is a circut um with flowing energy which is making the moter bin
29,uhm it is a metal,um it is neil
30,so they're not dangerous to touch,so is not dangerous to touch
31,they are metal,they are meddle
32,learning about uhm electricity,learning about um electricy
33,uhm the the uhm the stick can't have electricity running through it,ilum the the um the stick can't have electrisity running through it
34,some objects uhm let the motor spin because they're metal and they complete the they are conductors and they complete the circuit,some objects um le the motors spin cause thei'r mettal and they compleet the they are conductors and they complet the circet
35,uhm if you uhm some objects are metal and are conductors so the energy can flow through them into the switch,um if you um some objects are medtal ind are conductors so the energy can flow through them into the swish
36,uhm the electricity can't flow through the object that is an insulator uhm it can't complete the circuit the energy just stops,um the lectrisity can't flow through the object that is an incelater um it can't compleeat the circut the ennergige stops
37,uhm they help they let electricity flow through the circuit smoothly,um they helpd they let electricity flow through the circet smoothly
38,grams o o d good,ge oh oh d goo
39,the parallel circus circuit is the wires are not the same do the series circuit is the same,the parlar circuc circet is the wires are not the same so the ceries aid circt is the sa
40,electricity,ok saddy
41,it doesn't glow,it desglrow
42,l,ll
43,i see that there are,i see that there are
44,this is probably an electricity,this is probbly anelectiit
45,the other one doesn't burn out,n the other one doesn't burn o
46,we know that with a parallel,we know that with a parelell
47,out,up
48,when he one light bulb goes out the other one goes,when aone like bobs gos out the other one gos
49,the whole set burns out,the whole sep burns out
50,good,b
51,series,spirus
52,we talked about a a pair a pair of uh lights that are connected and if one goes out the whole set goes out,we talked about a a caire s a paire of ulights that are connected and if on goes out the whole sit goes
53,goes,it was a guz
54,this might be because i turned on i turn i turned the switch on and that lit the light,this might be because i turned on i turne i did i turned the switch on and that lit the light
55,this is a series one when one light bulb goes out the other one doesn't,this is a sceries wen when one like bal goes out the other one doesn't
56,i notice that when i turn out a light bulb the other one doesn't,oi noticed that when i turn out a light ball the other one does
57,i notice that i clicked on one but the other two didn't go out,i noticed that i clicked on one but the other two didn't go out
58,there are two light bulbs one light bulb one light bulb burned out so the other one burned out too,there are two lihte bolbs one like ballone like ball burned down so the other one burned out two
59,the one that i clicked goes out but the other one doesn't,the one that i click gloes out but the other one does
60,i'm good,i good
61,i've been learning about electricity,i've been learning about electrisity
62,i saw that when i clicked the switch the light bulb glowed,i saw that when i clicked the swish the light balb glowed
63,other one will burn burn out,other one ore bird burn out
64,can you repeat,can yo repet
65,good,go
66,bye,by
67,that the filament broken the light bulb is not light,that the fill en is broken the light balb is not light
68,i don't know,i don't know
69,that you would have to replace it with a new one then it won't burn out quickly,that he would have to replace it with the noo and then iwell burn out quickly
70,that the flow of electricity will not work,let' the flow of a lecture s sey will not wor
71,that the filaments breaks and then if you replace it with another battery light bulb it will burn out and the filament will break,that's what the fill man breaks and um then if you replacs it with another battery u whighte brob u ill it will burn ou and the fll ment will brea
72,a parallel circuit,a parlol arc
73,because the switch is a circuit,because thi swich is a circet
74,it is a parallel circuit,it is a parelell circut
75,that the switches not touching the wires so that light bulb will not light,that the swish is not touching the itwire so that the light ball will not lik
76,the flow of electricity will not work,the flo of yulictously will not work
77,that the flow of electricity,that the flot of te lectrissity oh
78,that the filament breaks and the electricity stops moving and and on the other side the electricity will keep flowing and flow,that the filman breace in the lectriscity stops moving and and on the otherside the lectrisity will keep flowing and flo
79,because the light bulb is broken,because the light ball is broken
80,that batteries not lighting and,that the batter is not lighting and
81,the series circuit only have one pathway,that she was tircts only of one pathway
82,that everything stops working,but everything stops working
83,a series circuit,a stery circo
84,energy,enterga
85,that when one filament breaks the other light bulb will still keep continuing,that when a onefl man breaks uh the other lighe bubbles still kep continu
86,that the electricity flows only one,hat the lectrisity flows only one
87,it breaks a it breaks a light bulb,seienwa i if wak  whit all
88,can you repeat that,can you repeat tha
89,after the filament breaks,aft the um filmet brake
90,that the bulbs are burning out,that the bubs are burning o
91,that the flow will not continue,that the flo will not continu
92,that the other bulb will not light,that the other bull will not likht
93,i don't,i do
94,that the other bulb will not light,that theother ball will not lik
95,we've been using magnets,we've ben using magnets
96,they share,they sure
97,serious circuits and some other,sery circets and some other
98,the wires are connecting twice on both things so makes bright,the wires are connecting twice on both things so it makes it br
99,there is many of them,there's many of them
100,through flowing to the circuit,they're flowing through a surc
101,a series circuit,a cerio circut
102,could you,good you
103,the wires are connecting twice to each thing,the wirs are conecting twice to each thin
104,when the series series circuit are more wires,when the ery cerys circuts have more wires
105,the bulb circuit a little bit brighter,the bulbs look et a little bit brighte
106,if you don't do correctly could shock you or it can hurt,if you don't do it correctly it could shock you or um it can't hurt
107,yeah hope such huge energy so we don't have to do wouldn't show,it hopes so she's energy so we don't have to do wit ourselve
108,because it's not in the right pathway well but not the plus the plus signs you have to be facing up the plus sign have to be facing the other but one on the left touch be facing the other direction,because it's not on the right pathy buh one the plu the pluss sides have to be facing up the plusis have to be facing the other the one on the left as to be facing the other direction
109,you know that really light and weight,it 'll get really light and w
110,it has to go through the circuit,it has to go through the sur
111,one,one
112,wires batteries and light bulb,wires batteryes and wighte ball
113,we've been using magnets connecting on the things that we don't know that they would stick,we've been using magnets conecting them ti things that we don't know that they would sti
114,the lights are get them,the whights will get dim
115,when we use the wires the battery and the light bulb all make a pathway and this it goes through and it makes a complete,when you use it whethe wires the battery and the light bulb i'll make a pathway and us it goes through and it makes a compleat
116,it has to flow through through the wires completely and if you get stuck or,it has to flow throt through the wires compleetly and if it gets stuck wo
117,closer the little power sources that are in the that are in the wires and,those ar the little poer sorces that are in the that are in the wires and he
118,to make light or to use like a,to make light or to use like a paninmo
119,turn the battery around,turn the battery around
120,the one with only one d cell the lights are dimmer along with two d cells the lights are bright,the one with only one desell the lights are dimmer the one with two deeshels the lights are lhight
121,when i click the thing again it will turn the battery around and it won't,when i click the thing again it will turn the battery around and it won't
122,on the front of that it goes through the plus sign down to the minus,on the front of the it goes through the plus sine downto the minuss
123,the wire the wires the light bulb and the battery they are all good going through a circuit making the light bulb,the water the waters the light bob and the batterye they are all g going through a circet making the light bob
124,on the right one when time passes the light bulb runs out so i have to replace it many many times because more energy is being taken from it,on the right one when time passes the lightbolb runs out so they have to replace it many many times cause more ennergy is being taken from it
125,could you,goodyou
126,when i click on the d cell it moves it it moves the direction and it actually flows in the circuit this time,when i click on the desal it moves  it moves the direction and it actually flows in the circet this time
127,the one d cell maybe dimmer but two d cells once batteries are rare equal,the one desa maybe dimmer but two desails runs bader iout requit
128,that wouldn't the nail is coducting electricity has electricity in it and when it touches the nail the nail has electricity in it too,that when o the nail is connecting it lectures s the u has a lectristitty and it and when it touches the nail d  nal has electriitty it it to
129,that the nail won't be a magnet anymore it will just be a plain out nail,that the nail won't be a magnet anymore it itl it will just be a plain out nail
130,can you repeat that,can ou repeat tha
131,that there are magnetic could you repeat that,that there uhm magler sacan you repeat that
132,can you repeat that,can you repeat that
133,i don't know,i don't know
134,that the a steel nail is connecting to the magnet so the magnetism goes to the tip of the steel and that's picking up the paper clip,that's um a steele nail is u connecting to the magnet so the magnetcimtome goes to the tip of the steel and that's picking up the paper cl
135,can you repeat that,m can' yu repeat that
136,that the magnetism is going to the nail which the nail is sticking to the magnet,that te magnettisome was going to the nail which the nail s sticking to the um magnet
