,target_text,pred_str
0,WE'VE HAD A WONDERFUL NIGHT,WE'VE HAD A WONDERFUL NIGHT
1,STEAMSHIP,STEAMSHIP
2,GO INSIDE AND EAT YOUR DINNER,GO INSIDE AND EAT YOUR DINNER
3,FAITHFUL,FAITHFUL
4,THE COWS' HAY WAS NOT DRY YET,THE COWS' HAY WAS AR NOT DRY YET
5,GRANDMOTHER PLAYED FOOTBALL LAST YEAR,GRANDMOTHER PLAYED FOOTBALL LAST YEAR
6,HE WAS REALLY NICE TO US,HE WAS REALLY NICE TO US
7,SHOCK,SHOCK
8,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
9,DON'T MAKE THE SAME MISTAKES TWICE,DON'T MAKE THE SAME MISTAKES TWORICE
10,SMASHED,SMASHED
11,WASH,VAS
12,SCRAPBOOK,SCRAPBOOK
13,DON'T THINK ABOUT IT TOO MUCH,DON'T THINK ABOUT IT TOO MUCH
14,WILL YOU PLEASE BATHE,WILL YOU PLEASE BATHE
15,TWO EIGHT ONE SEVEN THREE NINE TWO,TWO EIGHT ONE SEVEN THREE NINE TWO
16,ZUCCHINI,ZUCCHINI
17,PUSH,PUSH
18,ROCK,ROCK
19,SCREWDRIVER,SCREWDRIVER
20,WE HAD A BIRDSEYE VIEW,WE HAD A BIRDSEYE VIEW
21,ONE EIGHT ONE SEVEN SIX FOUR THREE,ONE EIGHT ONE SEVEN SIX FOUR THREE
22,EVEN YOUR EARS SWEAT IN A SAUNA,EVEN YOUR EARS SWEAT IN A SAUNA
23,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
24,ICEBERG,ICEBERG
25,NOTHING,NOTHING
26,LUMBERYARD,LUMBERYARD
27,BIOLOGY,BIOLOGY
28,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
29,THE ZEBRA ENTERED THE BRUSH WITH CARE,THE ZEBRA ENTERED THE BRUSH WITH CARE
30,MEANINGLESS,MEANINGLES
31,I THINK CATS ARE CUTE,I THINK CATS ARE CUTE
32,WE HAD A BIRDSEYE VIEW,WE HAD A BIRDSEYE VIEW
33,CHILDHOOD,CHILDHOOD
34,CHALK,CHALK
35,WE HAD A BIRDSEYE VIEW,WE HAD A BIRDSEYE VIEW
36,REPRESENTS,REPRESENTS
37,MICROWAVES,MICROWAVES
38,THROUGHOUT,THROUGHOUT
39,HE WAS REALLY NICE TO US,HE WAS REALLY NICE TO US
40,INTERRUPT,INTERRUPT
41,MISJUDGED,MISJUDGED
42,STUDIO,STUDIO
43,DON'T THINK ABOUT IT TOO MUCH,DON'T THINK ABOUT IT TOO MUCH
44,DISRUPT,DISRUPT
45,STUDIO,STUDIO
46,CONCEPT,CONCEPT
47,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU,SOMEONE BOUGHT A BEAUTIUL BEAUTIFUL RING FOR YOU
48,CIVILIZED,CIVILIZED
49,CHAIR,CHAIR
50,BEYOND,BEYOND
51,TRAUMA,TRAUMA
52,REPRESENTS,REPRESENTS
53,THROWER,THROWER
54,LOYAL,LOYAL
55,THOUSAND,THOUSAND
56,SHOE,SHOE
57,TWO FOUR SEVEN SIX THREE SEVEN FOUR,TWO FOUR SEVEN SIX THREE SEVEN FOUR
58,HARDSHIP,HARDSHIP
59,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
60,STOOGES,STOOGES
61,ETHNIC,ETHNIC
62,FRAGMENT,FRAGMENT
63,CHARLES WILL SELL FIFTY ALMONDS,CHARLES WILL SELL SELL FIFTY ALMONDS
64,SWOOP,SWOOP
65,MCDONALD,MCDONALD
66,DIGESTED,DIGESTED
67,THE YOUNG EMPEROR COULD NOT SPELL,THE YOUNG EMPEROR COULD NOT SPELL
68,BOOMERANG,BOOMERANG
69,SEARCH IN BETWEEN THE COUCH CUSHIONS,SEARCH IN BETWEEN THE COUCH CUSHIONS
70,ORGANIZATIONS,ORGANIZATIONS
71,WHY IS THE EARTH INSIDE THE MILKY WAY,WHY IS THE EARTH INSIDE THE MILKY WAY
72,CRENSHAW,CRENSHAW
73,AWESOME,SOMEAWESOME
74,SPOONS,SPOONS
75,TWO FOUR SEVEN SIX THREE SEVEN FOUR,TWO FOUR SEVEN SIX THREE SEVEN FOUR
76,MATTHEW HAS A HORSE FROM THE DESERT,MATTHEW HAS A HORSE FROM THE DESERT
77,NOVEL,NOVEL
78,MOHAWK,MOHAWK
79,KINGPIN,KINGPIN
80,TWO EIGHT ONE SEVEN THREE NINE TWO,TWO EIGHT ONE SEVEN THREE NINE TWO
81,FLAGPOLE,FLAGPOLE
82,SHIRT,SHIRT
83,ROYAL,ROYAL
84,SOFTEN,SOFTEN
85,CHILDHOOD,CHILDHOOD
86,THAT PINK MARBLE COST ME A DOLLAR,THAT PINK MARBLE COST ME A DOLLAR
87,CAUTIOUSLY,CAUTIOUSLY
88,THE YOUNG EMPEROR COULD NOT SPELL,THE YOUNG EMPEROR COULD NOT SPELL
89,BECAUSE MY LEG IS SORE,BECAUSE MY LEG IS SORE
90,SHORTCHANGE,SHORTCHANGE
91,COULD YOU PASS THE OTHER JAM PLEASE,COULD YOU PASS THE OTHER JAM PLEASE
92,LETHARGIC,LETHARGIC
93,LENGTHEN,LENGTHEN
