filepath,transcription_clean
/srv/scratch/chacmod/auskidtalk_spontaneous/1075_4.wav,the dinosaur egg is cracking open
/srv/scratch/chacmod/auskidtalk_spontaneous/1050_7.wav,the green baby is holding the bottle of milk and hiding behind the tree from the dinosaur
/srv/scratch/chacmod/auskidtalk_spontaneous/228_5.wav,and the egg started hatching
/srv/scratch/chacmod/auskidtalk_spontaneous/1050_2.wav,the green skined baby is bouncing off the dinosaur egg holding the bottle of milk
/srv/scratch/chacmod/auskidtalk_spontaneous/255_15.wav,the baby feel happy
/srv/scratch/chacmod/auskidtalk_spontaneous/255_14.wav,and then he feeds him his milk
/srv/scratch/chacmod/auskidtalk_spontaneous/228_14.wav,but the dinosaur looked around and then he got sad that the guy left
/srv/scratch/chacmod/auskidtalk_spontaneous/1050_4.wav,the green baby is holding the bottle of milk while the dinosaur egg is hatching
/srv/scratch/chacmod/auskidtalk_spontaneous/228_11.wav,the boy's like startled to the ground
/srv/scratch/chacmod/auskidtalk_spontaneous/255_2.wav,he's skateboarding
/srv/scratch/chacmod/auskidtalk_spontaneous/1075_8.wav,the dinosaur is still there by himself but on the floor
/srv/scratch/chacmod/auskidtalk_spontaneous/1050_11.wav,the green baby goes over to the green dinosaur and comforts him
/srv/scratch/chacmod/auskidtalk_spontaneous/1050_8.wav,the green dinosaur is looking for the green baby
/srv/scratch/chacmod/auskidtalk_spontaneous/1075_3.wav,the boy's touching the dinosaur egg
/srv/scratch/chacmod/auskidtalk_spontaneous/228_19.wav,and so he went over and petted the dinosaur
/srv/scratch/chacmod/auskidtalk_spontaneous/228_6.wav,it started cracking and then
/srv/scratch/chacmod/auskidtalk_spontaneous/1075_9.wav,the boy is hiding behind a tree
/srv/scratch/chacmod/auskidtalk_spontaneous/228_10.wav,and then the dinosaur just was hopped out of the egg
/srv/scratch/chacmod/auskidtalk_spontaneous/1075_5.wav,the dinosaur egg is opened
/srv/scratch/chacmod/auskidtalk_spontaneous/228_8.wav,and then a little like dinosaur popped out of it
/srv/scratch/chacmod/auskidtalk_spontaneous/1050_3.wav,the green baby is holding the bottle of milk while listening inside the dinosaur egg
/srv/scratch/chacmod/auskidtalk_spontaneous/228_18.wav,well he was hiding because the dinosaur was sad
/srv/scratch/chacmod/auskidtalk_spontaneous/228_17.wav,and then the boy felt sorry
