,target_text,pred_str
0,crenshaw,aer
1,easier,cier
2,the flood took a car down the street,ee
3,logic,spt
4,iceberg,sirxs
5,athlete,ige
6,spoons,cng
7,i collect stamps from vietnam,es
8,grandmother played football last year,tued
9,the young emperor could not spell,ea b
10,mabel grows tomatoes in the courtyard,tmeler
11,behind,phe
12,will you sing this song,thd
13,a feather was in the birdcage,theete
14,push,pt
15,gumshoe,cne
16,chair,aal
17,napkin,age
18,boomerang,ligy
19,mohawk,ll
20,five,se
21,the illusion looked like a giraffe,eesbe
22,kingpin,sms
23,mcdonald,poh
24,design,lger
25,ethnic,agt
26,that person eats pancakes,sws
27,they put my computer next to the books,db
28,nuclear,htl
29,civilized,wg
30,advantage,se
31,homemaking,mlugs
32,matthew has a horse from the desert,tsssss
33,we watched television during dinner,duhre
