,target_text,pred_str
0,jack held the magnets over his,jack held over his
1,wolfman,wolfman
2,into,into
3,no one could hear anything people were getting in car accidents and,no one could hear anything people were getting in car accidents and
4,shipshape,ship
5,four,for
6,thursdays,thir
7,poets,poets
8,the,the
9,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait
10,ensures,ensures
11,loathe,both
12,k,ok
13,six six four seven four two,six four seven four two
14,well,will
15,side,side
16,do research about eyesight,do research about eyesight
17,briefcase,briefcase
18,on,on
19,how,how
20,them,the
21,maui,maui
22,gravestone,gravestone
23,wait,really
24,up,up
25,if you like it or else you will be sorry,if you like it or else you will be sorry
26,could,could
27,she put her things in to her backpack the plane landed,she put her t t into her backpack the airplane landed
28,she,she
29,across,across
30,weekdays,weekdays
31,quiet,quiet
32,five,ive
33,a yacht slid around the point into the bay,a yacht slid around the point into the bay
34,ands husbands,s husbands
35,oh no said said chief sanders just when things were go going good in franksville,oh no said chief sanders just when things were going going good in franksville
36,oozing,o
37,concrete,con try
38,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red,green red blue green blue red blue green blue green red green blue red green blue green red
39,what,what
40,soon a bird came hopping by,soon a bird came hopping
41,three five six four seven six,ok three five six four seven six
42,cashflow,cash flow
43,there jo was mistaken for next day she made a discovery which produced a tempe tempest,theria was mistaken for next day she made a discovery which produced
44,unearthed,unearthed
45,no no please don't play your old flute begged doctor wong but it was too late john had started playing,no no please don't play your old flute begged dr wong but it was t t
46,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things,and you know what those stupid j ir els didn't even
47,regime,regime
48,maui,maui
49,is,is
50,the ends,and
51,rouge,r ou
52,jacob,jacob
53,racer was so happy that he could run as fast as that he ran and ran in circles,racer was so happy that he could run as fast as that he ran and ran in circles
54,he alway,he always
55,it's not that you aren't selling enough stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs is a great advertising campaign,it's not that you aren't selling a stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i
56,knew,new
57,what,what
58,cowherd,cowherd
59,showed,showed
60,and,and
61,with,with
62,can share,mar
63,smooths,smooths
64,snake,snake
65,stallsmith,stall smith
66,put the red en at,put the red at
67,aunt grace said to mark and christi terry at the n a c s a,ann grace said to mark and christi
68,newslink,newsl
69,we all looked at each other other trying to glean something each from the other,we all look at each other trying to g lain something each from the other
70,red,red
71,too,two
72,but how many millions of creatures there must have been,but how many millions of creatures there must have been
73,mouthpart,mouth part
74,isn't he known as the most brilliant journalist in new york,isn't he known as the most brilliant journalist in new y
75,red,r
76,i'll i will use,i will use
77,ou the brown house was on fire to the attic,brown house was on fire to the attic
78,lion,lion
79,the water is bad to drink,the water is bad to drink
80,boyhood,boyhood
81,uh,oh
82,every four years turtles from all over the land would crawl to great pond,every four years t t t t t t t t t
83,dolphin,dolph
84,e ancient coin was quite dull and warm w,the ancient coin was quite dull and warm
85,not even with her wrath the girl's ins insolence couldn't wholly overcome her wonder,not even with her wrath the girl's ins couldn't wholly overcome her wonder
86,guru,guru
87,as they paddled small,as they pud
88,there jo was mistaken for the next day she made a discovery which produced a tempest,their jo was mistaken for
89,o,oh
90,whirlwind,whirlwind
91,obverse,first
92,youth,youth
93,divided by,divided by
94,layout,layout
95,outcry,out cry
96,justin replied i promise that if we find the perfect hat i'll wear it everyday,justin cried i promise that if we find the perfect hat i'll wear it everyday
97,volume,volume
98,transverse,transverse
99,gracious ain't that an awful lot of money exclaimed david david crockett davy crockett,gracious ain't that an awful lot of money exc exclaimed dav
100,bathgate,bath
101,a turtle as young as you can be so slow even when,a t t t t t t
102,anxious,anxious
103,playing,been
104,zero eight seven eight six five,zero eight seven eight six five
105,gest,august
106,fusion,fusion
107,it to take,to take
108,so with swish they thought maybe just maybe he could bring the back the turtle cup,so with swish they thought maybe just maybe he could bring the back the t t t t t
109,shots,shots
110,flies,flies
111,the tall and lumpy miss nelson didn't speak er said the kids her throat must be sore are you sure you're well enough said mr blandsworth she's sure said all the kids,the tall on f am is n t speak er said the kids her th throat must be sore are you sure you were well enough said mr b also said she sure said all the kids
112,the r river was,r river was
113,your great grandma came here i'm glad your your my gram grandma too i said,your great grandma came here i'm glad you're my gran grandma t t said
114,he filled the marbles,he filled the mar
115,showing,showing
116,bluejay,blue j
117,the box of tacks fell,the box of tags fell
118,said t'was would be best to ask the owl then closed his eye,said t was would be best to ask the owl
119,rhythmic,rhythmic
120,uhm hello hello mud mud still didn't answer in fact mud was sound asleep mud had actually sung himself to sleep,um hello mud mud still didn't answer in fact mud was sound asleep mud had actually song himself to sleep
121,the odor of spring makes h makes,the y of spring makes
122,longleaf,longleaf
123,uncle don took everyone,uncle dog t
124,can i use,can i use
125,and that made his mom roll her eyes,and that made his mom roll
126,at a red apple jack wiggled the magnet the apple did not move,at a red apple jack w ig
127,showing,showing
128,flagship,flag
129,was,was
130,grey,gray
131,she lives with her brothers in the deep south,she lives with her brothers in the deep south
132,stillness,stillness
133,well let's see this spring break my brother saved a pigeon and let's see,um well uh let's see this spring break uh my brother saved a pigeon and um let's see
134,crystal,crystal
135,lengthened,lengthen
136,killjoy,killjoy
137,ointment,ointment
138,zero one one two oh two,zero one
139,longhair,long hair
140,what about the third form asked ms wong,what about the third form asked
141,red,red
142,so strong said the wind i am better,so strong said the wind i am better
143,pretty soon tons of flies were landing on everybody,pretty soon tons of flies were landing on everybody
144,w,o
145,besides the real reason i shaved the cat was to keep it nice and cool,besides the real reason i shaved the cat was to keep it nice and cool
146,uhm the,on the
147,ragtag,frog t
148,it was too late,it was
149,searched through his spider book until he found a picture of something that looked,searched through his spider book until he found a picture of something that looked
150,wolf,wolf
151,punchline,punchline
152,the local scientist dr wong,the local scientist dr w
153,skip,skip
154,oh one eight one oh,oh one eight one oh
155,rafts,abs
156,to,to
157,a short one and stop,i
158,what's your story,what's your story
159,off,off
160,one would suppose that they would know s that they would know nothing at all but about school af affairs but they did but they do,one would suppose that they would know s that they would know nothing at all but about school affairs but they did but they do
161,would have to take the good with the bad,would have to take the good with the bad
162,values,values
163,tiger,tiger
164,junkyard,junkyard
165,shipshape,ship
166,girl power,girl power
167,seventy,seventy
168,birdcage,bird cage
169,asians,asians
170,three,three
171,i swear that's the reason also i was going to sell the cat fur and buy my sister jenny braces for her big stupid face,i swear that's the reason also i was going to sell the cat for and buy my sister jenny's braces for her big stupid face
172,northview,northview
173,oakbrook,o
174,who is this young punk he thought to himself,who is this young punk he thought to himself
175,a col i colored the dragon pictures all green so it didn't take very long,a color i colored the dragon pictures all green so it didn't take very long
176,yes said anne candidly i've heard that you and he were engaged once,yes said anne candy l
177,red,way
178,of,of
179,we can't let you play the flute anymore john,we can't let you play the flute anymore john
180,air in them,er in
181,yule,you'll
182,it sure is,it sure is
183,have,have
184,please remind me not to be selfish,please remind me not to be selfish
185,then the flies stopped but just then a man moved into town who played the flute so badly that people would run away screaming,then the fly stopped but just then a man moved into town who played the flute so badly that people would run away screaming
186,they didn't want to kick him out of,lain didn't want to kick him out of
187,the source of the the huge river is the clear spring,the source of the huge river is the clear spring
188,maybe a poorly played flute doesn't sound all that bad,maybe a poorly played flute doesn't sound all that bad
189,he started shaking the flute to get the flies off and accidentally s smashed it into pieces,he started sh the flute to get the flies off and accidentally s sm smashed it into pieces
190,we'll meet at the zoo at ten o'clock,will meet at the zoo at ten o'clock
191,looked really silly at the dances dancing to music they couldn't hear they just couldn't lead a normal life,looked really silly at the n
192,dogfish,dog fish
193,range,orange
194,or tune the tv or scratch when you have an itch and when sister tried to play jacks she couldn't get any higher than twosies,or t the t v or scratch when you have an itch and when sister t t to play jack she couldn't get any higher
195,oh well that makes sense then,oh well that makes sense then
196,ree seven two three seven two,seven
197,orange,orange
198,and he was only one foot away,and he was only one foot away
199,the pitcher threw the baseball so hard that it made a loud pop sound when it was caught,a pitcher
200,shaped,shape
201,she goes to a friends,she goes to fr
202,brethren,brethren
203,the,the
204,ma,ma
205,dentist,dentist
206,lo,l
207,hi what did you bring,how would did you rain
208,failure,f al
209,yes,yes
210,from then on,from then on
211,enough of this nonsense said yin yin's mother poo poo,enough of this nonsense said y n's mother poo poo
212,when,when
213,it's called cops and robbers,it's called cops and rob
214,than other bubbles,than other bubbles
215,i should think you had an imagination sure enough she laughed,i should
216,cowgirls,cowgirls
217,an tan,tan
218,thirty five,thirty-five
219,withheld,with
220,one,when
221,one was smaller the third was about the same size,one was smaller the third was about the same size
222,barroom,buy room
223,race um racer um he was a fast dog and when he got old um he developed problems with his legs and um,raced um racer um he was a fast dog and when he got old um he developed problems with his legs and um
224,cat,can
225,a tiger is a beautiful animal but you should never try to pet one,a
226,the stars of the parade they were up on the main float,the stars of the parade they were up on the main float
227,filegate,v i t
228,rehearsed,rehearsed
229,hi,it
230,a force equal to that will move to move the earth,a forest equal
231,head,had
232,user,user
233,red,red
234,uhm he would play like the clarinet and the tu tuba or something i like lots of different instruments,um he would play like the clarinet and the t t something like lots of different instruments
235,but sometimes people like to eat peanuts on their banana splits,but sometimes people like to eat peanuts on their banana splits
236,birds,birds
237,there are a lot of computers now but there weren't many twenty years ago,there are a lot of computers now but there was weren't many tw years ago
238,tan,tan
239,but i'm awfully hungry i wish you'd get me something to eat,but i'm awfully hungry i wish you'd get me something to eat
240,my,my
241,the other two i don't know this one,the other t
242,the,the
243,zero zero zero eight two,zero zero eight two
244,poured was the,word was the
245,october,october
246,offhand,i am
247,tuesday,tuesday
248,but not,but not
249,there was something mysterious about the man first of all he was wearing two watches,there was something mysterious about the man first of all he was wearing two watches
250,t's your story,it's your story
251,close them soon,close
252,siam,siam
253,adverbs,adv
254,though,lo
255,oh willow tree he said said the little bird will you let me live in your warm branches until the springtime comes no said the willow tree i never talk to strangers go away,oh willow tree he said said the little bird will you let me live in your warm branches until the spring time comes no said the willow tree i never talked to strangers go away
256,push a,push a
257,but i am too old to endure your shame and my misery much longer,but i am
258,isn't he known as the most brilliant journalist of in new york,isn't he known as the most brilliant journalist of in new y
259,they shook the flour off her and set her down on the kitchen floor,they shook the flour off her and set her down on the kitchen floor
260,it might be a black widow mr foster smiled,it might be a black widow mr f
261,measure the goat before you go out,measure the goat before you go out
262,watch this,what's this
263,ay monday,monday
264,here the paper,here the paper
265,she said that she had to help other passengers,she said that she had to help other passengers
266,sh,sh
267,s when some,s when some
268,goldcreek,gold creek
269,midyear,midyear
270,then they,then they
271,tried to smile,try to smile
272,a tiger is a beautiful animal but you should never try to pet one,tw a t t
273,because they all had such,because the odds such
274,winter was coming and all the birds flew away to the warm south there there they would wait for the spring,winter was coming and all the birds flew away to the warm south there they would wait for the spring
275,nodule,nodule
276,cheetah,cheetah
277,that are near and far,that are near and far
278,graveyard,graveyard
279,farmhouse,farmhouse
280,bulkheads,bulkheads
281,they shook the flour off her and set her down on the kitchen floor,they shook the flour off her and set her down on the kitchen floor
282,two five six five four,two five six five four
283,wait wait,wait wait
284,i'll bet you didn't know something else did you know that i wanted to be a barber,i'll bet you didn't know something else did you know that i wanted to be a bar
285,i swore to bring you the terrible head and see how i keep my oath,i swore to bring you the ter ble head and see how i keep my oath
286,big rapids asked laura,big rafts asked l
287,no one could hear anything people were getting into car accidents and everybody looked really silly at dances dancing to music they couldn't hear,no one could hear anything people were getting into car accidents and everybody looked really silly at dances dancing to music they couldn't hear
288,do you know why i asked her to send me the manuscript,do you know why i asked her to send me the manuscript
