,target_text,pred_str
0,jack held the magnets over his,jack held the magnets over his
1,wolfman,wolfman
2,into,into
3,no one could hear anything people were getting in car accidents and,no one could hear anything people were getting in car accidents and
4,shipshape,shipship
5,four,four
6,thursdays,thursdays
7,poets,poets
8,the,the
9,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and waited
10,ensures,ensures
11,loathe,both
12,k,ca
13,six six four seven four two,six six four seven four two
14,well,well
15,side,side
16,do research about eyesight,ಮರಿಕಿಕಿಕಿಕಿಕಿಕಿಕಿ
17,briefcase,briefcase
18,on,on
19,how,how
20,them,them
21,maui,maui
22,gravestone,gravestone
23,wait,really
24,up,応
25,if you like it or else you will be sorry,if you like it or else you will be sorry
26,could,could
27,she put her things in to her backpack the plane landed,she put her things into her backpack the airplane landed
28,she,she
29,across,across
30,weekdays,weekdays
31,quiet,quiet
32,five,ಕಾರಿಕಿಕಿಕಿ
33,a yacht slid around the point into the bay,a yacht slid around the point into the bay
34,ands husbands,husbands
35,oh no said said chief sanders just when things were go going good in franksville,oh no s said said chief sanders just when things were go going good in franksville
36,oozing,oosin
37,concrete,caughtry
38,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red
39,what,what
40,soon a bird came hopping by,soon a bird came up to move
41,three five six four seven six,okay three five six four seven six
42,cashflow,cashflow
43,there jo was mistaken for next day she made a discovery which produced a tempe tempest,their job was mistaken for next day she made a discovery which produced the tempest
44,unearthed,unearth
45,no no please don't play your old flute begged doctor wong but it was too late john had started playing,no no please don't play your old flute begged doctor wong but it was too late john had started playing
46,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things,and you know what those stupid gerbils didn't even think me they just ran on that stupid wheel and did stupid things
47,regime,grigine
48,maui,maui
49,is,is
50,the ends,and
51,rouge,ruge
52,jacob,jagob
53,racer was so happy that he could run as fast as that he ran and ran in circles,racer was so happy that he could run as fast as that he ran and ran in circles
54,he alway,he always
55,it's not that you aren't selling enough stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs is a great advertising campaign,it's not that you aren't selling a stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs is a great advertising campaign
56,knew,knew
57,what,what
58,cowherd,cowherd
59,showed,showed
60,and,and
61,with,with
62,can share,mar
63,smooths,mooths
64,snake,snak
65,stallsmith,stolesmeth
