,target_text,pred_str
0,will you sing this song,
1,slogan,
2,awesome,
3,interrupt,
4,lumberyard,
5,cultures,
6,employees,
7,four six four two nine five four,
8,organizations,
9,our tent can hold six people,
10,safeway,
11,i like my meat on a cold platter,
12,bigfoot,
13,microwaves,
14,faithful,
15,thousand,
16,treasure,
17,you can see bugs light up the sky,
18,yellow,
19,the rain chased the dirt down the drain,
20,put the key in the key hole,
21,push,
22,why is the earth inside the milky way,
23,suggest,
24,wash,
25,please offer them a dinner mint,
26,pass their notes along,
27,the flood took a car down the street,
28,spoons,
29,normal,
30,chewy,
31,hardship,
32,buying the ring took all of my money,
33,starve,
34,toothpaste,
35,unfortunate,
36,seizure,
37,are you sure this is okay,
38,playoffs,
39,four,
40,give keith a moment to think,
41,bronco,
42,mouths,
43,are zebras just striped horses,
44,objected,
45,pathfinder,
46,take off your hat,
47,vase,
48,concept,
49,direct,
50,hopeful,
51,lengthen,
52,announce,
53,shock,
54,soften,
55,could lizards ever talk,
56,will you please bathe,
57,withdrawn,
58,one nine seven four three five four,
59,will beets stain my pants,
60,technology,
61,i hope the airplane will get higher,
62,don't think about it too much,
63,we had a birdseye view,
64,red,
65,the speaker boomed from the car,
66,rock,
67,we gathered sticks for the fire,
68,ten,
69,town,
70,wonderful,
71,lifeboats,
72,humor,
73,greet me with open arms,
74,aspire,
75,obvious,
76,i'm sorry,
77,cowboys,
78,earthquake,
79,you didn't arrive too late,
80,we've just started the egg toss,
81,southmost,
82,shortchange,
83,my sleeve caught the thorny bush,
84,one seven eight nine one eight six,
85,help me unroll the new rug,
86,one eight one seven six four three,
87,cautiously,
88,mutual,
89,growl,
90,punishment,
91,the cows' hay was not dry yet,
92,vowel,
93,subdue,
94,santa deemed rudolph the leader,
95,depths,
96,engrave,
97,overreaction,
98,jurors,
99,mature,
100,i'm good with things like that,
101,bathe,
102,steamship,
103,unwilling,
104,the flood took a car down the street,
105,someone bought a beautiful ring for you,
106,school,
107,i don't clean windows,
108,female,
109,misjudged,
110,birthmark,
111,could you pass the other jam please,
112,zucchini,
113,spoons,
114,throughout,
115,twenty,
116,five people can fit in the elevator,
117,try to lick the lollipop,
118,the stove melted the butter,
119,weatherproof,
120,surround,
121,we've had a wonderful night,
122,the dog is a big,
123,push,
124,shades,
125,smoke,
126,i think cats are cute,
127,charles will sell fifty almonds,
128,will you sing this song,
129,herbalist,
130,circumstance,
131,novel,
132,smashed,
133,steakhouse,
134,search in between the couch cushions,
135,background,
136,eating blueberries gives you blue hands,
137,join,
138,lure,
139,dashboard,
140,endure,
141,two six nine zero two two zero,
142,overalls,
143,payouts,
144,fancy,
145,biology,
146,midnight,
147,scallywag,
148,three,
149,truck,
150,when will we go on vacation,
151,yields,
152,super,
153,wavelet,
154,the flea chased the dog,
155,sir,
156,because my leg is sore,
157,seven,
158,hawthorne,
159,nothing,
160,childhood,
161,he breathed a sigh of relief,
162,i'll rent an apartment tomorrow,
163,abnormal,
164,tourists,
165,unroll,
166,i'm ready to go home,
167,musician,
168,cashflow,
169,points,
170,fragment,
171,two four seven six three seven four,
172,that was an odd decision,
173,the flood took a car down the street,
174,my clothes are wet from the rain,
175,vaulted,
176,studio,
