,target_text,pred_str
0,BALL,BALL
1,FOUR CUPS,FOUR CUPS
2,DETECTIVE,DETECTIVE
3,TONIGHT,TONIGHT
4,STRAW,STRAW
5,SWING,SWING
6,PIG,PIG
7,TREASURE,TTREASURE
8,HEAD,HEAD
9,BRIDGE,BRIDGE
10,SNAKE,SNAKE
11,HILL,HILL
12,CARD,CARD
13,LEAF,LEAF
14,THREE,THEE
15,HIPPOPOTAMUS,HIPPOPOTAMUS
16,THERMOMETER,THERMOMETER
17,THREE EGGS,THREE EGGS
18,GIRL,GIRL
19,GIRAFFE,GIRAFFE
20,FOUR O CLOCK,FOUR O CLOCK
21,WATCH,WATCH
22,KANGAROO,KANGAROO
23,BOY,BOY
24,THAT,THAT
25,SPAGHETTI,SPAGHETTI
26,PULL,PUL
27,CLOWN,CLOWN
28,TWO CUPS,TWO CUPS
29,BUTTERFLY,BUTTERFLY
30,THUMB,THUMB
31,JAM,TOWN
32,BOY,BOY
33,FROG,FROG
34,VANILLA,VANILLA
35,HEAD,HEAD
36,BALL,BALL
37,BANANA,BANANA
38,JAM,JAM
39,HILL,HILL
40,DUCK,DUCK
41,HIPPOPOTAMUS,HIPPOPOTAMUS
42,WATERMELON,WATERMELON
43,WATERMELON,WATERMELON
44,FUR,FUR
45,JAM,JAM
46,TAIL,TAIL
47,THREE,THREE
48,THUMB,THUMB
49,THUMB,THUMB
50,BRIDGE,BRIDGE
51,ONE O CLOCK,ONE O CLOCK
52,TONIGHT,TONIGHT
53,MOUNTAIN,MOUNTAIN
54,AUSTRALIA,AUSTRALIA
55,ONE EGG,ONE EGG
56,FOUR,FOUR
57,CUB,CUB
58,CRAB,CRAB
59,GARDEN,GARDEN
60,BINOCULARS,BINOCULARS
61,THREE,THREE
62,DOLL,DOLL
63,SHORT,SHORT
64,THREE CUPS,THREE CUPS
65,TWO O CLOCK,TWO O CLOCK
66,STETHOSCOPE,STETHOSCOPE
67,DINOSAUR,DINOSAUR
68,THREE O CLOCK,THREE O CLOCK
69,KANGAROO,KANGAROO
70,KITCHEN,KITCHEN
71,KANGAROO,KANGARO
72,HIPPOPOTAMUS,HIPPOPOTAMUS
73,HEAD,HEAD
74,SAUSAGE,SAUSAGE
75,THREE,THREE
76,HIPPOPOTAMUS,HIPPOOHIPPOTAMUS
77,PLAY,PLAY
78,SAUSAGE,SAUSAGE
79,ZOO,ZOO
80,FOUR,FOUR
81,POTATO,POTATO
82,POTATO,POTATO
83,HILL,HILL
84,SIX,SIX
85,CARPET,CCARPET
86,CLOWN,CLOWN
87,AUSTRALIA,AUSTRALIA
88,SIX,SIX
89,SPLASH,SPLASH
90,CART,CART
91,THAT,THAT
92,AUSTRALIA,AUSTRALIA
93,TWO O CLOCK,TWO O CLOCK
94,VEGEMITE,VEGEMITE
95,THREE O CLOCK,THREE O CLOCK
96,BANANA,BANANA
97,GORILLA,GORILLA
98,ATTACK,ATTACK
99,FEATHER,FEATHER
100,TWO,TWO
101,CICADA,CICADA
102,FUR,FUR
103,TONIGHT,TONIGHT
104,SPADE,SPADE
105,DRINK,DRINK
106,TREASURE,TREASURE
107,THREE CUPS,THREE CUPS
108,EAR,EAR
109,POOL,POOL
110,CHAIR,CHAIR
111,GORILLA,GORILLA
112,GORILLA,GORILLA
113,FOUR EGGS,FOUR EGGS
114,EAR,AIR
115,CIRCUS,CIRCUS
116,CATERPILLAR,CATERPILLAR
117,TREASURE,TREASURE
118,GRASSHOPPER,GRASSHOPPER
119,SPADE,SPADE
120,CLOWN,CLOWN
121,MAGICIAN,MAGICIAN
122,TOOTH,TOOTH
123,HEAD,HEAD
124,SPROUT,SPROUT
125,PULL,POL
126,MARTIAN,MARTIAN
127,GIRAFFE,GIRAFFE
128,ONE EGG,ONE EGG
129,ONE,ENO
130,KITCHEN,KITCHEN
131,CLOWN,CLOWN
132,LIGHT,LIGHT
133,CICADA,CICADA
134,CANOE,CANOE
135,HIPPOPOTAMUS,HIPPOPOTAMUS
136,SKIRT,SKIRT
137,FLOWERPOT,FLOWERPOT
138,BOY,BOY
139,SKIRT,SKIRT
140,ATTACK,ATTACK
141,HAIR,HAIR
142,CART,CART
143,CART,CART
144,TONIGHT,TONIGHT
145,YOYO,YOYO
146,NO,NO
147,MOUTH,MOUTH
148,ATTACK,ATTACK
149,ONE O CLOCK,ONE O CLOCK
150,FOUR,FOUR
151,FOUR CUPS,FOUR CUPS
152,ONE,ONE
153,OWL,OWL
154,THREE CUPS,THREE CUPS
155,CANOE,CANOE
156,SEVEN,SEVEN
157,GIRAFFE,GIRAFFE
158,CART,CART
159,CHAIR,CHAIR
160,COW,COW
161,ELEPHANT,ELEPHANT
162,SKIRT,SKIRT
163,YES,YES
164,GIRAFFE,GIRAFFE
165,JAM,JAM
166,COW,COW
167,NOSE,NOSE
168,WATERMELON,WATERMELON
169,KANGAROO,KANGAROO
170,EAR,EAR
171,THREE EGGS,THREE EGGS
172,SPLASH,SPLASH
173,BUTTERFLY,BUTTERFLY
174,JAM,JAM
175,GARAGE,GARAGE
176,WATCH,WATCH
177,CUCUMBER,CUCUMBER
178,SPLASH,SPLASH
179,MACHINE,MACHINE
180,FROG,FROG
181,CART,CARD
182,ONE CUP,ONE CUP
183,TEN,TEN
184,ONE O CLOCK,ONE O CLOCK
185,FOUR O CLOCK,FOUR O CLOCK
186,PULL,P
187,CATERPILLAR,CATERPILLAR
188,SHORT,SHORT
189,BINOCULARS,BINOCULARS
190,SHELL,SHELL
191,SAUSAGE,SAUSAGE
192,TWO EGGS,TWO EGGS
193,TWO CUPS,TWO CUPS
194,TREASURE,TREASURE
195,FOUR EGGS,FOUR EGGS
196,BALL,BALL
197,THUMB,THUMB
198,TWO CUPS,TWO CUPS
199,EAR,GIRL
200,DINOSAUR,DINOSAUR
201,DESSERT,DESSERT
202,TWO CUPS,TWO CUPS
203,GORILLA,GORILLA
204,THREE,THREE
205,SEVEN,SEVEN
206,TWO CUPS,TWO CUPS
207,DESSERT,DESSERT
208,CARD,CARD
209,BOAT,BOAT
210,EAR,EAR
211,THREE O CLOCK,THREE O CLOCK
