,target_text,pred_str
0,crenshaw,thranuathiaspre
1,easier,mmiaongedaey
2,the flood took a car down the street,ho crcdowng  he s ccuted
3,logic,bnsthehactc
4,iceberg,snita ifoaher
5,athlete,lapoalere
6,spoons,sepiog hns
7,i collect stamps from vietnam,shabokyea tkescsh wh ok ilas
8,grandmother played football last year,phybe bper the sodi th ireend
9,the young emperor could not spell,thand rhrrve br car re es oh ear
10,mabel grows tomatoes in the courtyard,bmwbn' berre sne shoge
11,behind,p hhakgrnd
12,will you sing this song,ill you sing ahis yisong
13,a feather was in the birdcage,s thhealpul oblddwb r tem  ay ho boy
14,push,pudhae
15,gumshoe,dhe buns i oag cb
16,chair,scraumnr
17,napkin,praticdbhhat
18,boomerang,bloragly
19,mohawk,rbobwt waloloo
20,five,bwi an cchve er
21,the illusion looked like a giraffe,th o lbehhn douan dgre df hr ltenb
22,kingpin,shbahadvd egn taar
23,mcdonald,tethdarbretaued hselch
24,design,mlowi ang nd
25,ethnic,a hangsior
26,that person eats pancakes,sthe mebhaougie i a ind h agrsonke
27,they put my computer next to the books,'pe he ben raayayde i ae shchi  iiaub
28,nuclear,tharwowbe on ardioey
29,civilized,sibar hralu tboueaood
30,advantage,sesyarage aignlise
31,homemaking,hoowibaabc odeg tetaes
32,matthew has a horse from the desert,bbhehhindd a aseawl fhroge te es hioicod
33,we watched television during dinner,hs ti hdowb anrber hol y ie aearehioone
