,target_text,pred_str
0,tourists,
1,unroll,
2,two four seven six three seven four,
3,that was an odd decision,
4,points,
5,fragment,
6,cashflow,
7,musician,
8,i'm ready to go home,
9,the flood took a car down the street,
10,spoons,
11,the car went too fast,
12,studio,
13,she'll be ready very soon,
14,vaulted,
15,my clothes are wet from the rain,
16,cooperate,
17,disrupt,
18,obstacle,
19,hourly,
20,lethargic,
21,archrival,
22,sour,
23,shoe,
24,i have ice cream for you,
25,push,
26,women,
27,her veins pop out when she is mad,
28,he was really nice to us,
29,temptation,
30,go inside and eat your dinner,
31,don't leave so soon,
32,i thought i heard new voices,
33,will you sing this song,
34,represents,
35,the zebra entered the brush with care,
36,super,
37,wavelet,
38,sir,
39,the flea chased the dog,
40,because my leg is sore,
41,seven,
42,he breathed a sigh of relief,
43,i'll rent an apartment tomorrow,
44,nothing,
45,childhood,
46,hawthorne,
47,scallywag,
48,biology,
49,midnight,
50,fancy,
51,payouts,
52,three,
53,truck,
54,when will we go on vacation,
55,yields,
56,background,
57,eating blueberries gives you blue hands,
58,join,
59,lure,
60,endure,
61,dashboard,
62,two six nine zero two two zero,
63,overalls,
64,search in between the couch cushions,
65,steakhouse,
66,smashed,
67,shirt,
68,snake,
69,tab,
70,the flood took a car down the street,
71,wiseguy,
72,real,
73,spoons,
74,his car thundered down the road,
75,your shadow always follows you,
76,push,
77,stooges,
78,upward,
79,even your ears sweat in a sauna,
80,pathetic,
81,playhouse,
82,screwdriver,
83,honey can get sticky,
84,will you sing this song,
85,underneath,
86,thursday,
87,squeegee,
88,rugby,
89,yankee,
90,the herd became angry and started a stampede,
91,trauma,
92,thatch,
93,it can only be a good circus with elephants,
94,one,
95,we should try to save the whales,
96,six,
97,don't make the same mistakes twice,
98,knights don't get scared of dragons,
99,the bird sang a sweet melody,
100,warmth,
101,subtract,
102,shortchange,
103,southmost,
104,you didn't arrive too late,
105,we've just started the egg toss,
106,cowboys,
107,earthquake,
108,obvious,
109,i'm sorry,
110,humor,
111,lifeboats,
112,greet me with open arms,
113,aspire,
114,we gathered sticks for the fire,
115,rock,
116,wonderful,
117,ten,
118,town,
119,vowel,
120,subdue,
121,the cows' hay was not dry yet,
122,one seven eight nine one eight six,
123,my sleeve caught the thorny bush,
124,one eight one seven six four three,
125,help me unroll the new rug,
126,punishment,
127,growl,
128,cautiously,
129,mutual,
130,five people can fit in the elevator,
131,try to lick the lollipop,
132,throughout,
133,twenty,
134,zucchini,
135,spoons,
136,i don't clean windows,
137,school,
138,the flood took a car down the street,
139,someone bought a beautiful ring for you,
140,could you pass the other jam please,
141,birthmark,
142,misjudged,
143,female,
144,santa deemed rudolph the leader,
145,bathe,
146,i'm good with things like that,
147,jurors,
148,mature,
149,depths,
150,engrave,
151,overreaction,
152,unwilling,
153,steamship,
154,herbalist,
155,will you sing this song,
156,novel,
157,circumstance,
158,i think cats are cute,
159,shades,
160,smoke,
161,charles will sell fifty almonds,
162,surround,
163,the stove melted the butter,
164,weatherproof,
165,the dog is a big,
166,we've had a wonderful night,
167,push,
168,silver robot toys are the best,
169,chasing sally can be dangerous,
170,that pink marble cost me a dollar,
171,sheepdog,
172,smoothly,
173,swoop,
174,white,
175,ragtime,
176,is that girl chewing gum,
177,stepfather,
178,people like to sing in cairo,
179,updated,
180,page,
181,picture,
182,every month i eat some chocolate,
183,scrapbook,
184,fred didn't try the carrot juice,
185,thrower,
186,two,
187,springhill,
188,royal,
189,jason likes playing with garfield,
190,woolen,
191,thanks,
192,toyota,
193,offshore,
194,the flood took a car down the street,
195,bill has purple glasses,
196,singer,
197,spoons,
198,unplug the toaster,
199,push,
200,wagging,
201,will you sing this song,
202,submit,
203,buying the ring took all of my money,
204,starve,
205,toothpaste,
206,unfortunate,
207,are you sure this is okay,
208,seizure,
209,give keith a moment to think,
210,four,
211,playoffs,
212,mouths,
213,bronco,
214,are zebras just striped horses,
215,objected,
216,pathfinder,
217,take off your hat,
218,vase,
219,concept,
220,direct,
221,announce,
222,hopeful,
223,lengthen,
224,shock,
225,soften,
226,could lizards ever talk,
227,will you please bathe,
228,one nine seven four three five four,
229,withdrawn,
230,technology,
231,will beets stain my pants,
232,i hope the airplane will get higher,
233,don't think about it too much,
234,red,
235,we had a birdseye view,
236,the speaker boomed from the car,
237,suggest,
238,why is the earth inside the milky way,
239,wash,
240,please offer them a dinner mint,
241,pass their notes along,
242,the flood took a car down the street,
243,spoons,
244,chewy,
245,normal,
246,hardship,
247,i like my meat on a cold platter,
248,safeway,
249,microwaves,
250,bigfoot,
251,faithful,
252,you can see bugs light up the sky,
253,thousand,
254,treasure,
255,yellow,
256,the rain chased the dirt down the drain,
257,push,
258,put the key in the key hole,
259,interrupt,
260,lumberyard,
261,awesome,
262,four six four two nine five four,
263,organizations,
264,cultures,
265,employees,
266,our tent can hold six people,
267,slogan,
268,will you sing this song,
269,studio,
270,she'll be ready very soon,
271,vaulted,
272,my clothes are wet from the rain,
273,the car went too fast,
274,spoons,
275,the flood took a car down the street,
276,tourists,
277,unroll,
278,that was an odd decision,
279,two four seven six three seven four,
280,cashflow,
281,musician,
282,i'm ready to go home,
283,fragment,
284,points,
285,will you sing this song,
286,represents,
287,the zebra entered the brush with care,
288,don't leave so soon,
289,i thought i heard new voices,
290,her veins pop out when she is mad,
291,he was really nice to us,
292,temptation,
293,women,
294,go inside and eat your dinner,
295,hourly,
296,lethargic,
297,archrival,
298,obstacle,
299,cooperate,
300,disrupt,
301,i have ice cream for you,
302,shoe,
303,sour,
304,push,
305,nothing,
306,childhood,
307,hawthorne,
308,he breathed a sigh of relief,
309,i'll rent an apartment tomorrow,
310,seven,
311,because my leg is sore,
312,wavelet,
313,super,
314,sir,
315,the flea chased the dog,
316,smashed,
317,dashboard,
318,endure,
319,two six nine zero two two zero,
320,overalls,
321,eating blueberries gives you blue hands,
322,join,
323,lure,
324,background,
325,steakhouse,
326,search in between the couch cushions,
327,scallywag,
328,fancy,
329,payouts,
330,midnight,
331,biology,
332,yields,
333,when will we go on vacation,
334,three,
335,truck,
336,will you sing this song,
337,thursday,
338,underneath,
339,squeegee,
340,screwdriver,
341,who will the soldier vote for,
342,honey can get sticky,
343,breath,
344,moisture,
345,flagpole,
346,playhouse,
347,san diego is very green this year,
348,lawyer,
349,meaningless,
350,doug thinks he will win the race,
351,even your ears sweat in a sauna,
352,oasis,
353,pathetic,
354,upward,
355,stooges,
356,push,
357,hoof,
358,allowing,
359,cliffhanger,
360,digested,
361,pay albert for the fresh water,
362,shirt,
363,snake,
364,stewart has five friends in richmond,
365,tab,
366,nine nine six nine six one zero,
367,edgar does not have a job,
368,the flood took a car down the street,
369,wiseguy,
370,spoons,
371,his car thundered down the road,
372,your shadow always follows you,
373,real,
374,warmth,
375,subtract,
376,turn the volume on the radio down,
377,the bird sang a sweet melody,
378,two six four zero two four six,
379,the angry chef cooked his vegetables,
380,knights don't get scared of dragons,
381,don't make the same mistakes twice,
382,handshake,
383,chalk,
384,nine,
385,the briefcase is open now,
386,rugby,
387,explosion,
388,beyond,
389,yankee,
390,the herd became angry and started a stampede,
391,thatch,
392,trauma,
393,you can save water in your bathtub,
394,it can only be a good circus with elephants,
395,cross,
396,eight,
397,one,
398,imagery,
399,loyal,
400,average,
401,we should try to save the whales,
402,six,
403,push,
404,stooges,
405,upward,
406,pathetic,
407,even your ears sweat in a sauna,
408,will you sing this song,
409,thursday,
410,underneath,
411,squeegee,
412,screwdriver,
413,honey can get sticky,
414,playhouse,
415,real,
416,your shadow always follows you,
417,his car thundered down the road,
418,spoons,
419,tab,
420,wiseguy,
421,the flood took a car down the street,
422,snake,
423,shirt,
424,knights don't get scared of dragons,
425,don't make the same mistakes twice,
426,warmth,
427,subtract,
428,the bird sang a sweet melody,
429,six,
430,we should try to save the whales,
431,one,
432,it can only be a good circus with elephants,
433,rugby,
434,yankee,
435,the herd became angry and started a stampede,
436,thatch,
437,trauma,
438,herbalist,
439,will you sing this song,
440,circumstance,
441,novel,
442,i think cats are cute,
443,shades,
444,smoke,
445,charles will sell fifty almonds,
446,surround,
447,weatherproof,
448,the stove melted the butter,
449,we've had a wonderful night,
450,the dog is a big,
451,push,
452,santa deemed rudolph the leader,
453,jurors,
454,mature,
455,bathe,
456,i'm good with things like that,
457,overreaction,
458,depths,
459,engrave,
460,unwilling,
461,steamship,
462,school,
463,i don't clean windows,
464,someone bought a beautiful ring for you,
465,the flood took a car down the street,
466,misjudged,
467,could you pass the other jam please,
468,birthmark,
469,female,
470,five people can fit in the elevator,
471,try to lick the lollipop,
472,twenty,
473,throughout,
474,spoons,
475,zucchini,
476,we gathered sticks for the fire,
477,rock,
478,wonderful,
479,ten,
480,town,
481,i'm sorry,
482,obvious,
483,cowboys,
484,earthquake,
485,aspire,
486,greet me with open arms,
487,humor,
488,lifeboats,
489,shortchange,
490,southmost,
491,you didn't arrive too late,
492,we've just started the egg toss,
493,one seven eight nine one eight six,
494,my sleeve caught the thorny bush,
495,one eight one seven six four three,
496,help me unroll the new rug,
497,growl,
498,punishment,
499,mutual,
500,cautiously,
501,the cows' hay was not dry yet,
502,subdue,
503,vowel,
504,chasing sally can be dangerous,
505,smoothly,
506,sheepdog,
507,that pink marble cost me a dollar,
508,civilized,
509,silver robot toys are the best,
510,nuclear,
511,homemaking,
512,advantage,
513,is that girl chewing gum,
514,we watched television during dinner,
515,ragtime,
516,matthew has a horse from the desert,
517,white,
