,target_text,pred_str
0,jack held the magnets over his,nns
1,wolfman,
2,into,
3,no one could hear anything people were getting in car accidents and,n dn sn
4,shipshape,
5,four,
6,thursdays,
7,poets,
8,the,
9,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait,nwfn snmmnd    n t  dnn
10,ensures,
11,loathe,
12,k,
13,six six four seven four two,n
14,well,
15,side,
16,do research about eyesight,s
17,briefcase,
18,on,
19,how,
20,them,
21,maui,
22,gravestone,
23,wait,
24,up,
25,if you like it or else you will be sorry,ll s
26,could,
27,she put her things in to her backpack the plane landed,n sntr  ndtd
28,she,
29,across,
30,weekdays,
31,quiet,
32,five,
33,a yacht slid around the point into the bay,nn
34,ands husbands,
35,oh no said said chief sanders just when things were go going good in franksville,nsssndn ns n d
36,oozing,
37,concrete,n
38,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red,rrrrrlrrrrrrrr
39,what,
40,soon a bird came hopping by,s
41,three five six four seven six,
42,cashflow,s
43,there jo was mistaken for next day she made a discovery which produced a tempe tempest,d  n  rn t ir w rd n
44,unearthed,n
45,no no please don't play your old flute begged doctor wong but it was too late john had started playing,nnr t  r wn wst lnd ts
46,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things,n ns    tnn snmm    nd  s
47,regime,
48,maui,
49,is,
50,the ends,
51,rouge,
52,jacob,
53,racer was so happy that he could run as fast as that he ran and ran in circles,ss nsnnm sr
54,he alway,
55,it's not that you aren't selling enough stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs is a great advertising campaign,n tsnt nd s trn  n   mn sssnn  tn d  d
56,knew,
57,what,
58,cowherd,
59,showed,
60,and,
61,with,
62,can share,
63,smooths,
64,snake,
65,stallsmith,
66,put the red en at,
67,aunt grace said to mark and christi terry at the n a c s a,nd  mnss nss
68,newslink,
69,we all looked at each other other trying to glean something each from the other,ntnmm
70,red,
71,too,
72,but how many millions of creatures there must have been,nn  ms n
73,mouthpart,
74,isn't he known as the most brilliant journalist in new york,nmn
75,red,
76,i'll i will use,
77,ou the brown house was on fire to the attic,rnn
78,lion,
79,the water is bad to drink,
80,boyhood,
81,uh,
82,every four years turtles from all over the land would crawl to great pond,strsmn  n
83,dolphin,
84,e ancient coin was quite dull and warm w,n
85,not even with her wrath the girl's ins insolence couldn't wholly overcome her wonder,n nn tln dnr ndr
86,guru,
87,as they paddled small,s
88,there jo was mistaken for the next day she made a discovery which produced a tempest,d nssstd nt nd s dn
89,o,
90,whirlwind,
91,obverse,
92,youth,
