filepath,transcription_clean
/srv/scratch/chacmod/OGI/speech/scripted/06/4/ks61m/ks61m6v0.wav,shortchange
/srv/scratch/chacmod/OGI/speech/scripted/01/3/ks104/ks104620.wav,eating blueberries gives you blue hands
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ksh11/ksh117d0.wav,stooges
/srv/scratch/chacmod/OGI/speech/scripted/03/0/kse0l/kse0l190.wav,ethnic
/srv/scratch/chacmod/OGI/speech/scripted/07/1/ksi10/ksi10060.wav,average
/srv/scratch/chacmod/OGI/speech/scripted/08/2/ksj44/ksj447j0.wav,suggest
/srv/scratch/chacmod/OGI/speech/scripted/10/0/ksl0p/ksl0p2n0.wav,nuclear
/srv/scratch/chacmod/OGI/speech/scripted/06/0/ksh3o/ksh3o5d0.wav,mabel grows tomatoes in the courtyard
/srv/scratch/chacmod/OGI/speech/scripted/07/2/ksi03/ksi032f0.wav,mouths
/srv/scratch/chacmod/OGI/speech/scripted/01/4/ks10k/ks10k6o0.wav,someone bought a beautiful ring for you
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ksk0q/ksk0q7l0.wav,surround
/srv/scratch/chacmod/OGI/speech/scripted/05/4/ks54d/ks54d760.wav,spoons
/srv/scratch/chacmod/OGI/speech/scripted/09/2/ksk0k/ksk0k6t0.wav,shock
/srv/scratch/chacmod/OGI/speech/scripted/07/1/ks72x/ks72x0g0.wav,breath
/srv/scratch/chacmod/OGI/speech/scripted/08/0/ksj0l/ksj0l540.wav,grandmother played football last year
/srv/scratch/chacmod/OGI/speech/scripted/08/0/ks83u/ks83u3w0.wav,the illusion looked like a giraffe
/srv/scratch/chacmod/OGI/speech/scripted/08/0/ks805/ks805770.wav,springhill
/srv/scratch/chacmod/OGI/speech/scripted/03/2/kse3f/kse3f8s0.wav,yellow
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks118/ks1183w0.wav,the illusion looked like a giraffe
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ks70v/ks70v0n0.wav,childhood
/srv/scratch/chacmod/OGI/speech/scripted/03/3/ks312/ks3122b0.wav,midnight
/srv/scratch/chacmod/OGI/speech/scripted/02/2/ks24c/ks24c3e0.wav,playoffs
/srv/scratch/chacmod/OGI/speech/scripted/07/4/ksi06/ksi062p0.wav,one seven eight nine one eight six
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23t/ks23t640.wav,sir
/srv/scratch/chacmod/OGI/speech/scripted/05/1/ksg3n/ksg3n560.wav,even your ears sweat in a sauna
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ks63b/ks63b300.wav,obstacle
/srv/scratch/chacmod/OGI/speech/scripted/10/1/ksl0k/ksl0k820.wav,trauma
/srv/scratch/chacmod/OGI/speech/scripted/03/4/kse42/kse420j0.wav,cautiously
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ksh11/ksh114x0.wav,knights don't get scared of dragons
/srv/scratch/chacmod/OGI/speech/scripted/07/0/ksi3l/ksi3l1y0.wav,kingpin
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks10f/ks10f4k0.wav,a feather was in the birdcage
/srv/scratch/chacmod/OGI/speech/scripted/06/4/ksh3r/ksh3r420.wav,the cows' hay was not dry yet
/srv/scratch/chacmod/OGI/speech/scripted/03/1/ks33o/ks33o570.wav,don't make the same mistakes twice
/srv/scratch/chacmod/OGI/speech/scripted/07/0/ksi3t/ksi3t370.wav,page
/srv/scratch/chacmod/OGI/speech/scripted/01/3/ks13i/ks13i630.wav,that was an odd decision
/srv/scratch/chacmod/OGI/speech/scripted/03/2/ks31j/ks31j3h0.wav,push
/srv/scratch/chacmod/OGI/speech/scripted/09/0/ksk13/ksk134i0.wav,bill has purple glasses
/srv/scratch/chacmod/OGI/speech/scripted/10/0/ksa11/ksa110u0.wav,crenshaw
/srv/scratch/chacmod/OGI/speech/scripted/08/0/ksj3g/ksj3g5x0.wav,i collect stamps from vietnam
/srv/scratch/chacmod/OGI/speech/scripted/03/3/kse2w/kse2w6a0.wav,go inside and eat your dinner
/srv/scratch/chacmod/OGI/speech/scripted/09/0/ks944/ks9445j0.wav,will you sing this song
/srv/scratch/chacmod/OGI/speech/scripted/01/4/ks10z/ks10z420.wav,the cows' hay was not dry yet
/srv/scratch/chacmod/OGI/speech/scripted/08/3/ksj3t/ksj3t3l0.wav,represents
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd2z/ksd2z0i0.wav,cashflow
/srv/scratch/chacmod/OGI/speech/scripted/07/1/ks72x/ks72x8v0.wav,abnormal
/srv/scratch/chacmod/OGI/speech/scripted/08/3/ks80i/ks80i8o0.wav,women
/srv/scratch/chacmod/OGI/speech/scripted/05/1/ks53q/ks53q4x0.wav,knights don't get scared of dragons
/srv/scratch/chacmod/OGI/speech/scripted/10/4/ksl0e/ksl0e1s0.wav,humor
/srv/scratch/chacmod/OGI/speech/scripted/10/0/ksa11/ksa111j0.wav,gumshoe
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks40e/ks40e6u0.wav,shoe
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ks03d/ks03d8o0.wav,women
/srv/scratch/chacmod/OGI/speech/scripted/03/0/kse0l/kse0l8g0.wav,wagging
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks907/ks9070e0.wav,birthmark
/srv/scratch/chacmod/OGI/speech/scripted/10/4/ksa12/ksa127q0.wav,ten
/srv/scratch/chacmod/OGI/speech/scripted/04/1/ksf3w/ksf3w0q0.wav,cliffhanger
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ksk14/ksk14680.wav,i'll rent an apartment tomorrow
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ksh3n/ksh3n3h0.wav,push
/srv/scratch/chacmod/OGI/speech/scripted/08/1/ksj2y/ksj2y4o0.wav,san diego is very green this year
/srv/scratch/chacmod/OGI/speech/scripted/01/2/ks131/ks1317t0.wav,thousand
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa3h/ksa3h1g0.wav,four
/srv/scratch/chacmod/OGI/speech/scripted/01/3/ks13r/ks13r0d0.wav,biology
/srv/scratch/chacmod/OGI/speech/scripted/05/3/ksg14/ksg142g0.wav,musician
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ksh0a/ksh0a120.wav,disrupt
/srv/scratch/chacmod/OGI/speech/scripted/01/1/ks113/ks1133h0.wav,push
/srv/scratch/chacmod/OGI/speech/scripted/10/0/ksa34/ksa34280.wav,mcdonald
/srv/scratch/chacmod/OGI/speech/scripted/05/2/ksg0p/ksg0p730.wav,soften
/srv/scratch/chacmod/OGI/speech/scripted/04/0/ks43r/ks43r190.wav,ethnic
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23l/ks23l300.wav,obstacle
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ks60p/ks60p6e0.wav,the rain chased the dirt down the drain
/srv/scratch/chacmod/OGI/speech/scripted/07/0/ks70h/ks70h5x0.wav,i collect stamps from vietnam
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ksh3j/ksh3j0b0.wav,beyond
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ksi3p/ksi3p8j0.wav,wavelet
/srv/scratch/chacmod/OGI/speech/scripted/05/4/ksg3f/ksg3f4c0.wav,charles will sell fifty almonds
/srv/scratch/chacmod/OGI/speech/scripted/02/0/ks20r/ks20r0p0.wav,civilized
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks21c/ks21c8o0.wav,women
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks10i/ks10i0u0.wav,crenshaw
/srv/scratch/chacmod/OGI/speech/scripted/09/0/ksk08/ksk087c0.wav,stepfather
/srv/scratch/chacmod/OGI/speech/scripted/09/1/ks90r/ks90r150.wav,eight
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ks732/ks732760.wav,spoons
/srv/scratch/chacmod/OGI/speech/scripted/04/2/ks43y/ks43y5l0.wav,why is the earth inside the milky way
/srv/scratch/chacmod/OGI/speech/scripted/06/0/ks60d/ks60d1j0.wav,gumshoe
/srv/scratch/chacmod/OGI/speech/scripted/09/2/ks90c/ks90c0w0.wav,cultures
/srv/scratch/chacmod/OGI/speech/scripted/07/0/ks70o/ks70o3i0.wav,ragtime
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa3i/ksa3i8s0.wav,yellow
/srv/scratch/chacmod/OGI/speech/scripted/00/7/ksb0l/ksb0l670.wav,the car went too fast
/srv/scratch/chacmod/OGI/speech/scripted/10/0/ksa3l/ksa3l4f0.wav,people like to sing in cairo
/srv/scratch/chacmod/OGI/speech/scripted/04/4/ks434/ks4340e0.wav,birthmark
/srv/scratch/chacmod/OGI/speech/scripted/03/1/ks33m/ks33m2y0.wav,oasis
/srv/scratch/chacmod/OGI/speech/scripted/04/2/ks43m/ks43m2k0.wav,normal
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksl15/ksl15500.wav,the flood took a car down the street
/srv/scratch/chacmod/OGI/speech/scripted/08/1/ksj0p/ksj0p4w0.wav,doug thinks he will win the race
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ks03a/ks03a290.wav,meaningless
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ks937/ks9370d0.wav,biology
/srv/scratch/chacmod/OGI/speech/scripted/05/1/ks50n/ks50n7n0.wav,tab
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ksh3n/ksh3n2t0.wav,one nine seven four three five four
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ksh0t/ksh0t8r0.wav,yankee
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ksi1c/ksi1c690.wav,i thought i heard new voices
/srv/scratch/chacmod/OGI/speech/scripted/01/1/ksc0s/ksc0s7n0.wav,tab
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksl17/ksl173p0.wav,safeway
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks93x/ks93x4c0.wav,charles will sell fifty almonds
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ks60v/ks60v2l0.wav,nothing
/srv/scratch/chacmod/OGI/speech/scripted/03/4/kse35/kse35490.wav,try to lick the lollipop
/srv/scratch/chacmod/OGI/speech/scripted/09/1/ksk0u/ksk0u330.wav,one
/srv/scratch/chacmod/OGI/speech/scripted/05/2/ks50y/ks50y5o0.wav,are zebras just striped horses
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ksh0a/ksh0a650.wav,i have ice cream for you
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ks03g/ks03g0f0.wav,boomerang
/srv/scratch/chacmod/OGI/speech/scripted/01/3/ksc3f/ksc3f350.wav,overalls
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ksd0i/ksd0i3j0.wav,real
/srv/scratch/chacmod/OGI/speech/scripted/10/3/ksa0g/ksa0g8v0.wav,abnormal
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa3t/ksa3t6e0.wav,the rain chased the dirt down the drain
/srv/scratch/chacmod/OGI/speech/scripted/10/1/ksl2v/ksl2v1u0.wav,imagery
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ks615/ks615760.wav,spoons
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks43k/ks43k6p0.wav,seven
/srv/scratch/chacmod/OGI/speech/scripted/03/4/ks313/ks313850.wav,twenty
/srv/scratch/chacmod/OGI/speech/scripted/05/4/ks50z/ks50z430.wav,i think cats are cute
/srv/scratch/chacmod/OGI/speech/scripted/01/4/ks10r/ks10r4a0.wav,could you pass the other jam please
/srv/scratch/chacmod/OGI/speech/scripted/03/1/ks33m/ks33m4p0.wav,the angry chef cooked his vegetables
/srv/scratch/chacmod/OGI/speech/scripted/03/0/ks33t/ks33t1o0.wav,homemaking
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ksb2u/ksb2u0h0.wav,bronco
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks10i/ks10i1y0.wav,kingpin
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ks60g/ks60g4o0.wav,san diego is very green this year
/srv/scratch/chacmod/OGI/speech/scripted/02/0/ksd3g/ksd3g320.wav,offshore
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ksc3l/ksc3l860.wav,two
/srv/scratch/chacmod/OGI/speech/scripted/08/3/ksj3t/ksj3t6g0.wav,my clothes are wet from the rain
/srv/scratch/chacmod/OGI/speech/scripted/00/6/ks00b/ks00b2g0.wav,musician
/srv/scratch/chacmod/OGI/speech/scripted/09/2/ksk1h/ksk1h5f0.wav,put the key in the key hole
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks245/ks2450q0.wav,cliffhanger
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks20u/ks20u4x0.wav,knights don't get scared of dragons
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks414/ks4143l0.wav,represents
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa13/ksa130m0.wav,chewy
/srv/scratch/chacmod/OGI/speech/scripted/04/0/ks43q/ks43q0k0.wav,chair
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks20q/ks20q8o0.wav,women
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ksb04/ksb044n0.wav,the briefcase is open now
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa42/ksa425u0.wav,could lizards ever talk
/srv/scratch/chacmod/OGI/speech/scripted/08/0/ks82w/ks82w8v0.wav,abnormal
/srv/scratch/chacmod/OGI/speech/scripted/07/0/ks70a/ks70a1e0.wav,five
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ksf3i/ksf3i670.wav,the car went too fast
/srv/scratch/chacmod/OGI/speech/scripted/03/4/ks313/ks313410.wav,i don't clean windows
/srv/scratch/chacmod/OGI/speech/scripted/09/1/ks90g/ks90g1a0.wav,explosion
/srv/scratch/chacmod/OGI/speech/scripted/10/1/ksl1b/ksl1b8r0.wav,yankee
/srv/scratch/chacmod/OGI/speech/scripted/02/2/ks233/ks233250.wav,lumberyard
/srv/scratch/chacmod/OGI/speech/scripted/06/0/ks62w/ks62w0a0.wav,behind
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd30/ksd306z0.wav,smashed
/srv/scratch/chacmod/OGI/speech/scripted/03/1/ks31l/ks31l4q0.wav,edgar does not have a job
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa42/ksa426y0.wav,slogan
/srv/scratch/chacmod/OGI/speech/scripted/01/2/ks10c/ks10c5g0.wav,take off your hat
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa3t/ksa3t5l0.wav,why is the earth inside the milky way
/srv/scratch/chacmod/OGI/speech/scripted/01/1/ksc0s/ksc0s4o0.wav,san diego is very green this year
/srv/scratch/chacmod/OGI/speech/scripted/03/4/ks313/ks3136j0.wav,we gathered sticks for the fire
/srv/scratch/chacmod/OGI/speech/scripted/01/2/ks109/ks109590.wav,don't think about it too much
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ks62y/ks62y0s0.wav,cooperate
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ks940/ks9405r0.wav,her veins pop out when she is mad
/srv/scratch/chacmod/OGI/speech/scripted/09/2/ksk0a/ksk0a020.wav,announce
/srv/scratch/chacmod/OGI/speech/scripted/05/0/ks52v/ks52v500.wav,the flood took a car down the street
/srv/scratch/chacmod/OGI/speech/scripted/09/2/ks933/ks9335u0.wav,could lizards ever talk
/srv/scratch/chacmod/OGI/speech/scripted/04/0/ks40m/ks40m1o0.wav,homemaking
/srv/scratch/chacmod/OGI/speech/scripted/04/1/ksf3a/ksf3a0v0.wav,cross
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa3t/ksa3t6y0.wav,slogan
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ks635/ks6353a0.wav,payouts
/srv/scratch/chacmod/OGI/speech/scripted/10/4/ksa41/ksa413z0.wav,five people can fit in the elevator
/srv/scratch/chacmod/OGI/speech/scripted/06/4/ks63g/ks63g470.wav,the dog is a big
/srv/scratch/chacmod/OGI/speech/scripted/08/2/ksj44/ksj445u0.wav,could lizards ever talk
/srv/scratch/chacmod/OGI/speech/scripted/05/0/ks500/ks5007r0.wav,thanks
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ks631/ks6311a0.wav,explosion
/srv/scratch/chacmod/OGI/speech/scripted/08/2/ks80o/ks80o1l0.wav,hardship
/srv/scratch/chacmod/OGI/speech/scripted/00/0/ksb0s/ksb0s1j0.wav,gumshoe
/srv/scratch/chacmod/OGI/speech/scripted/06/4/ks61m/ks61m3h0.wav,push
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks414/ks414840.wav,truck
/srv/scratch/chacmod/OGI/speech/scripted/10/0/ksa47/ksa47280.wav,mcdonald
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks90z/ks90z400.wav,greet me with open arms
/srv/scratch/chacmod/OGI/speech/scripted/10/4/ksa3a/ksa3a6v0.wav,shortchange
/srv/scratch/chacmod/OGI/speech/scripted/08/3/ks82s/ks82s7f0.wav,studio
