,target_text,pred_str
0,ball,bal
1,four cups,four cups
2,detective,detctve
3,tonight,tonht
4,straw,austraw
5,swing,swig
6,pig,pig
7,treasure,fes
8,head,head
9,bridge,brig
10,snake,fnak
11,hill,hil
12,card,cad
13,leaf,leaf
14,three,ta
15,hippopotamus,hippopotamus
16,thermometer,thermometr
17,three eggs,three egs
18,girl,gil
19,giraffe,giraf
20,four o clock,four o clck
21,watch,watch
22,kangaroo,kangaro
23,boy,boy
24,that,ta
25,spaghetti,spaghet
26,pull,p
27,clown,clon
28,two cups,two cups
29,butterfly,tutoty
30,thumb,thumb
31,jam,tm
32,boy,boy
33,frog,frog
34,vanilla,vanla
35,head,head
36,ball,bal
37,banana,bann
38,jam,jam
39,hill,hil
40,duck,det
41,hippopotamus,hippotamus
42,watermelon,watermeln
43,watermelon,watermeln
44,fur,fur
45,jam,jam
46,tail,tail
47,three,thre
48,thumb,tumb
49,thumb,thum
50,bridge,boat
51,one o clock,one o clc
52,tonight,ponit
53,mountain,mountan
54,australia,australa
55,one egg,oneg
56,four,for
57,cub,cub
58,crab,crab
59,garden,garden
60,binoculars,binoculars
61,three,thre
62,doll,dl
63,short,shot
64,three cups,three cups
65,two o clock,tw o clck
66,stethoscope,stthoscp
67,dinosaur,dineorflr
68,three o clock,three o clk
69,kangaroo,kangaro
70,kitchen,kitchn
71,kangaroo,kango
72,hippopotamus,hipopotamus
73,head,head
74,sausage,aus
75,three,fo
76,hippopotamus,hiporopotamus
77,play,play
78,sausage,sausag
79,zoo,zo
80,four,for
81,potato,potat
82,potato,potat
83,hill,hi
84,six,si
85,carpet,carpent
86,clown,cln
87,australia,australa
88,six,six
89,splash,splash
90,cart,cat
91,that,that
92,australia,australa
93,two o clock,two o clck
94,vegemite,vgemt
95,three o clock,three o clck
96,banana,bann
97,gorilla,goril
98,attack,ttk
99,feather,featr
100,two,t
101,cicada,cicada
102,fur,fur
103,tonight,tont
104,spade,spade
105,drink,drink
106,treasure,taser
107,three cups,three cups
108,ear,r
109,pool,p
110,chair,chir
111,gorilla,gorvla
112,gorilla,goril
113,four eggs,four egs
114,ear,ar
115,circus,circus
116,caterpillar,caterplar
117,treasure,tasr
118,grasshopper,grashoper
119,spade,spade
120,clown,clon
121,magician,magican
122,tooth,tth
123,head,had
124,sprout,sprut
125,pull,pl
126,martian,martan
127,giraffe,girf
128,one egg,ne eg
129,one,odn
130,kitchen,kitchen
131,clown,clon
132,light,it
133,cicada,cicada
134,canoe,can
135,hippopotamus,hipopotamus
136,skirt,skit
137,flowerpot,floerpot
138,boy,by
139,skirt,skit
140,attack,atak
141,hair,fr
142,cart,car
143,cart,cat
144,tonight,tont
145,yoyo,yy
146,no,n
147,mouth,mouth
148,attack,atack
149,one o clock,ono clck
150,four,four
151,four cups,four cups
152,one,ne
153,owl,o
154,three cups,tre cups
155,canoe,cane
156,seven,seven
157,giraffe,giraf
158,cart,cat
159,chair,chir
160,cow,co
161,elephant,elephan
162,skirt,skirt
163,yes,yes
164,giraffe,giraf
165,jam,jm
166,cow,co
167,nose,nos
168,watermelon,watrmeln
169,kangaroo,kangaro
170,ear,ar
171,three eggs,tfree egs
172,splash,splash
173,butterfly,buterfly
174,jam,jm
175,garage,garag
176,watch,wach
177,cucumber,cucumbr
178,splash,splash
179,machine,macine
180,frog,frog
181,cart,cad
182,one cup,ne cp
183,ten,pen
184,one o clock,oneo clck
185,four o clock,four o clck
186,pull,po
187,caterpillar,caterpilar
188,short,shot
189,binoculars,bvinoculars
190,shell,shel
191,sausage,sausag
192,two eggs,toegs
193,two cups,two cups
194,treasure,treasure
195,four eggs,four egs
196,ball,bal
197,thumb,tumb
198,two cups,two cups
199,ear,gr
200,dinosaur,dinosaur
201,dessert,dest
202,two cups,to cups
203,gorilla,goril
204,three,thre
205,seven,seven
206,two cups,two cups
207,dessert,deset
208,card,cad
209,boat,boat
210,ear,
211,three o clock,thre o clc
212,yoyo,yy
213,fish,fis
214,one o clock,one o clck
215,frog,frog
216,frog,frog
217,five,rive
218,spiderweb,spiderweb
219,no,n
220,drink,drik
221,circus,circus
222,kitchen,kithn
223,pig,pig
224,sword,ford
225,vegemite,vgmite
226,play,play
227,sword,sword
228,rhinoceros,rinocers
229,card,cad
230,butterfly,buterfy
231,jam,jam
232,spade,spade
233,cow,co
234,hair,har
235,two o clock,two o clck
236,giraffe,girf
237,two eggs,two egs
238,banana,matn
239,duck,duk
240,butterfly,buterfly
241,straw,straw
242,dessert,deset
243,hill,hil
244,tomato,tomat
245,girl,gil
246,jam,jm
247,boat,boat
248,garage,garag
249,grasshopper,grashoper
250,boat,bat
251,ball,bal
252,five,five
253,boy,by
254,hair,our
255,elephant,elephant
256,light,ht
257,machine,machne
258,dinosaur,dinosaur
259,yoyo,yy
260,pool,pl
261,clown,clon
262,food,fod
263,stethoscope,stthoscp
264,spaghetti,spaghet
265,vegemite,vesemit
266,leaf,lef
267,zoo,zo
268,xylophone,ylophn
269,drink,drik
270,shell,shel
271,yoyo,yy
272,three cups,three cps
273,story,story
274,short,short
275,moustache,stach
276,detective,detctive
277,feather,feather
278,ear,ar
279,boat,boat
280,duck,decy
281,doll,dol
282,rhinoceros,rhinocers
283,smile,smle
284,machine,machn
285,card,cad
286,bag,bag
287,hole,hol
288,ball,bal
289,mouth,mouth
290,crocodile,crocodle
291,yoyo,yy
292,crab,crab
293,thermometer,thermometr
294,that,that
295,breathe,bleah
296,tonight,tont
297,yoyo,yy
298,watch,watch
299,grasshopper,grashop
300,zoo,
301,that,that
302,mountain,mountan
303,tooth,toth
304,bridge,bridg
305,head,chad
306,smile,smle
307,sprout,spriade
308,light,lht
309,spiderweb,spiderweb
310,sword,sword
311,bag,bag
312,bellybutton,baybutn
313,tooth,toth
314,ten,ten
315,four eggs,four egs
316,pig,pig
317,nine,nin
318,rhinoceros,rhinoceros
319,pull,po
320,cheese,ches
321,bellybutton,belybutn
322,one egg,ne eg
323,two eggs,two egs
324,ride,ride
325,potato,pott
326,detective,vetctve
327,nine,nine
328,pie,pie
329,five,fie
330,four eggs,four egs
331,six,foit
332,skirt,skit
333,splash,splash
334,voice,voic
335,four cups,four cups
336,seven,evn
337,tonight,dont
338,yoyo,yy
339,ball,ba
340,yoyo,yy
341,binoculars,ono ck
342,xylophone,ylophne
343,hill,hi
344,eight,egt
345,car,car
346,skirt,skirt
347,grasshopper,grashoper
348,garden,gadn
349,detective,detctv
350,leaf,lef
351,card,cad
352,australia,australa
353,feather,feah
354,key,ky
355,stethoscope,stthosce
356,mouth,mouth
357,hill,hil
358,australia,austral
359,four o clock,four o clck
360,kitchen,kitchn
361,two cups,t cups
362,rhinoceros,rhinocers
363,dinosaur,dinosaur
364,leaf,leaf
365,ride,rde
366,sprout,sprout
367,canoe,can
368,flowerpot,flowerpt
369,circus,circus
370,detective,totapps
371,kangaroo,kangar
372,owl,
373,feather,feathr
374,foot,ffot
375,bellybutton,belybutn
376,spiderweb,spiderweb
377,mountain,mountan
378,foot,fot
379,frog,frog
380,cub,cab
381,dessert,deset
382,duck,duck
383,no,n
384,watermelon,watermelon
385,leaf,leaf
386,cloud,cloud
387,chair,chir
388,crocodile,crocodle
389,one cup,ne cp
390,dessert,desr
391,ride,ride
392,key,ky
393,martian,mrtan
394,ball,bl
395,beard,bead
396,play,play
397,bird,bid
398,spade,spade
399,vanilla,banl
400,carpet,carpt
401,cucumber,cucumbr
402,feather,feathr
403,seven,seven
404,hippopotamus,hippopotamus
405,two eggs,two egs
406,bird,bid
407,that,tat
408,four eggs,four egs
409,owl,ol
410,garden,garden
411,vegemite,vegmit
412,boat,boa
413,watermelon,waermeln
414,treasure,treasure
415,gorilla,gril
416,xylophone,ylophne
417,smile,smile
418,ten,tn
419,hair,hai
420,one,ne
421,bellybutton,belybutn
422,butterfly,buterfy
423,hole,hol
424,shell,shel
425,wheel,whe
426,detective,detctv
427,story,story
428,swing,swing
429,boat,poat
430,fish,fish
431,girl,fil
432,smile,smle
433,tomato,tomat
434,hill,hil
435,coconut,coconut
436,thumb,tumb
437,doll,do
438,two eggs,tw egs
439,duck,duck
440,martian,bata
441,circus,circus
442,no,n
443,garden,gaden
444,stethoscope,stethosco
445,dessert,deset
446,feather,feather
447,duck,duck
448,bag,bag
449,vanilla,anil
450,play,play
451,fish,fish
452,watch,watch
453,leaf,lea
454,splash,splash
455,hippopotamus,hippotamus
456,three,thre
457,grasshopper,grashoper
458,crocodile,crocode
459,spiderweb,spiderweb
460,four eggs,four egs
461,five,five
462,xylophone,ylophn
463,hair,hair
464,two o clock,two o clck
465,rhinoceros,brinocros
466,kitchen,kic
467,jam,jm
468,thermometer,termometr
469,hole,hol
470,potato,potat
471,one,ne
472,circus,circus
473,wood,wod
474,martian,martan
475,chair,chir
476,sprout,sprout
477,pool,pol
478,pig,pig
479,owl,o
480,ear,r
481,play,play
482,two o clock,tw o clck
483,card,cad
484,tonight,tonht
485,six,si
486,duck,dck
487,beard,bead
488,mouth,nouth
489,duck,dck
490,two o clock,two o clck
491,balloon,baln
492,splash,splash
493,spade,spade
494,two,b
495,mountain,mountan
496,ride,ride
497,short,shot
498,no,n
499,swing,swing
500,caterpillar,caterplar
501,ride,ride
502,voice,voic
503,food,fod
504,flowerpot,flowerpt
505,hair,hair
506,tail,tail
507,machine,math
508,tomato,tomat
509,straw,shraw
510,splash,splash
511,cicada,cicada
512,sprout,sprout
513,no,n
514,sword,sword
515,frog,frg
516,duck,dck
517,sausage,sausag
518,cloud,clout
519,fur,fur
520,vegemite,vegmte
521,two,t
522,sword,sword
523,splash,splash
524,one cup,ne cup
525,bridge,bridg
526,three eggs,three egs
527,gorilla,gorila
528,foot,fot
529,spiderweb,spiderweb
530,zoo,zo
531,cheese,ches
532,kitchen,kitchn
533,yes,yes
534,garden,gaden
535,potato,pott
536,spaghetti,spaghet
537,cheese,ches
538,pie,pe
539,magician,magican
540,giraffe,girf
541,two,t
542,cow,c
543,five,iy
544,car,clo
545,fish,ish
546,spade,spade
547,three,thre
548,sausage,sausag
549,cart,cat
550,garage,gara
551,wheel,whel
552,smile,smle
553,tonight,tonht
554,butterfly,buterfy
555,spiderweb,spiderwb
556,butterfly,buterfly
557,attack,atak
558,pie,pie
559,bridge,bridg
560,boat,boat
561,carpet,carpt
562,snake,snake
563,canoe,can
564,four o clock,tre o clck
565,flowerpot,flowerpt
566,clown,clo
567,jam,jam
568,leaf,leaf
569,drink,drik
570,tooth,toth
571,mountain,moutan
572,pie,pe
573,drink,rig
574,voice,voic
575,chair,car
576,cub,cub
577,circus,circus
578,spaghetti,spaghet
579,short,shot
580,one egg,ne eg
581,attack,atak
582,wood,wod
583,yes,yes
584,moustache,moustac
585,ten,ten
586,vanilla,vanla
587,hippopotamus,hipotamus
588,spaghetti,baushet
589,fur,fur
590,four,four
591,card,cad
592,hair,hai
593,carpet,carpet
594,vanilla,vanl
595,beard,bead
596,duck,duck
597,cucumber,cucumbr
598,canoe,cn
599,three o clock,fle o clck
600,one egg,one eg
601,girl,gir
602,fur,fur
603,coconut,coconut
604,jam,jam
605,garden,gardn
606,pull,pl
607,snake,snak
608,cart,cat
609,four cups,four cups
610,leaf,leaf
611,vegemite,vgmte
612,gorilla,gorila
613,no,no
614,jam,jm
615,beard,bead
616,skirt,sit
617,eight,egt
618,circus,circus
619,ball,bal
620,magician,magican
621,girl,girl
622,three eggs,thre egs
623,two eggs,tw egs
624,nose,ns
625,cucumber,cucumbr
626,yoyo,yy
627,flowerpot,flowerpot
628,pig,pag
629,vegemite,vegmte
630,swing,swig
631,treasure,treasur
632,dinosaur,dinosaur
633,straw,straw
634,straw,traw
635,hair,chir
636,cloud,clou
637,doll,dol
638,rhinoceros,rhnoceros
639,bag,bag
640,sword,sword
641,bridge,bridg
642,girl,gi
643,beard,bead
644,potato,pott
645,sprout,sprout
