,target_text,pred_str
0,bird,bird
1,detective,dtective
2,short,sourt
3,cloud,clou
4,that,a
5,pie,pa
6,xylophone,zaaphon
7,four o clock,four o clock
8,potato,petaitor
9,cow,cow
10,one cup,one cup
11,hair,hi
12,one egg,on a
13,snake,snake
14,thermometer,the ttomitar
15,mouth,mouth
16,spaghetti,misconty
17,snake,snake
18,four cups,for cups
19,tonight,tonogt
20,two,two
21,beard,did
22,head,hok
23,cow,cow
24,banana,banana
25,splash,splash
26,three,three
27,gorilla,garila
28,wood,wod
29,wheel,will
30,four,fl
31,machine,machine
32,bag,bag
33,two cups,chucock
34,machine,acn
35,zoo,zu
36,zoo,zo
37,treasure,tresa
38,frog,fog
39,short,short
40,thermometer,temo
41,short,short
42,food,fad
43,boy,boy
44,tail,tal
45,shell,shell
46,head,head
47,light,light
48,splash,brass
49,car,ca
50,carpet,carpet
51,sausage,saulsage
52,duck,dog
53,sprout,sprout
54,cucumber,kecumba
55,martian,masho
56,spade,spide
57,play,ag
58,pull,pol
59,key,p
60,spiderweb,spadewet
61,watch,watch
62,bag,bag
63,boat,bart
64,cloud,plow
65,eight,et
66,spaghetti,begedy
67,cart,cauht
68,boy,boy
69,watch,wor
70,flowerpot,flowpot
71,chair,cha
72,pull,o
73,bag,bag
74,bridge,birt
75,gorilla,bwila
76,breathe,breathe
77,sword,sord
78,cicada,zacaa
79,sausage,sussage
80,butterfly,butterfly
81,crocodile,crockodile
82,six,si
83,circus,second
84,seven,seven
85,vanilla,vania
86,gorilla,bida
87,martian,mashed
88,pool,pl
89,thermometer,samanata
90,caterpillar,caa pilla
91,yoyo,a
92,carpet,copic
93,spiderweb,added eb
94,attack,attack
95,four,fur
96,hair,he
97,hippopotamus,potmas
98,snake,snake
99,sprout,sprout
100,wheel,wheell
101,bag,bag
102,australia,astralia
103,six,six
104,balloon,blan
105,chair,char
106,hole,whole
107,treasure,treasure
108,tonight,tonoit
109,yoyo,yaryar
110,fish,ciche
111,five,five
112,car,ka
113,rhinoceros,biotras
114,seven,seven
115,three cups,fre cups
116,banana,minana
117,xylophone,saephone
118,skirt,sket
119,tomato,tomoroww
120,sword,sord
121,drink,juk
122,crocodile,coka got dio
123,straw,sto
124,kitchen,kitchin
125,tooth,twoth
126,no,nor
127,gorilla,giola
128,four,fu
129,two eggs,t eggs
130,nose,nos
131,snake,snake
132,two eggs,two egs
133,wood,would
134,cub,cube
135,cart,caught
136,seven,um
137,fur,fur
138,duck,duck
139,garden,gordon
140,four o clock,four oclock
141,caterpillar,caapela
142,two o clock,tecnot
143,rhinoceros,wino
144,cow,c
145,one egg,on egg
146,zoo,z
147,martian,massu
148,canoe,coner
149,four eggs,four eggs
150,jam,jan
151,pie,pai
152,food,third
153,chair,chi
154,five,bo
155,two,t
156,mouth,moufh
157,potato,batator
158,sprout,sprow
159,card,caue
160,bellybutton,billy botton
161,dessert,dee
162,bridge,bridge
163,vegemite,fedy might
164,thermometer,samata
165,crocodile,crockedile
166,canoe,cone
167,car,ca
168,splash,spash
169,yes,yes
170,two o clock,two ocluck
171,bellybutton,billy buston
172,kangaroo,cangaro
173,yes,yeah
174,fish,z
175,doll,doll
176,two,to
177,stethoscope,stuffiscroab
178,two o clock,two o clock
179,two o clock,jewlclop
180,yes,yes
181,boy,boyon
182,crab,crab
183,hill,so
184,two cups,tocups
185,nine,nine
186,story,story
187,garage,garage
188,skirt,sca
189,caterpillar,catapill
190,garage,garage
191,doll,do
192,grasshopper,grossapa
193,cloud,cloud
194,rhinoceros,onotorus
195,ball,b
196,key,ts
197,magician,magition
198,treasure,teta
199,key,k
200,owl,ow
201,pool,po
202,tooth,tuth
203,one cup,one cuc
204,jam,jan
205,balloon,baloon
206,five,five
207,xylophone,zaephone
208,cloud,cloud
209,two o clock,two o clock
210,boy,boy
211,chair,che
212,yoyo,yaya
213,dessert,deser
214,magician,magiion
215,bellybutton,paibuta
216,cloud,plow
217,hippopotamus,popatomos
218,three,pe
219,caterpillar,catpillar
220,voice,voice
221,drink,drank
222,mouth,mouthe
223,circus,cicus
224,treasure,ci
225,three cups,three cups
226,ball,bol
227,four cups,forcups
228,rhinoceros,ronard
229,duck,duc
230,wood,wwold
231,bag,bag
232,thermometer,fom mamado
233,card,caue
234,dinosaur,dinosal
235,nine,nine
236,bag,bag
237,three cups,three cups
238,coconut,cacana
239,gorilla,gila
240,girl,gan
241,tonight,tonight
242,canoe,can
243,martian,marsh
244,martian,mao
245,pull,pul
246,wood,wood
247,banana,banaa
248,eight,i
249,nine,nine
250,machine,machine
251,frog,fog
252,butterfly,butterfly
253,caterpillar,caapillo
254,five,five
255,hole,o
256,owl,a
257,xylophone,tilo
258,stethoscope,ogot
259,one,a
260,short,sur
261,canoe,cone
262,jam,jack
263,spiderweb,spiderweb
264,smile,smile
265,crocodile,caccadile
266,spaghetti,pagad
267,four o clock,full cloak
268,no,nor
269,girl,go
270,three cups,tra cops
271,detective,de tective
272,wood,would
273,four eggs,fourleggs
274,hippopotamus,hipark
275,detective,detective
276,duck,ducg
277,zoo,zro
278,four cups,focup
279,five,five
280,doll,dull
281,hill,il
282,four,fol
283,kangaroo,cangar
