,target_text,pred_str
0,bird,bird
1,detective,tective
2,short,short
3,cloud,clou
4,that,o
5,pie,p
6,xylophone,zaifine
7,four o clock,four oclock
8,potato,patitor
9,cow,caw
10,one cup,one cup
11,hair,hi
12,one egg,one ag
13,snake,snake
14,thermometer,thetsoumeta
15,mouth,mouth
16,spaghetti,i coty
17,snake,snake
18,four cups,forcup
19,tonight,tonight
20,two,to
21,beard,be
22,head,home
23,cow,caw
24,banana,benaa
25,splash,splash
26,three,three
27,gorilla,goarilla
28,wood,wod
29,wheel,will
30,four,fo
31,machine,machine
32,bag,bag
33,two cups,tucup
34,machine,ecan
35,zoo,z
36,zoo,zo
37,treasure,trsa
38,frog,fog
39,short,short
40,thermometer,emo
41,short,short
42,food,food
43,boy,boy
44,tail,tal
45,shell,shell
46,head,head
47,light,light
48,splash,barass
49,car,ka
50,carpet,carpet
51,sausage,salsag
52,duck,dac
53,sprout,sprout
54,cucumber,k cumba
55,martian,mashia
56,spade,spad
57,play,
58,pull,pl
59,key,kn
60,spiderweb,spotwep
61,watch,watch
62,bag,bag
63,boat,bite
64,cloud,clow
65,eight,eight
66,spaghetti,biedy
67,cart,cauht
68,boy,boy
69,watch,wa
70,flowerpot,flowpot
71,chair,he
72,pull,po
73,bag,bag
74,bridge,bt
75,gorilla,bina
76,breathe,bravhe
77,sword,sword
78,cicada,sacata
79,sausage,subsag
80,butterfly,buttefly
81,crocodile,crocod ile
82,six,six
83,circus,secondth
84,seven,seven
85,vanilla,venu
86,gorilla,goia
87,martian,mashean
88,pool,pu
89,thermometer,samoata
90,caterpillar,caapillo
91,yoyo,yaza
92,carpet,capa
93,spiderweb,sniweb
94,attack,attack
95,four,four
96,hair,hear
97,hippopotamus,epotomos
98,snake,snake
99,sprout,sprout
100,wheel,wheel
101,bag,five
102,australia,astralia
103,six,six
104,balloon,balon
105,chair,chair
106,hole,whole
107,treasure,tresial
108,tonight,to kno it
109,yoyo,yayo
110,fish,fish
111,five,five
112,car,ka
113,rhinoceros,rn oues
114,seven,seven
115,three cups,three cups
116,banana,manana
117,xylophone,scalepine
118,skirt,skit
119,tomato,tomoto
120,sword,sood
121,drink,ji
122,crocodile,okagotdi
123,straw,sto
124,kitchen,kitchen
125,tooth,two
126,no,nar
127,gorilla,gaila
128,four,fu
129,two eggs,tre eggs
130,nose,noise
131,snake,snake
132,two eggs,twoegs
133,wood,wold
134,cub,cub
135,cart,caut
136,seven,un
137,fur,fu
138,duck,duc
139,garden,goan
140,four o clock,four oclock
141,caterpillar,catipila
142,two o clock,toignoe
143,rhinoceros,wynot
144,cow,ck
145,one egg,on egg
146,zoo,tia
147,martian,masian
148,canoe,cane
149,four eggs,for eggs
150,jam,jam
151,pie,p
152,food,third
153,chair,ca
154,five,by
155,two,t
156,mouth,mouth
157,potato,potata
158,sprout,sproa
159,card,cau
160,bellybutton,billy button
161,dessert,desit
162,bridge,brege
163,vegemite,fedhemat
164,thermometer,temamate
165,crocodile,cucdile
166,canoe,cani
167,car,ca
168,splash,splosh
169,yes,yes
170,two o clock,toa cloc
171,bellybutton,billy buson
172,kangaroo,cangaroo
173,yes,yeah
174,fish,f
175,doll,dul
176,two,to
177,stethoscope,stefsgibe
178,two o clock,two oclock
179,two o clock,jeeclab
180,yes,yes
181,boy,bo
182,crab,crab
183,hill,h
184,two cups,tucups
185,nine,nine
186,story,story
187,garage,garage
188,skirt,sca
189,caterpillar,catipi
190,garage,garage
191,doll,do
192,grasshopper,groshapa
193,cloud,cloud
194,rhinoceros,i knotoust
195,ball,bu
196,key,ts
197,magician,magition
198,treasure,hea
199,key,k
200,owl,o
201,pool,pol
202,tooth,toh
203,one cup,one c
204,jam,jam
205,balloon,balon
206,five,five
207,xylophone,zoalepine
208,cloud,cloud
209,two o clock,two oclock
210,boy,boy
211,chair,chair
212,yoyo,yaya
213,dessert,desi
214,magician,micion
215,bellybutton,boabote
216,cloud,cloud
217,hippopotamus,heppotomas
218,three,fe
219,caterpillar,catipillo
220,voice,voice
221,drink,drank
222,mouth,mouth
223,circus,secas
224,treasure,co
225,three cups,three cupps
226,ball,bo
227,four cups,fou cups
228,rhinoceros,runar
229,duck,doc
230,wood,wood
231,bag,bag
232,thermometer,tomomoa
233,card,ca
234,dinosaur,dinosoul
235,nine,nine
236,bag,bag
237,three cups,three cups
238,coconut,card cannot
239,gorilla,goilla
240,girl,gan
241,tonight,tonight
242,canoe,cane
243,martian,mashha
244,martian,masia
245,pull,pull
246,wood,wod
247,banana,banana
248,eight,i
249,nine,nine
250,machine,bechoe
251,frog,fog
252,butterfly,buttefly
253,caterpillar,catapillo
254,five,five
255,hole,ho
256,owl,u
257,xylophone,telofo
258,stethoscope,sticko gu
259,one,
260,short,sor
261,canoe,cane
262,jam,ga
263,spiderweb,spideweb
264,smile,smile
265,crocodile,coci
266,spaghetti,beged
267,four o clock,full cloak
268,no,no
269,girl,go
270,three cups,threacps
271,detective,detetive
272,wood,wold
273,four eggs,for egs
274,hippopotamus,hipa
275,detective,dotective
276,duck,doc
277,zoo,zero
278,four cups,fourcops
279,five,five
280,doll,dul
281,hill,hil
282,four,fo
283,kangaroo,cange
284,hippopotamus,hepopoamis
285,cucumber,checambo
286,ride,ride
287,butterfly,etosine
288,swing,swing
289,pull,pol
290,grasshopper,graspapa
