,target_text,pred_str
0,jack held the magnets over his,carcobineros
1,wolfman,watermeln
2,into,in
3,no one could hear anything people were getting in car accidents and,onguderni tib por etn arocsn
4,shipshape,sin
5,four,for
6,thursdays,ss
7,poets,poet
8,the,rt
9,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait,nwatrnnhi o satermwbt m t b  bate an   atn
10,ensures,in clars
11,loathe,t
12,k,
13,six six four seven four two,si xsrsevn rto
14,well,wo
15,side,sid
16,do research about eyesight,two s  t y it
17,briefcase,breethps
18,on,
19,how,ow
20,them,thumb
21,maui,os
22,gravestone,grgsto
23,wait,
24,up,ob
25,if you like it or else you will be sorry,f we rr l s  l e sin
26,could,d
27,she put her things in to her backpack the plane landed,she p  tigin ofr e asplmt
28,she,achine
29,across,i cras
30,weekdays,bcas
31,quiet,cliet
32,five,iv
33,a yacht slid around the point into the bay,yasteron epoinint e l
34,ands husbands,bnsohasebns
35,oh no said said chief sanders just when things were go going good in franksville,onoser sr  andrs  san in  oin gto in er
36,oozing,mochin
37,concrete,d
38,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red,a  a   a   a a a  n
39,what,od
40,soon a bird came hopping by,fi o pot  utom
41,three five six four seven six,three i xfor seven segxs
42,cashflow,caterpa
43,there jo was mistaken for next day she made a discovery which produced a tempe tempest,v i aw msi eninocste semito sr e  prdo  tmertomos
44,unearthed,ins
45,no no please don't play your old flute begged doctor wong but it was too late john had started playing,nno sa sombi o o id oceron bit wo siy ino a r pon
46,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things,an owas th so pe tr ostn entectttsrinomtspe t wlde petings
47,regime,achin
48,maui,mou
49,is,s
50,the ends,to nms
51,rouge,od
52,jacob,jicob
53,racer was so happy that he could run as fast as that he ran and ran in circles,rin serso hap th edrinosross thatherhon rn ceros
54,he alway,sorg
55,it's not that you aren't selling enough stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs is a great advertising campaign,i o  y r sly orsto pn rs  ro bdno e o comin  sn rss in out ona  r ar tai ingao
56,knew,
57,what,wod
58,cowherd,cowrord
59,showed,shod
60,and,a
61,with,lf
62,can share,no
63,smooths,nos
64,snake,snake
65,stallsmith,stosemos
66,put the red en at,ptra
67,aunt grace said to mark and christi terry at the n a c s a,an sa tmar tanm ca strea tactana s ta
68,newslink,ns
69,we all looked at each other other trying to glean something each from the other,e oll a i ero atotinge nsomini tmater
70,red,bad
71,too,two
72,but how many millions of creatures there must have been,btomenmln ter ermoustvbin
73,mouthpart,flowspot
74,isn't he known as the most brilliant journalist in new york,sn momsost mo s r
75,red,
76,i'll i will use,ariys
77,ou the brown house was on fire to the attic,outtbroun ossonfig   a
78,lion,light
79,the water is bad to drink,twatrspgedrin
80,boyhood,boyrd
81,uh,
82,every four years turtles from all over the land would crawl to great pond,ave fr y rstrtosrom l o vewandfi a tocre pond
83,dolphin,zofhin
84,e ancient coin was quite dull and warm w,titcn cinosopol nr
85,not even with her wrath the girl's ins insolence couldn't wholly overcome her wonder,at e no seras olsin  o doly  comr oner
86,guru,kaor
87,as they paddled small,aspoto sm
88,there jo was mistaken for the next day she made a discovery which produced a tempest,va oosmsticenfhri o cstiysh made strii tprdosttembos
89,o,t
90,whirlwind,wrd
91,obverse,rs
92,youth,
93,divided by,i to
94,layout,r
95,outcry,oca
96,justin replied i promise that if we find the perfect hat i'll wear it everyday,t terit i pomostat fy ind e po t lr  e d
97,volume,vlon
98,transverse,inros
