,target_text,pred_str_without_LM,pred_str_with_LM
0,hulk was riding backwards on a skateboard and he hits an egg,hak was hiding backwards on the scaybord and he hits and eg,he was hiding backwards on the scab and he hits and egg
1,he's curious to see what's inside the egg and listens to the egg,he's curious to see what's inside the eg evelitsens to the eg,he's curious to see what's inside the egg aliens to the egg
2,the egg starts cracking near the top and hulk is scared by this,the egg stas cracking near the top and hk is scared by this,the egg starts cracking near the top and hook is scared by this
3,a dinosaur jumps out and hulk is scared,a dinosar jumps out and helk his kid,a dinosaur jumps out and elk his kid
4,the dinosaur tries to play with hulk but hulk is very scared,the donosar tryes said play with healke but healk is very scart,the dinosaur tries said play with healke but healk is very scat
5,hulk tries to hide from the dinosaur and is still very scared,helk tryes to hide from the dinosal and is still very scared,helk tries to hide from the dinosa and is still very scared
6,the dinosaur is looking around for hulk and he can't find hulk,but dinosar was looking atround ful help and he coln't find help,but dinosaur was looking around full help and he can't find help
7,the dinosaur is sad,the dinosar sad,the dinosaur said
8,hulk looks at the dinosaur and feels bad about this,ok looks at the dinosaul and fels bad about this,a looks at the dinosaur and feels bad about this
9,hulk feeds the dinosaur the milk,healk feeds the dinosau of the milk,he feeds the dinosaur of the milk
10,laughing while the dinosuar is drinking the milk,lauhing while the dinosaur was drinking the milk,laughing while the dinosaur was drinking the milk
11,the green skined baby is riding a skateboard holding a bottle of milk,the green skind baby is wriding ascae board holding a bottle of milk,the green skined baby is riding a skateboard holding a bottle of milk
12,the green skined baby is bouncing off the dinosaur egg holding the bottle of milk,the grain skin baby is bouncing off the dinosaur eg holding the buttl oth milk,the grain skin baby is bouncing off the dinosaur egg holding the bottle of milk
13,the green baby is holding the bottle of milk while listening inside the dinosaur egg,the green baby is hoding the bulle of milk fowl listening inside the dinosal eg,the green baby is holding the bull of milk wow listening inside the dinos eg
14,the green baby is holding the bottle of milk while the dinosaur egg is hatching,the green baby is holding the buddle of milk while the dinosa eg is hatching,the green baby is holding the buddle of milk while the dinosaur egg is hatching
15,the green baby is holding the bottle of milk while the dinosaur is poking his head out of the egg,the green baby is holding the boddle of milk why the dinosa is pucking his head out of the egg,the green baby is holding the bottle of milk why the dinosaur is poking his head out of the egg
16,the green baby is holding the bottle of milk while the green dinosaur has jumped out of the egg,the green bibies holding the bull of milk cloud the green dinosawr has jumped out of the eg,the green babies holding the bull of milk cloud the green dinosaur has jumped out of the egg
17,the green baby is holding the bottle of milk and hiding behind the tree from the dinosaur,the green baby is hoting the buddle of milk and hiding behind the trea from the dinosa,the green baby is hating the buddle of milk and hiding behind the tree from the dinosaur
18,the green dinosaur is looking for the green baby,the green donosaw was looking for the green biby,the green dinosaur was looking for the green baby
19,the green dinosaur is on the ground being sad,the green dinosar is on the ground beaing sad,the green dinosaur is on the ground being sad
20,the green baby has second thoughts about playing with the dinosaur,the green baby has second thoughts about playing with the dinosal,the green baby has second thoughts about playing with the dinosal
21,the green baby goes over to the green dinosaur and comforts him,the green baby goes over to the green dinosal and comforts him,the green baby goes over to the green dinos and comforts him
22,the green baby stuffs his bottle of milk into the green dinosaur's mouth,the green baby stuffs his bull of milk into the green dona saw's mouth,the green baby stuffs his bull of milk into the green dinosaur's mouth
23,the green baby is laughing while the green dinosaur has a bottle of milk in his mouth,the green babies loughing while the green donosal has a bul of milk in his mouth,the green babies laughing while the green dinosaur has a bull of milk in his mouth
24,there wasn't any girl in the video,there wasn't any girl in the mida,there wasn't any girl in the mid
25,he's skateboarding,he scaed fording,he stated for
26,and then he finds an egg,and then he finds an eg,and then he finds an egg
27,he bumps into the egg and feels sad,he bumps into the eg and feel sad,he bumps into the egg and feel sad
28,he hears what's inside the egg,he hears whoot's insid thea,he hears what's inside the
29,the egg was cracking,the egg was cracking,the egg was cracking
30,he was surprised because the dinosaur came out,he was surprised because the dinoso kame out,he was surprised because the dinos came out
31,he was sad that there was a dinosaur,he was sad that there was a dimsol,he was sad that there was a dime soul
32,he hide behind the tree,he hid behind the tree,he hid behind the tree
