,target_text,pred_str
0,crenshaw,sae alvh gvgatbes
1,easier,woears os a os
2,the flood took a car down the street,te fplood tood to a car hd n the atet
3,logic,pdcailaue
4,iceberg,the ary a vso
5,athlete,aae
6,spoons,yonas bes i
7,i collect stamps from vietnam,yoe asd yokorttl late
8,grandmother played football last year,tae ary  y yof tr idsnhd a hd le a moet
9,the young emperor could not spell,the a oymemt  arr ste
10,mabel grows tomatoes in the courtyard,evenrysm  fcm  cate
11,behind,phe ale t ae saen
12,will you sing this song,ill yo cuing h st
13,a feather was in the birdcage,te nguyeo t o ml dela ae
14,push,pacaduhreu
15,gumshoe,eae aryaie oolates
16,chair,sar daue
17,napkin,the bareh  si hte
18,boomerang,the cal  wiet
19,mohawk,the alot  te
20,five,eve ay t
21,the illusion looked like a giraffe,the angrylad oes a  e gaeles
22,kingpin,the brts sg e
23,mcdonald,cae aryi i dc ta es
24,design,edgar d ve a je
25,ethnic,har e e
26,that person eats pancakes,sae ariysia epn e
27,they put my computer next to the books,yo cansa in tyour baub
28,nuclear,thewaru m l s n i ioe
29,civilized,shemaglroh t v e e
30,advantage,sae aryryc h e
31,homemaking,the ary e e a oe
32,matthew has a horse from the desert,he aroys bod me  ani
33,we watched television during dinner,the agry ldad tot o  d aeg eace
