,target_text,pred_str
0,jack held the magnets over his,jack held
1,wolfman,wolfman
2,into,into
3,no one could hear anything people were getting in car accidents and,no one could hear anything people were getting in car accidents and
4,shipshape,ship
5,four,for
6,thursdays,th t
7,poets,poets
8,the,the
9,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and wait,and watch for him and he will soon come i don't know what you mean said the boy but he went to the garden and
10,ensures,and shows
11,loathe,rose
12,k,okay
13,six six four seven four two,six four seven four two
14,well,well
15,side,side
16,do research about eyesight,do research about eyesight
17,briefcase,briefcase
18,on,on
19,how,how
20,them,th
21,maui,maui
22,gravestone,great stone
23,wait,really
24,up,love
25,if you like it or else you will be sorry,if you like it or else you will be sorry
26,could,could
27,she put her things in to her backpack the plane landed,she put her things into her backpack the airplane landed
28,she,she
29,across,across
30,weekdays,weekdays
31,quiet,quiet
32,five,ive
33,a yacht slid around the point into the bay,a yacht slid around the point into the bay
34,ands husbands,b
35,oh no said said chief sanders just when things were go going good in franksville,oh no said chief sanders just when things were going good in franksville
36,oozing,w
37,concrete,con try
38,green red blue green blue red blue green blue green red green blue green blue green red blue red green red green blue green red,green red blue green blue red blue green blue red blue blue red green red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue red blue blue red blue red blue blue red blue red blue blue red blue blue red blue blue red blue blue red blue blue red blue blue red blue blue blue red blue blue blue red blue blue blue red blue blue
39,what,what
40,soon a bird came hopping by,soon a ball came up
41,three five six four seven six,ok three five six four seven six
42,cashflow,cash flow
43,there jo was mistaken for next day she made a discovery which produced a tempe tempest,thir
44,unearthed,unn
45,no no please don't play your old flute begged doctor wong but it was too late john had started playing,no no please don't play your flute beg dr wong but it was t t t too late john had started playing
46,and you know what those stupid gerbils didn't even thank me they just ran on that stupid wheel and did stupid things,and you know what those stupid j t
47,regime,machine
48,maui,ma
49,is,is
50,the ends,it ends
51,rouge,r
52,jacob,j
53,racer was so happy that he could run as fast as that he ran and ran in circles,racer was so happy that he could run as fast as he ran and ran in circles
54,he alway,y
55,it's not that you aren't selling enough stuffed panda bears it's just that there haven't been enough people coming to see you in the first place i think what the zoo needs is a great advertising campaign,it's not that you aren't selling off st the panda bears it's just that there haven't been enough people coming to see you in the first place i
56,knew,new
57,what,what
58,cowherd,cow
59,showed,showed
60,and,and
61,with,with
62,can share,mar
63,smooths,smooth
64,snake,slick
65,stallsmith,st
66,put the red en at,put the red
67,aunt grace said to mark and christi terry at the n a c s a,aunt grace said to mark and christi t
68,newslink,new
