,target_text,pred_str
0,bird,bird
1,detective,detective
2,short,short
3,cloud,clown
4,that,tlight
5,pie,pie
6,xylophone,xylophone
7,four o clock,four o clock
8,potato,potato
9,cow,cow
10,one cup,one cup
11,hair,hair
12,one egg,one egg
13,snake,snake
14,thermometer,therthmometer
15,mouth,mouth
16,spaghetti,spsghetti
17,snake,snake
18,four cups,four cups
19,tonight,tonight
20,two,two
21,beard,beard
22,head,head
23,cow,cow
24,banana,banana
25,splash,splash
26,three,three
27,gorilla,gorilla
28,wood,wood
29,wheel,wheel
30,four,four
31,machine,machine
32,bag,bag
33,two cups,two cup
34,machine,machine
35,zoo,zoo
36,zoo,zoo
37,treasure,treasure
38,frog,frog
39,short,short
40,thermometer,thermometer
41,short,short
42,food,food
43,boy,boy
44,tail,tail
45,shell,shell
46,head,head
47,light,light
48,splash,splash
49,car,car
50,carpet,carpet
51,sausage,sausage
52,duck,duck
53,sprout,sprout
54,cucumber,cucumber
55,martian,martian
56,spade,spade
57,play,play
58,pull,pull
59,key,key
60,spiderweb,spiderweb
61,watch,watch
62,bag,bag
63,boat,boat
64,cloud,clowun
65,eight,eight
66,spaghetti,paghetti
67,cart,cart
68,boy,boy
69,watch,watcchh
70,flowerpot,flowerpott
71,chair,chair
72,pull,pull
73,bag,bag
74,bridge,bridge
75,gorilla,gorilla
76,breathe,breathe
77,sword,sword
78,cicada,cicada
79,sausage,sausage
80,butterfly,butterfly
81,crocodile,crocodile
82,six,six
83,circus,circus
84,seven,seven
85,vanilla,vanilla
86,gorilla,gorilla
87,martian,martian
88,pool,pull
89,thermometer,thermometer
90,caterpillar,caterpillar
91,yoyo,yoyo
92,carpet,carpet
93,spiderweb,spiderweb
94,attack,attack
95,four,four
96,hair,hair
97,hippopotamus,hippopotamus
98,snake,snake
99,sprout,sprout
100,wheel,wheel
101,bag,bag
102,australia,australia
103,six,six
104,balloon,balloon
105,chair,chair
106,hole,hole
107,treasure,treasure
108,tonight,tonight
109,yoyo,yoyo
110,fish,fish
111,five,five
112,car,car
113,rhinoceros,rhinoceros
114,seven,seven
115,three cups,three cups
116,banana,banana
117,xylophone,xylophone
118,skirt,skirt
119,tomato,tomato
120,sword,sword
121,drink,drink
122,crocodile,crocogodile
123,straw,straw
124,kitchen,kitchen
125,tooth,tooth
126,no,no
127,gorilla,gorilla
128,four,ball
129,two eggs,two eggs
130,nose,nose
131,snake,snake
132,two eggs,two eggs
133,wood,wood
134,cub,cub
135,cart,cart
136,seven,tene
137,fur,fur
138,duck,duck
139,garden,garden
140,four o clock,four o clock
141,caterpillar,caterpillar
142,two o clock,two o clock
143,rhinoceros,oneo
144,cow,cow
145,one egg,one egg
146,zoo,zooo
147,martian,martian
148,canoe,canoe
149,four eggs,four eggs
150,jam,jam
151,pie,pie
152,food,food
153,chair,chair
154,five,boat
155,two,two
156,mouth,mouth
157,potato,potato
158,sprout,sprout
159,card,card
160,bellybutton,bellybutton
161,dessert,dessert
162,bridge,bridge
163,vegemite,vegemite
164,thermometer,thermometer
165,crocodile,crocodile
166,canoe,canoe
167,car,car
168,splash,splash
169,yes,yes
170,two o clock,two o clock
171,bellybutton,bellybutton
172,kangaroo,kangaroo
173,yes,yes
174,fish,fish
175,doll,doll
176,two,two
177,stethoscope,stethoscope
178,two o clock,two o clock
179,two o clock,two o clock
180,yes,yes
181,boy,boy
182,crab,crab
183,hill,hill
184,two cups,two cups
185,nine,nine
186,story,story
187,garage,garage
188,skirt,skirt
189,caterpillar,caterpillar
190,garage,garage
191,doll,doll
192,grasshopper,grasshopper
193,cloud,cloud
194,rhinoceros,rhinoceros
195,ball,ball
196,key,key
197,magician,magician
198,treasure,ptaitlor
199,key,key
200,owl,owl
201,pool,pull
202,tooth,tooth
203,one cup,one cup
204,jam,jam
205,balloon,balloon
206,five,five
207,xylophone,xylophone
208,cloud,cloud
209,two o clock,two o clock
210,boy,boy
211,chair,chair
212,yoyo,yoyo
213,dessert,dessert
214,magician,magician
215,bellybutton,bellybutton
216,cloud,cloud
217,hippopotamus,hippopotamus
218,three,tthree
219,caterpillar,caterpillar
220,voice,voice
221,drink,drink
222,mouth,mouth
223,circus,circus
224,treasure,trage
225,three cups,three cups
226,ball,ball
227,four cups,four cups
228,rhinoceros,rhinee
229,duck,duck
230,wood,wood
231,bag,bag
232,thermometer,thermometer
233,card,card
234,dinosaur,dinosaur
235,nine,nine
236,bag,bag
237,three cups,three cups
238,coconut,coconut
239,gorilla,gorilla
240,girl,grab
241,tonight,tonight
242,canoe,canoe
243,martian,martian
244,martian,martian
245,pull,pull
246,wood,wood
247,banana,banana
248,eight,eight
249,nine,nine
250,machine,machine
251,frog,frog
252,butterfly,butterfly
253,caterpillar,caterpillar
254,five,five
255,hole,hole
256,owl,owl
257,xylophone,xylophone
258,stethoscope,stethoscope
259,one,ride
260,short,short
261,canoe,canoe
262,jam,jam
263,spiderweb,spiderweb
264,smile,smile
265,crocodile,crocodile
266,spaghetti,spaghetti
267,four o clock,four o clock
268,no,no
269,girl,girl
270,three cups,three cups
271,detective,detective
272,wood,wood
273,four eggs,four eggs
274,hippopotamus,hippotmuss
275,detective,detective
276,duck,duck
277,zoo,zoo
278,four cups,four cups
279,five,five
280,doll,doll
281,hill,hill
282,four,four
283,kangaroo,kangaroo
284,hippopotamus,hippopotamus
285,cucumber,cucumber
286,ride,ride
287,butterfly,butterfly
288,swing,swing
289,pull,pull
290,grasshopper,grasshopper
291,flowerpot,flowerpot
292,kangaroo,kangaroo
293,magician,magician
294,splash,splash
295,seven,seven
296,light,light
297,chair,chair
298,four cups,four cups
299,hill,hill
300,one,a
301,food,food
302,tooth,tooth
303,breathe,breathe
304,carpet,carpet
305,vegemite,vegemite
306,butterfly,butterfly
307,leaf,leaf
308,cucumber,cucumber
309,one egg,one egg
310,clown,clown
311,tail,tail
312,girl,girl
313,wheel,wheel
314,that,that
315,two cups,two cups
316,seven,seven
317,duck,duck
318,three,three
319,cheese,cheese
320,stethoscope,stethoscope
321,short,short
322,fur,fur
323,four eggs,four eggs
324,boy,boy
325,vegemite,vegemite
326,magician,magician
327,zoo,zoo
328,pig,pig
329,cheese,cheese
330,carpet,carpet
331,tonight,tonight
332,duck,ducck
333,potato,potato
334,shell,shell
335,two cups,two cups
336,flowerpot,flowerpot
337,car,car
338,wood,wood
339,gorilla,gorilla
340,bridge,
341,caterpillar,caterpillar
342,sausage,sausage
343,three eggs,three  eggs
344,that,that
345,flowerpot,flowerpot
346,bridge,bridge
347,four,boy
348,frog,frog
349,no,no
350,stethoscope,tethoscope
351,mouth,mouth
352,tooth,tooth
353,seven,seven
354,foot,foot
355,story,story
356,sword,sword
357,frog,frog
358,butterfly,butterfly
359,spaghetti,spaghetti
360,thermometer,thermometer
361,dessert,dessert
362,cucumber,cucumber
363,coconut,coconut
364,tomato,tomato
365,spade,waterspade
366,doll,doll
367,boat,boat
368,grasshopper,grasshopper
369,three,three
370,martian,martian
371,gorilla,gorilla
372,australia,australia
373,australia,australia
374,caterpillar,caterpillar
375,sprout,sprout
376,pull,pull
377,cow,cow
378,cow,cow
379,four cups,four cups
380,one,one
381,hair,hair
382,potato,potato
383,bird,bird
384,thumb,thumb
385,garden,garden
386,watch,watcch
387,dessert,dessert
388,hippopotamus,hippopotamus
389,girl,girl
390,that,that
391,tomato,tomato
392,breathe,breathe
393,girl,girl
394,zoo,zoo
395,boat,bally
396,cheese,cheese
397,leaf,leaf
398,grasshopper,ggrasshopper
399,grasshopper,grasshopper
400,balloon,balloon
401,one,one
402,three,three
403,thermometer,thermometer
404,seven,sevn
405,drink,drink
406,hole,holee
407,wheel,wheel
408,drink,drink
409,bird,bird
410,australia,australia
411,owl,owl
412,three,three
413,carpet,carpet
414,australia,australia
415,dessert,dessert
416,frog,frog
417,ten,ten
418,machine,machine
419,chair,chair
420,garden,garden
421,treasure,treasure
422,mouth,mouth
423,four,four
424,foot,foot
425,skirt,skirt
426,moustache,moustache
427,spaghetti,paghetti
428,beard,beard
429,potato,potato
430,food,food
431,machine,machine
432,six,six
433,nine,garden
434,swing,swing
435,breathe,breathe
436,dinosaur,dinosaur
437,cicada,cicada
438,detective,detective
439,three o clock,three o clock
440,stethoscope,tethoscope
441,three eggs,three  eggs
442,duck,duck
443,hole,hole
444,grasshopper,grasshopper
445,frog,frog
446,clown,clown
447,smile,smile
448,garden,garden
449,two eggs,two eggs
450,ride,ride
451,swing,swing
452,gorilla,gorilla
453,moustache,moustache
454,three eggs,three eggs
455,one,one
456,carpet,carpet
457,attack,attack
458,thermometer,thermometer
459,banana,banana
460,garden,garden
461,treasure,treasure
462,snake,snake
463,bag,bag
464,hippopotamus,hippopotamus
465,fur,fur
466,potato,potato
467,sprout,sprout
468,food,food
469,hill,hill
470,potato,potato
471,swing,swing
472,duck,duck
473,tomato,tomato
474,cheese,cheese
475,no,no
476,mountain,mountain
477,circus,circus
478,butterfly,butterfly
479,cloud,cloud
480,cucumber,cucumber
481,martian,martian
482,drink,drink
483,garden,garden
484,treasure,treasure
485,one egg,one egg
486,three,three
487,tonight,tonightt
488,key,key
489,ride,ride
490,six,cocus
491,sprout,sprout
492,story,story
493,giraffe,giraffee
494,four,four
495,rhinoceros,rhinoceros
496,wheel,wheel
497,bag,bag
498,clown,clown
499,three o clock,three o clock
500,garden,garden
501,voice,voice
502,binoculars,binoculars
503,martian,martian
504,watch,watch
505,grasshopper,grasshopper
506,three eggs,three eggs
507,story,story
508,crab,crab
509,bellybutton,bellybutton
510,ten,ten
511,seven,seven
512,food,food
513,treasure,treasure
514,hair,hair
515,three,three
516,that,pub
517,spade,spade
518,breathe,breathe
519,splash,splash
520,mountain,mountain
521,vegemite,vegemite
522,smile,smile
523,caterpillar,caterpillar
524,card,card
525,coconut,coconut
526,cicada,cicada
527,owl,owl
528,martian,martian
529,canoe,canoe
530,treasure,treasure
531,three cups,three cups
532,stethoscope,stethoscope
533,sausage,sausage
534,three o clock,three o clock
535,skirt,skirt
536,pig,pig
537,foot,foot
538,one cup,one cup
539,vegemite,vegemite
540,tail,tail
541,jam,jam
542,vanilla,vanilla
543,zoo,zoo
544,australia,australia
545,yoyo,yono
546,food,food
547,ride,ride
548,detective,detective
549,six,six
550,fish,fish
551,banana,banana
552,tonight,tonight
553,four,four
554,spiderweb,spiderweb
555,garage,garage
556,bird,bird
557,garden,garden
558,frog,frog
559,tooth,tooth
560,clown,clown
561,three eggs,three eggs
562,elephant,elephant
563,one cup,one cup
564,skirt,skirt
565,card,card
566,two,two
567,nose,nose
568,attack,attack
569,rhinoceros,rhinoer
570,key,key
571,garden,garden
572,light,light
573,garage,garage
574,cub,cub
575,feather,feather
576,boat,boat
577,cow,cow
578,two,two
579,hair,hair
580,light,light
581,story,story
582,spaghetti,spaghetti
583,vanilla,vanilla
584,tail,tail
585,circus,circus
586,cow,cow
587,bird,bird
588,sausage,sausage
589,coconut,coconut
590,key,key
591,hole,hole
592,stethoscope,stethoscope
593,seven,seven
594,three cups,three cups
595,bellybutton,bellybutton
596,beard,beard
597,giraffe,giraffe
598,nine,nine
599,bag,bag
600,no,no
601,shell,shell
602,six,six
603,martian,martian
604,binoculars,binoculars
605,cub,cub
606,leaf,leaf
607,hole,hole
608,fur,fur
609,crab,crab
610,bird,bird
611,four eggs,four eggs
612,boat,boat
613,mountain,mountain
614,magician,magician
615,martian,martian
616,no,no
617,one cup,one cup
618,boy,boy
619,kitchen,kitchen
620,straw,straw
621,fish,fish
622,fish,fish
623,spiderweb,spiderweb
624,doll,doll
625,spaghetti,spaghetti
626,one o clock,one o clak
627,short,short
628,ride,ride
629,story,story
630,stethoscope,stethoscope
631,watermelon,watermelon
632,vegemite,vegemite
633,carpet,carpet
634,coconut,coconut
635,two o clock,two o clock
636,binoculars,binoculars
637,sausage,sausage
638,dessert,dessert
639,foot,foot
640,swing,swing
641,bird,bird
642,coconut,coconut
643,smile,smile
644,tomato,tomato
645,vegemite,vegemite
646,cheese,key
647,girl,girl
648,six,six
649,pig,pig
650,butterfly,butterfly
651,detective,detective
652,three o clock,three o clock
653,duck,duck
654,dessert,dessert
655,nine,nine
656,tooth,tooth
657,jam,jam
658,that,that
659,four o clock,four o clock
660,three o clock,three o clock
661,girl,girl
662,key,key
663,pig,pig
664,two,two
665,straw,straw
666,swing,swing
667,watch,watch
668,hill,hill
669,play,play
670,gorilla,gorilla
671,circus,circus
672,play,play
673,garden,garden
674,seven,seven
675,banana,banana
676,duck,duck
677,four cups,four cups
678,pool,pull
679,one egg,one egg
680,hippopotamus,hippoppotamus
681,tooth,tooth
682,breathe,breathe
683,cow,cow
684,butterfly,butterfly
685,head,head
686,pig,pig
687,pool,pull
688,five,fivee
689,treasure,treasure
690,stethoscope,stethoscope
691,tail,tail
692,mountain,mountain
693,sprout,sproutt
694,doll,doll
695,watermelon,watermelon
696,spade,spade
697,duck,duck
698,fish,fish
699,four eggs,four eggs
700,canoe,canoe
701,feather,feather
702,tonight,tonight
703,hole,hole
704,shell,shell
705,elephant,elephant
706,hippopotamus,hippopotamus
707,light,light
708,ear,ear
709,leaf,leaf
710,six,six
711,clown,clown
712,feather,feather
713,jam,jam
714,one cup,one cup
715,eight,eight
716,two o clock,two o clock
717,card,card
718,jam,jam
719,splash,splash
720,jam,jam
721,thumb,thumb
722,frog,frog
723,three,three
724,cub,cub
725,head,head
726,ride,ride
727,tonight,tonight
728,grasshopper,grasshopper
729,carpet,carpet
730,one egg,one egg
731,kitchen,kitchen
732,cucumber,cucumber
733,binoculars,binoculars
734,hippopotamus,hippoptu
735,beard,beard
736,watch,watch
737,four o clock,on clock
738,spiderweb,spiderweb
739,pie,pie
740,binoculars,binoculars
741,machine,machine
742,nine,nine
743,zoo,zoo
744,pool,pull
745,flowerpot,flowerpot
746,watermelon,watermelon
747,food,food
748,yes,yes
749,vanilla,vanilla
750,swing,swing
751,cow,cow
752,sprout,sprout
753,balloon,balloon
754,ear,ear
755,fish,fish
756,potato,potato
757,watch,watch
758,snake,snake
759,ball,ball
760,shell,shell
761,play,play
762,yes,yes
763,carpet,carpet
764,food,food
765,wood,wood
766,sprout,sprout
767,thumb,thumb
768,four cups,four cups
769,watch,watch
770,cow,cow
771,spiderweb,spiderweb
772,moustache,moustacche
773,bridge,bridge
774,nine,nine
775,straw,straw
776,vegemite,vegemite
777,frog,frog
778,cucumber,cucumber
779,nine,nine
780,ten,ten
781,potato,potato
782,voice,voice
783,pool,pull
784,sprout,sprout
785,jam,jam
786,sword,sword
787,fish,fish
788,garden,garden
789,voice,voice
790,coconut,coconut
791,chair,chair
792,carpet,carpet
793,moustache,moustache
794,smile,smile
795,one egg,one egg
796,dessert,dessert
797,three eggs,three eggs
798,snake,snake
799,ball,ball
800,moustache,moustache
801,mouth,mouth
802,cow,cow
803,attack,attack
804,thermometer,thermometer
805,vanilla,vanilla
806,five,five
807,bird,bird
808,sword,sword
809,swing,swing
810,two eggs,two eggs
811,doll,doll
812,canoe,canoe
813,hippopotamus,hippopotamus
814,crocodile,crocodile
815,pig,pig
816,dessert,dessert
817,nine,nine
818,straw,straw
819,light,light
820,snake,snake
821,thumb,thumb
822,story,story
823,breathe,breathe
824,pool,pull
825,chair,chair
826,giraffe,giraffe
827,zoo,zoo
828,hippopotamus,hippopotamus
829,thermometer,thermometer
830,frog,frog
831,boat,boat
832,nine,nine
833,dessert,dessert
834,hole,hole
835,tonight,tonight
836,sausage,sausage
837,leaf,leaf
838,magician,magician
839,pool,pull
840,frog,frog
841,rhinoceros,rhinoceeros
842,boat,boat
843,bridge,bridge
844,watermelon,watermelon
845,garage,garaf
846,fish,fish
847,spade,spade
848,coconut,coconut
849,two,ca
850,cheese,cheese
851,light,light
852,pull,pul
853,banana,banana
854,car,car
855,wheel,wheel
856,beard,beard
857,straw,straw
858,cub,cat
859,grasshopper,grasshopper
860,cheese,cheese
861,hole,four
862,short,short
863,light,light
864,foot,foot
865,one,one
866,one,one
867,seven,seven
868,wheel,wheel
869,nine,nine
870,rhinoceros,rhinoceros
871,jam,jam
872,hair,hair
873,owl,owl
874,fur,fu
875,eight,eight
876,crocodile,crocodile
877,dinosaur,dinosaur
878,pig,pig
