,target_text,pred_str
0,he was on the skateboard,he was on tho skateboard
1,hulk looks at the dinosaur and feels bad about this,holk looks at the dinosaur and feels bad about this
2,a dinosaur jumps out and hulk is scared,a dinosaur jumps out and healk is scared
3,there was a dinosaur,the heair was a dinosaur
4,laughing while the dinosuar is drinking the milk,laughing while the dinosaur as drinking the milk
5,he was listening to the egg,he was miscending to the egg
6,hulk tries to hide from the dinosaur and is still very scared,helk tries to hide from the dinosaur and is still very scared
7,and he feed the dinosaur his milk,and he feed the dinosaur's milk
8,and he was looking at the dinosaur,and he was looking at the dinosaur
9,he was touching the dinosaur,hee was touching the dinosaur
10,he was hiding,he was hiding
11,he's curious to see what's inside the egg and listens to the egg,he is curious to see what's inside the egg ever listens to the egg
12,the egg starts cracking near the top and hulk is scared by this,the egg starts cracking nar the top and hug is scared by this
13,the dinosaur is looking around for hulk and he can't find hulk,thut dinosaur is looking around for help and he can't find help
14,the egg was cracking,the egg was cracking
15,the dinosaur is sad,the dinosaur is sad
16,the dinosaur tries to play with hulk but hulk is very scared,the dinosaur truy is said play with healk but helk is very scared
17,hulk feeds the dinosaur the milk,helk feeds the dinosaur of the milk
18,the dinosaur was sad,the dinosaur was sad
19,the dinosaur poked out his head,the dinosaur pok out is head
20,and the dinosaur was lying down,and the dinosaur was rung down
21,the dinosaur was about to lick him,the dinosaur was about to lick him
22,and then he laugh,an then he laughed
23,hulk was riding backwards on a skateboard and he hits an egg,halk was hiding backwards on the skateboard and he hits an egg
