,target_text,pred_str
0,hill,hil
1,mouth,mouth
2,bridge,bridge
3,eight,eight
4,cucumber,cucumber
5,two,cu
6,treasure,treasure
7,vegemite,vegemite
8,four o clock,four o clock
9,short,short
10,vegemite,vegemite
11,xylophone,xylophone
12,treasure,treasure
13,butterfly,butterfly
14,duck,duck
15,breathe,brothe
16,six,six
17,detective,detective
18,carpet,carpet
19,two eggs,two eggs
20,potato,potato
21,foot,foot
22,balloon,ballon
23,four cups,four cups
24,ride,ride
25,clown,clown
26,bag,bag
27,thermometer,thermometer
28,wood,
29,nine,nine
30,bridge,bridge
31,duck,duck
32,machine,machine
33,bridge,bridge
34,hole,hoe
35,giraffe,girafe
36,thermometer,thermometer
37,bird,bird
38,four eggs,four eggs
39,frog,frog
40,gorilla,gorila
41,boat,boat
42,leaf,leaf
43,food,food
44,one,
45,sausage,sausage
46,martian,martian
47,girl,girl
48,tail,tail
49,no,no
50,balloon,balon
51,cicada,cicada
52,kitchen,kitchen
53,sausage,sausage
54,drink,drink
55,binoculars,binoculars
56,xylophone,xylophone
57,boy,boy
58,thermometer,thermometer
59,head,head
60,canoe,canoe
61,watch,watch
62,four cups,four cups
63,skirt,skirt
64,thumb,thumb
65,nine,nine
66,spaghetti,spaghetti
67,carpet,carpet
68,cloud,cloud
69,car,car
70,two eggs,two eggs
71,smile,smile
72,seven,seven
73,tooth,toth
74,two,two
75,he's calm making him calm down,his cupmagin incamdiwn
76,food,fod
77,dessert,dessert
78,caterpillar,caterpillar
79,spaghetti,spaghetti
80,voice,voice
81,short,short
82,giraffe,giraffe
83,hole,hole
84,garage,garage
85,machine,machine
86,vegemite,vegemite
87,bag,bag
88,dinosaur,dinosaur
89,boat,boat
90,smile,smile
91,wheel,whel
92,two o clock,two o clock
93,clown,clown
94,frog,frog
95,chair,chair
96,four,four
97,cheese,cheese
98,tail,tail
99,fish,fish
100,grasshopper,grasshopper
101,gorilla,gorila
102,five,five
103,fur,fu
104,coconut,coconut
105,beard,beard
106,bellybutton,bellybutton
107,clown,clown
108,four eggs,four eggs
109,machine,machine
110,tail,tail
111,binoculars,binoculars
112,canoe,canoe
113,snake,snake
114,food,fod
115,zoo,zo
116,that,light
117,one o clock,one o clock
118,giraffe,giraffe
119,five,five
120,fish,fish
121,six,six
122,thumb,thumb
123,duck,duck
124,three o clock,three o clock
125,no,no
126,food,fod
127,six,six
128,snake,snake
129,bird,bird
130,one egg,one egg
131,spiderweb,spiderweb
132,spiderweb,spiderweb
133,elephant,elephant
134,ride,ride
135,snake,snake
136,ball,bal
137,two o clock,two o clock
138,cheese,cheese
139,carpet,carpet
140,cow,cow
141,bird,bird
142,kitchen,kitchen
143,hippopotamus,hippopotamus
144,doll,dol
145,one egg,one egg
146,sausage,sausage
147,detective,detective
148,story,story
149,hill,hil
150,thermometer,thermometer
151,rhinoceros,rhinoceros
152,magician,magician
153,watermelon,watermelon
154,swing,swing
155,voice,voice
156,spaghetti,spaghetti
157,pool,pul
158,one cup,one cup
159,martian,martian
160,rhinoceros,rhinoceros
161,watch,watch
162,flowerpot,flowerpot
163,card,card
164,cloud,clown
165,cow,cow
166,vegemite,vegemite
167,three cups,three cups
168,thermometer,banomenar
169,chair,chair
170,splash,splash
171,zoo,zo
172,sprout,sprout
173,that,that
174,tooth,toth
175,five,five
176,vanilla,vanilla
177,one,one
178,three o clock,three o clock
179,owl,owl
180,pie,pie
181,garden,garden
182,stethoscope,stethoscoe
183,clown,clown
184,boat,boat
185,thumb,thumb
186,drink,drink
187,crab,crab
188,hill,hil
189,skirt,skirt
190,garden,garden
191,breathe,breathe
192,garage,garage
193,martian,martian
194,moustache,moustache
195,ride,ride
196,one egg,one egg
197,owl,owl
198,zoo,zo
199,short,short
200,stethoscope,stethoscope
201,pig,pig
202,butterfly,butterfly
203,cheese,cheese
204,shell,shel
205,sprout,sprout
206,crocodile,crocodile
207,garden,garden
208,seven,seven
209,jam,jam
210,elephant,elephant
211,pull,pul
212,mouth,mouth
213,sword,sword
214,detective,detective
215,tonight,tonight
216,martian,martian
217,machine,machine
218,cow,cow
219,gorilla,gorilla
220,six,six
221,beard,beard
222,four cups,four cups
223,swing,swing
224,one cup,one cup
225,skirt,skirt
226,dinosaur,dinosaur
227,two,two
228,three o clock,three o clock
229,thermometer,thermometer
230,canoe,canoe
231,foot,foot
232,spaghetti,spaghetti
233,that,that
234,smile,smile
235,feather,feather
236,gorilla,gorilla
237,ear,ear
238,nine,nine
239,beard,beard
240,moustache,moustache
241,drink,drink
242,watch,watch
243,pull,pul
244,spaghetti,spghetti
245,watermelon,watermelon
246,two o clock,two o cloc
247,kitchen,kitchen
248,kangaroo,kangaro
249,three eggs,three eggs
250,jam,jam
251,one cup,one cup
252,bird,bit
253,eight,eight
254,thermometer,thermometer
255,tooth,toth
256,story,story
257,carpet,carpet
258,five,five
259,cub,cub
260,ear,ear
261,butterfly,butterfly
262,vanilla,vanilla
263,beard,beard
264,wood,wood
265,four,four
266,jam,jam
267,carpet,carpet
268,story,story
269,four cups,four cups
270,duck,duck
271,carpet,carpet
272,stethoscope,stethoscope
273,four eggs,four eggs
274,one cup,one cup
275,garage,garage
276,leaf,leaf
277,clown,clown
278,splash,splash
279,caterpillar,caterpillar
280,zoo,zo
281,one cup,one cup
282,duck,duck
283,boat,boat
284,hippopotamus,hippopotamus
285,two o clock,two o clock
286,smile,smile
287,hair,hair
288,stethoscope,stethoscope
289,australia,australia
290,pie,pie
291,three,three
292,sausage,sausage
293,tooth,toth
294,car,car
295,frog,frog
296,hair,hair
297,crab,crab
298,cub,cub
299,kangaroo,kangaro
300,dessert,dessert
301,cloud,cloud
