,target_text,pred_str
0,arrive very good so now i want you to tell me what happens in each picture,wuethrvr lo hit tsthehhouuollrit no goodbab now i when yedeid teil be woit happens in tpeche
1,the the boy got touch the egg on the skateboard,that the boyecgou touchs the egu ohis scap boid
2,the boy hugs the egg,the boy hung zeag
3,the boy hugged the egg,the boy hunge dthe ag
4,and it cracked,and it clat
5,the dinosaur camed out,the dian's hll came dowl
6,the dinosaur was licking the boy,the giant sawlwas liking the boye
7,the boy was hiding,the younm boyd was hidting
8,the dinosaur is upset,the discale lopsae
9,the dinosaur is crying,the daisls clay
10,the boy was laughing,e boy was  onm wafing
11,the boy was patting the dinosaur,deaom blus  pasing the doncstol
12,the boy gave the his milk bottle to the dinosaur,te alm boy gave heis a milk boilds his a zistl
13,the the boys are laughing,these bois sao loafing
14,the boy was just riding his skateboard,the volus tis riting he ias scapeboard
15,the while the boy was riding the skateboard he fell off and bounced into an egg,whil the boy was riting his scapbord he fiel off inm banse thinto and eg
16,he looked to see what was inside of the egg  egg,he looked to see what was inside of the taeg
17,while doing that the egg cracked open and he was like shocked,whil doing tha theegcracked open when he was like shoket
18,a dinosaur appeared from the egg and yeah,donthe slwt appeared from the egand ye
19,the boy fell over the dinosaur came out of the egg and the boy fell over,the boyfell overthe dine saoge came out leag in the boit fer lover
20,the boy hid from the dinosaur behind the tree,the boy hed from the dinesaure behine the tree
21,dinosaur was looking for the boy,e dian the souwas looking for the boy
22,and then got sad because he couldn't find the boy,n theng got sad cos he couln't find the boy
23,and then the boy looked at the dinosaur,nd then the bly looked it the din saur
24,and they patted him on the head,hen thee  padnt tem on the hed
25,and  they fed him his milk,n they fed him his milk
26,and they stop laughing at the dinosaur,n the staoud lofing at the d in the sul
27,the boy is on the skateboard and he's rolling around the and is about to see the egg,the boy is on the scape board and i his rolling rountean i' about to see the eck
28,the the boy bumped into the egg,thethe boy bmpet into the ag
29,the boy is listening to see if there is anything in the egg,the boy is lisning to se if there is any thing in the ank
30,the egg is opening and the boy is surprised,theag is ofening and the boy is suppricsed
31,the boy is really surprised that a dinosaur came out of the egg,the boy is realy supprised that a dinesare came out of the eagu
32,the boy is scared of the dinosaur,the boy is scan of le toi nistl
33,the boy is hiding from the dinosaur,the boy is hiding from the dineisaol
34,the dinosaur is is the boy the dinosaur is sad that the boy has has run away from him or her,diness oisthe bon the dineistle is ta had that the bo  hass he en his runt has run away from him
35,the the  the dinosaur is really sad and is lying down,thedthedot f the dine saw ists realy sad and is lying de down
36,and,en
37,the the boy is thinking whether he should go over and say hello to the dinosaur,zebthe boy is tinking whether he shoud go over andna say houw low to the dinistl
38,really,rili
39,the the boy went to meet the dine dinosaur and see if it's ok,theve le went to meet the dine da dines or ain seeif it's ocay
40,the boy is giving the dinosaur it's his baby bottle,the boy is gifing thetd andar saw it spem the his baby buttl
41,the boy think thinks it's funny when the dinosaur is sucking from it,the boy think it thinks it's funy when the diness or is suking from a
42,hulk was riding backwards on a skateboard and he hits an egg,houlk was iding bacqwords on the scapoart and he hits and eg
43,he's curious to see what's inside the egg and listens to the egg,he's curiaus to see wots inside the ack and lits incs to the ay
44,the egg starts cracking near the top and hulk is scared by this,the aeg stot's cracking neather top and hois skeared by this
45,a dinosaur jumps out and hulk is scared,i' diyn the sord droms out an holk is sckad
46,the dinosaur tries to play with hulk but hulk is very scared,the din th saot troiseshere plab with holk but hollk is very scad
47,hulk tries to hide from the dinosaur and is still very scared,hulk trice to haiy f om the diner sol and is still very sckard
48,the dinosaur is looking around for hulk and he can't find hulk,the tdoin sa whis looking a round fol halk any can't fine hoallp
49,the dinosaur is sad,he dines allwiys sad
50,hulk looks at the dinosaur and feels bad about this,i'll ck looks at the dine sare and fiel's bad about this
51,hulk feeds the dinosaur the milk,halk fedtes the dian ar sowe of the milk
52,laughing while the dinosuar is drinking the milk,lofing whil the dineas oweas trenking the milk
53,the green skined baby is riding a skateboard holding a bottle of milk,thergren skind baby is riting a scap board holding a boule of milk
54,the green skined baby is bouncing off the dinosaur egg holding the bottle of milk,the grenskine babyisbountssing off the dinaes ore eg holding theboll of milk
55,the green baby is holding the bottle of milk while listening inside the dinosaur egg,te grene bayby is holening the boll of milk whw lisning insid the dinesale eck
56,the green baby is holding the bottle of milk while the dinosaur egg is hatching,the grene babe is holding the boll of milk lwive the dina saolt eg  is hatching
57,the green baby is holding the bottle of milk while the dinosaur is poking his head out of the egg,the grene babe is holding the boull of milk why thea din a sar poking his hed out of the eg
58,the green baby is holding the bottle of milk while the green dinosaur has jumped out of the egg,the grene babes holding the boll of milk whabe tha grene dian a sawe has joumpd out of the ek
59,the green baby is holding the bottle of milk and hiding behind the tree from the dinosaur,the grene babe is holting the boll of milk and hiding behin the treef rom the diansto
60,the green dinosaur is looking for the green baby,the grun din saw is looking for the grene boaby
61,the green dinosaur is on the ground being sad,the grune doin a sawlis on the ground t being sad
62,the green baby has second thoughts about playing with the dinosaur,the gringe baby has second thogts about plaingwith the dines ore
63,the green baby goes over to the green dinosaur and comforts him,the grene bab gos over to the grne dinesoh and comfherts him
64,the green baby stuffs his bottle of milk into the green dinosaur's mouth,the grene baby stofses boll of milkin to the grein din a sau's moawlth
65,the green baby is laughing while the green dinosaur has a bottle of milk in his mouth,the gren babs lofting while the gren don sawl hes a boll of milk in is mil
66,he's skateboarding,he skatbulwgording
67,and then he finds an egg,and then he fiine s o o
68,he bumps into the egg and feels sad,he bunps in to the egan fieeld sap
69,he hears what's inside the egg,e hears wortts insid tea
70,the egg was cracking,the og  wys cratho
71,he was surprised because the dinosaur came out,he wouith saupprise boces the don sil came now
72,he was sad that there was a dinosaur,heve was sad thu there wans the dians saol
73,he hide behind the tree,hee haide behind s a trey
74,the dinosaur looks around for human feel sad,he thin if sall looks a rouund for heumen feel's sad
75,the dinosaur lies on the floor,the dinest olise on the floower
76,the baby feel sad,he baibiy fiel's ad
77,the baby wants to pet him,the baib be wonts to pouke t hin
78,and then he feeds him his milk,and then he feeds inm his moalk
79,the baby feel happy,the baib be fiel hap pe
80,he was on a skateboard,hehwason er staip boald
81,he bumped into a egg,hed barn thein to her ag
82,the egg is hatching,buorldg ove hac sin
83,there's a dinosaur,ges hae diain theshoul
84,there's a dinosaur near him,his i tiin is sowl he y him
85,he went away and hiding,o loun waye and hirve
86,he's hiding behind a tree,it's hidting be hine ther tlee
87,he's sad,his sched
88,he's lonely,hes nowin eng
89,the boy's sad that he made him sad,the bull is sad thathen madom ws sad
90,he's calm making him calm down,his caut nakin cin can bhown
91,put his bottle in his mouth,pull heis buttle in his maf
92,he's laughing,he laf in
93,there was a dinosaur,the hearewat at tiains saw
94,he was on the skateboard,heve roth on their skaite bowit
95,he was listening to the egg,heve  brswlivs teoending to ther ak
96,the egg was cracking,the gras crakin
97,the dinosaur poke out his head,theare dinist seilv pro kra if ha
98,the dinosaur was about to lick him,the diing solwerte about to lek him
99,he was hiding,he was huy den
100,the dinosaur was sad,bhethein thes tholwerst sat
101,and the dinosaur was lying down,and the thon salwhes flaing gown
102,and he was looking at the dinosaur,he was thookin at the dyin the suoul
103,he was touching the dinosaur,evesaking the deian saw
104,and he feed the dinosaur his milk,onlef feep the giant floges fom yilk
105,and then he laugh,omthen he hast
106,he is riding his skateboard,heis riting his scape bord
107,he crashes into the egg the dinosaur egg,hee croshes in toot theack the  unso hck
108,and then he got upset,an then hee got up sa
109,then he listened to the egg when he fell off,then heou lisnd to the aeck when he fallofth
110,and the egg started hatching,and the agxsoded hatching
111,it started cracking and then,it sowed a croaking in then
112,he was shocked,hee was cjhokt
113,and then a little like dinosaur popped out of it,and then lit like diant sare pouped out of i
114,scared and worried and he was confused,scard an whoreedenhewas confused
115,and then the dinosaur just was hopped out of the egg,and then the diant a sare dris woil whouped out of the eg
116,the boy's like startled to the ground,the boys tlk startled to the grounmd
117,and he ran and hid from the dinosaur,and he ran and heid fron the dian sol
118,cuz he thought the dinosaur would eat him,couldthe thought the dinesale wid  eet him
119,but the dinosaur looked around and then he got sad that the guy left,but the dian saw im looked round nd thene got sad that vergiy left
120,and that's him lying on the groung like being upset because,n thatts him liying on the groun likbeng upsat becous
121,he can't find his friend,theeids calm flind is frind
122,and then the boy felt sorry,and then the boy felt soy
123,well he was hiding because the dinosaur was sad,whel he was hiding becous the dinas alwas sad
124,and so he went over and petted the dinosaur,and so he when toverom poutdered the dine sol
125,and gave the dinosaur some of his milk,and gave the dines or som of his milkk
126,he started laughing,he sided loafing
127,because the dinosaur looked funny,bekos the dian the sawhl look t funy
128,baby hulk was riding on a skateboard and then he crashed into an egg,bebiy holk was riting on the scapbord and then he crushed into an eck
129,he hurt the egg,hey hurd the ag
130,he put his ear up to it,he puld his eare up to i
131,the egg started cracking,the aeg stoded craking
132,and the egg cracked and the dino baby dinosaur came out,and the ag crackts an thea din beaby diinesole came oult
133,the baby dinosaur was excited when a,the beavye dint est sol was exite in woand of
134,and went up to baby hulk but he was scared,and whent up to bvebie ho burt he was scad
135,so he ran and hid behind a tree,sow he ran and heid behind a tree
136,and the baby dinosaur didn't know where he was,and the bebie doain saw dit kno wher he was
137,and then he was sad,and then he was sad
138,the baby dino being sad made baby hulk sad,thethebiey din af beiing sade mad beaby houk sad
139,so he went up to the dinosaur and petted him on the head,sow he went up to the dina sawl anm pauted him on the hed
140,then gave him his bottle,then gave him his buttl
141,and then he found it funny,avhen he found it fun
142,the boy is on skateboard,the boulis on skap bo ur
143,the boy snare a dinosaur egg,h bowis nherhe  a darn saolak
144,the boy's touching the dinosaur egg,the boull stptite sen the down sor whack
145,the dinosaur egg is cracking open,the don sale aispquwacket in lopn
146,the dinosaur egg is opened,then floow taloy it pend
147,the boy is hiding behind a tree,he bulliy its heide him be hinda tweay
148,dinosaur is in there by himself,don showleitnutheare by het sawlff
149,the dinosaur is still there by himself but on the floor,the darnt shol is stil thard by it's sel bart oundr loor whall
150,the boy is hiding behind a tree,the boy it's harne be hode a trey
151,the boy is pet the dinosaur on the head,the boy is pan the donter sfholw ounthe had
