,target_text,pred_str
0,HULK WAS RIDING BACKWARDS ON A SKATEBOARD AND HE HITS AN EGG,HAURK WAS HIDING BACKWARDS ON THE SKABARD AND HE HITS AND EGG
1,HE'S CURIOUS TO SEE WHAT'S INSIDE THE EGG AND LISTENS TO THE EGG,HE'S CURIOUS TO SEE WHAT'S INSIDE THE EGG EER LITTENS TO THE EG
2,THE EGG STARTS CRACKING NEAR THE TOP AND HULK IS SCARED BY THIS,THE EGG STARS CRACKING NEAR THE TOULP AND HOK IS SKARED BY THIS
3,A DINOSAUR JUMPS OUT AND HULK IS SCARED,BAT DINOSAUR SUMPS OUT AND HAULK HIS SKID
4,THE DINOSAUR TRIES TO PLAY WITH HULK BUT HULK IS VERY SCARED,THE DINOSAUR CRYES SAID PLAY WITH HOLKE BUT HAUK IS VERY SKARD
5,HULK TRIES TO HIDE FROM THE DINOSAUR AND IS STILL VERY SCARED,HELKTRES TO HIDE FROM THE DINOSAUR AND IS STILL VERY SCARED
6,THE DINOSAUR IS LOOKING AROUND FOR HULK AND HE CAN'T FIND HULK,BAT DINASAR WAS LOOKING AROUND FUR HEALK AND HE COAUN'T FIND HEALP
7,THE DINOSAUR IS SAD,HEDINOSAUR YS SAD
8,HULK LOOKS AT THE DINOSAUR AND FEELS BAD ABOUT THIS,AUK LOOKS AT THE DINOSAUR AND FEELS BAD ABOUT THIS
9,HULK FEEDS THE DINOSAUR THE MILK,HEALK FEEDS THE DINOSAUR OF THE MILK
10,LAUGHING WHILE THE DINOSUAR IS DRINKING THE MILK,LAUGHING WHILE THE DINOSAUR WAS DRINKING THE MILK
