filepath,transcription_clean
/srv/scratch/chacmod/CU_2/corpus/data/train-part3-cu-stories/02/spk-02-236/1079719487390-109.wav,BI BUBBLES BIG WHY ARE SOME SMALL
/srv/scratch/chacmod/CU_2/corpus/data/train-part3-cu-stories/02/spk-02-126/1076531331500-114.wav,JANE'S FROG
/srv/scratch/chacmod/CU_2/corpus/data/train-part1-cu/CC-03-05-00095/CC-03-05-00095-08451-01-0.wav,SEEMED
/srv/scratch/chacmod/CU_2/corpus/data/train-part3-cu-stories/02/spk-02-211/1079037613156-100.wav,CAN
/srv/scratch/chacmod/CU_2/corpus/data/train-part1-cu/CC-01-13-00343/CC-01-13-00343-01356-01-0.wav,MEASURED
/srv/scratch/chacmod/CU_2/corpus/data/train-part3-cu-stories/05/spk-05-049/spk-05-049-story-293.wav,DOCTOR WONG FOR A SECOND
/srv/scratch/chacmod/CU_2/corpus/data/train-part4-cu-summaries/01/spk-01-297/1084301578375-102.wav,HAD A CONTEST WHO COULD UHM
/srv/scratch/chacmod/CU_2/corpus/data/train-part4-cu-summaries/02/spk-02-112/1076433243296-104.wav,THIS IS A SPECIAL BONE IT IS VERY HEAVY HIS SAID HIS FATHER I THINK
/srv/scratch/chacmod/CU_2/corpus/data/train-part3-cu-stories/01/spk-01-305/1084993064125-101.wav,WHO WAS VERY TIRED
/srv/scratch/chacmod/CU_2/corpus/data/train-part1-cu/CC-04-02-00122/CC-04-02-00122-01079-01-0.wav,MEOW
/srv/scratch/chacmod/CU_2/corpus/data/train-part1-cu/CC-03-16-00196/CC-03-16-00196-00131-01-0.wav,OUR FOUR
/srv/scratch/chacmod/CU_2/corpus/data/train-part1-cu/CC-03-10-00100/CC-03-10-00100-00119-01-0.wav,S
/srv/scratch/chacmod/CU_2/corpus/data/train-part3-cu-stories/01/spk-01-290/1084295538593-104.wav,PITCHER
/srv/scratch/chacmod/CU_2/corpus/data/train-part1-cu/CC-04-10-01090/CC-04-10-01090-00310-01-0.wav,IMES
/srv/scratch/chacmod/CU_2/corpus/data/train-part1-cu/CC-04-23-02033/CC-04-23-02033-03553-01-0.wav,THE RED LEAVES WERE BLOWN AROUND IN MILLIONS BY THE WIND
/srv/scratch/chacmod/CU_2/corpus/data/train-part1-cu/CC-01-24-01104/CC-01-24-01104-00524-01-0.wav,JUNE
/srv/scratch/chacmod/CU_2/corpus/data/train-part3-cu-stories/02/spk-02-214/1079040625562-107.wav,MEANED PULL OTHER MAGNETS
/srv/scratch/chacmod/CU_2/corpus/data/train-part3-cu-stories/02/spk-02-150/1077301892984-111.wav,HIS
/srv/scratch/chacmod/CU_2/corpus/data/train-part3-cu-stories/02/spk-02-200/1078161007000-136.wav,MUCH ABOUT FISH
/srv/scratch/chacmod/CU_2/corpus/data/train-part3-cu-stories/03/spk-03-038/spk-03-038-story-112.wav,IN FACT HE LOVED IT
/srv/scratch/chacmod/CU_2/corpus/data/train-part1-cu/CC-01-04-00034/CC-01-04-00034-07047-01-0.wav,NUTS
/srv/scratch/chacmod/CU_2/corpus/data/train-part3-cu-stories/05/spk-05-051/spk-05-051-story-206.wav,HE WAS TIRED FROM RACING AND THOUGHT THAT IT WOULD BE NICE TO JUST LISTEN TO MUD'S SWEET VOICE AND FALL ASLEEP
