,target_text,pred_str
0,bird,a
1,detective,a
2,short,
3,cloud,
4,that,a
5,pie,a
6,xylophone,
7,four o clock,oo
8,potato,
9,cow,
10,one cup,
11,hair,
12,one egg,a
13,snake,i
14,thermometer,
15,mouth,a
16,spaghetti,a
17,snake,u
18,four cups,oo
19,tonight,a
20,two,
21,beard,a
22,head,
23,cow,
24,banana,
25,splash,o
26,three,
27,gorilla,
28,wood,
29,wheel,
30,four,
31,machine,a
32,bag,
33,two cups,o
34,machine,a
35,zoo,
36,zoo,ao
37,treasure,a
38,frog,
39,short,a
40,thermometer,
41,short,o
42,food,
43,boy,
44,tail,
45,shell,o
46,head,
47,light,
48,splash,the end
49,car,
50,carpet,
51,sausage,oa
52,duck,
53,sprout,
54,cucumber,
55,martian,
56,spade,pe
57,play,
58,pull,
59,key,
60,spiderweb,i
61,watch,a
62,bag,
63,boat,a
64,cloud,
65,eight,
66,spaghetti,a
67,cart,
68,boy,
69,watch,a
70,flowerpot,o
71,chair,
72,pull,
73,bag,
74,bridge,
75,gorilla,a
76,breathe,a
77,sword,
78,cicada,
79,sausage,o
80,butterfly,
81,crocodile,
82,six,a
83,circus,a
84,seven,a
85,vanilla,
86,gorilla,oo
87,martian,
88,pool,i
89,thermometer,a
90,caterpillar,
91,yoyo,
92,carpet,a
93,spiderweb,
94,attack,
95,four,
96,hair,
97,hippopotamus,
98,snake,
99,sprout,bo
100,wheel,
101,bag,
102,australia,aoo
103,six,a
104,balloon,
105,chair,
106,hole,
107,treasure,a
108,tonight,a
109,yoyo,
110,fish,o
111,five,
112,car,
113,rhinoceros,a
114,seven,
115,three cups,o
116,banana,
117,xylophone,
118,skirt,
119,tomato,
120,sword,a
121,drink,
122,crocodile,a
123,straw,
124,kitchen,ia
125,tooth,
126,no,
127,gorilla,o
128,four,
129,two eggs,a
130,nose,
131,snake,
132,two eggs,o
133,wood,o
134,cub,
135,cart,
136,seven,aa
137,fur,
138,duck,
139,garden,a
140,four o clock,ooo
141,caterpillar,
142,two o clock,a
143,rhinoceros,
144,cow,
145,one egg,tha
146,zoo,a
147,martian,a
148,canoe,
149,four eggs,oa
150,jam,
151,pie,
152,food,
153,chair,
154,five,
155,two,
156,mouth,o
157,potato,
158,sprout,a
159,card,
160,bellybutton,a
161,dessert,e
162,bridge,
163,vegemite,a
164,thermometer,
165,crocodile,aa
